 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34
1,22.314,18.776,12.764,18.757,19.596,14.799,14.988,14.986,16.043,25.165,20.088,17.711,27.621,12.555,10.682,14.269,10.427,15.150,11.171,11.601,14.527,10.846,12.779,10.622,26.314,12.913,20.668,9.650,13.459,8.500,11.302,10.725,10.442,10.923
2,22.169,18.141,12.841,17.616,20.643,13.967,14.238,14.383,15.550,24.374,18.388,16.802,27.262,12.230,10.775,13.708,10.229,14.146,11.206,11.293,14.682,10.718,12.339,10.593,26.475,12.905,21.117,9.782,13.374,8.482,11.182,10.585,10.246,10.777
3,21.340,17.443,12.545,16.591,20.204,13.361,13.450,14.011,15.490,23.275,16.914,16.239,26.511,12.026,10.644,13.135,10.117,13.239,11.163,11.208,14.661,10.810,12.023,10.541,26.838,12.753,20.746,9.847,13.302,8.418,10.858,10.411,10.141,10.684
4,20.388,16.686,12.429,15.740,19.518,13.072,12.622,13.777,15.250,21.998,16.060,15.671,25.898,11.896,10.487,12.778,10.090,12.840,11.128,11.172,14.358,10.767,11.759,10.552,27.285,12.708,20.233,9.808,13.289,8.318,10.656,10.294,10.122,10.600
5,20.520,16.637,12.830,17.273,19.910,17.209,12.991,14.008,15.896,22.108,16.630,17.771,25.298,12.051,10.504,12.790,10.181,13.613,11.184,11.549,14.402,10.889,11.842,10.599,27.349,12.662,20.283,9.793,13.403,8.276,10.931,10.668,10.065,10.649
6,22.076,17.869,13.484,18.014,20.591,17.788,13.881,14.746,16.114,25.583,18.374,19.369,26.000,12.398,10.521,13.419,10.194,14.284,11.131,12.311,15.113,10.767,12.233,10.638,26.883,12.638,20.810,9.832,13.431,8.380,11.172,10.877,10.186,10.725
7,23.427,19.148,13.173,18.702,21.187,16.229,14.340,14.335,15.821,27.428,19.246,19.309,26.533,12.451,10.504,13.976,10.458,15.256,11.426,12.669,15.619,10.780,12.280,10.673,27.599,12.822,21.326,9.964,13.359,8.391,11.369,10.668,10.288,10.871
8,24.681,21.099,13.052,22.185,21.207,15.066,15.273,14.617,15.694,29.176,23.086,19.988,27.748,12.775,10.538,15.144,10.852,17.939,11.648,12.533,16.502,10.771,12.220,10.685,27.923,13.083,21.311,10.370,13.477,8.493,11.425,10.541,10.375,11.005
9,25.310,21.909,12.781,26.279,21.441,14.482,15.786,15.263,15.393,30.105,25.266,21.230,28.599,13.043,10.411,15.732,11.146,19.617,11.785,12.435,16.765,10.752,12.318,10.673,28.308,13.121,21.134,10.500,13.364,8.376,11.395,10.526,10.303,11.058
10,25.499,22.348,12.562,28.550,21.075,13.934,16.068,15.405,15.261,30.326,27.166,21.636,28.650,13.013,10.475,15.702,11.233,19.519,11.758,12.242,17.044,10.724,12.271,10.579,28.590,13.089,21.452,10.264,13.313,8.334,11.246,10.368,10.303,10.925
