 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34
1,13.731,12.945,14.239,15.989,20.721,15.264,14.347,14.204,15.725,15.724,14.226,17.074,27.751,12.108,10.970,10.937,10.452,13.289,11.806,14.012,14.324,11.645,13.503,11.254,27.118,13.493,21.235,9.801,14.332,8.406,11.452,11.585,11.035,11.267
2,13.835,13.122,13.997,16.287,20.525,14.802,14.021,14.715,16.053,16.205,14.766,16.919,27.990,12.426,11.229,11.081,10.617,13.514,12.043,14.168,14.733,11.654,13.577,11.320,27.702,13.939,22.330,9.922,14.815,8.396,11.578,11.718,11.107,11.594
3,13.704,13.057,13.787,16.050,19.585,14.344,13.450,14.503,15.913,15.987,14.688,16.379,27.624,12.466,10.953,11.019,10.446,13.345,11.955,14.343,14.645,11.643,13.415,11.302,27.565,13.930,21.994,9.927,14.902,8.396,11.523,11.594,11.280,11.556
4,13.669,13.148,13.660,16.088,19.336,14.160,13.196,14.617,15.815,15.778,14.730,16.118,27.289,12.474,11.042,10.973,10.504,13.369,12.061,13.922,14.635,11.577,14.071,11.220,27.599,14.053,22.115,9.896,14.877,8.306,11.540,11.555,11.672,11.543
5,13.602,13.030,13.605,16.271,19.364,13.917,13.263,14.615,15.705,15.630,14.742,15.709,27.024,12.415,11.000,10.948,10.469,13.394,12.137,13.946,14.720,11.626,14.702,11.315,27.438,14.061,22.283,9.894,14.817,8.274,11.642,11.650,11.744,11.541
6,15.014,13.441,14.614,16.735,20.875,14.124,14.275,14.807,16.257,16.929,15.450,17.855,26.998,12.755,11.335,11.301,10.769,14.765,12.173,14.363,14.904,11.692,14.958,11.423,27.407,14.034,22.689,9.972,15.035,8.498,11.762,12.010,11.725,11.800
7,19.375,15.439,16.072,17.599,21.942,14.499,16.068,14.863,16.563,22.704,16.390,19.501,30.377,13.211,11.674,12.542,10.915,15.376,12.369,14.800,15.415,11.788,14.821,11.787,26.691,14.080,23.188,9.868,15.172,8.818,11.841,12.028,11.660,12.043
8,22.345,16.755,16.121,17.928,23.658,14.146,16.604,14.858,17.737,25.927,16.470,23.730,32.110,13.283,11.856,14.199,11.406,15.469,12.357,15.082,15.267,11.915,14.768,11.939,26.388,14.214,23.363,9.909,15.240,8.952,11.939,11.988,11.593,12.215
9,24.340,18.057,15.213,18.384,23.871,14.303,16.972,15.623,18.713,26.895,16.878,25.379,32.675,13.315,11.716,14.675,11.319,15.535,12.367,15.094,15.117,12.058,14.620,11.822,26.965,14.326,23.002,9.956,15.139,8.900,11.909,11.885,11.563,12.300
10,25.105,18.595,15.452,18.633,24.157,14.281,17.748,15.282,18.794,28.665,17.220,26.764,33.161,13.668,11.720,14.907,11.402,16.300,12.617,15.164,15.096,11.857,14.250,11.930,27.320,14.224,22.264,9.904,15.267,8.856,11.872,11.913,11.429,12.276
