 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36
1,19.262,15.411,19.007,13.693,15.082,13.966,57.893,43.722,33.726,25.532,51.795,27.378,18.555,22.150,29.072,45.376,35.365,28.793,98.903,47.829,31.324,27.811,61.059,17.185,33.283,55.685,24.331,17.077,29.564,25.087,15.948,21.899,13.935,18.250,14.942,14.124
2,19.330,15.530,19.103,13.785,15.044,14.140,57.735,44.055,33.711,25.651,51.744,27.616,18.570,22.113,29.581,45.291,35.652,28.704,98.801,47.701,31.272,28.128,60.878,17.305,33.019,55.702,24.618,17.292,29.323,25.203,15.871,21.850,14.006,18.230,14.909,14.246
3,19.247,15.504,19.011,13.737,15.076,13.950,57.963,43.688,33.901,25.745,51.973,27.676,18.551,21.992,29.280,45.415,35.771,28.826,98.781,48.616,31.257,27.872,60.902,17.076,33.149,55.456,24.038,17.230,29.390,25.292,15.871,21.980,14.006,18.214,14.916,14.267
4,19.379,15.461,18.990,13.874,15.204,14.044,58.081,43.788,33.721,25.815,51.732,27.464,18.693,21.976,29.191,45.364,35.506,28.674,98.577,47.682,31.254,27.926,60.719,17.204,33.082,55.220,24.548,17.309,29.363,25.112,15.857,21.914,14.005,18.243,14.942,14.147
5,19.419,15.530,19.064,13.870,15.067,14.092,58.107,44.186,33.945,25.848,52.153,27.801,18.430,22.082,29.259,45.192,35.581,28.641,99.112,47.673,31.246,27.827,60.878,17.145,33.107,55.356,24.541,17.162,29.507,25.260,15.833,22.095,13.841,18.338,14.832,14.032
6,19.223,15.325,18.975,13.826,15.230,14.059,58.074,43.978,33.717,25.799,51.839,27.565,18.608,21.881,29.553,45.192,35.742,28.866,98.700,48.346,31.308,27.869,60.933,17.096,32.974,55.518,24.879,17.199,29.712,25.148,15.903,22.088,13.971,18.226,14.793,14.076
7,19.328,15.410,18.936,13.793,14.924,13.966,58.115,44.017,33.823,25.861,52.060,27.802,18.576,22.039,29.783,45.101,35.360,28.846,98.582,48.100,31.218,28.010,61.919,17.099,33.162,55.162,24.682,17.125,29.436,25.092,15.906,21.824,14.047,18.213,15.005,14.177
8,19.281,15.559,19.130,13.883,14.931,14.057,57.912,43.858,33.931,25.630,51.755,27.427,18.607,21.920,29.317,45.111,35.683,28.736,98.359,48.047,31.209,27.872,61.250,17.269,33.116,54.725,24.790,17.144,29.621,25.287,15.836,21.985,14.000,18.330,14.993,14.276
9,19.415,15.459,19.078,13.857,15.107,13.973,57.944,43.894,34.031,25.851,52.471,27.667,18.484,22.195,29.257,45.403,35.637,28.628,98.724,48.502,31.314,28.029,61.215,16.992,33.067,54.970,24.535,17.217,29.424,25.448,15.874,21.872,13.961,18.225,14.885,14.340
10,19.287,15.391,18.985,13.741,15.217,13.943,58.159,43.703,33.999,25.666,52.075,27.359,18.743,22.158,29.382,45.145,35.739,28.910,98.622,48.204,31.323,27.907,60.821,17.052,33.117,54.757,25.172,17.180,29.446,25.400,15.873,22.033,13.946,18.195,14.849,14.262
11,19.310,15.590,19.103,13.863,15.114,14.029,57.800,43.831,34.061,25.715,52.260,27.603,18.556,22.073,29.469,45.009,35.519,28.801,98.251,48.460,31.174,28.215,60.872,17.077,33.055,55.211,25.006,17.110,29.700,25.121,15.770,21.648,14.003,18.286,14.901,14.131
12,19.340,15.418,19.071,13.854,15.126,13.933,57.841,44.092,33.936,25.911,51.943,27.596,18.571,21.977,29.349,45.303,35.693,28.816,99.212,48.166,31.159,28.285,61.327,17.024,33.260,54.979,24.904,17.182,29.495,25.487,15.933,21.998,14.029,18.217,14.990,14.172
13,19.306,15.694,19.124,13.907,15.177,14.161,57.814,43.786,34.041,25.639,52.263,27.767,18.504,21.999,29.363,45.417,35.884,28.935,98.844,48.640,31.264,27.978,61.461,17.197,33.220,55.306,24.987,17.321,29.541,25.337,15.807,22.018,13.967,18.345,14.851,14.292
14,19.376,15.585,19.009,13.828,15.112,14.055,57.775,44.234,33.779,25.624,52.285,27.542,18.581,21.972,29.387,45.014,35.907,28.766,99.041,48.569,31.199,27.894,61.222,17.118,33.340,55.201,25.025,17.260,29.734,25.305,15.866,22.170,13.901,18.135,14.885,14.232
15,19.242,15.520,19.176,13.780,15.067,13.956,58.135,44.206,34.181,25.670,52.333,27.303,18.571,21.911,29.694,45.394,35.788,28.869,99.685,48.171,31.198,28.122,61.333,16.931,33.369,55.600,24.682,17.282,29.817,25.147,15.910,22.106,13.953,18.178,15.038,14.228
16,19.377,15.572,19.085,13.763,15.067,14.107,57.975,43.586,34.055,25.888,52.268,27.707,18.567,22.013,29.688,45.650,35.640,29.109,98.955,48.877,31.342,28.449,61.811,16.978,33.214,55.289,25.159,17.292,29.776,25.375,15.851,22.165,13.883,18.216,14.940,14.074
17,19.393,15.637,18.985,13.809,15.158,13.881,58.198,44.174,34.174,26.135,52.522,27.555,18.502,21.820,29.569,45.472,35.929,29.094,99.526,49.346,31.408,28.503,61.585,17.007,33.057,55.479,24.484,17.249,29.584,25.327,15.843,21.985,13.943,18.166,15.046,14.333
18,19.251,15.589,19.028,13.767,15.223,14.052,58.322,43.946,34.068,25.947,52.384,27.601,18.665,21.969,29.606,45.533,35.743,29.050,99.340,48.896,31.272,28.548,61.762,17.217,33.324,55.250,24.873,17.207,29.792,25.309,15.988,22.101,13.968,18.308,14.909,14.218
19,19.368,15.424,19.101,13.761,14.996,14.004,58.592,43.874,34.178,26.000,52.403,27.871,18.579,22.186,29.653,45.414,35.812,28.880,99.171,48.374,31.374,28.702,61.427,17.005,33.324,55.718,24.764,17.346,29.645,25.465,15.941,22.227,14.039,18.332,15.096,14.175
20,19.380,15.599,19.113,13.822,15.107,14.124,58.172,44.155,34.234,25.819,52.681,27.494,18.742,22.102,29.585,45.243,35.634,29.020,99.247,48.232,31.317,28.519,61.343,17.002,33.413,55.407,25.287,17.295,29.747,25.393,15.865,22.042,14.064,18.223,15.050,14.239
21,19.428,15.497,19.056,13.822,15.076,13.899,57.899,44.260,34.217,25.790,52.809,27.534,18.555,21.934,29.856,45.337,35.672,29.101,99.499,48.829,31.217,28.468,61.541,16.816,33.446,55.437,25.019,17.187,29.803,25.289,15.841,22.026,13.876,18.286,15.026,14.287
22,19.281,15.471,19.085,13.826,15.040,14.025,58.332,43.908,34.350,25.633,52.481,27.416,18.659,21.967,29.609,45.531,35.786,29.055,99.339,48.929,31.374,28.365,61.596,16.793,33.434,55.509,24.637,17.292,29.888,25.432,15.876,22.238,14.006,18.253,14.868,14.136
23,19.416,15.517,19.177,13.837,15.070,14.044,58.223,44.142,34.233,26.133,52.574,27.445,18.558,21.957,29.587,45.255,35.968,29.094,99.081,49.156,31.369,28.407,62.049,16.924,33.443,55.565,25.522,17.269,29.848,25.523,15.840,21.932,13.975,18.334,15.000,14.205
24,19.319,15.478,19.057,13.759,14.931,14.094,58.890,44.205,34.082,26.037,52.429,27.491,18.705,22.158,29.462,45.531,35.771,29.158,99.419,49.019,31.424,28.500,62.024,16.771,33.406,55.926,25.115,17.376,29.852,25.415,15.807,22.337,14.001,18.335,14.904,14.126
25,19.346,15.652,19.159,13.841,15.124,14.075,58.651,44.220,34.353,25.768,52.607,27.507,18.441,22.221,29.651,45.476,35.958,29.202,99.716,49.171,31.415,28.186,61.805,17.059,33.571,55.352,25.389,17.175,29.944,25.569,15.965,22.247,13.949,18.255,14.954,14.085
26,19.560,15.492,19.179,13.793,14.998,14.155,58.777,44.575,34.335,25.956,52.554,27.541,18.450,22.073,29.504,45.485,35.850,28.933,99.670,48.962,31.549,28.381,62.004,16.948,33.496,55.352,24.796,17.250,29.953,25.333,15.805,22.590,13.934,18.220,14.945,14.168
27,19.362,15.440,19.211,13.822,15.057,13.983,58.629,44.112,34.375,25.871,52.651,27.743,18.515,22.088,29.585,45.928,36.076,29.134,99.750,49.687,31.462,28.391,61.575,16.970,33.504,55.741,24.745,17.367,29.948,25.691,15.952,22.284,13.862,18.243,15.034,14.149
28,19.604,15.609,19.133,13.874,15.059,14.099,58.566,44.798,34.136,26.168,52.667,27.880,18.502,22.207,29.902,45.791,36.067,29.081,100.008,49.725,31.397,28.433,61.945,16.869,33.404,55.840,25.223,17.299,30.069,25.533,15.939,22.489,13.899,18.346,14.889,14.308
29,19.709,15.533,19.174,13.804,15.131,13.975,59.135,44.306,34.330,25.843,52.784,27.600,18.622,22.171,29.743,45.749,36.022,29.288,99.559,49.905,31.483,28.756,62.443,16.882,33.380,55.863,25.299,17.275,29.920,25.655,15.940,22.278,13.971,18.196,15.101,14.306
30,19.521,15.480,19.076,13.830,14.990,14.059,58.910,44.134,34.246,26.135,52.795,27.718,18.567,22.191,29.865,45.827,36.286,29.108,99.219,49.289,31.461,28.631,62.685,16.916,33.575,55.861,25.325,17.295,29.856,25.524,15.982,22.313,13.915,18.254,14.971,14.195
31,19.592,15.616,19.146,13.891,15.171,13.964,58.971,44.302,34.567,26.152,52.609,27.440,18.610,22.157,29.760,45.347,36.216,29.241,99.586,48.953,31.448,28.574,61.974,16.880,33.478,55.879,25.006,17.174,29.900,25.544,15.986,22.302,13.801,18.308,14.815,14.255
32,19.490,15.614,19.076,13.763,15.015,13.899,58.948,44.715,34.290,26.082,52.900,27.534,18.518,22.130,29.764,45.478,36.066,29.206,99.977,49.464,31.421,28.429,62.402,16.968,33.455,55.761,25.395,17.210,29.720,25.601,15.860,22.401,14.003,18.319,15.178,14.216
33,19.546,15.336,19.169,13.820,15.196,14.065,58.971,44.694,34.384,25.860,52.907,27.911,18.711,22.120,29.883,45.793,35.976,29.298,99.784,49.754,31.473,28.647,62.998,16.956,33.519,55.463,24.962,17.132,30.109,25.523,15.872,22.355,13.952,18.195,15.089,14.193
34,19.444,15.491,19.126,13.885,15.229,14.000,59.206,44.425,34.696,25.999,53.090,27.788,18.730,22.070,29.846,45.890,36.213,29.299,100.239,49.057,31.549,28.388,63.020,16.869,33.806,56.118,25.172,17.504,29.981,25.712,15.930,22.359,13.833,18.232,15.084,14.246
