 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36
296,26.102,17.740,24.577,14.791,16.021,13.897,89.224,70.009,46.928,32.448,68.043,33.185,24.407,27.933,34.329,59.976,47.661,36.908,132.053,61.796,45.048,30.997,82.754,17.308,38.099,73.252,27.503,18.239,33.425,27.491,17.260,25.751,14.203,21.191,15.043,13.885
297,25.677,17.788,24.496,14.772,16.006,13.929,90.008,70.631,47.081,32.217,67.532,33.175,24.138,27.921,34.650,59.613,47.287,36.886,130.228,61.204,45.351,31.064,81.427,17.242,38.116,72.225,28.025,18.210,33.510,27.483,17.207,25.630,14.153,21.281,14.959,13.977
298,25.748,17.762,24.646,14.746,15.949,13.807,89.809,70.445,47.214,32.242,68.210,33.239,23.607,27.702,34.193,59.535,47.066,36.457,129.689,61.592,44.112,31.295,81.795,17.345,37.961,71.239,27.739,18.304,33.463,27.112,17.109,25.361,14.172,21.231,15.082,13.929
299,25.515,17.738,24.334,14.787,15.928,14.021,89.318,69.477,47.077,32.350,68.341,32.997,22.977,27.118,34.105,59.055,46.741,36.556,129.692,61.199,42.790,30.939,82.085,17.274,37.770,71.327,28.051,18.078,33.296,27.324,17.277,25.174,14.153,21.210,14.757,13.903
300,25.993,17.562,24.352,14.711,15.861,13.943,89.534,68.911,46.786,32.082,68.067,33.046,22.330,27.031,34.072,58.790,46.181,36.509,129.055,60.261,42.113,31.045,81.789,17.335,37.885,70.280,27.490,18.361,33.480,27.299,17.183,24.949,14.117,21.191,15.055,13.952
301,25.687,17.487,24.346,14.659,15.775,13.857,89.513,68.620,46.934,32.410,68.256,33.268,22.103,26.565,33.772,58.904,46.156,36.487,129.605,59.948,41.387,31.176,81.982,17.384,37.864,69.900,27.720,18.247,33.470,27.228,17.161,24.778,14.113,21.342,15.012,13.961
302,25.723,17.563,24.103,14.774,15.890,13.839,89.897,67.855,46.916,32.437,67.656,33.322,21.823,26.185,34.042,59.022,45.901,36.322,129.372,60.218,40.946,30.910,81.270,17.227,38.010,68.951,27.554,17.947,33.284,27.117,17.234,24.570,14.168,21.369,14.909,13.995
303,25.756,17.429,24.268,14.511,16.019,13.899,89.248,67.889,46.912,32.244,67.890,33.046,21.447,26.090,34.046,58.653,45.735,36.497,129.049,59.962,40.278,30.968,81.341,17.153,37.871,68.738,27.688,18.240,33.437,27.353,17.095,24.377,14.162,21.213,14.901,13.908
304,25.811,17.556,24.272,14.507,15.949,13.927,89.797,67.906,47.028,32.096,67.784,32.915,21.306,25.734,33.942,58.551,45.816,36.269,129.446,59.687,39.857,30.936,81.980,17.082,37.657,68.725,27.529,18.215,33.427,27.628,17.124,24.203,14.164,21.212,14.945,14.014
305,25.740,17.643,24.084,14.426,16.051,13.807,89.558,67.308,46.841,32.148,67.740,33.432,21.126,25.679,34.067,58.782,45.517,36.437,129.609,59.654,39.502,31.446,81.445,17.133,37.843,68.428,27.662,18.316,33.493,27.264,16.996,24.341,14.229,21.198,14.904,13.901
306,25.725,17.513,24.284,14.383,15.926,13.822,89.263,67.386,46.933,32.141,68.128,33.131,20.906,25.721,33.954,58.280,45.687,36.321,129.991,59.445,39.301,30.574,81.636,17.082,37.872,68.018,27.497,18.167,33.205,27.577,17.190,24.143,14.237,21.245,14.863,13.901
307,25.417,17.651,24.138,14.507,16.086,13.857,89.284,67.063,47.012,31.898,68.263,33.233,20.720,25.628,34.233,58.337,45.557,36.332,128.987,59.687,38.826,31.064,81.301,17.104,37.912,67.801,27.204,18.182,33.213,27.175,17.036,24.297,14.085,21.307,15.022,13.922
308,26.052,17.661,24.157,14.420,16.008,13.828,90.077,66.766,46.908,32.374,67.952,33.432,20.759,25.373,34.107,58.344,45.456,36.301,129.000,59.573,38.481,30.673,81.270,16.899,37.877,67.576,27.274,18.229,33.415,27.501,17.068,24.244,14.116,21.115,14.822,13.910
309,25.694,17.503,24.274,14.333,15.939,13.939,89.302,66.648,46.700,32.546,67.889,33.188,20.679,25.487,34.324,58.169,45.705,36.197,129.372,60.147,38.276,31.083,81.148,17.093,37.704,67.961,27.306,18.199,33.128,27.281,16.980,23.938,14.169,21.300,14.962,13.910
310,25.809,17.535,24.361,14.302,15.747,13.893,89.631,66.615,47.070,32.168,67.895,33.094,20.401,25.171,33.699,58.138,45.437,36.373,129.471,60.009,37.988,30.788,81.799,17.047,37.808,67.143,26.962,18.267,33.354,27.311,17.128,24.170,14.172,21.200,14.995,13.846
311,25.640,17.487,24.100,14.426,15.914,13.788,89.569,66.377,46.837,32.248,67.913,33.019,20.482,25.227,33.961,58.321,45.373,36.573,128.762,60.156,37.749,30.705,81.902,17.000,37.939,67.294,27.834,18.174,33.069,27.295,16.992,23.907,14.136,21.254,15.060,13.874
312,25.871,17.546,24.262,14.285,15.914,13.975,89.329,65.986,46.993,32.272,67.664,32.954,20.504,25.015,33.844,57.886,45.316,36.153,130.730,59.450,37.566,30.766,82.526,16.896,37.819,67.644,27.701,18.326,33.396,27.412,17.075,23.965,14.201,21.375,14.752,13.956
313,25.681,17.365,24.250,14.378,16.067,13.958,88.963,65.782,46.736,32.310,67.885,33.059,20.475,24.983,33.939,57.908,45.735,36.071,130.997,58.872,37.284,30.974,82.187,16.914,37.835,66.838,26.968,18.149,32.761,27.305,16.987,24.143,14.171,21.209,15.000,14.007
314,25.875,17.407,24.324,14.309,15.922,14.029,88.627,65.322,47.025,32.184,67.975,32.785,20.329,24.963,34.026,58.202,45.505,36.269,130.948,59.171,36.977,31.115,82.331,16.872,37.706,67.083,27.318,18.432,32.905,27.296,17.061,23.930,14.223,21.158,15.041,13.917
315,25.797,17.404,24.094,14.311,15.914,13.897,88.733,65.000,46.875,32.526,67.740,33.159,20.382,24.857,33.793,57.571,45.535,36.086,130.829,59.540,36.879,31.035,82.447,16.766,37.696,66.819,26.803,18.242,32.938,27.293,16.907,23.985,14.135,21.202,15.038,14.014
316,25.815,17.479,24.132,14.287,15.716,13.975,89.293,64.691,46.854,32.517,68.060,33.238,20.306,24.766,34.077,58.150,45.382,36.224,130.164,59.009,36.799,30.946,82.250,16.712,37.718,66.898,27.210,18.209,32.773,27.265,16.949,24.077,14.189,21.282,15.091,13.972
317,25.593,17.478,24.279,14.261,15.829,13.851,89.042,65.005,46.822,32.543,67.963,32.974,20.329,24.987,33.821,57.985,45.403,36.107,130.705,59.227,36.500,30.433,81.744,16.652,37.649,66.373,27.210,18.235,32.770,27.224,16.891,23.751,14.101,21.220,14.829,14.078
318,25.666,17.433,24.371,14.267,15.939,13.826,89.277,64.914,46.675,32.277,67.671,32.923,19.951,24.818,33.884,58.124,45.266,36.418,130.146,59.047,36.501,30.792,82.272,16.811,37.479,66.662,27.484,18.269,33.049,27.253,16.933,23.879,14.131,21.303,15.022,14.044
319,25.925,17.466,24.270,14.465,15.775,13.853,89.007,64.789,46.674,32.283,67.865,33.242,20.226,24.818,33.872,57.882,45.350,36.350,129.959,59.275,36.354,30.987,81.628,16.714,37.534,66.648,26.898,18.140,32.914,27.241,16.888,23.837,14.153,21.158,15.053,14.025
320,25.860,17.391,24.257,14.198,16.000,13.945,88.698,64.655,46.646,32.362,68.050,32.967,20.103,24.722,33.580,57.972,45.490,36.347,130.059,58.863,36.201,30.635,82.220,16.808,37.774,66.847,27.624,18.344,32.850,27.169,16.906,24.051,14.141,21.141,14.983,14.074
321,25.745,17.521,24.252,14.302,15.905,13.851,89.122,64.471,46.788,32.092,67.474,33.270,20.194,24.670,33.841,57.991,45.333,35.919,130.346,58.521,36.093,30.885,83.012,16.761,37.692,66.264,26.904,18.295,32.759,27.319,16.896,23.586,13.989,21.231,15.038,13.897
322,25.537,17.593,24.221,14.211,15.895,13.807,88.809,64.492,46.553,32.177,68.354,33.265,20.167,24.628,33.522,57.624,45.300,35.822,130.327,59.033,35.837,30.782,82.234,16.747,37.667,65.576,27.255,18.361,32.591,27.325,16.790,23.590,14.138,21.202,15.014,14.023
323,25.953,17.492,24.414,14.263,15.964,13.853,88.897,64.354,46.471,32.065,67.734,32.912,19.883,24.661,33.580,57.836,45.060,35.993,130.012,59.289,35.677,31.163,82.343,16.786,37.566,65.535,27.675,18.110,33.156,27.327,16.943,23.793,14.113,21.229,14.803,14.018
