 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28
759,19.830,18.099,17.760,20.160,22.408,19.227,21.053,20.368,21.657,20.322,20.304,21.814,23.395,20.901,21.291,23.513,19.613,20.595,21.768,19.638,19.180,20.348,19.688,19.453,18.667,17.763,17.814,18.630
760,19.767,18.036,17.611,20.414,22.437,19.288,21.252,20.242,21.527,20.239,20.339,21.804,23.387,20.729,21.450,23.533,19.414,20.684,21.788,19.660,19.410,20.161,19.508,19.426,18.737,17.784,17.749,18.618
761,19.708,18.154,17.665,20.285,22.275,19.245,21.124,20.266,21.830,20.047,20.295,21.908,23.132,20.873,21.353,23.451,19.437,20.628,21.658,19.685,19.452,20.105,19.469,19.491,18.790,17.832,17.850,18.654
762,19.668,18.055,17.605,20.293,22.487,19.217,21.225,20.255,21.868,20.125,20.218,21.777,23.071,20.951,21.326,23.452,19.499,20.684,21.844,19.621,19.202,20.068,19.546,19.450,18.706,17.809,17.712,18.651
763,19.761,18.068,17.660,20.195,22.225,19.316,21.072,20.237,21.726,19.958,20.292,21.715,23.058,20.915,21.347,23.506,19.439,20.601,21.591,19.652,19.267,20.159,19.588,19.364,18.832,17.742,17.745,18.705
764,19.503,18.107,17.723,20.221,22.456,19.395,21.116,20.387,21.608,20.005,20.198,21.837,23.011,20.954,21.039,23.450,19.469,20.686,21.620,19.600,19.298,20.196,19.583,19.433,18.746,17.837,17.623,18.645
765,19.455,18.063,17.662,20.248,22.456,19.303,21.266,20.322,21.678,20.092,20.351,21.755,22.964,20.854,21.219,23.417,19.465,20.584,21.653,19.652,19.373,19.997,19.532,19.536,18.766,17.757,17.628,18.718
766,19.361,18.123,17.723,20.191,22.259,19.257,21.180,20.285,21.731,19.960,20.333,21.713,23.011,20.843,21.209,23.467,19.423,20.622,21.823,19.700,19.358,20.156,19.558,19.260,18.664,17.771,17.683,18.542
767,19.428,18.037,17.768,20.245,22.465,19.203,21.217,20.074,21.699,19.900,20.590,21.676,22.870,20.890,21.287,23.360,19.437,20.490,21.749,19.529,19.311,20.107,19.494,19.413,18.628,17.763,17.501,18.538
768,19.388,18.018,17.698,20.321,22.408,19.290,21.001,20.200,21.739,19.858,20.280,21.640,22.957,20.958,21.415,23.396,19.595,20.720,21.625,19.694,19.169,20.075,19.581,19.382,18.755,17.732,17.605,18.566
769,19.357,17.978,17.671,20.176,22.348,19.120,21.256,20.329,21.672,19.741,20.221,21.803,23.002,20.805,21.353,23.299,19.469,20.482,21.763,19.567,19.222,20.044,19.614,19.358,18.681,17.812,17.660,18.621
770,19.267,18.103,17.714,20.260,22.601,19.219,21.025,20.379,21.697,19.646,20.198,21.877,22.897,20.857,21.231,23.394,19.394,20.580,21.759,19.669,19.154,20.159,19.602,19.434,18.711,17.831,17.682,18.664
771,19.381,18.045,17.698,20.085,22.139,19.292,21.121,20.286,21.697,19.850,20.301,21.839,23.077,20.813,21.329,23.481,19.606,20.822,21.598,19.723,19.344,20.073,19.635,19.502,18.740,17.826,17.618,18.667
772,19.267,18.036,17.721,20.146,22.291,19.278,21.125,20.432,21.839,19.768,20.327,21.777,23.147,20.866,21.184,23.671,19.405,20.660,21.770,19.667,19.284,20.248,19.693,19.406,18.767,17.838,17.629,18.682
773,19.184,18.117,17.733,20.230,22.373,19.336,21.070,20.363,21.560,19.691,20.398,21.795,23.000,20.928,21.198,23.457,19.432,20.694,21.707,19.823,19.192,20.323,19.623,19.493,18.706,17.790,17.524,18.766
774,19.346,18.090,17.638,20.303,22.427,19.292,21.078,20.332,21.815,19.678,20.324,21.808,23.126,20.961,21.343,23.677,19.588,20.645,21.817,19.710,19.337,20.247,19.728,19.474,18.740,17.784,17.651,18.683
775,19.389,18.171,17.756,20.278,22.642,19.336,21.059,20.230,21.840,19.636,20.307,21.899,22.947,20.905,21.411,23.507,19.609,20.645,21.735,19.598,19.318,20.241,19.602,19.449,18.704,17.810,17.577,18.594
776,19.295,18.187,17.801,20.314,22.237,19.301,21.175,20.384,21.805,19.599,20.528,21.791,23.192,20.857,21.452,23.703,19.579,20.767,21.742,19.571,19.325,20.123,19.695,19.437,18.812,17.861,17.493,18.675
777,19.257,18.080,17.679,20.384,22.415,19.336,21.186,20.242,21.668,19.781,20.316,21.881,23.085,20.890,21.291,23.613,19.471,20.650,21.790,19.785,19.380,20.161,19.700,19.400,18.676,17.808,17.570,18.721
778,19.267,18.198,17.704,20.364,22.684,19.399,21.167,20.365,21.826,19.641,20.375,21.786,23.207,21.102,21.407,23.600,19.510,20.688,21.870,19.835,19.403,20.239,19.716,19.418,18.737,17.788,17.592,18.669
779,19.320,18.162,17.689,20.323,22.627,19.414,21.097,20.445,21.858,19.526,20.534,21.775,23.184,21.068,21.289,23.511,19.787,20.682,21.853,19.677,19.393,20.200,19.709,19.510,18.786,17.762,17.596,18.654
