 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28
1,18.851,18.517,18.352,21.188,23.253,20.382,22.850,22.305,23.185,22.516,22.006,23.324,24.748,21.882,22.882,25.284,19.856,21.270,22.890,21.277,20.724,21.621,20.939,20.838,20.109,18.260,17.766,19.395
2,19.163,18.894,18.495,21.839,24.000,20.840,23.163,22.602,23.843,22.771,22.422,23.963,25.301,22.058,23.841,26.211,20.181,21.796,23.417,21.927,21.284,22.084,21.529,21.153,20.391,18.411,18.212,19.531
3,19.111,18.826,18.371,21.607,24.120,20.898,23.158,22.418,23.852,22.611,22.684,24.016,25.350,22.241,23.492,25.998,20.190,21.603,23.351,21.823,21.382,22.244,21.569,20.985,20.411,18.526,18.162,19.525
4,19.123,18.891,18.323,21.797,24.136,20.900,23.053,22.428,23.758,22.431,22.413,23.900,25.335,21.909,23.733,25.988,20.263,21.594,23.279,21.663,21.122,22.115,21.366,21.183,20.497,18.437,18.264,19.489
5,19.048,18.829,18.487,21.611,23.984,20.672,22.972,22.484,23.702,22.289,22.596,23.808,25.201,22.202,23.864,25.833,20.069,21.575,23.338,21.767,21.044,22.093,21.494,21.103,20.357,18.505,18.241,19.524
6,19.024,18.807,18.234,21.672,24.190,20.684,23.096,22.272,23.704,22.339,22.363,23.879,25.201,21.976,23.643,25.817,20.204,21.726,23.243,21.775,21.211,22.195,21.454,21.155,20.405,18.427,18.188,19.511
7,19.105,18.811,18.335,21.632,23.949,20.575,22.924,22.453,23.736,22.354,22.351,23.800,25.028,22.022,23.711,26.010,20.110,21.427,23.242,21.802,21.246,22.064,21.312,21.158,20.347,18.391,18.115,19.583
8,19.036,18.717,18.306,21.651,24.089,20.870,22.920,22.330,23.729,21.918,22.336,23.800,24.936,22.035,23.393,25.985,20.146,21.505,23.234,21.729,21.124,22.055,21.323,21.125,20.393,18.418,18.095,19.488
9,19.011,18.826,18.414,21.709,23.813,20.692,22.888,22.362,23.672,21.998,22.431,23.650,24.876,22.072,23.558,25.826,19.975,21.565,23.099,21.550,21.079,22.162,21.321,21.061,20.368,18.339,18.144,19.542
10,19.004,18.768,18.273,21.582,23.886,20.700,22.951,22.110,23.799,22.142,22.212,23.864,25.113,21.993,23.638,25.823,20.080,21.726,23.175,21.700,21.169,21.962,21.311,21.033,20.447,18.425,18.070,19.456
11,19.027,18.721,18.352,21.602,23.880,20.621,22.853,22.296,23.513,22.012,22.546,23.847,24.667,21.866,23.448,25.923,20.167,21.565,23.081,21.725,21.293,21.980,21.180,21.085,20.384,18.465,18.252,19.487
12,18.981,18.774,18.441,21.601,23.810,20.629,22.890,22.146,23.332,21.910,22.319,23.761,24.994,21.918,23.465,25.711,19.945,21.457,23.245,21.644,21.180,22.001,21.180,21.004,20.305,18.345,18.218,19.488
13,18.973,18.732,18.435,21.552,23.972,20.600,22.901,22.296,23.567,22.354,22.351,23.744,24.797,21.960,23.500,25.892,20.023,21.524,23.006,21.523,21.094,22.122,21.019,21.059,20.309,18.368,18.145,19.493
14,19.127,18.764,18.342,21.641,23.816,20.575,22.940,22.250,23.413,22.142,22.053,23.740,24.923,21.984,23.564,25.570,20.233,21.474,23.237,21.798,21.112,21.950,21.112,20.985,20.448,18.371,18.157,19.434
15,18.981,18.690,18.377,21.602,23.715,20.636,22.936,22.255,23.433,22.237,22.301,23.604,24.912,21.888,23.492,25.622,19.968,21.505,23.164,21.725,21.030,21.942,21.194,21.090,20.447,18.322,18.164,19.495
