 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35
1,24.239,25.658,35.060,44.665,37.870,40.375,28.280,31.870,21.220,40.975,20.946,21.748,23.799,30.964,28.722,23.178,25.893,28.538,22.609,20.294,21.760,21.088,24.403,23.753,26.071,27.315,19.302,23.716,24.669,26.560,25.363,21.006,19.611,19.426,19.164
2,24.793,26.518,35.930,44.493,39.158,42.367,29.328,33.117,21.860,41.859,21.349,22.096,24.466,31.849,29.432,23.931,26.464,28.936,22.843,20.750,22.167,21.450,25.147,24.577,26.815,27.927,19.774,24.480,25.617,27.528,25.855,20.965,20.024,19.621,19.303
3,24.734,26.432,35.651,43.459,39.662,41.996,29.425,33.286,21.914,41.672,21.236,22.736,24.531,31.735,29.128,23.984,26.674,28.947,22.666,20.668,22.135,21.465,24.870,24.511,26.828,28.442,19.662,24.683,25.577,27.541,25.892,21.057,19.796,19.606,19.275
4,24.764,26.596,35.843,45.833,39.669,42.183,29.418,33.216,21.766,41.448,21.188,22.992,24.408,31.611,29.542,23.842,26.340,28.713,22.900,20.662,22.242,21.480,24.919,24.420,26.830,28.448,19.750,24.406,25.459,27.409,25.696,21.073,19.928,19.735,19.403
5,24.807,26.471,35.733,47.067,39.491,42.287,29.324,33.000,21.901,41.396,21.034,22.333,24.391,31.761,29.423,23.740,26.306,29.025,23.027,20.646,22.087,21.335,24.690,24.507,26.682,28.324,19.600,24.524,25.535,27.535,25.863,20.898,19.879,19.571,19.364
6,24.830,26.473,35.742,45.450,39.583,42.113,29.422,33.046,21.885,41.141,20.946,22.291,24.470,31.659,29.455,23.871,26.474,28.821,22.913,20.684,22.228,21.373,24.776,24.410,26.848,27.644,19.614,24.343,25.669,27.593,25.750,21.059,19.960,19.574,19.347
7,24.763,26.405,35.961,44.400,39.416,42.143,29.321,33.175,21.841,41.075,21.115,22.335,24.437,31.652,29.549,23.828,26.366,28.957,22.886,20.693,22.264,21.461,24.774,24.412,26.968,28.777,19.567,24.708,25.347,27.190,25.804,21.063,19.971,19.824,19.389
8,24.825,26.447,35.860,45.887,39.493,41.921,29.404,33.126,21.767,40.712,20.931,22.663,24.539,31.712,29.463,24.003,26.562,29.103,22.742,20.529,22.093,21.484,24.840,24.501,26.986,28.526,19.543,24.387,25.530,27.401,25.806,20.959,19.845,19.606,19.253
9,24.723,26.334,35.548,47.624,39.547,42.176,29.276,33.154,21.858,40.532,20.708,22.563,24.390,31.492,28.886,23.831,26.371,28.799,22.893,20.685,22.122,21.378,24.853,24.412,26.714,28.069,19.526,24.280,25.691,27.473,25.576,20.922,20.029,19.659,19.406
10,24.694,26.483,35.579,45.933,39.540,42.219,29.660,32.975,21.907,40.546,20.870,22.059,24.417,31.454,29.206,23.708,26.284,28.823,22.839,20.697,22.072,21.423,24.867,24.487,26.700,27.820,19.562,24.517,25.494,27.527,25.696,21.053,19.847,19.568,19.169
11,24.608,26.386,35.481,44.289,39.511,42.037,29.290,33.145,21.805,40.534,20.686,22.132,24.316,31.317,29.264,23.925,26.306,28.899,23.013,20.638,22.056,21.452,24.806,24.457,26.766,28.184,19.662,24.535,25.418,27.291,25.596,21.071,19.917,19.603,19.547
