 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35
1,23.393,25.043,32.593,42.980,39.633,38.053,26.820,29.983,20.592,39.005,20.270,21.864,22.945,27.846,26.925,22.086,24.050,25.825,24.224,19.777,20.750,20.511,23.310,22.721,24.833,25.436,18.824,22.867,24.275,23.832,22.642,20.022,20.182,18.750,18.600
2,23.405,24.977,32.486,46.880,38.201,38.212,27.004,30.023,20.554,38.502,19.874,22.474,22.913,27.705,27.007,22.135,23.890,25.741,23.344,19.631,20.776,20.532,23.572,22.866,24.822,25.062,18.948,22.661,23.803,23.888,22.498,19.871,19.780,18.647,18.667
3,23.333,24.915,32.564,45.461,37.375,37.865,26.638,30.002,20.521,38.083,19.850,21.780,22.982,27.988,27.157,22.077,23.784,25.526,22.445,19.671,20.821,20.483,23.496,22.846,24.539,24.775,18.874,22.852,23.492,23.783,22.738,19.945,19.582,18.659,18.464
4,23.348,24.894,32.186,43.389,36.756,37.777,26.749,29.874,20.582,37.586,19.645,21.646,22.932,27.966,26.871,22.188,23.767,25.302,22.013,19.653,20.865,20.571,23.440,22.812,24.713,25.249,18.829,22.494,23.474,23.859,22.402,19.967,19.472,18.800,18.481
5,23.334,24.808,32.566,43.215,36.451,37.806,26.833,30.006,20.458,37.165,19.689,21.652,23.120,27.976,26.876,22.057,23.839,25.561,21.726,19.706,20.753,20.552,23.636,22.869,24.716,25.363,18.864,22.476,23.463,23.793,22.363,19.937,19.394,18.762,18.486
6,23.272,24.805,32.529,46.154,36.424,38.188,26.691,30.065,20.559,37.093,19.610,21.980,22.980,27.910,26.788,22.100,23.651,25.450,21.625,19.752,20.920,20.510,23.479,22.751,24.848,24.873,18.786,22.579,23.532,23.748,22.314,19.914,19.515,18.782,18.453
7,23.294,24.828,32.473,44.446,36.443,37.735,26.510,29.886,20.561,36.894,19.537,21.557,23.027,27.720,26.722,21.992,23.654,25.326,21.435,19.675,20.913,20.521,23.545,22.635,24.681,24.734,18.879,22.672,23.152,23.748,22.532,19.998,19.534,18.647,18.447
8,23.177,24.862,32.492,42.404,36.179,37.945,26.739,29.918,20.443,36.872,19.504,21.246,22.975,27.882,26.713,22.081,23.694,25.423,21.495,19.707,20.745,20.489,23.415,22.890,24.726,25.506,18.724,22.513,23.336,23.837,22.380,19.982,19.383,18.732,18.467
9,23.367,24.830,32.657,44.980,36.365,37.910,26.538,29.879,20.567,36.794,19.473,21.476,23.058,27.742,26.740,22.064,23.745,25.361,21.528,19.630,20.856,20.550,23.410,22.785,24.673,25.060,18.998,22.391,23.342,23.773,22.627,20.141,19.424,18.603,18.450
10,23.314,24.793,32.339,45.687,36.252,37.808,26.814,29.843,20.644,36.785,19.474,21.959,22.963,27.843,26.552,22.067,23.896,25.493,21.592,19.687,20.670,20.470,23.565,22.869,24.669,24.704,18.802,22.535,23.490,23.819,22.461,19.935,19.488,18.721,18.506
11,23.236,24.646,32.455,43.652,36.135,37.920,26.827,29.938,20.568,36.596,19.778,21.854,22.887,27.882,26.580,22.185,23.772,25.511,21.502,19.693,20.803,20.525,23.455,22.668,24.708,25.062,18.831,22.568,23.566,23.856,22.525,19.835,20.021,18.718,18.558
12,23.419,24.788,32.589,42.389,36.224,37.779,26.709,29.930,20.540,36.526,19.655,21.596,22.984,27.972,26.708,22.104,23.801,25.144,21.298,19.625,20.716,20.529,23.602,22.687,24.648,25.378,19.074,22.428,23.260,23.853,22.402,19.922,19.507,18.771,18.492
13,23.411,24.755,32.574,44.583,36.163,37.832,26.717,29.967,20.533,36.531,19.591,22.169,22.999,27.648,26.476,22.035,23.622,25.419,21.475,19.661,20.771,20.559,23.509,22.793,24.504,25.086,18.836,22.262,23.315,23.712,22.414,19.955,19.769,18.718,18.553
14,23.407,24.771,32.494,45.189,36.251,37.750,26.552,29.837,20.479,36.712,19.404,21.728,22.863,27.920,26.448,22.000,23.760,25.509,21.428,19.594,20.700,20.550,23.462,22.739,24.658,24.697,18.745,22.402,23.380,23.860,22.512,19.935,19.614,18.803,18.600
15,23.352,24.783,32.366,43.296,36.145,37.556,26.891,30.051,20.574,36.559,19.493,21.555,22.830,27.888,26.435,22.114,23.869,25.489,21.528,19.702,20.851,20.483,23.695,22.765,24.706,25.058,18.798,22.480,23.289,23.776,22.525,19.947,19.520,18.718,18.492
16,23.384,24.853,32.457,41.602,36.345,37.623,26.951,29.877,20.465,36.306,19.539,21.193,22.986,27.723,26.540,21.973,23.764,25.647,21.595,19.682,20.729,20.543,23.491,22.785,24.636,25.391,18.810,22.450,23.197,23.824,22.510,19.992,19.458,18.803,18.508
17,23.257,24.796,32.316,45.100,36.264,37.698,26.746,29.943,20.466,36.339,19.566,21.719,23.008,27.936,26.727,22.091,23.832,25.495,21.492,19.647,20.885,20.624,23.455,22.718,24.883,24.891,18.871,22.421,23.506,23.663,22.542,19.900,19.424,18.647,18.628
18,23.345,24.779,32.496,44.943,36.121,37.601,26.872,29.845,20.527,36.501,19.393,21.770,22.902,27.863,26.710,22.102,23.949,25.390,21.585,19.701,20.816,20.574,23.474,22.747,24.804,24.442,19.012,22.576,23.237,23.938,22.615,20.051,19.260,18.888,18.489
19,23.335,24.711,32.275,43.296,36.238,37.824,26.770,30.126,20.441,36.280,19.495,21.388,22.987,27.821,26.848,22.025,23.737,25.507,21.542,19.593,20.772,20.426,23.432,22.727,24.762,25.185,18.852,22.524,23.257,23.740,22.331,19.888,19.504,18.894,18.639
20,23.336,24.759,32.244,43.685,36.318,37.525,26.675,29.899,20.464,36.136,19.436,21.254,22.848,27.729,26.743,22.070,23.661,25.731,21.599,19.689,20.750,20.501,23.354,22.806,24.579,25.146,18.907,22.465,23.456,23.791,22.397,19.951,19.367,18.632,18.644
21,23.378,24.836,32.554,46.063,36.209,37.839,26.709,29.998,20.480,36.356,19.388,21.543,22.980,28.041,26.414,22.079,23.767,25.647,21.341,19.714,20.899,20.497,23.484,22.797,24.520,24.764,18.952,22.517,23.391,23.908,22.510,20.002,19.464,18.621,18.522
22,23.352,24.771,32.190,44.259,36.030,37.470,26.612,30.084,20.458,36.396,19.512,21.736,22.973,27.804,26.983,22.023,23.720,25.600,21.314,19.702,20.638,20.499,23.494,22.785,24.864,24.476,18.919,22.384,23.459,23.773,22.407,19.900,19.507,18.721,18.475
23,23.424,24.724,32.246,42.333,36.245,37.479,26.631,29.975,20.525,36.627,19.518,21.451,22.946,27.806,27.009,22.084,23.737,25.485,21.401,19.603,20.696,20.423,23.572,22.797,24.690,25.487,18.817,22.631,23.371,23.809,22.368,19.914,19.448,18.712,18.547
24,23.412,24.799,32.475,45.507,36.304,37.300,26.687,29.927,20.427,36.183,19.381,21.075,22.971,27.959,26.766,21.991,23.784,25.441,21.599,19.741,20.784,20.439,23.337,22.667,24.827,25.127,18.910,22.450,23.376,23.919,22.664,19.963,19.373,18.662,18.661
25,23.256,24.746,32.343,45.774,36.219,37.744,26.586,29.972,20.526,36.241,19.550,21.642,22.975,28.050,26.612,22.086,23.743,25.359,21.635,19.647,20.720,20.456,23.541,22.691,24.626,24.822,18.950,22.391,23.383,23.801,22.480,19.959,19.576,18.788,18.586
26,23.317,24.849,32.233,43.450,36.198,37.707,26.645,29.843,20.512,36.569,19.501,21.770,22.992,27.809,26.462,22.118,23.717,25.269,21.441,19.711,20.758,20.628,23.356,22.836,24.814,24.322,18.819,22.616,23.215,23.724,22.400,19.908,19.378,18.800,18.453
27,23.314,24.824,32.455,44.565,36.258,37.786,26.611,29.925,20.529,36.309,19.508,21.506,22.813,27.912,26.507,22.136,23.607,25.228,21.726,19.669,20.901,20.579,23.381,22.844,24.539,25.491,18.812,22.590,23.369,23.722,22.471,19.833,19.485,18.629,18.564
28,23.320,24.762,32.467,45.922,36.182,37.651,26.727,29.939,20.473,36.388,19.413,21.209,22.909,27.714,27.005,22.040,23.646,25.686,21.548,19.679,20.848,20.506,23.612,22.719,24.697,25.225,18.786,22.443,23.342,23.742,22.527,19.951,19.399,18.679,18.503
29,23.332,24.666,32.535,44.350,36.085,37.931,26.745,29.971,20.516,36.240,19.447,21.659,22.927,27.893,26.900,22.125,23.673,25.333,21.532,19.564,20.891,20.664,23.415,22.763,24.642,24.845,18.952,22.354,23.430,23.812,22.554,19.943,19.560,18.853,18.483
30,23.340,24.669,32.419,42.339,36.209,37.801,26.725,30.013,20.503,36.329,19.453,21.776,22.926,28.068,26.927,22.051,23.768,25.337,21.465,19.670,20.801,20.474,23.246,22.800,24.669,24.772,18.948,22.428,23.219,23.760,22.466,19.951,19.169,18.806,18.375
31,23.370,24.896,32.306,45.415,36.100,37.803,26.572,29.685,20.559,36.165,19.445,21.478,22.995,28.016,26.717,22.103,23.945,25.324,21.385,19.744,20.829,20.422,23.292,22.870,24.709,25.560,18.948,22.255,23.197,23.830,22.426,20.055,19.386,18.785,18.594
32,23.319,24.662,32.269,45.452,36.186,37.792,26.766,30.133,20.494,35.967,19.477,21.093,22.929,27.773,26.636,22.042,23.781,25.386,21.625,19.650,20.724,20.556,23.543,22.839,24.584,24.974,18.919,22.454,23.532,23.771,22.431,19.998,19.501,18.682,18.625
