 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
1,27.350,25.674,20.997,19.932,23.977,21.742,21.212,21.210,23.923,21.789,20.329,21.124,20.488,25.457,20.015,19.026,20.194,19.626,19.734,21.329,21.294,20.507,17.896
2,26.927,26.052,20.625,19.889,23.783,21.208,20.878,20.952,23.642,21.640,20.263,21.095,20.353,24.341,20.112,18.935,20.287,19.640,19.818,21.176,21.196,20.340,18.021
3,26.522,25.360,20.175,19.670,23.183,20.939,20.905,20.658,23.112,21.305,19.822,20.918,20.182,23.864,20.082,18.792,19.857,19.672,19.770,20.880,20.794,20.168,17.997
4,26.069,26.231,19.901,19.617,22.814,20.688,20.780,20.610,22.707,21.027,19.473,20.750,19.983,23.736,20.129,18.857,20.000,19.556,19.655,20.533,20.552,20.229,17.595
5,25.960,25.576,19.897,19.337,22.741,20.581,20.872,20.490,22.809,20.878,19.298,20.971,19.808,23.003,20.111,18.925,20.008,19.654,19.815,20.491,20.426,20.118,17.782
6,26.118,25.269,19.738,19.332,22.523,20.350,20.886,20.421,22.518,20.834,19.368,20.775,19.893,22.985,20.328,18.929,20.181,19.654,19.819,20.439,20.431,20.167,17.737
7,25.589,24.912,19.670,19.279,22.389,20.162,20.420,20.201,22.653,20.692,19.127,21.027,19.787,22.730,20.256,18.909,20.072,19.659,19.823,20.341,20.341,20.076,17.505
8,25.532,25.039,19.586,19.167,21.997,20.195,20.367,20.216,22.391,20.409,19.149,20.964,19.732,22.585,20.237,18.929,20.097,19.514,19.896,20.265,20.209,19.962,17.651
9,25.513,24.914,19.472,19.327,21.802,20.085,20.345,19.988,22.459,20.283,19.063,20.872,19.626,22.641,20.111,18.984,20.105,19.565,19.881,20.128,20.116,19.907,17.602
10,25.289,24.841,19.385,19.197,21.493,19.910,19.989,19.966,22.343,20.365,19.071,20.945,19.680,22.564,20.199,18.951,20.032,19.546,19.772,20.115,20.124,20.158,17.536
11,25.437,25.498,19.498,19.287,21.510,19.655,20.067,19.804,22.314,20.186,19.090,20.977,19.389,22.573,20.253,18.896,20.146,19.618,19.791,20.000,19.977,19.786,17.637
12,25.163,25.419,19.501,19.099,21.377,19.677,20.201,19.834,22.056,19.958,19.022,21.006,19.486,22.365,20.135,18.792,20.116,19.510,19.858,20.095,20.096,19.850,17.554
13,25.215,25.372,19.352,19.124,21.220,19.592,20.070,19.797,21.904,20.112,19.046,20.794,19.431,22.246,20.337,18.692,20.030,19.573,19.831,20.107,20.113,19.839,17.595
14,25.374,26.209,19.166,19.138,21.207,19.588,20.055,19.704,21.696,19.973,18.846,21.010,19.393,22.009,20.141,18.792,20.188,19.600,19.834,20.181,20.108,19.828,17.374
15,25.191,26.744,19.253,19.090,21.080,19.650,19.793,19.906,21.713,19.739,18.941,20.926,19.417,22.205,20.213,18.756,20.146,19.662,19.747,20.129,20.112,19.837,17.215
16,25.227,26.677,19.342,18.954,20.955,19.361,19.694,19.774,21.757,19.608,18.993,21.038,19.306,22.338,20.235,18.883,20.063,19.529,19.777,20.159,20.152,19.789,17.346
17,25.064,26.838,19.142,19.122,21.042,19.532,19.710,19.806,21.636,19.613,19.012,20.824,19.329,22.386,20.082,18.545,20.228,19.589,19.725,20.143,20.059,19.886,17.481
18,25.047,26.338,19.214,18.988,21.095,19.549,19.644,19.754,21.622,19.667,18.698,20.786,19.443,22.249,20.237,18.776,20.074,19.583,19.703,20.064,20.023,19.783,17.478
19,25.085,26.260,19.253,19.031,20.926,19.466,19.521,19.772,21.399,19.633,18.954,20.887,19.391,22.059,20.207,18.649,20.086,19.578,19.816,19.977,19.970,19.739,17.391
20,25.149,26.081,19.261,19.131,20.792,19.325,19.371,19.528,21.252,19.759,18.927,20.908,19.398,22.386,20.139,18.899,20.116,19.804,19.616,19.969,19.893,19.651,17.415
21,24.972,25.750,19.216,19.012,20.745,19.426,19.320,19.736,21.322,19.355,18.951,20.824,19.277,22.412,20.177,18.604,20.160,19.627,19.711,19.896,19.788,19.717,17.433
22,25.123,26.099,19.387,19.808,21.106,19.800,19.637,19.813,22.605,20.725,19.144,22.477,19.590,22.407,20.530,19.062,20.426,20.021,19.849,20.261,20.302,19.947,17.699
23,25.237,27.213,19.988,20.736,21.863,19.998,20.832,19.868,27.482,22.280,19.515,27.092,20.303,23.074,23.237,19.633,20.563,20.691,19.908,20.976,20.901,20.322,17.709
24,25.158,27.393,20.232,20.966,21.970,19.996,21.429,19.756,28.881,22.310,20.134,28.069,20.756,23.039,23.377,19.276,20.574,20.768,20.098,21.003,21.023,20.164,17.779
25,25.133,26.865,20.324,20.986,21.923,20.027,21.471,19.729,28.792,22.092,20.234,27.947,20.720,23.098,23.092,19.162,20.658,20.852,20.004,21.277,21.246,20.286,17.720
26,25.142,26.619,20.882,21.461,21.995,19.769,22.505,19.872,29.709,22.663,20.880,30.303,21.315,22.828,25.435,19.224,21.597,21.914,19.914,21.948,21.848,20.525,17.657
27,25.179,26.494,20.829,21.372,21.807,19.724,22.549,19.863,30.021,22.360,21.093,31.008,21.303,22.739,25.781,19.117,21.574,21.865,19.930,22.132,22.035,20.618,17.453
28,25.258,26.630,20.703,21.403,21.932,19.556,22.587,19.795,30.133,22.107,21.268,30.710,21.322,22.665,24.841,19.000,21.380,21.963,19.781,22.037,22.027,20.562,17.467
29,25.069,25.994,20.624,21.100,21.964,19.505,22.626,19.868,30.071,21.866,21.551,30.286,21.372,22.306,24.344,19.266,21.388,22.118,19.815,22.355,22.198,20.750,17.360
30,25.083,26.091,20.397,21.168,21.780,19.543,22.771,19.822,29.988,21.667,21.480,30.302,21.374,22.134,23.302,19.075,21.243,21.919,19.848,22.411,22.321,20.628,17.384
31,25.035,25.903,20.442,21.241,21.878,19.500,22.560,19.713,29.850,21.633,21.383,30.042,21.223,21.991,22.489,18.951,21.156,21.857,19.773,22.440,22.394,20.489,17.412
32,25.014,25.692,20.336,21.240,21.620,19.426,22.441,19.754,29.805,21.325,21.266,29.279,21.064,21.958,21.877,18.955,21.120,21.855,19.730,22.485,22.391,20.476,17.284
33,25.107,25.584,20.228,21.122,21.623,19.531,21.830,19.779,29.335,20.945,21.417,28.811,20.770,21.994,21.442,18.844,21.034,21.779,19.610,22.460,22.351,20.449,17.329
34,24.880,25.628,19.828,21.026,21.677,19.384,21.495,19.790,28.707,20.707,20.980,28.092,20.284,21.697,21.136,18.776,20.850,21.548,19.749,22.383,22.273,20.264,17.426
35,24.858,25.412,19.808,20.925,21.618,19.289,21.226,19.686,28.141,20.603,21.017,27.569,20.246,21.828,20.803,19.026,20.730,21.602,19.685,22.287,22.194,20.268,17.346
36,24.905,25.792,20.037,21.318,21.780,19.498,21.218,19.793,28.790,21.030,21.295,28.510,20.379,22.166,21.191,19.042,20.922,22.111,19.703,22.431,22.344,20.546,17.353
37,25.003,26.492,20.219,21.709,21.842,19.482,21.613,19.651,29.046,21.179,21.300,29.647,20.460,22.593,21.229,19.110,20.861,22.412,19.780,22.645,22.482,20.468,17.567
38,24.877,26.495,20.130,21.646,21.988,19.522,21.632,19.585,28.669,20.797,20.983,29.695,20.256,22.668,21.043,19.136,20.922,22.396,19.649,22.764,22.664,20.600,17.595
39,24.998,27.131,20.229,21.891,22.030,19.430,21.644,19.715,29.254,20.943,21.007,29.876,20.299,22.056,20.791,18.854,20.757,22.314,19.680,22.823,22.713,20.722,17.512
40,24.964,27.567,20.465,22.344,22.204,19.412,21.608,19.815,28.938,20.861,20.888,30.122,19.983,22.528,20.703,18.841,20.709,22.739,19.810,22.904,22.800,20.590,17.429
41,24.705,27.627,20.283,22.384,22.201,19.417,21.331,19.766,28.516,20.772,20.641,29.559,19.938,22.727,20.615,18.698,20.760,22.317,19.758,22.927,22.862,20.515,17.453
42,25.142,26.812,20.321,21.798,21.875,19.397,20.949,19.676,27.988,20.489,20.556,29.254,19.784,22.430,20.557,18.802,20.586,22.123,19.724,22.732,22.587,20.368,17.329
43,24.789,26.380,20.174,21.624,21.703,19.338,20.980,19.681,27.399,20.231,20.424,28.490,19.825,22.288,20.396,18.779,20.287,21.933,19.668,22.887,22.746,20.261,17.547
44,24.983,25.779,19.852,21.298,21.528,19.352,20.944,19.768,26.819,20.119,20.273,27.605,19.536,22.190,20.501,18.666,20.241,21.561,19.562,22.477,22.368,20.201,17.533
45,24.809,26.174,19.750,20.842,21.335,19.314,20.657,19.654,26.607,19.883,19.876,26.887,19.517,22.134,20.308,18.682,20.525,21.465,19.525,22.423,22.323,20.214,17.550
46,24.873,26.175,19.621,20.602,21.127,19.406,20.487,19.592,26.208,19.846,19.846,25.973,19.590,22.042,20.121,18.776,20.183,21.108,19.573,22.420,22.291,20.060,17.360
47,24.619,25.862,19.496,20.592,21.090,19.366,20.332,19.640,25.942,19.635,19.810,25.048,19.322,22.154,20.357,18.519,20.325,20.841,19.496,22.137,22.055,19.956,17.612
48,24.641,25.890,19.457,20.599,21.020,19.386,20.042,19.763,25.607,19.633,19.649,24.395,19.332,22.134,20.410,18.458,20.251,20.763,19.646,22.132,22.051,19.840,17.322
49,24.877,26.047,19.589,20.291,20.662,19.231,19.856,19.594,25.412,19.563,19.415,23.971,19.441,22.006,20.174,18.672,20.304,20.484,19.470,21.709,21.613,19.978,17.554
50,24.374,25.705,19.405,20.185,20.831,19.327,19.750,19.649,25.283,19.350,19.312,23.088,19.344,21.932,20.292,18.653,20.243,20.387,19.388,21.776,21.677,19.811,17.374
51,24.530,25.235,19.433,20.063,20.624,19.253,19.732,19.711,25.077,19.449,19.217,22.622,19.448,21.789,20.243,18.640,20.152,20.326,19.516,21.585,21.486,19.978,17.370
52,24.555,24.924,19.318,19.842,20.590,19.184,19.671,19.531,24.536,19.471,19.044,22.153,19.355,21.834,20.297,18.416,20.209,19.987,19.488,21.336,21.294,19.864,17.394
53,24.477,24.990,19.288,19.690,20.484,19.395,19.454,19.610,24.445,19.293,19.102,21.744,19.431,21.982,20.252,18.494,20.219,19.986,19.406,21.252,21.135,19.768,17.284
54,24.534,25.180,19.268,19.673,20.416,19.417,19.222,19.572,24.133,19.365,19.068,21.580,19.225,22.033,20.245,18.409,20.333,19.943,19.534,20.973,20.930,19.782,17.232
55,24.577,24.752,19.162,19.526,20.419,19.341,19.267,19.529,24.156,19.310,19.146,21.550,19.220,21.994,20.234,18.364,20.059,19.725,19.479,20.677,20.646,19.769,17.343
56,24.466,24.703,19.205,19.480,20.374,19.334,19.095,19.506,23.719,19.047,18.932,21.328,19.280,21.682,20.190,18.227,20.032,19.876,19.472,20.612,20.549,19.792,17.287
57,24.593,24.537,19.169,19.413,20.287,19.188,19.089,19.626,23.821,19.141,18.995,21.200,19.355,21.896,20.260,18.110,20.148,19.785,19.457,20.416,20.404,19.635,17.304
58,24.310,24.266,19.072,19.378,20.217,19.202,19.187,19.469,23.237,19.017,18.927,21.069,19.171,21.294,20.179,18.292,19.913,19.750,19.406,20.380,20.379,19.706,17.260
59,24.414,24.474,19.180,19.250,20.229,19.390,19.092,19.561,23.385,19.139,19.017,20.927,19.090,21.665,20.137,18.224,19.943,19.755,19.429,20.124,20.089,19.558,17.367
60,24.321,24.403,19.186,19.250,20.306,19.209,18.886,19.742,23.403,19.050,18.734,21.111,19.393,21.828,20.225,18.201,20.190,19.503,19.305,20.073,20.101,19.656,17.208
61,24.137,23.911,19.358,19.296,20.128,19.574,18.852,19.499,23.127,19.069,18.951,20.985,19.415,21.546,20.239,18.328,19.949,19.761,19.285,19.953,19.934,19.692,17.166
62,24.471,23.888,19.261,19.138,20.103,19.310,19.070,19.340,22.946,19.112,18.993,20.868,19.291,21.335,20.107,18.058,20.074,19.564,19.274,19.941,19.949,19.715,17.298
63,24.189,23.468,19.202,19.141,20.226,19.366,18.842,19.620,22.709,18.998,18.890,20.914,19.185,21.320,20.155,18.205,20.021,19.583,19.276,19.853,19.854,19.581,17.194
64,24.402,23.560,19.069,18.998,20.140,19.213,18.755,19.529,23.106,19.032,19.032,21.019,19.273,21.656,20.253,18.266,20.209,19.607,19.260,19.905,19.858,19.690,17.218
65,24.412,23.498,19.214,19.043,20.166,19.404,18.827,19.478,22.667,18.948,18.937,20.929,19.185,21.507,20.139,18.185,20.036,19.543,19.181,19.801,19.794,19.614,17.180
66,24.159,23.196,19.165,19.163,20.078,19.164,18.786,19.419,22.551,18.975,18.861,20.855,19.327,21.433,20.252,18.039,19.998,19.565,19.306,19.699,19.682,19.615,17.194
67,24.534,23.131,19.228,19.015,20.044,19.280,18.721,19.519,22.389,18.963,18.812,20.861,19.182,21.608,20.146,18.146,19.994,19.381,19.185,19.724,19.746,19.615,17.256
68,24.149,22.976,19.162,19.066,19.994,19.224,18.813,19.542,22.108,19.060,18.802,20.721,19.173,21.353,20.243,18.192,20.046,19.610,19.263,19.520,19.491,19.615,17.215
69,24.189,22.812,19.199,19.061,20.075,19.412,18.657,19.601,21.975,18.893,18.754,20.897,19.180,21.629,20.187,18.227,20.089,19.452,19.132,19.580,19.518,19.582,17.298
70,24.184,22.670,19.235,18.944,19.953,19.177,18.758,19.499,22.260,18.772,18.983,20.767,19.199,21.380,20.009,18.192,20.067,19.373,19.143,19.629,19.595,19.493,16.997
71,24.130,22.528,19.280,19.010,19.949,19.211,18.727,19.433,22.004,18.923,19.061,20.740,19.178,21.463,20.028,18.097,20.013,19.481,19.222,19.688,19.695,19.633,17.035
72,24.217,22.562,19.202,18.891,19.843,19.271,18.560,19.474,21.913,18.928,18.883,20.758,19.190,21.398,20.036,18.091,19.990,19.471,19.143,19.601,19.629,19.417,17.190
73,24.080,22.479,19.069,18.881,20.103,19.264,18.683,19.624,21.871,18.789,18.868,20.718,19.180,21.415,20.036,18.140,20.059,19.473,19.196,19.679,19.667,19.539,17.225
74,24.347,22.425,19.042,18.993,19.855,19.238,18.693,19.369,21.696,18.931,18.917,20.731,19.140,21.415,20.111,18.208,19.724,19.463,19.102,19.496,19.520,19.444,17.201
75,24.191,22.247,19.094,19.150,20.039,19.213,18.638,19.460,21.661,18.988,18.885,20.832,19.254,21.418,20.198,18.224,19.996,19.455,19.186,19.493,19.503,19.579,17.097
76,25.324,25.149,19.747,19.617,21.062,21.191,18.824,20.267,22.911,20.228,18.983,21.406,19.355,22.377,20.243,18.854,19.918,19.443,19.634,19.803,19.835,19.778,17.869
77,26.002,27.023,20.430,20.141,22.342,22.626,18.805,20.834,24.817,21.620,18.902,21.697,19.502,24.522,20.218,19.185,20.023,19.559,20.136,19.820,19.741,19.668,18.090
78,26.416,27.594,21.213,20.740,22.925,23.477,19.045,21.487,25.680,22.213,19.300,21.653,19.941,25.027,20.169,19.474,20.053,19.597,20.445,20.133,20.107,19.974,18.311
79,26.794,27.083,21.504,20.986,23.342,23.727,19.363,21.922,26.146,22.452,19.220,21.531,20.227,25.685,20.243,19.471,20.181,19.656,20.483,20.221,20.186,20.040,18.107
80,27.295,27.161,21.505,20.930,23.801,23.626,19.969,21.829,26.493,22.752,19.571,21.382,20.412,25.736,20.228,19.471,20.135,19.721,20.454,20.319,20.262,20.201,18.090
81,27.326,26.883,21.529,20.893,23.822,23.574,20.682,22.077,26.189,22.571,19.671,21.288,20.737,25.516,20.220,19.510,20.087,19.745,20.411,20.472,20.440,20.183,17.993
82,27.653,26.644,21.574,20.925,24.003,23.747,21.515,22.130,25.721,22.757,19.849,21.118,20.699,25.656,20.233,19.406,20.150,19.715,20.442,20.884,20.787,20.397,17.889
83,27.461,25.922,21.582,20.859,24.291,23.910,21.964,22.162,25.376,22.533,20.112,21.302,20.732,25.537,20.161,19.513,19.975,19.828,20.481,20.871,20.799,20.360,18.038
84,27.586,26.107,21.412,20.828,24.207,24.051,22.420,22.241,25.160,22.739,20.024,21.403,20.863,25.228,20.235,19.247,20.103,19.955,20.461,21.116,21.050,20.392,18.042
85,27.747,26.093,21.604,20.679,24.367,23.839,22.317,22.239,24.466,22.672,20.017,21.200,20.763,25.457,20.213,19.445,20.108,19.839,20.389,21.276,21.204,20.351,17.875
86,27.766,25.649,21.523,20.634,24.508,23.572,22.351,22.046,24.225,22.886,19.920,21.176,20.671,25.478,20.146,19.156,20.184,19.866,20.338,21.245,21.140,20.604,17.772
87,27.870,25.807,21.585,20.332,24.643,23.570,22.655,22.139,23.773,22.873,19.861,21.387,20.889,25.751,20.149,19.399,20.203,19.817,20.390,21.165,21.126,20.575,17.969
88,27.830,25.567,21.604,20.250,24.686,23.273,22.510,22.112,23.655,22.787,19.907,21.218,20.827,25.377,19.982,19.468,20.141,19.860,20.378,21.271,21.196,20.692,18.204
89,27.827,25.398,21.687,20.306,24.682,22.957,22.326,22.168,23.293,22.744,19.573,21.258,20.569,25.252,20.183,19.218,20.110,19.788,20.243,21.243,21.115,20.564,17.920
90,27.622,25.427,21.612,20.107,24.472,22.977,22.407,22.143,22.969,22.620,19.659,21.340,20.443,25.234,20.122,19.084,20.040,19.842,20.214,21.227,21.120,20.631,18.080
91,27.206,25.554,21.325,19.915,24.350,22.585,22.162,21.672,22.981,22.151,19.429,20.905,20.254,24.774,20.138,19.188,20.106,19.763,20.113,21.237,21.190,20.482,18.114
92,27.009,25.856,21.042,19.867,23.765,21.823,22.100,21.367,22.590,21.948,19.337,21.017,20.308,24.404,20.175,19.172,20.190,19.737,19.982,21.192,21.143,20.051,17.907
93,26.534,25.146,20.633,19.832,23.149,21.343,21.510,21.012,22.385,21.625,19.183,21.126,19.974,23.947,20.236,19.117,20.097,19.635,19.893,21.028,20.942,20.288,17.900
94,26.480,24.864,20.352,19.622,22.938,20.922,21.485,20.904,22.335,21.241,18.990,20.874,19.874,23.528,20.051,18.773,20.061,19.653,19.870,20.873,20.730,20.144,17.986
95,26.366,24.578,20.069,19.502,22.445,20.758,21.145,20.604,22.110,21.017,19.020,21.010,19.765,23.163,20.116,18.802,20.154,19.677,19.757,20.617,20.576,20.119,17.900
96,25.894,24.318,19.969,19.413,22.192,20.520,20.863,20.430,22.000,20.670,19.110,20.964,19.592,22.499,20.109,18.763,20.070,19.479,19.713,20.364,20.339,19.868,17.938
97,25.799,24.399,19.576,19.376,21.692,20.247,20.429,20.348,21.782,20.633,19.049,20.901,19.536,22.763,20.031,18.740,20.146,19.525,19.684,20.227,20.144,19.843,17.948
98,25.482,24.555,19.529,19.323,21.566,20.063,20.381,20.139,21.852,20.422,18.902,20.880,19.462,22.513,20.203,18.695,20.074,19.615,19.657,20.217,20.171,19.861,17.740
99,25.461,24.489,19.436,19.128,21.080,19.861,20.165,20.029,21.586,20.501,18.876,20.912,19.436,22.418,20.145,18.555,20.013,19.451,19.608,20.200,20.124,19.967,17.872
100,25.333,24.417,19.415,19.162,21.045,19.807,20.047,19.774,21.414,20.261,18.937,20.817,19.377,22.009,20.068,18.721,19.926,19.538,19.578,19.979,19.957,19.726,17.824
101,25.270,24.317,19.285,19.104,20.977,19.596,19.869,19.877,21.374,20.290,18.834,20.889,19.422,22.252,20.029,18.565,20.002,19.561,19.393,20.017,19.920,19.725,17.644
102,25.132,23.765,19.270,19.139,20.560,19.641,19.816,19.888,21.304,19.908,18.749,20.803,19.306,22.009,20.019,18.393,20.120,19.427,19.312,19.895,19.866,19.615,17.595
103,25.187,23.666,19.222,19.080,20.546,19.547,19.607,19.693,21.177,19.752,18.817,20.941,19.386,21.979,20.087,18.357,20.097,19.570,19.298,19.716,19.663,19.760,17.616
104,24.747,23.490,19.202,19.075,20.543,19.276,19.499,19.709,21.164,19.727,19.015,20.908,19.355,21.807,20.073,18.429,20.030,19.554,19.182,19.692,19.609,19.636,17.522
105,24.939,23.135,19.115,19.073,20.422,19.356,19.212,19.642,20.988,19.744,18.880,20.842,19.192,21.591,20.204,18.390,20.019,19.389,19.167,19.608,19.551,19.600,17.415
106,24.449,23.080,19.085,18.883,20.207,19.395,19.292,19.483,21.046,19.658,18.949,21.006,19.204,21.593,20.152,18.075,20.276,19.443,19.299,19.557,19.556,19.394,17.446
107,24.730,22.920,18.990,18.906,20.214,19.365,19.200,19.488,21.012,19.511,18.866,20.912,19.156,21.718,20.113,18.201,19.987,19.462,19.125,19.447,19.494,19.465,17.509
108,24.556,22.834,19.184,18.857,19.964,19.289,19.184,19.439,20.761,19.506,18.990,20.887,19.282,21.774,20.103,18.127,19.970,19.420,19.114,19.524,19.487,19.610,17.446
109,24.572,22.718,19.039,18.884,20.024,19.155,19.089,19.528,20.800,19.442,18.924,20.920,19.251,21.739,20.094,18.367,20.084,19.338,19.067,19.596,19.568,19.532,17.384
110,24.414,22.576,19.055,18.927,20.048,19.298,19.050,19.510,20.717,19.496,18.844,20.737,19.152,21.721,20.125,18.201,19.932,19.428,19.121,19.461,19.489,19.506,17.308
111,24.622,22.369,19.124,18.915,20.084,19.233,18.983,19.531,20.599,19.375,18.856,20.935,19.085,21.855,20.065,18.101,19.975,19.398,19.094,19.447,19.413,19.600,17.349
112,24.407,22.333,19.030,18.900,20.003,19.242,18.942,19.556,20.578,19.273,18.880,20.887,19.246,21.644,20.092,18.159,20.038,19.358,19.054,19.484,19.475,19.439,17.367
113,24.352,22.356,19.096,18.866,19.955,19.258,18.722,19.455,20.493,19.221,18.888,20.910,19.209,21.567,20.136,18.386,19.878,19.363,19.110,19.593,19.532,19.615,17.260
114,24.456,22.294,18.988,18.747,19.922,19.236,18.855,19.405,20.553,19.211,18.963,20.832,19.249,21.620,20.157,18.179,20.032,19.317,19.072,19.295,19.279,19.526,17.339
115,24.367,22.073,19.138,18.932,19.894,19.258,18.867,19.494,20.472,19.275,18.990,20.958,19.033,21.579,20.165,18.247,19.951,19.430,19.103,19.437,19.408,19.514,17.415
116,24.425,22.031,19.066,18.794,19.971,19.264,18.757,19.488,20.264,19.124,18.927,20.884,19.242,21.507,20.163,18.130,19.884,19.401,19.003,19.457,19.381,19.646,17.277
117,24.529,21.974,18.952,18.811,20.060,19.188,18.750,19.513,20.501,19.213,18.890,20.805,19.126,21.448,20.114,18.211,20.091,19.263,19.079,19.573,19.513,19.449,17.131
118,24.468,21.894,19.300,18.976,19.913,19.135,18.674,19.606,20.489,19.082,18.920,20.857,19.135,21.605,20.136,18.276,19.922,19.408,19.107,19.469,19.435,19.396,17.204
119,24.728,21.925,19.115,18.981,19.962,19.222,18.739,19.299,20.287,18.873,18.649,20.838,19.121,21.685,20.032,18.127,19.939,19.392,19.018,19.400,19.354,19.499,17.304
120,24.756,22.099,19.175,19.185,19.940,19.181,18.874,19.419,20.374,19.022,18.990,20.813,19.092,21.567,20.159,18.104,19.888,19.344,19.041,19.369,19.287,19.575,17.062
121,24.735,21.963,19.093,19.078,19.872,19.177,18.766,19.389,20.218,19.213,18.929,20.742,19.031,21.608,20.140,18.244,20.072,19.412,19.088,19.513,19.457,19.433,17.242
122,24.847,21.729,19.166,18.980,19.876,19.334,18.618,19.232,20.368,19.052,18.788,21.080,19.204,21.685,20.143,18.497,19.854,19.489,18.992,19.481,19.364,19.571,17.367
123,24.889,23.870,19.456,20.032,20.836,19.625,18.958,19.595,24.445,21.357,19.129,24.895,19.912,21.700,21.175,18.682,20.156,20.212,19.125,19.924,19.748,19.551,17.460
124,24.894,25.955,19.621,20.675,20.974,19.957,19.278,19.446,26.659,21.846,19.212,25.939,20.052,21.828,21.524,18.779,20.116,20.389,19.386,20.124,19.995,19.782,17.464
125,24.849,26.753,19.909,20.840,21.234,20.016,19.532,19.570,26.734,21.434,19.315,25.357,20.175,22.110,20.981,18.617,20.253,20.404,19.443,20.389,20.270,19.556,17.415
126,25.012,26.273,20.109,20.883,21.362,19.821,19.816,19.551,26.237,21.154,19.549,25.487,19.903,21.908,20.780,18.562,20.158,20.525,19.485,20.415,20.238,19.757,17.208
127,24.756,26.565,19.846,20.706,21.528,19.675,20.204,19.353,26.198,21.256,19.427,24.647,19.896,21.703,20.545,18.562,20.496,20.589,19.494,20.636,20.591,19.793,17.315
128,24.847,26.242,19.639,20.844,21.223,19.653,20.574,19.622,26.279,21.092,19.595,24.326,19.950,21.620,20.482,18.581,20.489,20.589,19.578,20.712,20.498,20.013,17.163
129,24.487,26.146,19.453,20.413,21.434,19.661,20.359,19.442,25.906,20.623,19.666,23.803,19.609,21.887,20.449,18.445,20.403,20.441,19.481,20.485,20.382,19.761,17.235
130,24.990,25.688,19.562,20.483,20.920,19.401,20.214,19.430,25.518,20.293,19.861,23.811,19.725,21.682,20.284,18.513,20.188,20.315,19.451,20.467,20.236,19.750,17.235
131,24.536,24.815,19.358,20.167,20.641,19.560,20.117,19.478,25.021,20.047,19.788,23.361,19.604,21.623,20.318,18.529,20.236,20.234,19.473,20.419,20.190,19.668,17.242
132,24.820,25.011,19.205,19.815,20.772,19.403,19.760,19.540,24.281,19.432,19.732,22.540,19.436,21.484,20.291,18.542,20.253,20.115,19.351,20.371,20.256,19.558,17.131
133,24.598,24.834,19.193,19.648,20.698,19.522,19.711,19.383,23.732,19.687,19.756,22.429,19.519,21.395,20.176,18.584,20.238,19.868,19.290,20.419,20.306,19.508,17.111
134,24.562,24.419,19.255,19.696,20.502,19.296,19.618,19.362,23.225,19.568,19.629,21.952,19.211,21.635,20.104,18.198,19.810,19.799,19.315,20.239,20.027,19.700,17.087
135,24.556,25.050,19.339,19.607,20.311,19.269,19.499,19.374,22.988,19.375,19.290,21.511,19.246,21.691,20.143,18.464,19.964,19.632,19.314,20.315,20.085,19.562,16.986
136,24.400,25.515,19.192,19.403,20.380,19.171,19.349,19.398,23.037,19.176,19.056,21.239,19.206,21.507,20.105,18.221,19.939,19.632,19.265,20.080,20.000,19.472,17.149
137,24.640,25.201,19.199,19.316,20.376,19.177,19.273,19.385,22.701,19.139,18.954,20.958,19.085,21.757,20.098,18.279,19.989,19.553,19.135,20.055,19.965,19.419,17.235
138,24.575,24.831,19.021,19.313,20.186,19.262,19.061,19.381,22.478,19.077,18.832,20.968,19.118,21.662,20.135,18.156,19.962,19.592,19.204,19.991,19.903,19.493,17.159
139,24.565,24.597,19.010,19.179,20.261,19.229,18.969,19.410,22.189,18.985,18.822,20.746,18.974,21.828,20.097,18.120,19.903,19.470,19.214,19.916,19.865,19.536,17.118
140,24.388,24.750,19.088,19.315,20.198,19.204,19.139,19.291,22.170,18.980,19.007,20.891,19.156,21.745,20.000,18.036,19.983,19.490,19.212,19.841,19.733,19.465,17.059
141,24.744,24.464,19.049,19.168,20.063,19.307,18.895,19.276,22.017,18.911,18.871,20.834,19.126,21.712,20.138,18.166,20.038,19.395,19.237,19.753,19.684,19.322,17.166
142,24.055,24.295,19.162,19.240,19.722,19.296,19.014,19.148,21.486,18.744,18.839,20.660,19.156,21.237,20.047,17.997,19.960,19.438,19.172,19.720,19.605,19.487,17.045
143,24.480,24.321,19.141,19.223,19.852,19.256,18.880,19.123,21.505,18.707,18.873,20.544,19.033,21.398,20.004,18.208,19.800,19.350,19.229,19.657,19.656,19.465,17.090
144,24.338,24.097,19.115,19.063,19.858,19.085,18.811,19.287,21.486,18.864,18.795,20.849,19.180,21.620,20.043,18.182,19.901,19.277,19.126,19.676,19.464,19.460,17.221
145,24.497,23.782,19.225,18.991,19.962,19.202,18.794,19.068,21.260,18.806,18.666,20.567,19.159,21.050,19.911,17.968,19.745,19.261,19.191,19.619,19.571,19.388,17.273
146,24.118,23.870,19.099,19.053,19.887,19.116,18.802,19.223,20.988,18.710,18.668,20.664,19.031,21.056,19.853,17.919,19.857,19.455,19.180,19.604,19.526,19.367,17.048
