 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
33,221.645,173.344,146.211,134.141,164.053,165.343,159.165,163.788,182.584,148.067,141.198,194.385,150.092,207.166,185.598,141.708,177.460,153.014,156.621,135.104,132.511,160.310,101.415
34,220.787,173.757,149.078,138.498,168.599,164.477,157.271,163.230,177.586,147.625,144.580,196.618,154.777,207.896,184.126,144.912,170.726,154.153,157.483,133.555,132.209,158.614,97.765
35,224.438,174.226,148.400,135.832,169.775,160.957,158.491,162.674,181.133,149.216,143.827,196.632,153.005,210.769,181.276,143.864,169.882,152.145,156.465,133.740,131.212,157.419,96.758
36,222.608,174.351,150.616,139.560,165.872,161.000,159.680,159.763,178.543,147.578,144.271,195.603,151.604,205.979,183.259,137.003,173.662,151.809,157.729,136.355,133.756,158.797,96.609
37,222.986,166.946,148.268,139.740,165.368,165.329,158.520,161.376,174.239,147.233,145.493,196.374,149.227,209.668,185.912,143.481,169.030,155.697,158.314,134.289,132.621,159.133,95.696
38,222.452,170.812,149.484,138.471,168.062,166.032,155.460,164.865,175.983,146.094,146.159,195.573,149.844,205.973,185.136,138.182,175.120,153.860,158.242,135.381,135.084,161.619,96.349
39,222.797,169.127,149.516,139.345,166.557,163.585,157.775,161.125,177.632,146.082,142.685,195.807,148.569,198.988,183.952,141.656,172.148,152.565,156.703,133.580,131.698,156.439,97.284
40,224.899,168.377,147.558,136.723,167.406,162.191,156.672,162.405,178.863,151.481,143.722,194.143,149.000,206.596,181.441,143.442,175.538,152.732,157.938,132.684,130.165,161.042,97.114
41,222.958,167.753,150.309,139.816,169.808,164.881,159.059,161.857,176.547,146.613,140.915,196.359,152.682,206.513,184.840,142.162,174.452,154.938,155.987,137.175,134.780,156.296,97.768
42,221.536,169.612,143.907,139.869,164.857,162.576,158.357,162.930,176.131,151.174,144.080,196.557,151.078,207.231,182.080,137.864,173.867,153.713,157.870,133.425,130.424,159.307,96.675
43,224.659,165.515,146.286,139.136,166.011,162.816,156.120,161.175,176.692,144.228,140.534,195.989,153.218,207.932,182.354,139.169,176.004,153.640,158.387,134.273,132.706,159.919,96.125
44,222.823,164.221,148.907,141.862,166.873,164.227,158.150,162.547,175.304,150.223,145.673,194.756,153.934,205.638,182.406,140.231,173.806,151.046,157.524,134.096,131.815,158.478,98.287
45,224.995,168.445,150.330,137.787,166.261,162.231,153.842,162.029,175.626,146.114,146.039,194.649,148.739,206.481,182.425,136.156,171.447,153.358,157.266,132.913,130.497,155.196,102.152
46,221.579,164.882,150.582,136.764,167.403,165.141,152.747,163.791,173.511,146.553,142.288,195.698,150.787,205.769,184.712,142.500,174.525,155.092,158.197,136.159,134.363,158.575,98.356
47,221.844,165.096,147.844,139.929,167.486,162.592,161.215,160.230,174.952,148.067,141.405,196.809,148.270,206.062,184.128,139.192,175.222,152.752,158.609,134.072,133.162,157.228,99.623
48,224.206,162.641,149.427,138.646,165.881,161.460,155.697,160.294,171.599,146.496,144.041,193.842,148.846,207.359,182.911,141.500,172.160,152.498,158.245,133.825,132.526,158.894,95.561
49,222.620,165.617,150.055,140.434,168.475,162.238,160.331,163.020,174.568,145.618,143.439,195.084,149.026,208.389,183.182,144.916,170.914,153.185,158.366,133.995,132.428,156.149,98.242
50,222.792,165.334,148.433,138.731,167.459,162.733,160.878,162.041,172.231,144.533,139.805,193.794,151.073,207.558,181.587,140.981,172.312,155.728,158.932,134.633,132.507,158.289,98.183
51,222.106,162.594,148.925,137.864,165.516,162.870,155.846,163.925,171.649,147.154,143.107,193.706,149.675,207.884,183.972,136.328,171.023,152.667,158.019,131.609,130.561,158.993,96.218
52,223.222,163.805,150.688,141.626,168.897,163.682,157.505,160.005,172.751,147.682,145.171,195.553,149.820,205.042,183.865,142.675,173.099,152.220,156.161,133.105,131.360,159.447,98.796
53,223.215,164.263,149.723,139.294,164.997,161.596,157.220,163.606,174.792,150.005,145.307,194.008,151.348,208.157,183.146,139.286,173.778,152.347,157.938,131.181,129.123,159.621,95.744
54,220.338,163.740,148.346,137.248,166.840,159.076,156.683,162.993,172.863,150.360,142.593,195.599,151.739,206.733,181.690,138.403,176.437,155.116,159.196,132.929,130.621,158.307,96.882
55,224.076,160.347,148.519,138.223,165.882,162.430,157.941,161.973,170.148,146.151,141.078,195.053,150.867,205.985,182.643,136.604,172.464,149.917,158.064,131.140,129.240,157.036,96.654
56,221.281,165.529,144.318,137.721,164.538,161.191,160.548,164.840,172.256,148.027,143.200,194.229,152.725,206.721,184.509,142.971,171.956,154.482,158.078,132.309,130.762,157.293,99.408
57,220.678,161.818,148.898,137.998,167.181,160.448,158.114,162.611,170.863,143.124,142.063,195.588,156.697,206.223,182.624,137.594,171.468,154.115,158.907,133.804,131.673,155.253,101.484
58,222.799,160.818,147.894,140.616,169.198,163.491,155.891,160.961,166.684,146.097,143.449,196.382,151.026,208.006,181.629,140.812,173.160,152.970,157.664,129.872,129.271,156.679,96.471
59,220.059,163.471,144.745,137.495,168.053,161.686,156.094,159.733,169.214,146.246,143.168,193.761,147.882,205.160,182.526,135.023,170.532,153.049,157.539,132.713,132.173,160.178,97.024
60,219.485,162.933,147.790,137.029,166.412,162.307,157.242,160.875,173.012,149.613,139.559,193.370,148.227,206.822,181.585,137.838,171.973,154.627,156.233,133.755,132.536,158.196,99.339
61,220.584,160.971,148.121,137.769,166.646,163.953,157.431,157.528,171.788,143.045,142.776,195.424,150.739,204.496,183.474,140.773,176.224,150.927,157.643,133.263,132.834,157.328,95.125
62,222.296,160.073,145.559,136.758,167.911,163.477,158.616,161.257,172.688,145.903,143.576,198.080,151.512,207.712,182.094,136.282,173.529,153.818,157.723,131.549,129.567,159.126,98.363
63,220.841,159.917,149.288,137.347,167.084,162.821,157.702,163.684,172.085,145.938,142.102,191.481,152.488,206.887,179.863,134.143,174.567,151.788,157.098,131.713,129.552,156.085,99.453
64,220.092,162.628,149.057,137.981,166.155,161.036,159.856,162.159,170.489,146.578,142.693,192.397,148.713,205.552,182.080,138.958,174.821,151.697,156.744,132.736,130.803,160.536,99.363
65,219.622,158.680,148.175,138.612,165.615,161.859,155.407,162.875,168.538,147.201,141.105,191.714,149.410,207.709,181.031,139.682,172.635,150.935,158.232,132.545,131.798,156.814,98.260
66,221.728,160.396,147.589,136.512,162.517,162.960,151.460,160.656,170.663,146.325,142.483,193.885,151.687,208.513,181.334,136.750,173.089,151.914,157.462,129.469,129.503,156.069,96.550
67,220.428,163.084,149.378,138.847,166.516,166.260,156.878,161.471,170.247,147.417,144.122,192.481,151.972,209.047,182.670,139.013,176.217,151.223,158.352,133.596,132.721,159.075,96.727
68,220.449,162.581,148.634,137.199,165.139,165.031,156.136,162.465,173.370,145.370,146.290,194.866,150.012,207.237,180.425,134.591,171.741,152.895,157.742,134.072,131.996,158.154,96.024
69,219.981,158.610,146.300,140.139,166.754,164.076,156.612,158.701,169.615,144.092,143.005,198.521,147.521,206.418,182.337,137.961,171.624,154.143,158.688,135.629,133.435,159.147,96.685
70,219.846,162.118,146.552,139.888,165.985,162.643,156.070,159.841,171.628,147.978,140.234,194.073,146.877,212.923,182.878,141.351,171.515,152.787,156.709,132.147,131.238,160.200,96.779
71,217.217,161.570,149.477,135.757,166.753,163.971,157.702,161.399,167.304,147.382,141.854,191.870,150.763,205.421,183.855,140.935,174.523,149.693,157.542,134.557,132.659,159.554,100.183
72,218.019,160.133,146.882,138.895,166.017,160.092,156.167,158.996,168.501,143.427,146.610,192.294,149.976,207.172,181.878,135.935,175.011,154.213,159.837,135.680,133.223,159.231,97.851
73,215.553,161.565,148.226,133.934,166.071,165.116,155.835,163.374,168.931,143.809,138.534,192.366,149.012,206.436,179.799,139.896,172.886,149.127,154.726,134.273,131.978,157.422,102.156
74,222.147,157.097,150.675,140.400,165.609,160.709,156.516,162.269,168.198,149.978,145.337,189.332,150.450,206.828,182.519,141.597,174.471,157.605,156.498,132.621,131.483,157.094,96.322
75,218.733,159.005,151.223,139.774,165.306,162.440,155.693,159.105,170.193,149.516,141.502,194.882,149.135,207.148,182.453,137.851,170.601,153.959,157.894,133.115,132.171,155.200,94.913
76,218.688,163.159,147.192,140.497,162.707,163.655,155.629,162.355,166.983,146.454,140.822,192.284,151.147,207.448,181.738,141.461,173.880,152.785,157.936,132.003,130.997,158.931,100.388
77,215.541,161.094,148.765,139.231,163.715,161.316,158.011,161.367,168.208,143.744,139.063,192.760,145.564,206.371,183.951,139.766,173.101,150.347,158.472,135.943,134.200,158.382,97.208
78,218.102,159.847,149.384,139.160,165.834,160.570,154.858,154.768,168.572,148.355,138.768,193.634,150.701,208.258,182.613,140.558,171.183,150.479,159.231,132.656,131.540,156.811,93.090
79,218.960,160.737,148.873,138.182,168.919,162.744,156.768,161.332,170.613,146.285,140.990,191.000,149.922,206.276,181.739,139.211,172.327,152.632,157.670,131.984,130.053,157.496,95.405
80,216.341,163.768,150.391,135.837,162.297,162.280,152.339,160.690,170.751,150.697,142.766,190.916,151.021,206.757,181.581,138.367,176.844,151.048,156.569,130.791,129.641,157.811,99.232
81,218.591,159.802,146.880,138.446,166.279,164.195,152.569,163.701,167.133,144.650,140.085,191.618,147.265,208.306,182.047,139.786,170.430,150.220,156.140,134.193,133.792,158.775,95.381
82,217.536,160.799,149.955,137.507,164.321,162.451,154.849,159.918,167.538,145.273,140.746,193.061,151.737,204.745,181.588,139.192,171.745,151.444,156.573,131.587,130.668,158.100,96.976
83,218.425,161.073,146.582,135.235,163.439,162.978,152.008,159.160,165.807,147.749,143.751,194.786,150.457,210.715,180.538,138.351,171.471,150.346,157.039,132.549,132.225,159.844,96.578
84,217.875,160.940,147.769,140.361,165.232,162.993,154.660,161.182,167.337,148.581,138.976,193.248,151.825,204.320,180.364,136.607,172.578,150.385,156.722,131.909,131.354,157.161,95.765
85,218.858,158.977,149.399,139.010,165.848,162.439,151.780,162.235,164.688,150.901,141.673,193.027,148.884,208.228,180.474,143.435,173.091,150.592,157.906,135.448,132.892,159.501,95.391
86,216.315,159.508,148.720,137.036,166.526,159.809,154.248,160.945,165.312,149.496,143.744,192.422,148.986,208.223,183.491,136.396,169.665,153.131,157.126,133.621,131.993,156.136,91.720
87,218.411,160.412,146.730,136.696,162.732,163.834,155.399,158.408,166.854,145.154,140.793,193.821,145.912,205.724,181.142,139.656,168.061,150.146,156.389,129.924,130.186,161.000,90.121
88,215.773,157.075,148.256,136.808,162.410,161.448,152.441,158.187,163.083,149.424,137.939,191.889,149.474,206.139,179.218,138.088,172.612,151.255,156.696,131.971,131.543,157.925,98.696
89,216.522,158.757,147.858,140.245,163.976,160.718,151.348,160.294,164.349,147.263,143.478,190.523,146.104,207.623,181.131,138.493,169.416,154.159,157.873,131.731,130.731,159.547,95.657
90,216.480,160.448,149.213,141.995,163.624,161.565,152.270,160.176,165.098,148.305,141.522,189.273,149.882,205.724,181.380,138.890,170.875,152.718,155.247,134.829,133.435,158.242,95.889
91,216.185,160.214,150.802,134.313,164.940,162.365,155.440,161.478,165.266,149.114,142.483,190.882,149.758,206.092,181.288,143.123,172.240,149.314,156.299,130.087,128.144,156.933,94.983
92,216.768,160.870,147.174,137.954,165.484,164.014,154.053,159.396,164.988,142.328,141.815,190.046,149.123,207.243,181.615,140.792,171.278,151.430,155.841,131.535,129.603,159.953,96.471
93,215.650,156.617,147.208,138.995,162.137,160.173,155.039,161.205,166.189,145.509,136.534,190.624,147.991,202.543,181.380,134.166,170.186,149.962,156.334,131.281,130.715,158.419,96.623
94,215.154,160.542,149.609,136.765,165.383,161.605,154.881,162.718,166.210,148.429,139.849,191.019,148.057,206.917,179.165,139.805,170.013,149.863,157.661,130.868,130.165,158.464,96.083
95,215.601,159.399,145.709,137.738,166.931,159.875,152.802,160.253,164.347,146.494,141.446,190.851,149.649,204.953,178.771,137.685,172.700,153.320,156.954,133.128,131.626,158.543,96.145
96,214.950,157.203,148.735,138.639,165.555,161.294,153.789,159.914,166.929,149.928,140.417,191.244,145.796,200.709,181.833,143.662,170.226,151.672,157.138,129.669,128.946,153.544,94.869
