 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46
1,28.981,28.530,22.325,24.303,22.456,21.216,23.145,19.993,23.913,19.651,20.041,20.731,19.599,19.779,36.689,57.910,48.620,20.286,17.963,21.314,67.293,65.441,26.970,29.625,83.333,73.978,29.597,59.851,69.524,67.203,85.078,30.302,25.171,26.341,30.183,25.757,31.260,36.905,30.921,25.476,24.965,24.964,21.488,21.221,21.869,22.246
2,29.475,27.900,22.837,24.424,22.445,21.137,23.269,19.878,23.926,19.502,19.868,20.882,19.293,19.663,37.250,56.784,49.653,20.389,18.168,21.160,64.287,68.696,26.967,29.444,80.325,75.555,28.854,58.406,77.375,71.950,90.515,29.774,24.518,25.526,30.535,26.532,32.315,34.202,30.969,25.345,24.647,25.119,21.535,21.016,21.834,22.335
3,30.216,27.692,23.561,24.248,22.584,20.979,23.358,20.024,23.933,19.685,19.722,20.850,19.132,19.533,36.368,55.766,48.429,20.427,18.165,21.136,63.872,71.972,26.847,29.458,83.304,81.522,28.784,58.408,85.598,74.968,91.770,29.536,23.750,25.691,30.525,25.964,32.129,32.117,31.279,25.500,24.898,24.905,21.408,21.466,21.706,22.318
4,30.908,27.559,24.243,24.333,22.940,20.948,23.564,20.137,23.873,19.840,19.584,20.657,19.194,19.601,35.607,56.810,52.449,20.357,18.248,21.164,68.795,72.501,26.872,29.269,82.571,83.626,29.295,62.272,91.114,77.864,91.809,29.286,24.050,26.156,30.877,25.781,32.764,34.701,31.043,25.513,24.831,24.992,21.765,21.534,21.851,22.044
5,30.450,27.160,24.096,24.326,22.960,21.005,23.552,19.955,23.828,19.637,19.631,20.610,19.018,19.617,36.654,55.705,51.837,20.272,18.284,21.282,67.388,72.988,26.787,29.361,79.120,85.698,29.328,61.640,95.365,79.878,93.377,29.241,23.814,25.768,30.654,25.672,32.975,34.635,31.264,25.427,24.778,24.798,21.751,21.655,21.883,22.216
6,30.567,27.527,24.076,24.312,22.911,20.991,23.489,19.909,23.659,19.669,19.860,20.556,19.024,19.979,37.136,54.913,53.788,20.417,18.205,21.014,69.373,74.103,26.692,29.235,85.240,88.321,30.597,63.263,100.321,86.925,95.303,28.891,23.968,25.785,30.379,25.525,32.195,36.772,31.037,25.399,24.843,25.179,21.688,21.445,21.905,22.345
7,30.107,26.753,24.165,24.394,22.784,20.722,23.209,19.996,23.592,19.639,19.821,20.555,18.982,19.715,36.186,52.522,52.318,20.392,18.318,21.348,65.563,75.469,26.582,29.126,83.904,83.536,30.007,60.300,101.334,88.899,95.853,28.586,23.571,25.304,29.668,25.357,32.960,36.389,30.891,25.320,24.831,24.853,21.608,21.685,21.980,22.152
8,30.545,26.137,24.129,24.167,22.509,20.800,23.288,19.968,23.476,19.539,19.826,20.524,18.742,19.529,36.068,50.777,55.298,20.370,18.398,20.899,61.700,77.146,26.859,29.253,78.592,82.706,29.459,57.475,105.310,87.508,96.410,28.509,23.521,24.768,29.286,25.138,32.606,33.804,30.561,25.470,24.726,24.694,21.433,21.651,21.934,22.088
9,30.527,25.491,24.815,24.231,22.540,20.859,23.027,20.011,23.366,19.482,19.609,20.370,18.522,19.638,35.089,49.938,53.910,20.235,18.301,21.024,58.789,80.396,26.608,29.293,73.776,86.393,28.384,54.930,107.834,91.201,97.935,28.484,23.132,24.765,28.869,24.968,31.708,31.461,30.803,25.539,24.699,24.520,21.529,21.683,21.982,22.130
10,29.666,24.925,24.750,24.338,22.470,20.813,22.675,19.798,23.402,19.406,19.421,20.334,18.423,19.643,35.089,50.336,57.114,20.156,18.203,20.523,56.245,81.009,26.602,29.248,69.816,90.690,27.963,52.661,109.981,89.840,99.298,28.428,22.950,24.627,28.502,25.051,32.317,29.894,30.781,25.328,24.831,24.583,21.465,21.477,21.813,22.234
11,29.839,25.144,25.031,24.373,22.246,20.795,22.491,20.000,23.283,19.660,19.620,20.347,18.260,19.761,34.986,51.586,55.363,20.078,18.057,20.268,55.279,80.296,26.550,28.924,66.987,91.261,27.761,51.709,111.522,86.612,97.553,28.000,22.843,24.548,28.266,24.754,32.708,29.257,30.770,25.283,24.975,24.155,21.533,21.295,21.847,22.114
12,33.519,26.660,24.820,24.576,23.038,21.385,22.756,20.119,23.766,19.566,19.689,20.531,18.516,19.973,37.136,55.016,58.449,19.998,17.997,20.334,66.177,76.682,26.702,29.232,69.787,87.931,29.052,65.597,111.440,90.104,98.022,28.343,23.404,25.272,29.546,24.790,32.518,30.730,30.963,25.586,24.901,24.560,21.680,21.418,22.181,22.245
13,33.426,27.553,24.662,24.345,23.169,21.462,23.062,19.950,23.789,19.637,19.518,20.570,18.936,20.645,36.646,59.182,58.727,20.111,17.899,20.063,71.308,73.066,26.891,29.235,72.299,84.670,28.571,69.105,107.080,89.147,97.200,29.850,25.054,25.923,32.030,26.046,33.717,29.908,30.560,25.592,24.898,25.016,21.914,21.941,22.514,22.216
14,32.317,27.916,24.229,24.317,23.039,21.264,23.089,20.195,23.726,19.445,19.361,20.720,19.425,20.813,35.868,62.295,59.776,19.907,17.871,19.941,72.303,73.745,26.834,29.225,73.933,82.816,28.459,67.374,105.366,88.269,97.345,31.353,24.989,25.822,33.471,26.103,33.135,28.915,30.419,25.646,24.921,25.540,22.069,22.091,22.427,22.337
15,31.055,26.989,24.377,24.035,22.867,20.932,22.938,20.000,23.746,19.482,19.171,20.694,19.454,20.487,35.961,63.828,60.600,20.030,17.859,19.899,69.419,74.858,26.835,28.940,70.123,79.179,28.272,63.953,107.032,84.020,96.355,30.747,23.921,24.914,32.862,25.653,33.468,28.155,30.191,25.570,25.102,25.103,21.757,22.276,22.143,22.265
16,30.047,25.970,24.260,24.150,22.591,20.777,22.791,20.128,23.637,19.450,19.455,20.622,19.337,20.333,35.504,63.208,60.490,19.966,17.635,19.983,65.741,76.231,26.713,29.072,66.072,79.484,27.981,60.787,107.796,79.199,96.336,29.964,23.407,24.686,31.859,25.400,33.846,27.421,29.821,25.699,24.841,24.857,21.788,22.053,22.097,22.397
17,30.783,27.308,24.279,24.333,22.766,20.813,22.669,20.039,23.770,19.653,19.165,20.579,19.485,20.307,35.111,63.845,61.065,19.864,17.624,19.965,67.553,77.486,26.755,29.132,67.493,76.651,28.209,61.850,105.793,81.201,97.302,29.638,23.604,24.709,32.215,25.238,32.972,28.388,29.479,25.583,24.987,25.278,21.612,22.171,22.011,22.337
18,31.828,28.511,23.893,24.634,23.146,20.870,22.845,20.019,24.001,19.833,19.529,20.681,19.608,20.488,36.489,64.630,62.927,19.808,17.669,20.042,73.101,77.115,26.868,29.246,71.736,73.223,28.825,66.864,103.683,80.124,95.146,29.159,24.804,24.652,34.083,25.087,32.962,32.931,29.106,25.468,24.882,25.321,21.792,22.267,22.092,22.350
19,31.532,28.975,23.906,24.340,22.877,20.797,22.860,20.124,24.011,19.434,19.253,20.709,19.621,20.328,36.179,64.833,61.000,19.898,17.598,19.784,72.000,77.414,26.722,29.191,72.693,74.217,29.358,66.639,103.056,80.131,94.324,29.048,25.082,24.649,33.920,25.132,33.705,36.624,29.178,25.448,25.058,24.901,21.806,22.345,21.947,22.287
20,30.933,28.002,23.664,24.025,22.574,20.658,22.623,20.046,23.759,19.600,19.251,20.636,19.396,20.169,35.889,64.038,63.824,19.911,17.685,19.808,67.930,78.906,26.703,29.088,69.392,79.459,28.914,63.965,104.562,76.601,94.488,28.760,24.393,24.486,32.624,25.125,32.911,34.301,29.721,25.514,24.918,24.746,21.757,22.320,21.972,22.367
21,29.780,26.717,23.746,24.264,22.212,20.699,22.481,19.972,23.680,19.505,19.223,20.635,19.211,20.102,35.454,62.430,61.767,19.832,17.624,19.815,64.397,80.195,26.646,29.102,65.341,79.552,28.198,61.074,104.394,73.115,92.139,28.522,23.286,24.207,31.731,25.027,32.361,31.562,29.591,25.515,24.833,24.560,21.767,22.087,21.998,22.252
22,28.804,25.705,24.209,24.245,22.109,20.672,22.150,20.004,23.734,19.434,19.427,20.483,18.949,19.939,35.196,59.771,65.682,19.847,17.590,19.481,61.458,81.062,26.699,29.034,61.803,79.121,27.832,58.338,104.119,71.072,89.865,28.193,23.079,24.331,30.576,25.017,33.415,29.559,29.473,25.531,25.027,24.413,21.547,21.927,22.028,22.282
23,30.204,29.299,23.927,24.410,22.483,21.624,22.387,20.195,24.377,19.680,19.523,20.611,19.278,19.832,35.607,61.188,61.971,19.833,17.408,19.669,68.377,80.459,26.933,29.078,64.197,82.096,28.668,65.195,105.433,75.311,90.539,28.241,25.021,24.852,31.477,24.937,33.315,31.427,29.772,25.763,24.888,24.865,21.837,22.441,22.080,22.484
24,31.197,30.712,23.488,24.481,22.379,21.740,22.526,20.249,24.600,19.721,19.669,20.639,19.615,19.859,36.254,62.429,66.963,19.756,17.537,19.871,72.343,80.242,26.920,29.169,64.117,79.110,28.843,67.870,102.230,73.657,88.190,28.183,25.386,24.709,33.074,25.029,33.059,33.945,29.361,25.700,25.013,24.813,21.965,22.537,22.181,22.193
25,31.454,30.833,23.060,24.470,22.149,21.216,22.453,20.043,24.460,19.429,19.647,20.603,19.515,19.733,36.329,62.866,64.102,19.852,17.497,19.672,73.533,78.653,26.900,29.195,69.419,77.445,29.888,68.522,99.145,73.366,87.154,27.864,25.421,24.667,33.092,25.415,34.390,37.645,29.233,25.789,24.827,24.885,22.071,22.705,22.013,22.240
