 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46
307,21.669,23.479,18.750,23.556,21.057,20.565,19.840,19.711,21.687,19.174,19.358,19.819,17.894,19.480,33.496,39.722,37.118,19.715,17.096,20.038,40.463,37.501,26.634,28.676,49.189,40.885,26.261,38.110,37.999,44.596,75.716,28.450,22.304,23.825,23.021,24.166,26.930,25.993,24.436,25.603,24.926,23.730,21.692,20.874,21.667,22.207
308,21.659,23.454,18.746,23.505,20.988,20.535,20.056,19.787,21.739,19.025,19.174,19.844,17.877,19.522,33.657,38.568,36.955,19.708,16.988,20.031,39.199,37.289,26.633,28.814,47.843,40.071,26.004,37.137,37.671,43.187,73.273,28.112,22.264,23.617,23.146,24.029,26.723,25.657,24.293,25.530,24.876,24.056,21.708,20.626,21.466,22.379
309,21.743,23.505,18.771,23.759,20.994,20.408,19.828,19.727,21.777,19.126,18.997,19.865,17.991,19.606,33.264,37.527,36.820,19.856,17.050,20.429,39.384,38.098,26.698,28.646,47.093,39.838,25.996,37.826,37.450,42.454,70.712,27.660,22.200,23.731,22.609,24.219,26.859,25.667,24.158,25.615,25.079,24.016,21.916,20.765,21.522,22.533
310,21.951,23.804,18.815,23.792,21.019,20.305,19.946,19.788,21.716,19.253,19.614,20.045,17.951,19.879,33.279,37.753,37.151,19.802,17.189,21.059,46.897,38.264,26.785,28.744,47.888,39.816,26.601,46.271,37.485,43.662,74.010,37.279,23.707,24.995,23.546,24.482,26.733,25.677,25.025,25.693,25.038,24.508,21.884,20.820,22.099,22.445
311,22.005,24.201,18.782,23.970,21.195,20.506,20.021,19.564,21.744,19.283,20.331,19.926,18.108,19.964,33.239,40.203,37.151,19.771,17.075,20.589,50.865,38.823,26.748,28.698,52.667,40.808,26.836,49.509,38.362,48.226,80.684,47.883,25.807,26.178,25.356,26.173,27.742,25.705,28.846,26.263,25.107,24.175,21.965,21.689,23.069,22.597
312,22.247,24.543,18.893,23.685,21.349,20.526,20.212,19.837,21.711,19.269,20.240,19.950,18.227,20.020,33.821,41.555,37.078,19.877,17.193,20.753,53.549,38.657,26.981,28.972,60.413,50.159,26.978,51.307,41.625,56.031,88.407,49.541,25.921,26.272,25.435,25.685,28.196,25.550,30.609,26.315,24.940,24.361,22.224,21.804,23.304,22.531
313,22.094,24.247,18.880,23.822,21.266,20.647,20.007,19.701,21.777,19.185,19.824,20.073,18.179,19.663,34.211,42.160,37.265,19.829,17.123,21.049,51.727,38.617,26.874,28.819,60.725,54.396,26.993,49.258,43.135,59.485,92.347,47.824,24.682,25.077,24.883,25.263,27.839,25.723,29.819,26.246,24.915,24.361,21.796,21.397,22.970,22.434
314,22.176,23.849,18.900,23.734,21.110,20.490,19.907,19.738,21.665,19.142,19.595,19.919,18.154,19.643,33.939,41.903,37.318,19.859,17.160,21.233,48.173,39.879,26.876,28.677,57.051,51.146,26.660,46.738,42.210,59.768,91.174,45.610,23.529,24.526,24.102,24.781,28.103,25.586,28.222,25.915,25.058,24.317,21.994,21.311,22.261,22.431
315,21.863,23.653,18.917,23.759,21.112,20.544,20.054,19.573,21.773,19.194,19.251,20.095,18.106,19.627,33.857,40.642,37.106,20.022,17.236,21.679,45.702,39.755,26.926,28.888,53.512,48.214,26.444,44.594,41.234,56.618,88.652,43.341,22.929,24.175,23.612,24.656,28.746,25.451,26.867,25.879,25.005,24.433,21.904,21.306,22.194,22.440
316,21.765,23.573,18.882,23.898,21.106,20.442,20.011,19.625,21.650,19.219,19.289,20.010,17.852,19.426,33.418,39.558,37.045,19.909,17.258,21.551,43.160,39.530,26.884,28.701,50.877,46.036,25.892,42.689,40.302,53.388,85.046,41.059,22.729,23.978,23.502,24.429,28.135,25.418,26.010,25.794,24.888,24.095,21.900,21.199,21.956,22.368
317,21.872,23.411,18.822,23.706,20.972,20.519,20.006,19.675,21.653,19.112,19.105,19.889,17.866,19.513,33.236,39.717,36.841,19.933,17.286,21.436,41.546,39.982,26.837,28.814,48.933,44.868,26.160,41.097,39.935,50.777,81.941,39.103,22.389,23.770,23.065,24.267,27.729,25.383,25.252,25.796,25.071,24.036,21.614,21.005,21.818,22.447
