 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
1474,13.872,15.341,16.331,9.129,10.229,14.138,11.683,12.566,15.513,14.108,12.076,7.972,11.239,12.688,9.136,8.469,12.968,11.311,9.195,10.672,9.095,10.203,9.443
1475,13.905,15.413,15.979,9.199,10.130,14.097,11.651,12.539,15.532,14.053,12.021,7.994,11.125,12.721,9.189,8.461,12.933,11.266,9.163,10.704,9.040,10.208,9.507
1476,13.813,15.304,15.931,9.134,10.162,14.170,11.681,12.527,15.619,14.059,12.100,8.023,11.251,12.605,9.319,8.483,12.924,11.244,9.111,10.596,9.073,10.213,9.587
1477,13.917,15.472,15.673,9.196,10.091,14.028,11.676,12.571,15.528,14.114,12.087,8.011,11.047,12.740,9.201,8.542,12.924,11.296,9.131,10.713,9.058,10.126,9.534
1478,13.811,15.377,15.512,9.214,10.119,14.087,11.601,12.422,15.572,14.156,11.950,8.032,11.165,12.638,9.240,8.506,12.922,11.303,9.160,10.615,9.131,10.216,9.554
1479,13.807,15.381,15.421,9.129,10.119,14.197,11.621,12.515,15.440,14.106,12.084,8.004,11.176,12.617,9.262,8.525,12.899,11.377,9.168,10.666,9.098,10.116,9.578
1480,13.895,15.524,15.437,9.183,10.012,14.087,11.641,12.605,15.481,14.095,12.061,8.040,11.176,12.698,9.201,8.500,12.977,11.338,9.163,10.701,9.051,10.066,9.525
1481,13.818,15.538,15.714,9.177,10.063,14.190,11.663,12.585,15.464,14.121,12.021,8.025,11.153,12.702,9.193,8.517,12.956,11.276,9.178,10.723,9.086,10.100,9.518
1482,13.787,15.548,15.860,9.155,10.119,14.152,11.668,12.505,15.696,14.199,12.024,8.040,11.102,12.617,9.169,8.576,12.924,11.296,9.269,10.697,9.135,10.168,9.438
1483,13.807,15.546,15.645,9.155,10.130,14.118,11.608,12.522,15.604,14.053,11.882,7.987,11.157,12.743,9.201,8.584,12.950,11.300,9.173,10.656,9.040,10.182,9.449
1484,13.868,15.454,15.460,9.199,10.036,14.163,11.766,12.534,15.606,14.091,11.968,8.051,11.231,12.614,9.197,8.430,12.958,11.246,9.173,10.704,9.137,10.163,9.490
1485,13.736,15.395,15.398,9.187,10.142,14.180,11.693,12.539,15.362,14.108,11.932,8.040,11.247,12.674,9.222,8.452,12.834,11.379,9.215,10.761,9.098,10.116,9.400
1486,13.855,15.508,15.787,9.166,10.158,14.211,11.643,12.424,15.421,14.089,11.908,8.021,11.169,12.731,9.215,8.455,12.971,11.305,9.200,10.650,9.111,10.174,9.539
1487,13.873,15.512,15.583,9.170,10.130,14.242,11.646,12.585,15.464,14.118,11.961,7.996,11.125,12.748,9.256,8.480,12.901,11.318,9.215,10.697,9.124,10.147,9.441
1488,13.754,15.506,15.279,9.185,10.055,14.249,11.748,12.493,15.449,14.159,12.034,8.068,11.161,12.640,9.146,8.537,12.979,11.407,9.217,10.748,9.104,10.053,9.497
1489,14.815,16.272,15.250,9.183,10.494,14.533,12.579,13.166,16.364,14.879,12.061,8.325,11.867,13.760,9.311,8.489,13.343,12.084,9.551,11.580,9.517,10.213,9.577
1490,22.492,19.038,15.378,9.331,12.866,19.225,19.337,17.422,19.626,18.338,12.034,9.964,13.635,18.279,9.675,8.618,19.531,22.724,11.422,16.029,11.603,10.342,9.851
1491,19.941,17.558,15.017,9.277,11.530,17.118,16.656,15.671,17.704,15.869,12.011,9.654,12.545,15.324,9.415,8.713,19.870,22.032,10.983,14.127,10.368,10.137,9.613
1492,17.686,16.419,14.686,9.179,10.625,15.197,14.471,14.054,16.306,14.746,12.003,8.877,11.808,13.681,9.333,8.472,17.137,16.537,10.748,12.631,9.608,10.189,9.570
1493,16.481,15.996,14.665,9.124,10.336,14.571,13.122,13.395,15.972,14.260,11.921,8.529,11.549,13.157,9.217,8.548,15.360,13.490,10.356,11.831,9.359,10.121,9.557
1494,15.749,15.643,14.628,9.159,10.229,14.388,12.446,12.849,15.732,14.186,12.024,8.251,11.416,12.912,9.234,8.548,14.320,12.226,9.968,11.315,9.211,10.137,9.507
1495,15.180,15.631,14.572,9.167,10.209,14.090,12.192,12.751,15.491,14.078,11.979,8.174,11.408,12.776,9.236,8.500,13.855,11.652,9.763,11.185,9.160,10.050,9.498
1496,14.782,15.536,14.729,9.191,10.091,14.076,11.940,12.541,15.685,14.038,11.876,8.079,11.353,12.738,9.142,8.486,13.465,11.463,9.565,11.025,9.109,10.161,9.480
1497,14.439,15.496,14.550,9.208,10.178,14.287,11.813,12.578,15.466,14.070,11.974,8.096,11.216,12.579,9.152,8.413,13.370,11.296,9.452,10.901,9.098,10.108,9.464
1498,14.413,15.579,14.432,9.183,10.079,14.225,11.788,12.600,15.560,14.085,11.989,8.051,11.369,12.610,9.260,8.480,13.177,11.207,9.373,10.822,9.064,10.155,9.511
1499,14.156,15.504,14.299,9.165,10.277,13.993,11.743,12.641,15.415,14.133,12.105,8.004,11.118,12.714,9.201,8.522,13.141,11.246,9.314,10.793,9.071,10.200,9.474
1500,14.110,15.417,14.323,9.147,10.103,14.170,11.728,12.583,15.434,14.114,11.976,8.028,11.165,12.614,9.228,8.435,12.897,11.167,9.232,10.758,9.100,10.050,9.487
1501,13.952,15.492,14.471,9.174,10.059,14.080,11.651,12.641,15.368,14.063,11.947,7.958,11.149,12.621,9.181,8.494,12.880,11.168,9.230,10.809,9.031,10.142,9.489
1502,13.927,15.488,14.320,9.151,10.158,13.990,11.579,12.659,15.536,14.146,11.887,8.040,11.118,12.540,9.165,8.455,12.949,11.226,9.190,10.707,9.171,10.076,9.426
1503,13.820,15.552,14.299,9.140,10.103,14.235,11.763,12.515,15.447,13.941,11.945,7.972,11.220,12.621,9.140,8.469,12.853,11.204,9.227,10.755,9.104,10.087,9.459
1504,13.908,15.409,14.118,9.181,10.107,14.239,11.771,12.668,15.343,14.051,12.016,8.015,11.078,12.667,9.148,8.506,12.962,11.138,9.121,10.611,9.131,10.132,9.475
1505,13.870,15.585,14.148,9.210,10.233,14.208,11.641,12.544,15.494,14.051,12.000,8.047,11.086,12.662,9.211,8.522,12.817,11.141,9.163,10.627,9.098,10.229,9.526
1506,13.750,15.577,14.219,9.200,10.162,14.152,11.741,12.546,15.409,14.059,11.939,7.968,11.184,12.729,9.165,8.559,12.750,11.210,9.360,10.771,9.049,10.055,9.572
1507,13.815,15.417,14.193,9.161,10.198,14.093,11.683,12.680,15.496,14.040,11.916,8.006,11.110,12.538,9.163,8.590,12.857,11.146,9.620,10.640,9.098,10.061,9.613
1508,13.826,15.518,14.084,9.173,10.071,14.173,11.693,12.598,15.483,14.190,12.018,8.011,10.976,12.645,9.140,8.497,12.811,11.215,10.017,10.653,9.113,10.137,9.511
1509,13.949,15.399,14.047,9.175,10.123,14.232,11.708,12.605,15.694,14.121,11.784,7.979,11.231,12.662,9.211,8.528,12.808,11.249,10.151,10.656,9.098,10.182,9.503
1510,13.752,15.540,14.092,9.161,9.996,14.215,11.713,12.549,15.426,13.994,11.966,7.985,11.165,12.717,9.203,8.469,12.910,11.106,10.089,10.634,9.078,10.121,9.533
1511,14.294,16.728,14.353,9.238,10.130,14.138,13.279,13.749,18.179,15.738,12.116,9.123,13.671,13.595,9.311,8.531,15.067,13.281,10.269,13.347,9.115,10.271,9.582
1512,19.556,21.490,14.488,9.262,12.597,14.225,12.955,13.532,18.470,15.495,11.908,8.934,14.341,13.729,9.305,8.685,15.691,13.261,10.235,12.965,11.129,10.187,9.812
1513,19.747,20.276,14.254,9.238,12.194,14.332,12.157,13.176,18.726,15.148,11.953,8.444,13.125,13.260,9.264,8.716,14.227,11.840,10.077,12.003,10.678,10.155,9.760
1514,17.754,18.522,14.151,9.197,10.992,14.097,11.783,12.824,17.370,14.505,11.950,8.180,12.380,13.021,9.242,8.618,13.530,11.409,9.832,11.283,9.794,10.179,9.590
1515,16.248,17.258,13.961,9.189,10.435,14.128,11.803,12.580,16.579,14.349,12.050,8.083,12.086,12.769,9.199,8.511,13.133,11.313,9.625,11.010,9.435,10.124,9.608
1516,15.490,16.567,14.032,9.273,10.229,14.097,11.733,12.549,15.968,14.171,11.892,7.975,11.933,12.671,9.236,8.542,12.935,11.242,9.427,10.847,9.313,10.200,9.489
1517,14.952,16.177,13.959,9.158,10.265,14.069,11.681,12.459,15.838,14.142,11.955,8.062,11.545,12.695,9.169,8.522,12.792,11.133,9.353,10.885,9.137,10.089,9.541
1518,14.620,16.010,14.049,9.162,10.059,14.104,11.741,12.480,15.679,14.152,11.953,7.970,11.584,12.679,9.116,8.528,12.796,11.146,9.316,10.841,9.118,10.079,9.482
1519,14.426,15.831,13.976,9.120,10.150,14.035,11.783,12.441,15.421,14.118,11.811,8.002,11.353,12.662,9.240,8.438,12.825,11.099,9.180,10.732,9.053,10.142,9.511
1520,14.158,15.653,14.002,9.171,10.079,14.159,11.541,12.541,15.532,14.152,12.087,8.036,11.286,12.610,9.179,8.534,12.800,11.108,9.165,10.745,9.171,10.092,9.585
1521,14.022,15.806,13.916,9.171,10.067,14.104,11.633,12.588,15.557,14.078,11.939,8.023,11.322,12.633,9.130,8.486,12.897,11.162,9.158,10.806,9.164,10.076,9.557
1522,13.963,15.573,13.864,9.174,10.087,14.083,11.658,12.498,15.404,14.082,11.992,8.002,11.286,12.626,9.152,8.567,12.823,11.150,9.114,10.637,9.040,10.113,9.559
1523,13.923,15.460,14.036,9.165,10.209,14.055,11.713,12.615,15.449,14.085,11.968,7.977,11.169,12.679,9.191,8.534,12.817,11.153,9.225,10.662,9.120,10.126,9.523
1524,13.941,15.651,14.032,9.182,10.083,14.097,11.589,12.437,15.483,14.095,11.968,7.968,11.212,12.638,9.165,8.520,12.810,11.178,9.146,10.701,9.078,10.105,9.552
1525,13.912,15.565,14.118,9.169,10.016,14.104,11.636,12.510,15.357,14.011,11.937,8.017,11.118,12.705,9.217,8.508,12.771,11.200,9.156,10.717,9.124,10.132,9.590
1526,13.846,15.589,13.989,9.150,10.178,14.138,11.603,12.483,15.447,14.201,11.995,8.002,11.243,12.605,9.201,8.421,12.768,11.111,9.170,10.685,9.051,10.113,9.536
1527,13.741,15.510,14.161,9.148,10.154,14.152,11.648,12.585,15.474,14.152,11.929,7.998,11.067,12.610,9.154,8.514,12.766,11.170,9.168,10.637,9.080,10.182,9.515
1528,13.899,15.413,14.079,9.146,10.111,14.204,11.673,12.554,15.474,14.108,12.134,8.000,11.153,12.619,9.232,8.528,12.872,11.242,9.114,10.650,9.122,10.118,9.541
1529,13.875,15.431,14.036,9.166,10.079,14.128,11.683,12.515,15.434,13.962,12.063,8.023,11.078,12.605,9.177,8.492,12.724,11.135,9.158,10.656,9.151,10.079,9.557
1530,13.771,15.359,14.022,9.238,10.166,14.173,11.601,12.551,15.357,14.066,12.116,8.034,11.078,12.579,9.128,8.500,12.762,11.226,9.086,10.573,9.164,10.137,9.521
1531,13.850,15.480,13.929,9.211,10.154,14.142,11.611,12.495,15.270,13.992,12.108,8.057,11.125,12.636,9.152,8.514,12.834,11.133,9.057,10.634,9.069,10.050,9.475
1532,13.721,15.468,13.882,9.203,10.123,14.142,11.556,12.437,15.421,14.093,12.071,7.955,11.027,12.567,9.167,8.466,12.867,11.030,9.175,10.634,9.073,10.158,9.408
1533,13.796,15.440,14.095,9.187,10.079,14.090,11.796,12.571,15.457,14.087,12.011,8.062,11.110,12.617,9.228,8.556,12.743,11.195,9.109,10.717,9.040,10.071,9.485
1534,13.725,15.581,14.071,9.190,10.142,14.215,11.671,12.510,15.417,14.154,11.982,8.002,11.165,12.617,9.161,8.466,12.779,11.226,9.136,10.634,9.038,10.063,9.420
1535,13.712,15.569,13.978,9.173,10.067,14.284,11.686,12.595,15.460,14.123,11.937,8.015,11.216,12.643,9.100,8.503,12.834,11.140,9.106,10.602,9.027,10.166,9.510
1536,13.732,15.351,13.993,9.146,10.028,14.024,11.506,12.498,15.421,14.121,11.905,7.981,11.071,12.719,9.106,8.539,12.749,11.173,9.114,10.554,9.073,10.166,9.464
1537,13.862,15.421,14.084,9.096,10.107,14.000,11.711,12.500,15.468,14.025,12.032,8.019,11.235,12.567,9.134,8.466,12.796,11.242,9.094,10.710,9.111,10.150,9.510
