 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46
719,161.594,102.688,60.582,75.985,64.406,73.083,66.721,126.066,111.048,105.149,166.457,70.486,91.520,70.874,82.506,95.690,106.801,68.779,77.947,107.080,73.187,115.546,90.276,92.015,104.060,73.686,92.924,96.172,72.923,67.693,77.348,65.770,64.927,69.786,93.823,82.699,81.144,84.300,83.232,72.582,79.308,86.940,80.331,87.017,71.013,79.351
720,160.367,102.442,61.048,75.553,63.892,73.620,67.174,127.018,110.505,106.050,167.570,70.365,92.651,71.874,82.388,96.595,106.191,67.825,78.775,106.597,72.527,116.497,89.925,91.825,104.093,73.654,93.251,96.914,72.253,66.459,77.468,65.863,64.681,70.467,93.375,81.737,81.501,84.418,83.320,71.766,78.674,87.712,80.280,87.067,75.918,79.589
721,160.158,103.961,61.523,76.548,64.127,74.049,66.885,126.023,109.781,105.860,166.480,70.365,92.224,71.812,81.902,96.194,106.511,68.108,77.790,107.247,73.291,116.014,88.484,92.060,105.151,75.825,93.251,96.238,73.131,66.784,77.055,65.643,65.747,69.902,94.337,82.120,80.565,85.413,83.606,71.567,79.104,87.605,81.233,87.483,75.928,79.668
722,161.953,102.732,60.832,75.716,64.256,73.663,66.465,125.504,110.006,105.277,165.814,70.445,93.771,72.343,81.885,96.165,106.284,68.183,77.630,106.283,71.896,116.386,88.848,92.733,104.120,74.809,92.986,96.272,73.419,67.404,77.047,65.941,64.867,70.375,94.281,82.669,81.738,84.216,83.247,73.546,78.761,87.223,80.847,87.228,75.516,80.219
723,161.226,103.221,61.158,76.066,63.615,73.762,66.530,125.757,110.939,105.750,167.338,70.383,92.796,71.304,82.503,96.387,106.645,67.954,78.105,106.738,73.302,116.749,88.854,92.094,104.521,74.746,93.270,95.709,73.039,67.178,76.137,65.537,64.865,70.547,93.861,80.917,80.929,83.549,82.943,72.163,78.507,87.665,80.646,87.197,73.912,79.653
724,161.184,102.349,61.074,76.289,63.764,73.297,67.139,126.542,110.466,105.140,166.477,70.311,92.709,71.643,81.450,95.740,106.650,68.096,79.011,105.444,72.973,116.887,88.780,91.762,105.669,73.246,93.395,95.901,73.111,67.068,76.679,65.554,65.432,70.025,93.681,79.774,81.752,85.554,83.034,71.816,78.888,86.755,81.069,87.096,72.069,78.894
725,160.513,102.587,60.724,76.328,64.290,72.831,67.010,126.534,110.434,104.953,167.953,69.951,92.535,72.024,81.888,96.137,107.057,67.667,77.669,106.088,73.473,116.492,88.677,92.485,104.449,73.848,92.719,95.636,72.733,67.406,77.512,65.707,64.805,70.181,93.235,81.835,81.856,84.371,83.160,72.248,78.179,87.378,80.663,87.082,73.105,79.755
726,160.474,103.307,61.232,75.885,63.923,73.220,66.939,125.701,112.090,105.329,167.346,69.689,92.392,71.237,82.073,97.054,107.074,68.246,78.230,106.618,72.044,115.855,89.646,92.787,104.822,73.207,93.762,96.119,73.308,67.199,76.970,66.191,64.989,69.864,94.446,81.586,80.601,84.390,83.351,72.872,78.452,86.056,80.294,87.226,71.886,79.211
727,160.739,103.145,61.077,76.946,63.652,72.699,67.223,126.476,111.051,104.689,166.172,69.608,93.264,71.932,82.430,95.832,106.702,68.908,77.389,106.403,72.912,116.462,89.140,91.140,103.928,73.678,93.251,96.139,72.124,67.770,77.970,65.202,64.958,70.275,94.527,81.729,80.978,83.869,84.095,72.149,78.738,86.592,81.084,86.361,71.154,80.204
728,161.429,103.383,61.088,76.235,64.164,73.636,66.551,127.101,110.486,105.709,167.768,69.942,93.133,71.652,81.891,96.273,106.066,67.613,78.187,107.086,73.626,116.422,89.510,92.104,105.006,73.492,93.343,96.589,73.059,67.336,77.027,65.430,65.047,70.004,93.516,82.233,80.933,83.991,83.461,72.106,78.513,86.691,81.058,87.118,70.670,79.264
729,161.648,103.305,60.551,76.020,64.013,72.874,66.980,126.061,111.026,105.615,166.109,70.125,92.794,71.514,82.346,96.139,107.667,67.713,77.722,106.174,73.104,116.478,89.683,91.229,105.997,73.173,93.578,95.179,72.884,66.949,76.677,65.272,65.124,70.308,93.511,81.767,80.738,84.235,84.026,72.993,79.006,86.614,80.363,86.603,71.186,79.608
730,161.047,102.442,60.978,75.257,63.501,73.249,67.131,126.729,110.424,104.468,166.826,70.702,92.113,71.239,82.042,95.609,108.194,68.092,77.339,106.323,72.918,115.949,89.272,92.517,106.039,73.830,93.230,98.576,72.514,67.116,77.164,65.561,65.324,69.647,93.425,80.910,80.803,84.437,83.531,72.610,78.401,87.850,80.925,87.269,71.258,78.826
731,160.842,102.784,60.313,75.941,63.310,73.625,67.337,127.385,110.624,104.383,167.838,70.580,92.186,71.572,81.561,96.096,107.156,68.704,77.960,106.327,73.302,116.410,87.591,92.375,104.566,73.181,92.627,97.344,72.717,66.953,77.241,65.570,65.149,69.922,93.876,83.752,81.186,84.352,83.544,71.723,78.741,87.524,80.888,87.101,70.729,79.392
732,159.818,102.302,60.969,75.853,64.288,73.234,66.757,126.327,110.486,104.182,165.488,69.805,92.035,71.266,82.078,96.387,106.393,68.321,77.998,106.216,73.044,116.466,86.195,91.896,104.867,73.283,93.635,95.967,72.586,67.008,77.299,65.670,65.568,70.487,94.430,82.083,82.111,84.629,83.165,73.092,78.360,86.352,80.245,86.024,70.846,78.604
