 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27
192,18.738,17.247,18.628,12.882,14.022,12.108,21.723,12.906,13.671,15.483,13.906,16.570,13.599,13.082,14.199,12.079,16.606,14.874,15.971,17.277,12.378,20.887,13.284,12.034,10.760,11.795,13.405
193,18.234,17.019,17.729,12.888,13.991,11.949,21.168,12.753,13.654,15.435,13.596,16.367,13.493,12.872,13.976,11.880,16.172,14.360,15.346,17.313,12.038,20.891,13.224,11.907,10.880,11.716,12.992
194,18.040,17.009,17.334,12.947,14.076,11.972,21.106,12.638,13.798,15.382,13.453,16.233,13.408,13.000,13.942,11.878,16.155,14.246,15.136,17.234,11.966,20.918,13.281,11.968,10.799,11.745,12.762
195,17.981,17.157,17.037,12.845,14.102,11.851,21.090,12.601,13.872,15.497,13.453,16.133,13.342,12.827,13.851,11.868,16.146,14.083,15.090,17.256,11.950,20.873,13.210,12.032,10.684,11.831,12.672
196,18.006,17.062,17.190,12.848,14.095,11.790,20.889,12.700,13.938,15.356,13.439,16.252,13.368,12.888,13.855,11.780,15.857,14.114,15.075,17.238,11.857,20.869,13.243,11.984,10.767,11.752,12.803
197,17.868,16.988,16.893,12.786,14.019,11.792,20.940,12.563,13.930,15.521,13.404,16.079,13.329,12.857,13.959,11.873,16.003,13.926,14.919,17.170,11.974,20.935,13.225,11.889,10.703,11.752,12.715
198,17.862,17.017,16.890,12.914,14.000,11.857,20.970,12.662,13.728,15.463,13.417,16.085,13.408,12.827,13.840,11.861,15.974,13.914,14.967,17.243,12.006,20.858,13.183,11.968,10.711,11.838,12.764
199,17.992,17.014,16.971,12.813,14.043,11.741,21.071,12.579,13.720,15.397,13.430,16.106,13.461,12.918,13.881,11.833,15.965,14.058,14.854,17.172,11.903,20.884,13.252,11.887,10.679,11.763,12.644
200,17.977,16.976,17.023,12.838,14.013,11.815,20.899,12.595,13.708,15.386,13.430,16.033,13.217,12.888,13.723,11.754,16.050,13.877,14.820,17.172,11.865,20.889,13.255,11.867,10.708,11.691,12.723
201,18.052,16.897,16.821,12.807,14.020,11.767,20.889,12.592,13.840,15.450,13.471,16.109,13.191,12.801,13.833,11.859,15.907,13.874,14.890,17.025,11.925,20.971,13.214,11.871,10.757,11.752,12.713
202,17.916,16.997,17.095,12.747,14.080,11.843,21.027,12.729,13.650,15.380,13.417,16.085,13.428,12.964,13.812,11.911,15.875,14.083,14.928,17.073,11.832,20.878,13.210,11.986,10.686,11.763,12.723
203,17.893,16.998,16.948,12.727,14.065,11.788,21.049,12.700,13.679,15.444,13.265,16.042,13.388,12.878,13.840,11.837,15.918,14.077,14.924,17.125,11.850,20.858,13.228,11.865,10.711,11.705,12.787
204,18.019,17.047,17.012,12.881,14.034,11.787,21.106,12.515,13.802,15.346,13.457,16.148,13.454,13.031,13.887,11.878,15.843,14.169,14.899,17.247,11.891,20.887,13.269,12.020,10.752,11.763,12.818
205,17.755,16.874,16.827,12.881,13.994,11.731,20.861,12.689,13.638,15.512,13.480,16.130,13.158,12.862,13.684,11.737,15.939,14.052,14.929,17.247,11.853,21.027,13.345,11.936,10.703,11.773,12.731
206,17.933,16.945,17.078,12.695,14.069,11.827,20.929,12.563,13.613,15.384,13.605,15.961,13.263,13.026,13.790,11.766,15.886,13.975,14.904,17.311,11.899,20.849,13.233,11.899,10.640,11.727,12.590
207,17.935,17.134,16.804,12.670,13.911,11.757,20.997,12.590,13.617,15.318,13.413,16.070,13.296,12.816,13.922,11.806,16.023,13.997,14.890,17.120,11.931,20.884,13.181,12.095,10.713,11.759,12.762
208,17.799,16.995,16.738,12.772,14.015,11.802,20.902,12.574,13.794,15.413,13.354,16.030,13.276,12.862,13.799,11.871,16.026,13.920,14.869,17.259,11.915,21.009,13.294,11.984,10.730,11.709,12.521
209,18.023,16.940,17.012,12.895,13.963,11.733,21.193,12.643,13.626,15.492,13.332,15.948,13.382,12.908,13.870,11.799,15.953,13.908,14.898,17.161,11.818,20.878,13.423,11.946,10.672,11.572,12.710
210,17.885,17.010,17.058,12.820,14.015,11.806,20.701,12.507,13.654,15.205,13.439,16.006,13.151,12.883,13.868,11.833,15.971,14.012,14.882,17.098,11.949,21.033,13.349,11.924,10.662,11.701,12.777
211,17.944,17.002,16.836,12.857,13.927,11.815,21.016,12.627,13.708,15.452,13.354,16.067,13.257,12.954,13.894,11.885,15.974,14.012,14.984,17.286,11.915,20.875,13.262,11.837,10.738,11.856,12.646
212,17.757,17.024,16.813,12.893,14.061,11.769,20.954,12.619,13.782,15.420,13.426,16.058,13.243,12.821,13.701,11.706,15.962,14.025,14.955,17.091,11.931,20.762,13.229,11.877,10.728,11.759,12.677
213,17.797,17.033,16.712,12.904,14.011,11.806,20.810,12.657,13.704,15.404,13.390,16.127,13.237,12.786,13.948,11.782,16.064,13.960,14.903,17.150,11.925,20.906,13.276,12.018,10.706,11.687,12.587
214,17.975,17.026,16.856,12.845,13.942,11.802,20.780,12.684,13.683,15.316,13.323,15.982,13.553,12.724,13.693,11.754,16.006,13.935,14.892,17.202,11.879,20.924,13.280,11.909,10.659,11.730,12.797
215,17.885,16.795,16.781,12.738,14.002,11.748,20.823,12.646,13.617,15.442,13.390,16.067,13.375,12.862,13.766,11.856,15.939,13.862,14.844,17.127,11.939,20.777,13.173,11.887,10.657,11.770,12.672
216,17.847,17.038,16.775,12.834,13.942,11.717,20.878,12.649,13.728,15.333,13.332,16.009,13.395,12.872,13.768,11.746,15.918,13.815,14.811,17.243,11.863,20.956,13.218,11.777,10.748,11.644,12.769
217,17.858,16.997,16.738,12.807,14.011,11.799,21.049,12.534,13.745,15.265,13.435,16.018,13.414,12.908,13.773,11.866,15.939,13.951,14.887,17.152,11.889,20.808,13.238,11.881,10.637,11.723,12.718
218,17.889,16.914,16.807,12.834,13.944,11.832,20.891,12.651,13.605,15.380,13.413,16.161,13.401,12.847,13.805,11.756,15.886,13.862,14.944,17.068,11.844,20.782,13.198,11.901,10.703,11.748,12.672
219,17.808,17.038,16.876,12.797,14.015,11.769,20.889,12.665,13.671,15.282,13.489,15.867,13.493,12.878,13.764,11.727,16.006,14.080,14.892,17.002,11.855,20.907,13.241,11.863,10.679,11.719,12.638
220,17.753,17.060,16.893,12.825,13.996,11.771,21.060,12.627,13.761,15.340,13.368,16.058,13.257,12.847,13.823,11.792,15.953,13.994,14.941,17.184,11.945,20.882,13.397,11.954,10.664,11.827,12.762
221,17.772,17.133,16.925,12.879,14.032,11.790,20.859,12.689,13.724,15.419,13.413,16.067,13.230,12.821,13.788,11.864,16.015,14.043,14.894,17.277,11.887,20.779,13.352,12.064,10.642,11.687,12.777
222,17.814,16.926,16.686,12.836,13.957,11.694,20.970,12.542,13.597,15.400,13.426,16.033,13.072,12.954,13.775,11.847,15.991,13.978,14.999,17.145,11.861,20.677,13.312,11.920,10.603,11.748,12.836
223,17.877,16.853,16.902,12.807,13.983,11.759,20.935,12.614,13.551,15.218,13.309,15.964,13.118,12.760,13.810,11.804,15.927,13.898,14.929,17.129,11.905,20.813,13.291,11.869,10.684,11.734,12.774
224,17.766,16.993,16.787,12.806,14.019,11.778,20.739,12.568,13.823,15.395,13.368,16.064,13.132,12.923,13.898,11.928,15.761,13.834,14.831,17.136,11.996,20.731,13.172,11.932,10.615,11.781,12.638
225,17.856,16.934,16.749,12.843,13.952,11.806,20.842,12.665,13.831,15.227,13.453,16.088,13.250,12.852,13.790,11.852,15.796,14.012,14.933,17.107,11.925,20.704,13.174,11.930,10.696,11.763,12.705
226,17.787,16.867,16.902,12.909,14.037,11.734,20.872,12.649,13.774,15.417,13.287,16.139,13.211,12.872,13.755,11.804,16.017,14.052,14.915,17.249,11.832,20.710,13.142,11.942,10.689,11.691,12.803
227,17.891,16.857,16.890,12.875,14.007,11.792,20.826,12.536,13.765,15.366,13.314,16.145,13.316,12.913,13.864,11.835,15.910,14.034,14.851,17.163,11.792,20.713,13.252,11.881,10.723,11.766,12.779
228,17.805,16.934,16.816,12.836,13.991,11.809,20.712,12.630,13.362,15.329,13.175,15.897,13.112,12.791,13.710,11.876,15.834,13.843,14.890,17.066,11.925,20.782,13.204,11.851,10.733,11.734,12.613
229,17.864,16.898,16.916,12.873,13.937,11.717,20.772,12.609,13.695,15.261,13.502,16.006,13.513,12.668,13.853,11.722,15.694,13.874,14.832,17.147,11.840,20.793,13.122,11.909,10.652,11.716,12.700
230,17.751,16.986,16.700,12.800,13.974,11.804,20.908,12.536,13.667,15.307,13.426,16.091,13.178,12.847,13.840,11.739,15.869,13.911,14.789,17.086,11.758,20.681,13.177,11.873,10.689,11.777,12.849
231,17.709,16.838,16.896,12.824,13.968,11.736,20.957,12.603,13.539,15.366,13.390,15.915,13.237,12.918,13.725,11.761,15.872,13.935,14.835,17.175,11.962,20.833,13.159,11.909,10.755,11.755,12.641
232,17.772,16.916,16.772,12.850,13.978,11.787,20.899,12.611,13.621,15.188,13.305,16.061,13.395,12.638,13.825,11.923,15.904,13.880,14.914,17.032,11.786,20.817,13.167,11.885,10.699,11.709,12.692
