 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28
1203,29.193,38.010,30.846,23.722,26.874,34.514,49.749,38.973,39.307,24.543,38.272,34.760,30.222,34.389,34.358,34.011,25.749,28.881,25.834,27.737,37.263,34.057,32.576,31.828,32.728,47.562,34.267,53.133
1204,29.176,38.243,31.022,23.709,26.909,34.532,50.133,38.990,39.099,24.574,38.135,34.665,30.271,34.705,34.387,33.809,26.712,31.144,27.464,27.727,36.899,34.304,32.331,31.773,32.556,47.323,34.260,52.834
1205,29.074,38.000,30.654,23.712,26.702,34.523,49.698,38.930,39.206,24.570,38.030,34.514,30.144,34.453,34.485,33.566,26.186,29.907,27.007,27.753,37.000,34.444,32.177,31.443,32.243,47.273,33.910,52.402
1206,28.817,37.981,30.456,23.598,26.976,34.505,49.612,38.910,39.169,24.717,38.237,34.742,30.255,34.405,34.503,33.676,25.332,29.105,25.630,27.531,37.638,34.584,32.291,31.803,32.545,47.493,34.127,52.832
1207,29.115,37.962,30.886,23.754,26.946,35.000,49.627,38.926,38.956,24.502,38.132,34.645,30.181,34.363,34.408,33.846,25.458,28.545,25.518,27.146,37.433,34.586,32.282,31.840,32.794,47.743,34.243,52.430
1208,29.237,37.906,30.680,23.669,26.893,34.606,49.812,39.192,39.671,24.617,37.967,34.683,30.222,34.250,34.256,33.816,29.918,28.789,25.336,27.398,37.218,34.469,32.424,31.810,32.669,47.305,34.120,52.644
1209,28.952,38.252,30.669,23.648,26.759,34.843,49.694,39.196,39.134,24.572,38.299,34.345,30.034,34.213,34.294,33.686,28.967,27.723,24.691,27.279,37.229,34.266,32.289,31.953,32.606,47.110,34.197,52.707
1210,29.137,37.981,30.522,23.646,26.935,34.612,49.784,39.397,38.765,24.541,37.976,34.471,30.204,34.350,34.328,33.681,27.984,27.296,24.216,27.276,37.242,34.400,32.071,31.485,32.595,47.296,33.723,52.745
1211,29.150,38.105,31.022,23.730,27.015,34.810,49.580,39.331,39.219,24.445,38.317,34.857,29.938,34.471,34.342,33.710,27.747,26.644,23.977,27.328,37.379,34.334,32.182,31.690,32.603,47.587,33.710,52.984
1212,29.064,37.723,30.614,23.640,26.856,34.634,49.388,39.425,38.978,24.566,38.129,34.486,30.002,34.211,34.459,33.816,31.138,26.812,23.900,27.622,37.467,34.436,32.459,31.786,33.055,47.722,33.853,52.754
1213,28.964,38.205,30.585,23.735,26.743,34.608,49.707,38.975,39.110,24.514,37.823,34.389,29.977,34.324,34.275,33.691,30.023,26.206,23.945,27.336,37.328,34.651,32.385,31.446,32.596,47.489,33.957,52.911
1214,28.941,38.078,30.721,23.923,26.896,34.516,49.206,39.348,39.112,24.861,38.344,34.829,30.165,34.334,34.446,34.043,29.258,26.002,23.984,27.523,37.161,34.446,32.341,32.167,32.752,47.463,34.100,52.743
1215,29.288,38.042,30.941,23.765,26.939,34.590,49.433,39.209,39.252,24.549,38.153,34.614,29.732,34.442,34.639,33.691,35.816,32.350,26.168,28.081,37.248,34.528,32.406,31.776,32.834,47.557,33.927,52.848
1216,29.257,37.987,30.798,23.746,26.815,34.969,49.713,39.243,39.101,24.668,38.449,34.348,29.814,34.382,34.409,34.029,36.675,31.409,26.580,27.844,37.435,34.313,32.305,31.584,32.826,47.479,33.847,52.717
1217,28.898,38.073,30.500,23.915,26.848,34.660,49.430,39.221,38.987,24.605,38.063,34.442,30.211,34.250,34.487,33.995,35.533,32.591,26.852,27.828,37.486,34.611,32.383,31.734,32.997,47.388,33.817,52.760
1218,29.089,38.082,30.544,23.661,26.793,34.658,49.931,39.260,39.425,24.508,38.326,34.532,30.009,34.439,34.354,33.715,35.899,33.828,28.693,28.034,37.593,34.457,32.487,31.808,32.810,47.404,34.310,52.673
1219,29.191,38.055,30.544,23.958,26.872,34.826,49.779,39.378,39.303,24.691,38.305,34.598,29.989,34.442,34.363,33.593,34.254,32.409,28.118,27.781,37.529,34.495,32.323,31.892,32.748,47.436,33.730,52.661
1220,29.046,37.918,30.577,23.497,26.869,34.804,49.728,39.245,39.441,24.816,38.811,35.197,30.273,34.226,34.518,33.920,35.478,35.279,30.350,27.854,37.497,34.178,32.719,31.852,32.757,47.427,34.093,52.642
