 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32
1,25.679,25.756,27.096,31.635,25.621,21.082,21.691,20.055,21.960,22.397,22.934,26.776,26.576,38.121,60.119,42.250,31.145,32.565,28.409,26.576,46.795,33.596,21.109,20.516,161.641,24.425,20.588,22.636,22.044,22.193,20.068,15.692
2,26.675,26.692,27.974,32.317,26.557,21.811,22.251,20.507,22.691,22.883,23.480,27.491,27.218,39.382,62.175,43.287,31.032,33.859,29.308,27.153,48.984,33.659,21.256,20.701,160.113,24.881,20.807,23.659,22.308,22.493,20.655,15.856
3,26.639,26.506,27.776,31.858,26.528,21.647,22.364,20.452,22.539,22.612,23.527,27.155,27.048,38.908,61.249,43.000,30.289,34.036,29.082,26.755,50.664,33.027,21.259,20.665,158.924,24.818,21.049,23.499,22.293,22.397,20.669,15.844
4,26.414,26.660,27.750,31.658,26.313,21.628,22.269,20.462,22.822,22.792,23.249,27.029,26.936,38.637,60.710,42.493,29.254,33.629,28.631,26.498,47.928,32.734,21.061,20.473,156.629,24.907,20.773,23.427,22.262,22.495,20.559,15.924
5,26.562,26.421,27.427,31.491,26.227,21.553,22.227,20.291,23.430,22.811,23.357,27.109,27.106,37.970,60.076,41.931,29.074,33.452,28.596,26.429,47.318,32.379,21.095,20.569,155.819,24.867,20.985,23.475,22.193,22.387,20.471,15.918
6,26.595,26.562,27.361,31.187,26.062,21.348,22.148,20.315,23.279,23.014,23.406,27.064,27.127,37.611,59.521,41.630,27.875,33.949,28.624,26.212,48.580,31.880,21.034,20.507,154.774,24.738,20.880,23.373,22.296,22.519,20.576,15.908
7,26.489,26.284,27.425,30.687,25.857,21.443,22.193,20.257,23.059,23.194,23.279,26.836,26.997,37.271,58.735,41.724,28.605,33.616,28.310,26.087,46.717,31.745,20.912,20.422,153.252,24.826,20.794,23.455,22.209,22.405,20.488,15.935
8,26.470,26.385,27.194,30.482,26.013,21.622,21.871,20.449,22.897,23.411,23.317,26.930,26.660,36.943,58.092,41.321,29.852,33.221,28.199,26.008,44.650,31.421,20.914,20.286,151.639,24.709,20.751,23.418,22.263,22.284,20.623,15.879
9,26.308,26.370,27.380,29.854,26.075,21.471,21.781,20.452,22.829,23.096,23.221,26.821,26.761,36.713,57.754,41.166,29.170,32.835,28.023,25.840,42.105,31.035,20.987,20.431,149.685,24.627,20.594,23.220,22.277,22.351,20.606,15.828
10,26.229,26.397,26.957,29.920,26.047,21.475,21.786,20.293,22.736,23.425,23.214,26.805,26.618,36.311,57.199,41.823,28.412,33.156,27.917,25.703,41.574,30.778,20.933,20.232,148.195,24.599,20.828,23.714,22.642,22.408,20.676,15.977
11,26.417,26.168,27.348,29.658,26.004,21.475,21.784,20.430,23.190,23.215,23.166,26.779,26.485,36.224,56.764,42.000,27.977,32.996,27.576,25.610,39.818,30.504,20.918,20.219,145.714,24.785,20.770,23.710,22.626,22.379,20.750,15.853
12,26.129,26.287,27.179,29.491,25.800,21.516,22.050,20.254,23.123,22.787,23.167,26.620,26.721,35.961,56.782,41.953,27.328,32.675,27.496,25.372,37.965,30.144,20.800,20.067,144.992,24.702,20.657,23.518,22.665,22.446,20.716,15.884
13,26.464,26.377,26.998,29.162,25.819,21.381,22.016,20.279,23.028,22.710,23.127,26.588,26.623,35.735,56.617,41.942,26.817,32.154,27.360,25.580,36.498,29.749,20.913,20.087,143.722,24.551,20.659,23.490,22.702,22.356,20.664,15.873
14,26.161,26.181,27.017,29.260,25.757,21.439,21.710,20.310,22.928,22.572,23.120,26.437,26.894,35.475,56.318,42.360,26.463,33.407,27.500,25.323,39.574,29.463,20.812,20.357,143.021,24.582,20.820,23.402,23.089,22.334,20.929,15.891
15,26.351,26.163,27.075,28.877,25.550,21.329,21.662,20.274,22.775,22.591,23.194,26.604,26.679,35.547,55.934,42.763,26.196,33.964,27.736,25.431,46.908,29.272,20.785,20.205,141.049,24.498,20.685,23.689,23.100,22.351,20.894,15.905
16,26.235,26.054,26.859,28.813,25.503,21.254,21.831,20.419,22.655,22.614,23.119,26.312,26.698,35.382,55.938,42.206,25.887,34.186,27.583,25.198,47.459,28.892,20.835,20.123,139.772,24.634,20.753,23.659,22.980,22.307,20.792,15.890
17,26.181,26.128,26.793,28.443,25.514,21.428,21.712,20.371,22.581,22.470,23.115,26.442,26.660,35.101,55.536,41.687,25.897,33.631,27.490,25.046,45.730,28.578,20.695,20.009,139.318,24.702,20.785,23.452,22.712,22.287,20.632,15.890
18,26.594,26.274,27.141,28.872,25.561,21.441,21.763,20.509,22.604,22.269,23.022,26.385,26.507,35.019,55.160,41.641,25.505,33.091,27.088,24.981,43.611,28.498,20.772,20.214,139.331,24.369,20.629,23.409,22.662,22.342,20.618,15.935
19,26.380,26.215,26.936,28.397,25.634,21.344,21.894,20.443,23.245,22.318,23.080,26.237,26.623,34.510,54.533,41.444,25.151,32.987,27.192,24.863,41.633,28.475,20.624,19.933,137.307,24.475,20.755,23.200,22.579,22.140,20.373,16.026
20,26.444,26.503,27.071,28.582,25.801,21.426,21.902,20.660,23.275,22.439,23.027,26.334,26.515,34.382,54.243,41.468,25.039,32.711,26.853,24.904,39.572,27.986,20.672,20.112,139.245,24.309,20.483,23.213,22.540,22.058,20.370,16.092
21,26.855,26.359,26.929,28.760,25.601,21.391,22.230,20.746,23.179,22.493,23.094,26.264,26.475,34.450,54.418,41.217,25.199,32.215,26.613,24.813,37.664,27.650,20.629,19.913,139.464,24.387,20.620,23.114,22.470,22.007,20.022,16.272
22,26.652,26.718,27.013,28.429,25.544,21.626,22.177,20.745,22.923,22.505,23.140,26.349,26.605,34.363,54.049,40.870,25.071,31.842,26.308,24.660,35.705,27.560,20.615,19.757,139.968,24.388,20.569,23.193,22.590,21.942,20.034,16.107
23,26.581,26.833,27.113,28.306,25.768,21.542,21.955,20.734,23.110,22.509,22.943,26.175,26.647,34.226,54.295,41.083,24.743,32.270,26.187,24.696,34.113,27.589,20.606,19.960,138.809,24.338,20.541,23.337,22.907,21.860,20.309,16.230
24,26.565,26.407,27.103,27.858,25.489,21.649,21.868,20.651,23.062,22.556,23.041,26.228,26.714,34.578,54.164,41.904,24.990,32.557,26.253,24.664,33.277,27.360,20.577,19.982,138.889,24.310,20.487,23.120,23.148,22.006,20.632,16.230
25,26.433,26.513,27.002,28.025,25.738,21.641,21.897,20.651,23.570,22.397,23.061,26.262,26.342,35.350,54.179,42.630,24.778,32.793,26.154,24.578,32.180,26.815,20.587,19.900,138.378,24.485,20.609,23.619,23.290,21.947,20.789,16.322
26,26.435,26.630,27.284,27.852,25.980,21.535,22.005,20.698,23.672,22.379,23.057,26.215,26.660,35.178,53.707,42.908,24.621,32.150,25.915,24.549,30.949,26.678,20.601,19.799,137.949,24.353,20.577,23.353,23.710,21.932,20.752,16.230
