 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32
24,24.479,23.196,23.453,22.904,22.497,19.615,19.958,19.801,21.068,20.112,20.202,22.065,22.804,26.864,44.611,31.240,20.605,24.878,21.419,21.018,22.178,21.497,19.158,18.400,92.916,21.504,18.775,20.388,19.506,19.087,17.970,15.888
25,24.573,23.202,23.274,22.959,22.500,19.705,19.836,19.793,20.997,20.367,20.230,22.047,22.772,26.862,44.179,31.138,20.695,25.080,21.569,21.078,22.217,21.314,19.046,18.422,92.011,21.435,18.644,20.279,19.452,19.052,17.770,15.846
26,24.459,23.152,22.934,23.185,22.371,19.658,19.916,19.715,20.782,20.140,20.177,21.950,22.809,26.895,44.383,31.194,20.537,24.979,21.376,21.107,22.262,21.305,19.086,18.444,92.549,21.491,18.652,20.409,19.449,19.077,17.782,15.918
27,24.361,22.918,23.105,22.783,22.758,19.742,19.894,19.787,20.653,20.222,20.282,22.023,22.586,26.784,44.503,31.153,20.868,24.945,21.495,21.085,22.301,21.331,18.996,18.214,91.488,21.412,18.575,20.288,19.374,19.085,17.667,15.855
28,24.440,23.037,23.280,22.765,22.844,19.774,19.855,19.740,20.820,20.192,20.271,21.971,22.798,26.754,44.689,31.074,20.701,24.964,21.563,21.259,22.383,21.356,18.953,18.408,91.248,21.387,18.665,20.278,19.368,19.062,17.927,15.947
29,24.222,23.329,23.118,22.726,22.730,19.742,20.208,19.692,20.820,20.091,20.293,21.887,22.570,26.750,44.426,31.048,20.627,25.065,21.504,21.258,22.328,21.161,19.046,18.453,91.048,21.273,18.665,20.299,19.481,19.104,17.873,15.826
30,24.319,23.056,23.173,22.664,22.423,19.576,20.095,19.798,20.807,20.171,20.231,21.843,22.790,26.742,44.469,31.304,20.611,24.888,21.803,21.049,22.457,21.134,19.022,18.462,91.139,21.501,18.706,20.441,19.391,19.033,17.804,15.879
31,24.100,23.024,23.284,22.404,22.725,19.716,20.079,19.706,21.347,20.143,20.200,21.884,22.838,26.729,44.047,30.811,20.672,25.118,21.851,21.046,22.127,21.304,18.959,18.442,90.492,21.571,18.785,20.297,19.436,19.041,17.774,15.890
32,24.025,23.237,23.109,22.621,22.852,19.662,20.053,19.864,21.293,20.105,20.267,21.979,22.727,26.719,44.439,30.974,20.756,24.932,21.851,21.119,22.236,21.343,19.035,18.270,91.637,21.564,18.579,20.302,19.379,19.112,17.780,15.855
33,24.152,22.984,22.955,22.553,22.994,19.647,20.021,19.859,20.931,20.040,20.160,21.984,22.573,26.593,44.390,30.935,20.714,24.897,21.794,21.161,22.369,21.157,19.063,18.400,91.515,21.525,18.646,20.395,19.475,19.113,17.900,15.952
34,23.948,23.237,23.244,22.655,22.881,19.695,19.934,19.754,20.875,20.082,20.127,21.870,22.926,26.622,44.798,31.161,20.624,24.981,21.618,21.144,22.297,21.157,19.076,18.290,92.056,21.492,18.678,20.373,19.466,19.109,17.877,15.961
35,23.762,23.303,22.929,22.703,22.747,19.557,20.061,19.803,20.702,20.084,20.223,21.976,22.732,26.738,44.928,30.957,20.849,24.884,21.555,21.053,22.277,21.137,19.093,18.326,91.219,21.385,18.650,20.295,19.364,19.010,17.811,15.917
36,23.768,23.186,23.162,22.500,22.826,19.660,19.887,19.862,20.804,20.082,20.215,21.933,23.117,26.749,44.888,31.232,20.749,24.913,21.574,21.137,22.436,21.212,18.944,18.518,90.650,21.476,18.552,20.323,19.517,19.053,17.806,15.914
37,23.875,23.277,23.237,22.564,23.276,19.566,19.966,19.905,20.743,20.096,20.223,21.913,22.836,26.691,44.857,30.920,20.521,24.911,21.663,21.074,22.314,21.246,18.941,18.413,90.148,21.501,18.680,20.527,19.464,19.148,17.932,15.873
38,23.803,23.202,23.105,22.708,24.488,20.903,20.686,19.900,20.881,20.124,20.239,21.917,22.870,26.587,44.782,31.106,20.675,24.812,21.688,21.090,22.430,21.070,18.956,18.455,90.082,21.526,18.777,20.327,19.569,19.133,17.806,15.971
39,23.871,23.271,23.036,22.692,24.895,21.499,20.625,19.815,21.145,20.119,20.340,21.841,22.658,26.617,44.740,31.069,20.447,24.983,21.604,21.097,22.145,20.986,18.961,18.467,91.466,21.442,18.710,20.351,19.439,19.002,17.927,15.964
40,33.843,36.497,31.957,31.443,27.066,23.828,22.179,22.070,23.398,23.477,20.406,23.027,24.698,27.825,44.899,32.661,25.878,25.856,23.600,21.460,25.605,23.850,21.715,20.938,92.035,21.562,18.785,21.373,19.491,19.037,17.954,16.189
41,46.356,50.329,44.697,43.080,31.177,28.424,24.916,24.645,25.655,29.951,20.664,26.634,31.141,34.286,45.004,38.075,35.669,28.494,28.187,23.920,36.854,32.947,28.118,25.826,89.834,21.584,19.002,23.606,19.503,19.057,18.017,16.434
42,46.451,49.236,45.609,44.653,30.838,29.761,24.831,23.571,25.211,32.432,20.771,28.303,30.236,36.238,44.846,38.947,36.691,30.477,28.385,24.843,37.076,36.347,28.587,25.694,88.416,21.826,19.206,23.786,19.481,19.011,18.145,16.473
43,44.602,47.112,44.397,44.212,29.949,29.828,24.501,22.548,24.443,33.199,21.322,28.874,29.618,39.226,45.024,40.847,36.666,32.135,27.936,26.437,40.477,37.769,29.061,26.964,86.127,22.513,19.539,23.905,19.508,19.138,18.130,16.302
44,49.245,54.210,47.650,45.616,31.169,30.508,25.282,21.928,25.319,35.446,23.094,30.622,33.931,43.050,44.811,44.381,38.074,35.753,28.199,30.273,51.896,41.131,31.801,29.397,83.198,23.226,20.165,24.736,19.530,19.007,18.176,16.754
45,50.583,54.622,48.665,46.132,33.376,30.561,26.211,21.415,25.657,36.325,23.971,32.022,34.093,45.219,44.819,46.902,38.219,37.099,28.603,31.517,54.580,42.705,33.627,29.364,80.691,23.353,20.543,24.659,19.497,19.112,18.108,17.131
