 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24
1,129.323,113.285,90.432,80.309,75.590,78.293,81.084,88.993,84.186,75.644,82.856,71.078,69.157,69.424,67.967,71.308,150.107,78.493,64.119,65.646,56.486,61.309,60.674,64.056
2,128.670,112.791,90.764,80.418,75.669,78.034,80.344,89.223,85.023,75.931,82.173,70.713,69.233,69.531,67.771,71.903,151.215,78.246,64.471,65.726,56.647,61.081,60.949,63.637
3,129.146,112.966,91.303,80.207,75.956,78.099,80.730,88.588,85.133,75.291,81.687,70.403,69.198,69.569,67.772,71.718,150.574,79.370,64.049,66.040,56.819,60.951,60.641,63.672
4,127.524,112.580,91.440,80.249,75.819,77.680,79.751,88.863,85.023,75.615,81.436,70.751,69.023,69.198,67.658,71.413,149.719,79.124,64.107,65.635,56.664,61.014,60.510,63.496
5,126.932,113.328,91.145,79.988,76.131,77.037,80.381,89.498,83.824,75.821,81.540,70.863,68.838,69.514,67.657,71.621,150.660,78.276,64.193,65.928,56.176,61.140,60.601,63.587
6,126.736,112.766,91.825,79.996,75.902,77.984,79.975,89.624,85.254,75.852,82.240,70.462,68.880,69.572,67.429,71.560,151.050,78.443,63.678,66.182,56.414,61.526,60.616,63.792
7,128.661,112.949,92.171,80.327,75.763,77.841,79.718,88.970,84.822,75.605,82.333,70.299,68.854,69.691,67.658,72.119,150.669,78.415,63.835,65.693,56.204,61.104,61.084,63.477
8,128.010,112.275,92.388,80.334,75.982,77.486,79.991,90.082,85.490,75.762,82.387,70.685,69.171,69.779,67.588,71.480,150.081,78.709,64.007,65.521,56.669,61.054,60.810,63.749
9,127.046,112.933,92.068,79.929,75.800,77.382,79.329,89.762,85.241,75.545,81.751,71.057,69.314,69.344,67.622,71.673,150.205,78.548,63.907,65.707,56.747,61.196,60.338,63.587
10,126.566,112.777,92.364,80.011,75.720,78.025,79.279,88.912,84.570,75.709,82.129,70.645,68.999,69.129,67.302,71.633,149.503,78.503,64.229,66.367,56.456,61.368,60.350,63.952
11,126.070,112.849,92.121,80.316,75.458,77.242,78.914,88.998,84.651,75.844,81.716,70.301,69.158,69.412,67.212,71.328,149.804,78.101,64.313,65.356,56.669,60.581,60.977,63.603
12,127.362,113.123,92.765,80.323,75.811,77.189,79.345,89.380,83.786,75.342,82.025,70.640,69.130,69.303,67.493,71.881,149.806,78.623,63.863,65.771,56.853,61.074,60.538,63.821
13,127.457,112.472,92.290,80.330,75.790,77.659,78.948,89.434,84.917,75.819,81.509,70.649,69.132,69.253,67.360,71.910,149.142,77.976,63.853,65.619,56.401,61.265,60.916,63.664
