 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24
1,125.256,116.835,94.316,83.064,78.882,86.867,98.392,92.713,88.525,78.006,85.511,75.133,72.285,73.671,68.907,73.430,162.910,80.779,66.457,69.438,54.493,61.742,60.590,66.947
2,129.173,121.863,97.547,85.996,80.724,89.451,103.147,95.929,91.935,80.437,88.233,77.116,73.472,74.329,69.878,75.651,167.572,83.084,67.823,70.305,55.172,61.925,61.631,67.101
3,129.230,121.181,97.111,86.055,80.960,88.887,104.277,96.541,91.827,80.460,88.231,76.552,73.499,74.576,69.735,75.303,166.977,83.171,67.988,70.071,54.775,62.470,61.260,66.992
4,129.379,121.532,97.226,85.897,80.980,88.993,103.437,95.605,91.289,80.330,88.113,76.628,73.307,74.547,69.058,75.468,165.770,82.696,68.245,70.308,55.215,62.181,61.303,67.013
5,128.936,121.162,97.007,86.321,80.771,89.581,102.351,95.755,91.867,80.433,88.031,76.737,72.946,74.360,69.239,75.393,166.504,82.771,68.056,70.163,55.110,62.091,61.475,67.405
6,130.024,121.343,96.156,86.460,80.701,89.000,100.422,95.457,92.161,80.573,88.485,76.571,73.602,74.067,69.338,75.267,166.834,82.604,68.245,69.900,55.401,61.798,61.631,66.960
7,131.724,121.658,96.629,85.753,81.013,89.246,99.583,96.251,91.442,80.489,89.027,76.851,73.491,74.031,69.181,75.354,166.232,82.949,67.751,69.830,54.845,62.070,61.029,67.371
8,130.959,122.044,96.834,85.538,80.972,88.376,100.276,95.828,92.028,80.437,88.535,76.474,73.172,74.316,68.823,76.435,167.230,83.077,67.546,70.137,55.079,61.863,61.422,67.243
9,130.046,122.140,96.789,86.105,80.513,89.267,102.072,95.247,91.294,80.499,87.971,76.699,73.328,73.767,68.573,75.752,166.270,82.752,67.793,69.856,55.081,61.837,61.379,67.413
10,130.151,120.145,96.069,85.844,80.534,88.749,99.341,95.727,91.058,80.024,88.042,76.903,73.174,73.640,68.310,75.473,164.106,82.929,67.713,70.393,55.265,61.440,61.622,67.243
11,129.251,120.858,95.721,85.832,80.775,88.740,98.789,96.009,91.068,80.072,87.989,76.630,73.378,73.537,68.048,74.985,163.121,83.638,67.862,69.876,55.021,61.858,61.625,66.765
12,128.578,122.083,96.181,86.113,81.203,88.663,99.417,95.444,90.206,79.844,88.225,76.652,72.883,73.920,68.199,75.024,165.113,82.505,68.058,70.361,55.380,62.153,61.507,67.669
13,128.719,121.844,95.953,85.813,80.919,89.136,97.693,95.856,91.588,79.994,87.967,77.441,73.101,73.526,67.876,74.716,165.395,82.889,67.800,70.031,55.078,61.821,61.075,67.243
14,128.773,120.730,96.230,85.647,81.000,89.318,97.074,95.644,91.754,79.812,87.995,77.007,73.180,73.977,67.942,74.760,164.934,82.942,67.767,70.065,55.127,61.844,61.627,67.285
15,128.940,121.107,95.802,85.551,81.247,89.062,96.515,95.081,90.960,80.233,87.975,75.808,73.265,73.662,68.098,74.973,165.785,82.131,67.949,69.936,55.140,62.188,61.098,67.051
