 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21
215,38.876,36.992,31.033,29.677,31.769,39.698,47.512,28.307,36.329,28.951,29.367,25.707,24.591,26.502,26.508,25.793,29.879,25.363,26.081,25.109,22.869
216,37.604,34.561,30.296,29.170,30.734,37.857,45.111,28.114,35.240,27.785,28.030,24.942,24.117,25.865,25.866,25.560,29.110,24.993,25.766,24.896,22.637
217,36.941,33.381,30.218,28.523,30.638,36.494,42.859,27.980,34.710,27.170,26.862,24.579,23.873,25.508,25.479,25.439,28.345,24.750,25.868,24.587,22.488
218,36.523,32.237,29.838,28.338,29.620,35.475,41.313,27.883,33.668,26.396,26.128,24.429,23.546,24.860,25.077,25.383,27.750,24.397,25.945,24.431,22.289
219,36.090,30.720,29.649,28.296,28.995,34.203,39.573,27.842,32.717,25.824,25.381,24.104,23.003,24.450,24.821,25.341,27.390,24.257,26.038,24.247,22.239
220,35.955,30.131,29.399,28.054,28.546,33.419,38.152,27.714,31.693,25.600,24.613,23.405,22.684,24.012,24.364,25.331,27.026,24.042,25.404,24.360,21.932
221,35.754,29.978,29.574,28.116,28.246,32.581,37.024,27.691,30.731,25.150,24.032,23.023,22.311,23.682,24.096,25.148,26.789,24.000,25.826,24.022,21.846
222,35.483,29.536,29.316,27.820,28.124,31.829,36.147,27.642,30.322,24.843,23.583,22.822,22.030,23.450,23.962,25.316,26.605,24.010,25.881,24.296,21.483
223,35.086,29.322,29.161,27.778,28.139,31.242,34.845,27.546,29.841,24.880,23.178,22.749,21.805,23.096,23.712,25.508,26.449,23.713,25.600,24.220,21.300
224,35.479,29.267,29.129,27.899,27.764,30.697,34.443,27.513,29.396,24.627,23.062,22.409,21.720,22.998,23.694,25.186,26.475,23.679,25.596,24.187,21.298
225,35.207,29.120,29.213,28.156,27.968,30.330,33.493,27.492,28.731,24.436,22.697,22.247,21.774,22.720,23.467,25.194,26.218,23.797,25.757,24.307,21.233
226,34.987,29.142,29.346,27.807,27.811,29.959,32.790,27.407,28.777,24.512,22.737,22.351,21.524,22.590,23.269,25.217,26.297,23.640,25.643,24.122,21.018
227,35.085,29.166,29.341,27.607,28.047,29.582,32.086,27.364,28.350,24.402,22.487,22.193,21.510,22.573,23.289,25.153,26.372,23.637,25.719,24.129,20.948
228,35.029,29.896,29.146,27.953,27.856,29.417,31.789,27.323,28.184,24.419,22.467,22.015,21.392,22.347,23.278,25.230,26.198,23.713,25.762,24.049,21.041
229,35.227,30.333,29.271,27.978,28.035,29.069,31.238,27.245,28.152,24.471,22.579,21.826,21.278,22.314,23.077,25.192,26.163,23.699,26.009,24.522,21.140
230,34.988,29.709,29.025,27.795,28.060,28.781,30.615,27.481,28.011,24.377,22.395,21.656,21.219,22.234,23.018,25.041,26.041,23.610,25.396,24.038,21.133
231,35.179,29.227,29.060,27.756,27.931,28.587,30.459,27.330,28.088,24.385,22.166,21.629,21.236,22.102,23.031,25.003,25.916,23.659,25.421,24.091,21.047
232,35.140,29.354,29.229,27.741,27.801,28.503,30.216,27.328,27.852,24.245,22.064,21.610,21.343,22.106,22.918,25.149,25.849,23.615,25.532,24.084,20.993
233,35.140,29.185,29.199,27.835,27.583,28.168,29.804,27.336,28.184,24.439,22.146,21.876,21.235,22.123,22.884,25.086,25.794,23.453,25.723,24.149,20.786
234,34.661,28.972,28.864,27.773,27.556,28.233,29.577,27.200,27.809,24.300,22.273,21.761,21.232,22.121,22.821,25.234,25.926,23.525,25.655,23.969,20.758
235,34.706,29.153,28.846,27.672,27.787,27.964,29.332,27.307,27.869,24.428,22.206,21.568,21.215,22.000,22.848,25.310,25.947,23.691,25.711,24.116,20.548
236,34.934,29.209,28.869,27.521,27.898,28.083,29.421,27.208,27.965,24.369,22.052,21.602,21.130,21.806,22.798,24.924,25.884,23.664,25.774,23.980,20.540
237,35.099,29.123,28.913,27.672,27.715,28.033,29.014,27.208,27.788,24.165,22.086,21.591,21.088,21.884,22.779,25.033,25.875,23.630,25.404,24.160,20.515
238,34.840,29.085,28.854,27.837,27.665,27.821,28.840,27.311,27.696,24.354,22.164,21.413,21.003,21.869,22.780,25.156,25.816,23.618,25.719,24.298,20.375
239,35.096,29.807,29.185,27.721,27.538,27.822,29.035,27.257,27.678,24.192,22.174,21.266,21.112,21.805,22.640,24.966,25.893,23.554,25.613,24.113,20.504
240,35.105,29.559,29.125,27.585,27.362,27.695,28.826,27.380,27.562,24.267,22.058,21.510,21.061,21.852,22.706,25.065,25.859,23.630,25.519,24.127,20.212
241,34.970,29.474,29.165,27.919,27.486,27.660,28.676,27.370,27.686,24.218,22.084,21.382,21.050,21.755,22.723,25.046,25.643,23.478,25.587,23.931,20.251
242,34.715,29.248,28.835,27.565,27.744,27.699,28.405,27.314,27.693,24.255,21.956,21.178,20.954,21.792,22.686,25.241,25.731,23.436,25.689,23.891,20.285
