 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21
1,34.274,30.774,31.526,31.748,28.839,30.543,30.931,26.327,28.739,25.684,22.904,21.958,22.105,21.904,22.888,26.501,26.425,24.748,27.655,25.929,20.246
2,35.169,36.585,39.203,45.590,34.764,43.322,44.252,26.375,31.145,33.675,25.128,24.973,25.712,24.313,23.899,26.714,28.376,26.904,30.060,28.598,21.302
3,34.860,38.267,37.917,43.237,35.007,41.922,43.220,26.706,31.177,35.591,24.942,25.826,26.251,25.159,24.509,26.950,29.014,26.892,28.915,27.447,21.720
4,34.831,36.534,35.431,38.400,33.404,39.101,44.688,26.659,30.527,33.808,23.972,25.112,25.769,24.862,24.467,26.759,28.855,26.542,28.089,26.618,21.664
5,34.411,34.381,33.327,34.706,31.859,36.711,42.950,26.522,30.671,31.749,23.543,24.371,25.434,24.396,24.238,26.970,29.083,25.743,28.004,25.711,21.571
6,34.385,32.987,32.450,32.156,31.315,35.079,44.042,26.511,30.124,30.362,23.124,23.761,24.794,23.820,24.007,26.917,28.440,25.277,27.715,25.564,21.339
7,34.189,31.676,31.743,30.679,30.129,33.576,43.693,26.441,29.633,28.754,22.778,23.328,24.199,23.455,23.889,26.626,28.093,24.740,27.145,25.469,21.264
8,34.290,30.987,31.074,29.817,29.347,32.529,44.528,26.446,29.696,27.585,22.715,22.668,23.670,23.243,23.740,26.520,27.693,24.794,27.174,25.140,21.144
9,34.291,30.417,30.738,29.358,29.464,31.806,42.768,26.535,29.085,26.813,22.325,22.579,23.311,22.826,23.608,26.520,27.335,24.647,27.213,25.193,21.065
10,34.366,30.404,30.450,29.131,29.169,31.213,40.164,26.353,28.862,26.382,22.234,22.629,22.818,22.716,23.390,26.543,27.223,24.468,27.123,24.982,20.957
11,34.244,30.580,30.307,28.546,28.658,30.552,38.222,26.426,28.763,25.920,22.327,22.124,22.520,22.547,23.378,26.458,26.819,24.566,26.813,25.162,20.776
12,34.224,30.153,29.995,28.965,28.697,29.830,36.570,26.205,28.601,25.841,22.319,21.876,22.225,22.381,23.303,26.357,26.855,24.311,26.664,25.173,20.725
13,34.347,30.191,30.067,28.378,28.146,29.503,35.247,26.324,28.640,25.542,22.046,21.965,22.010,22.289,23.263,26.204,26.849,24.375,27.017,25.091,20.758
14,34.468,30.204,29.948,28.388,28.176,29.375,34.044,26.552,28.852,25.369,22.170,21.776,21.813,22.179,23.265,26.625,26.649,24.304,26.936,24.971,20.557
15,34.286,29.943,29.831,28.269,28.104,29.060,32.984,26.485,28.604,25.376,22.178,21.571,21.684,22.231,23.125,26.484,26.586,24.355,26.885,25.018,20.531
16,34.427,30.046,29.726,28.654,28.045,28.486,32.163,26.447,28.322,25.121,22.158,21.637,21.458,22.117,23.131,26.470,26.554,24.203,26.736,25.087,20.305
17,34.195,30.286,29.800,28.309,28.437,28.475,31.658,26.550,28.530,25.136,22.321,21.556,21.473,22.125,23.011,26.306,26.508,24.233,26.881,24.969,20.400
18,34.245,29.991,29.847,28.407,28.325,28.192,31.043,26.441,28.318,24.970,22.381,21.355,21.365,22.017,23.040,26.385,26.481,24.039,26.694,25.024,20.346
19,34.258,30.218,29.764,28.304,28.176,28.001,30.344,26.372,28.300,24.870,22.216,21.653,21.333,22.020,22.979,26.317,26.396,24.230,26.587,24.947,20.348
20,34.315,30.147,29.576,28.222,28.127,27.915,30.093,26.349,28.488,25.059,22.307,21.506,21.295,22.029,23.037,26.465,26.401,24.277,26.809,24.833,20.248
21,34.350,30.011,29.715,28.005,27.824,27.709,29.849,26.434,28.353,25.030,22.104,21.448,21.344,22.044,22.998,26.386,26.527,24.110,26.574,25.104,20.262
22,34.410,29.935,29.574,27.847,28.323,27.697,29.478,26.450,28.332,24.812,22.164,21.521,21.157,21.888,22.862,26.301,26.208,24.461,26.651,25.056,20.126
23,34.302,30.003,29.798,28.032,28.541,27.667,29.244,26.348,28.237,24.768,22.136,21.317,21.171,21.923,22.909,26.392,26.320,24.238,26.745,24.962,20.122
24,34.290,30.182,29.484,28.380,27.985,27.472,29.080,26.468,28.272,24.819,22.152,21.463,21.202,21.888,22.976,26.175,26.267,24.132,26.949,24.893,20.228
25,34.425,29.970,29.599,28.509,28.020,27.642,28.786,26.449,28.438,24.738,22.244,21.606,20.997,21.865,23.022,26.237,26.368,24.157,26.864,25.007,20.151
26,34.548,29.893,29.629,28.136,27.906,27.507,28.668,26.481,28.583,24.790,22.232,21.386,21.042,21.874,23.002,26.317,26.388,24.152,26.523,24.956,20.136
27,34.312,30.022,29.590,28.314,27.891,27.438,28.443,26.471,28.155,24.771,22.246,21.297,21.097,21.865,22.972,26.397,26.292,24.039,26.783,25.131,20.133
28,34.378,29.957,29.624,28.002,27.948,27.392,28.339,26.363,28.406,24.704,22.136,21.305,20.941,21.882,22.933,26.284,26.198,24.086,26.706,24.771,20.122
29,34.607,30.092,29.634,27.872,27.864,27.301,28.240,26.295,28.081,24.909,22.126,21.293,21.088,21.867,22.994,26.262,26.284,24.086,26.430,24.851,20.239
30,34.392,29.877,29.516,28.052,28.280,27.291,28.133,26.319,28.226,24.797,22.285,21.378,21.160,21.892,22.935,26.189,26.240,24.152,26.668,24.871,20.065
31,34.327,29.828,29.624,28.054,28.226,27.305,28.021,26.512,28.092,24.822,22.150,21.402,21.040,21.791,22.853,26.292,26.172,24.130,27.000,25.060,20.189
32,34.360,29.951,29.341,28.148,28.035,27.414,27.944,26.358,28.322,24.802,22.206,21.266,20.981,21.876,22.830,26.214,26.388,24.086,26.664,25.062,20.223
33,34.525,29.916,29.485,28.249,27.849,27.201,28.004,26.372,28.534,24.768,22.150,21.151,21.105,21.774,22.857,26.190,26.273,24.265,26.711,24.931,20.083
34,34.164,29.852,29.568,28.294,27.846,27.136,27.828,26.267,28.223,24.744,22.285,21.317,20.912,21.868,22.894,26.410,26.307,24.054,26.609,24.893,20.162
35,34.234,29.907,29.505,28.012,27.960,27.163,28.000,26.485,28.343,24.800,22.170,21.475,21.104,21.709,22.916,26.288,26.378,24.100,26.485,24.991,20.101
36,34.327,29.912,29.653,28.148,27.759,27.110,27.855,26.447,28.191,24.669,22.110,21.336,20.977,21.816,22.903,26.270,26.206,24.100,26.434,25.133,20.201
37,34.475,29.791,29.740,27.948,28.179,27.249,27.789,26.400,28.314,24.805,22.212,21.239,21.102,21.855,22.872,26.039,26.322,24.154,26.460,24.973,20.219
38,34.308,30.213,29.576,28.407,28.355,27.313,27.754,26.434,28.131,24.919,22.285,21.394,21.079,21.890,22.949,26.327,26.388,24.162,26.549,25.080,20.215
39,34.348,29.869,29.545,28.202,28.146,27.157,27.812,26.366,28.237,24.732,22.301,21.529,21.026,21.894,22.822,26.178,26.256,24.110,26.540,25.207,20.241
40,34.360,29.869,29.595,28.193,27.864,27.068,27.564,26.487,28.124,24.816,22.236,21.320,20.986,21.867,22.789,26.113,26.290,24.157,26.885,25.011,20.189
41,34.385,30.047,29.627,28.200,28.114,27.118,27.719,26.360,28.208,24.819,22.136,21.185,21.183,21.942,22.849,26.263,26.243,24.152,26.460,24.778,20.214
42,34.240,29.907,29.689,27.736,27.841,27.372,27.646,26.385,28.519,24.706,22.214,21.367,20.993,21.824,22.915,26.390,26.333,24.240,26.613,24.882,20.246
43,34.499,30.058,29.417,27.998,28.293,27.143,27.620,26.496,28.375,24.812,22.275,21.332,21.117,21.828,22.769,26.320,26.129,23.968,26.651,24.913,20.178
44,34.295,29.785,29.390,27.931,28.171,27.263,27.664,26.326,28.191,24.693,22.096,21.301,20.883,21.844,22.905,26.164,26.212,24.311,26.787,25.029,19.993
45,34.179,30.038,29.672,28.360,28.082,27.238,27.699,26.524,28.095,24.797,22.074,21.305,21.134,21.801,22.800,26.088,26.372,24.059,26.711,24.871,20.140
46,34.411,29.656,29.563,27.884,27.876,27.143,27.757,26.442,28.470,24.761,22.168,21.359,21.059,21.830,22.877,26.126,26.313,24.093,26.587,25.118,20.208
47,34.327,29.972,29.572,28.002,27.846,27.109,27.691,26.470,28.057,24.765,22.156,21.201,21.094,21.931,22.795,26.174,26.250,24.137,26.549,24.796,20.153
48,34.273,29.821,29.478,28.299,27.901,27.252,27.672,26.482,28.081,24.733,22.120,21.216,21.066,21.722,22.884,26.372,26.232,24.196,26.694,24.811,20.160
49,33.674,29.883,29.334,28.225,27.866,27.116,27.451,26.430,28.145,24.845,22.253,21.417,20.951,21.799,22.866,26.472,26.384,24.309,26.885,24.962,20.172
50,33.743,29.829,29.230,28.035,28.201,27.270,27.560,26.372,28.304,24.828,22.154,21.456,21.029,21.757,22.847,26.287,26.295,24.375,26.604,24.847,20.172
51,33.829,29.870,29.226,28.116,28.323,27.116,27.520,26.397,28.057,24.917,22.265,21.290,20.843,21.808,22.890,26.206,26.351,24.409,26.634,24.973,20.194
