 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38
1,42.936,21.616,28.987,26.598,23.915,25.174,22.986,20.118,20.336,28.383,19.407,21.401,24.443,23.279,23.226,20.760,20.254,33.022,19.923,23.855,20.179,18.717,18.504,17.423,20.472,15.436,19.376,21.126,21.376,18.677,20.389,45.519,29.221,19.769,15.411,22.980,18.009,21.137
2,44.349,22.033,29.662,27.217,24.385,25.809,23.835,20.658,20.925,29.322,19.383,21.431,24.565,22.991,24.204,21.371,20.830,32.510,20.587,23.908,20.151,19.000,19.098,17.627,20.990,15.516,19.701,21.531,21.994,19.048,20.711,48.045,30.607,20.123,15.582,23.354,18.259,21.333
3,43.825,21.907,29.517,27.364,24.468,25.755,23.606,20.752,20.834,29.226,19.240,21.440,24.717,23.051,24.215,21.380,21.024,31.371,20.605,23.637,20.319,18.875,18.769,17.764,20.961,15.484,19.825,21.234,21.744,18.825,20.752,47.886,30.118,20.204,15.592,23.276,18.151,21.415
4,43.306,21.915,29.357,27.238,24.288,25.581,23.646,20.809,20.842,29.271,19.495,21.543,24.625,23.285,24.090,21.375,20.726,30.569,20.558,23.628,20.263,18.630,18.842,17.781,20.954,15.560,19.697,21.264,21.871,18.740,20.737,47.387,29.853,20.190,15.544,23.118,18.271,21.627
5,42.843,21.896,29.368,27.117,24.335,25.574,23.431,20.709,20.874,29.223,19.315,21.321,24.657,23.078,24.128,21.395,20.410,29.624,20.544,23.608,19.964,18.467,18.795,17.579,20.941,15.511,19.750,21.218,21.922,18.802,20.622,47.604,29.868,20.075,15.501,23.138,18.319,21.505
6,42.462,22.101,29.092,27.375,24.581,25.642,23.496,20.726,20.874,29.352,19.615,21.414,24.601,23.104,24.089,21.333,20.264,28.924,20.435,23.725,20.048,18.576,18.991,17.719,21.008,15.502,19.716,21.494,22.072,18.880,20.594,47.534,29.482,20.230,15.523,23.037,18.331,21.531
7,42.124,21.981,29.129,26.889,24.340,25.530,23.572,20.869,20.990,29.283,19.481,21.401,24.616,23.185,24.287,21.341,20.180,28.127,20.497,23.437,20.151,18.435,18.658,17.644,21.033,15.351,19.594,21.515,21.963,18.759,20.607,47.474,29.324,20.187,15.601,23.228,18.300,21.684
8,41.824,21.962,28.956,27.009,24.265,25.588,23.540,20.711,20.760,29.060,19.562,21.317,24.572,23.633,24.243,21.217,20.605,27.711,20.606,23.542,20.032,18.641,18.876,17.784,20.952,15.498,19.777,21.351,21.934,18.890,20.748,47.401,29.004,20.250,15.529,23.134,18.110,21.460
9,41.487,21.964,29.006,27.073,24.289,25.496,23.438,20.912,20.953,28.864,19.738,21.347,24.536,23.268,24.217,21.408,20.535,27.169,20.602,23.489,20.243,18.516,18.496,17.721,20.995,15.351,19.603,21.418,22.000,18.819,20.720,47.492,29.059,20.130,15.528,23.089,18.164,21.392
10,41.200,21.742,28.861,27.041,24.329,25.661,23.444,20.866,20.872,29.045,19.393,21.310,24.629,22.792,24.195,21.415,20.296,26.748,20.426,23.225,20.040,18.717,18.936,17.659,20.917,15.538,19.608,21.339,21.845,18.804,20.593,47.138,29.217,20.145,15.503,23.195,18.101,21.507
