 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38
20,41.443,23.088,30.422,29.592,25.058,27.530,23.796,20.631,20.506,30.702,19.487,21.754,25.949,22.230,24.541,21.318,22.526,22.798,19.785,24.214,19.602,17.772,18.184,17.005,20.668,15.671,19.444,21.594,21.448,17.954,18.632,55.370,30.022,19.579,15.579,23.715,17.584,22.134
21,41.565,23.219,30.286,29.935,24.975,27.397,23.957,20.668,20.462,30.512,19.814,21.812,26.067,22.039,24.559,21.292,22.258,22.688,19.903,24.229,19.526,17.897,18.090,17.046,20.804,15.516,19.548,21.339,21.615,17.989,18.770,55.446,30.213,19.542,15.505,23.740,17.521,22.262
22,41.628,23.258,30.397,31.232,24.900,27.375,23.943,20.603,20.535,30.298,19.923,21.826,26.077,22.032,24.575,21.232,22.606,22.783,19.700,24.248,19.880,17.658,18.179,16.986,20.666,15.618,19.461,21.628,21.681,18.152,18.757,55.421,30.026,19.375,15.453,23.598,17.562,22.085
23,46.944,23.595,30.835,31.109,25.650,27.586,24.637,20.547,20.619,30.886,19.757,21.595,25.954,22.505,24.716,21.661,23.201,27.529,20.081,24.163,21.446,20.761,20.355,18.512,20.696,16.289,19.591,22.100,22.055,18.700,18.735,55.733,30.349,19.689,16.183,23.996,18.861,22.439
24,59.495,25.644,31.530,32.032,27.511,27.818,31.737,20.779,21.387,33.193,19.622,21.541,25.967,23.920,25.335,22.535,24.561,41.937,20.256,24.526,29.602,25.984,25.218,22.288,20.844,16.889,19.924,22.967,24.029,22.167,18.786,58.100,32.882,20.119,17.249,24.415,21.713,23.630
25,57.966,24.584,31.468,31.625,27.547,27.816,29.460,20.845,20.941,31.880,19.845,21.455,25.977,24.437,24.822,22.292,24.825,46.585,20.102,24.312,30.490,25.011,24.406,22.055,20.846,16.813,19.853,22.167,23.115,21.241,18.867,57.929,32.643,19.899,17.144,23.923,21.259,22.906
26,60.188,23.781,32.094,31.135,27.809,28.002,26.946,20.678,20.722,31.419,19.969,21.879,26.072,24.607,24.787,21.985,25.743,53.395,20.184,24.238,31.470,24.967,23.372,22.567,20.825,18.178,20.090,21.958,22.253,20.616,18.769,57.191,32.397,20.230,17.355,23.972,21.019,22.585
27,62.794,23.630,32.709,30.842,28.118,27.852,25.726,20.721,20.715,31.057,19.645,21.332,26.016,24.624,24.687,21.924,26.027,56.826,20.244,24.102,32.299,24.348,22.175,22.714,20.736,18.862,19.929,21.741,21.911,19.956,18.866,56.897,32.261,20.476,17.241,23.789,20.883,22.507
28,65.436,23.515,33.126,30.754,28.051,27.961,24.816,20.781,20.510,30.985,19.417,21.507,25.958,24.720,24.700,21.749,26.250,58.782,20.121,24.291,32.367,23.946,21.953,22.483,20.771,19.116,20.055,21.360,21.888,19.894,18.737,56.686,31.923,20.456,17.339,23.715,20.729,22.502
29,64.051,23.290,32.729,30.663,27.629,27.559,24.413,20.631,20.673,30.693,19.295,21.563,26.048,25.215,24.641,21.704,26.668,59.961,20.047,24.254,31.466,23.326,21.085,22.190,20.713,18.920,19.951,21.536,21.678,19.663,18.867,56.568,31.879,20.543,17.310,23.984,20.606,22.212
30,67.091,23.386,33.121,30.238,27.708,27.831,24.299,20.617,20.628,30.488,19.351,21.481,25.840,24.917,24.458,21.815,26.566,60.638,20.034,23.932,31.948,23.679,21.004,22.123,20.717,19.453,19.940,21.640,21.750,19.502,18.782,56.347,31.868,20.637,17.208,23.760,20.451,22.325
31,69.089,23.134,32.866,30.012,27.514,27.862,24.399,20.725,20.724,30.967,19.572,21.444,25.858,24.739,24.600,21.662,27.031,60.662,20.021,24.272,31.629,22.951,20.389,22.072,20.707,19.142,20.118,21.477,21.500,19.515,18.729,56.093,31.842,20.852,17.097,23.996,20.309,22.323
32,71.226,23.356,33.532,30.642,27.541,27.663,24.501,20.742,20.704,30.551,19.432,21.118,25.943,25.003,24.629,21.751,27.260,60.706,19.966,24.285,31.422,22.560,20.427,21.781,20.563,19.356,20.115,21.636,21.707,19.517,18.796,55.886,31.379,20.778,17.106,23.581,20.079,22.217
33,75.573,23.277,34.199,31.460,27.404,27.806,24.361,20.574,20.593,30.940,19.295,21.310,25.991,25.244,24.519,21.770,27.219,60.464,20.063,24.366,30.625,22.630,20.291,21.587,20.779,19.409,19.961,21.339,21.853,19.378,18.813,55.822,31.408,20.884,17.101,23.793,20.006,22.233
34,77.967,23.263,33.767,31.135,27.244,27.523,24.358,20.725,20.779,30.732,19.829,21.285,25.976,24.787,24.476,21.689,27.437,60.748,20.002,24.262,29.769,22.288,20.197,21.750,20.728,19.369,20.090,21.502,21.693,19.481,18.717,55.419,31.169,21.105,17.125,23.667,20.091,22.080
35,78.526,23.121,33.430,30.921,26.747,27.504,24.100,20.576,20.633,30.515,19.783,21.265,25.840,24.610,24.593,21.640,27.444,60.122,19.985,24.132,28.928,21.679,19.573,21.445,20.682,19.124,20.054,21.435,21.583,19.452,18.675,55.401,31.143,21.201,16.899,23.967,19.877,22.285
36,78.864,23.134,33.195,30.144,26.401,27.542,24.399,20.672,20.667,30.792,19.646,21.222,25.763,25.170,24.441,21.605,27.046,58.928,20.050,24.049,28.163,21.527,19.487,20.954,20.599,18.778,19.972,21.502,21.417,19.219,18.878,55.405,30.765,21.062,16.844,23.557,19.552,22.111
37,76.142,23.134,32.640,30.314,26.353,27.603,24.048,20.776,20.598,30.660,19.353,21.250,25.870,25.332,24.614,21.521,26.941,57.853,19.998,24.285,27.470,21.016,19.103,20.341,20.733,19.044,19.956,21.368,21.552,19.177,18.666,55.472,31.051,21.212,16.689,23.602,19.174,22.068
38,74.803,23.107,32.564,30.185,26.262,27.661,24.225,20.730,20.582,30.313,19.391,20.974,25.787,24.729,24.343,21.442,27.082,57.226,19.844,24.298,27.378,21.283,19.226,20.428,20.654,18.844,20.046,21.414,21.411,19.017,18.761,55.174,30.842,21.269,16.643,23.797,19.183,22.281
39,77.168,22.918,32.315,29.921,26.137,27.523,24.079,20.686,20.677,30.229,19.752,21.054,25.909,24.310,24.323,21.564,27.043,55.934,19.923,24.189,26.502,20.750,19.034,20.135,20.679,18.751,19.927,21.481,21.434,18.966,18.764,55.013,30.507,21.371,16.676,24.033,19.328,22.101
40,76.811,22.915,32.331,29.845,25.991,27.455,23.975,20.695,20.644,30.536,19.552,21.157,25.738,24.022,24.411,21.495,26.618,54.127,19.866,24.288,26.183,20.571,19.043,19.764,20.570,18.489,19.875,21.577,21.670,18.816,18.862,54.740,30.831,21.275,16.535,23.740,18.836,22.090
41,78.836,22.838,32.005,29.933,25.936,27.269,24.179,20.565,20.572,30.503,19.262,21.007,25.711,23.818,24.434,21.468,26.776,52.582,19.876,24.292,24.964,20.321,18.786,19.281,20.546,17.796,19.855,21.523,21.489,18.764,18.609,54.495,30.412,21.216,16.243,24.028,18.666,21.953
42,75.962,23.118,31.927,29.645,25.525,27.479,24.034,20.684,20.490,30.334,19.168,20.909,25.854,23.575,24.398,21.478,26.207,50.558,19.813,24.169,23.602,19.793,18.436,18.791,20.597,17.551,19.910,21.456,21.543,18.586,18.683,54.089,30.265,21.166,16.074,23.602,18.571,22.212
43,72.546,22.836,31.612,29.654,25.522,27.409,23.821,20.681,20.418,30.190,19.456,21.205,25.755,23.253,24.280,21.477,25.644,49.081,19.837,24.177,22.522,19.804,18.449,18.226,20.695,17.289,19.932,21.523,21.382,18.445,18.758,54.416,30.574,21.056,15.934,23.593,18.401,22.021
44,69.591,22.868,31.368,29.507,25.285,27.540,23.886,20.615,20.458,30.196,19.596,20.886,25.748,23.001,24.260,21.306,25.891,47.407,19.890,24.182,21.622,19.304,18.440,18.130,20.732,16.747,19.746,21.238,21.555,18.407,18.699,53.929,30.290,21.112,15.775,23.614,18.164,22.028
45,66.907,22.942,31.386,29.308,25.253,27.436,24.068,20.556,20.510,30.407,19.456,20.771,25.721,22.846,24.461,21.455,25.617,46.047,19.906,24.278,21.004,19.043,18.423,17.844,20.713,16.658,19.755,21.339,21.299,18.335,18.665,54.060,30.110,20.902,15.760,23.545,18.073,21.962
