 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89
1,21.518,53.627,26.392,28.504,27.649,36.548,36.185,43.967,26.182,23.884,26.562,23.568,23.622,22.885,22.570,26.938,23.521,25.121,21.638,27.089,25.627,23.337,23.742,25.093,24.779,23.609,37.864,24.777,22.672,20.513,27.331,24.698,26.909,23.476,25.254,20.204,39.852,24.128,29.677,34.200,32.321,27.454,27.602,25.669,29.810,26.170,25.164,25.207,23.948,22.357,22.124,22.854,34.806,23.832,41.290,20.939,22.352,20.832,23.795,22.124,33.798,25.778,27.789,25.312,26.117,27.748,24.474,27.116,29.845,23.970,26.685,27.998,27.993,25.374,22.030,21.811,23.536,27.527,20.949,18.280,23.175,21.342,22.699,19.693,26.055,19.668,21.663,20.744,22.216
2,21.479,52.730,26.115,28.194,26.924,36.341,34.560,43.743,25.997,23.792,25.996,23.029,23.628,22.911,22.758,26.920,23.228,24.989,21.638,27.130,25.380,23.374,23.984,25.212,24.603,23.733,37.721,24.564,22.775,20.515,27.281,24.555,26.746,23.450,25.123,20.074,38.532,23.957,29.276,33.896,32.223,27.192,27.673,25.677,29.471,25.786,25.231,25.098,24.019,22.270,22.041,22.705,34.147,23.846,41.514,20.916,22.262,21.004,23.772,22.065,34.021,25.679,27.115,25.260,25.976,27.736,24.609,26.932,29.466,24.005,26.576,27.854,27.652,25.182,21.845,21.748,23.502,27.045,21.035,18.369,22.959,21.299,22.932,19.539,25.729,19.437,21.594,20.731,22.193
3,21.425,51.542,26.055,28.583,27.254,35.619,33.162,43.842,25.869,23.590,25.558,22.777,23.564,22.688,22.800,26.711,22.855,24.971,21.807,26.592,25.295,23.323,23.997,24.853,24.602,23.709,37.970,24.548,22.345,20.578,27.218,24.632,27.047,23.446,25.661,20.052,37.272,24.826,29.052,34.538,32.246,27.410,27.480,25.729,29.071,25.661,25.219,24.796,23.938,22.384,22.202,22.658,33.851,23.784,40.526,21.000,22.444,20.838,23.413,22.153,33.701,25.507,27.207,25.508,25.941,27.585,24.592,26.882,28.801,23.797,26.315,27.612,27.713,26.081,21.646,21.761,23.124,26.878,21.008,18.296,23.082,21.411,22.862,19.689,25.484,19.703,21.638,20.659,22.110
4,21.331,50.853,25.919,28.441,27.587,35.374,32.246,43.769,25.882,23.500,24.984,22.602,23.574,22.518,22.728,26.818,22.910,24.368,21.879,26.462,25.113,23.131,23.865,25.103,24.577,23.660,37.866,24.469,22.264,20.629,26.981,24.403,27.093,23.323,25.841,20.076,36.224,25.554,28.813,34.371,32.122,27.278,27.576,25.942,28.933,25.712,25.027,24.893,24.009,22.185,22.041,22.556,33.531,23.856,39.773,20.829,22.262,20.905,23.498,22.182,33.501,25.360,27.031,25.096,25.802,27.387,24.524,26.477,28.618,23.815,26.403,27.221,27.485,27.151,21.496,21.713,23.061,26.461,20.854,18.373,22.946,21.342,22.757,19.593,25.101,19.508,21.793,20.640,22.130
5,21.424,49.912,25.762,28.215,27.199,35.430,31.215,43.813,25.627,23.488,24.568,22.424,23.483,22.453,22.502,26.994,22.884,25.044,22.000,26.190,24.980,23.123,23.916,24.885,24.490,23.601,37.389,24.314,22.055,20.552,27.206,24.262,27.086,23.366,25.785,19.890,35.352,25.429,28.670,34.231,32.303,27.188,27.584,25.833,28.540,25.152,24.953,24.793,23.761,22.044,22.094,22.797,32.982,23.615,38.033,20.844,22.195,20.707,23.512,22.043,33.800,25.317,26.795,25.013,25.927,27.426,24.532,26.410,28.306,23.784,25.985,27.028,27.758,26.679,21.422,21.684,23.062,26.198,20.760,18.115,22.898,21.196,22.955,19.435,24.839,19.352,21.474,20.727,22.090
6,21.461,49.288,25.631,27.605,26.316,35.118,30.380,43.691,25.195,23.541,24.297,22.285,23.526,22.286,22.660,26.637,22.527,24.754,21.733,25.964,24.884,23.316,23.803,24.676,24.489,23.519,37.290,24.394,22.459,20.624,27.031,24.081,27.409,23.369,25.387,19.900,34.703,24.991,28.386,33.904,31.983,27.048,27.747,25.788,28.222,25.225,24.903,25.086,23.899,22.189,22.008,22.576,32.670,23.631,37.250,20.892,22.318,20.805,23.300,22.246,32.680,25.153,26.832,25.276,25.929,27.251,24.589,26.107,28.320,23.831,26.150,26.827,27.328,26.377,21.649,21.630,22.887,25.988,20.783,18.216,22.961,21.434,22.965,19.614,24.760,19.396,21.495,20.743,22.021
7,21.325,48.469,25.374,27.492,26.150,35.261,29.470,43.628,25.250,23.471,23.966,22.218,23.542,22.251,22.510,26.860,22.424,24.765,21.713,25.490,24.566,23.320,23.750,24.481,24.359,23.772,36.820,24.375,22.299,20.536,26.883,23.990,27.227,23.231,25.142,19.708,33.809,24.751,28.251,33.552,32.174,27.301,27.550,25.740,28.010,25.145,24.937,24.991,23.905,22.038,21.876,22.746,32.150,23.487,36.224,20.934,22.283,20.855,23.422,22.244,31.522,25.077,26.695,25.323,25.911,27.317,24.314,26.253,27.997,23.786,25.918,26.681,27.563,26.558,21.439,21.592,22.823,25.753,20.677,18.140,22.937,21.453,22.732,19.520,24.540,19.385,21.396,20.750,22.154
8,21.427,47.824,25.414,27.294,25.829,35.029,29.066,43.508,25.129,23.492,23.648,22.137,23.618,22.013,22.456,26.810,22.672,24.493,21.816,25.386,24.663,23.012,23.722,24.740,24.641,23.752,36.970,24.321,22.051,20.682,27.040,23.901,26.970,23.300,24.998,19.691,33.208,24.446,28.084,33.167,31.954,27.080,27.662,25.894,27.397,24.408,25.048,24.757,24.099,21.922,21.906,22.593,31.747,23.588,35.456,20.945,22.309,20.952,23.129,22.139,32.450,25.170,26.734,25.440,25.800,27.106,24.419,25.921,27.710,23.742,25.635,26.462,27.174,26.075,21.360,21.518,22.644,25.678,20.743,18.233,22.771,21.347,22.709,19.529,24.341,19.368,21.449,20.878,22.202
9,21.387,47.711,25.217,26.702,25.898,35.361,28.135,43.482,25.026,23.486,23.428,22.156,23.523,21.892,22.659,26.604,22.585,24.103,21.687,25.479,24.637,23.173,23.837,24.510,24.425,23.582,36.972,24.228,21.887,20.413,27.111,23.725,26.766,23.543,25.033,19.847,32.536,24.171,27.775,32.316,32.031,26.820,27.439,25.962,27.471,24.471,24.813,24.914,24.179,21.969,21.973,22.475,31.490,23.617,34.535,20.859,22.290,20.722,23.195,22.294,31.736,24.930,26.498,24.968,25.846,26.958,24.338,25.740,27.708,23.611,25.426,26.107,27.280,25.798,21.381,21.573,22.832,25.457,20.672,18.211,22.793,21.260,22.799,19.426,24.286,19.265,21.777,20.969,22.169
10,21.468,47.608,25.182,26.490,26.314,34.931,27.833,43.804,24.671,23.529,23.188,21.993,23.440,22.016,22.477,26.935,22.714,23.989,21.876,26.391,24.481,23.104,23.801,25.026,24.415,23.722,36.931,24.266,21.598,20.596,26.927,23.648,26.722,23.274,24.760,19.637,31.858,24.197,27.642,32.335,31.810,27.077,27.554,25.833,27.149,24.335,25.185,24.802,24.166,21.889,21.846,22.661,30.790,23.553,33.727,20.857,22.348,20.832,23.320,22.196,32.053,24.677,26.385,25.042,25.738,27.020,24.453,25.868,27.938,23.729,25.512,26.043,27.290,25.440,21.223,21.581,22.664,25.198,20.649,18.291,22.724,21.204,22.827,19.614,23.925,19.259,21.567,20.970,22.150
