 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70,Mean71,Mean72,Mean73,Mean74,Mean75,Mean76,Mean77,Mean78,Mean79,Mean80,Mean81,Mean82,Mean83,Mean84,Mean85,Mean86,Mean87,Mean88,Mean89
606,24.918,66.894,34.102,40.840,33.801,39.374,27.827,45.874,34.260,24.702,29.388,30.669,24.172,23.175,22.976,27.830,23.013,25.357,29.532,29.026,31.451,28.514,25.969,26.830,26.290,24.595,44.991,29.192,24.475,20.810,36.777,28.522,42.268,24.526,33.081,23.997,36.643,28.759,51.595,34.471,34.027,28.117,28.840,29.292,36.496,26.491,26.113,25.760,25.330,24.309,23.920,23.908,39.880,25.336,59.371,21.857,24.569,21.344,24.145,23.172,30.068,25.859,31.777,26.371,29.276,27.403,27.547,34.189,30.268,25.868,39.435,37.413,24.020,35.112,22.087,22.743,27.209,38.063,20.819,18.333,25.693,21.772,23.338,20.052,31.817,20.513,22.461,21.501,22.637
607,24.523,65.731,33.581,40.185,32.330,39.069,27.433,46.213,33.859,24.782,29.616,31.568,24.056,23.167,23.151,27.789,22.804,25.132,29.247,28.437,31.148,27.501,25.657,26.721,26.318,25.628,44.343,28.893,24.568,20.810,35.116,27.915,41.835,24.291,32.291,23.861,35.227,28.467,50.323,33.871,34.020,27.872,29.119,28.837,34.967,26.141,25.907,25.382,25.726,24.084,23.927,23.986,39.473,25.004,59.255,21.655,24.431,21.288,24.059,22.940,30.817,25.727,31.193,25.968,28.550,27.372,27.097,32.695,30.268,26.132,36.850,37.164,24.109,34.700,21.973,22.796,27.129,37.702,20.745,18.285,25.188,21.754,23.476,20.127,31.256,20.259,22.322,21.507,22.755
608,24.161,65.022,33.272,39.421,32.016,38.579,27.379,45.948,33.174,25.143,30.073,31.350,23.934,23.243,22.979,27.661,22.955,24.581,28.486,28.144,31.191,26.988,25.342,26.202,26.088,25.245,43.899,28.760,24.504,20.863,33.923,27.483,41.243,24.254,32.073,23.885,34.011,28.319,48.970,33.252,33.843,27.971,28.528,28.438,33.362,25.558,26.085,25.669,25.683,24.038,23.958,23.868,39.522,25.104,60.367,21.657,24.258,21.454,24.135,22.792,31.424,25.843,30.664,25.879,27.994,27.409,26.636,31.173,30.109,26.082,35.341,36.831,23.812,34.232,22.166,22.900,26.968,36.988,20.709,18.253,24.857,21.752,23.351,20.037,30.744,20.150,22.161,21.536,22.479
609,23.753,64.123,32.799,38.813,31.667,38.829,27.171,45.975,33.409,24.863,30.220,30.887,23.967,23.183,22.997,27.789,22.884,24.577,26.948,27.921,31.163,26.775,25.233,26.215,26.086,25.152,43.246,28.810,24.270,20.889,32.816,27.295,39.961,24.138,32.104,23.725,33.265,28.226,48.159,33.288,33.543,27.996,28.996,28.442,33.646,25.516,25.958,25.612,25.560,23.987,23.733,23.573,39.117,25.085,60.481,21.523,24.380,21.382,24.363,22.895,31.872,25.673,30.406,26.138,28.758,27.363,27.196,31.563,29.912,25.832,33.394,36.801,23.372,33.869,21.768,22.973,27.257,36.500,20.764,18.255,24.687,21.752,23.170,20.024,30.759,20.262,22.155,21.311,22.678
610,23.570,63.491,33.314,39.640,32.127,39.007,26.840,45.846,33.232,24.963,30.313,30.508,23.885,23.291,23.142,27.890,23.334,24.721,26.813,29.186,30.771,26.925,25.166,27.388,26.101,24.888,43.138,28.903,24.083,20.817,32.311,26.984,40.773,24.332,32.294,23.529,34.094,28.878,47.670,34.049,33.864,28.090,28.799,28.425,34.335,25.969,26.102,25.985,25.282,24.087,23.671,24.393,39.120,25.615,59.680,21.512,24.573,21.525,24.818,22.955,32.638,25.737,31.164,26.048,32.187,27.571,29.424,35.327,30.406,25.964,32.997,37.340,23.352,34.593,22.065,22.968,27.704,37.673,20.799,18.285,24.475,21.708,23.451,20.044,30.229,20.254,22.090,21.388,22.571
611,23.296,63.033,33.303,40.999,32.425,38.577,26.916,46.247,33.083,24.812,29.875,30.295,24.016,23.448,23.113,27.670,23.016,24.743,27.914,29.182,30.342,26.461,25.108,27.218,26.137,24.666,42.963,28.862,23.798,20.868,31.830,27.038,41.588,24.315,32.557,23.345,33.450,28.864,48.543,34.124,33.675,27.927,29.022,28.096,34.169,25.853,26.242,25.749,25.259,23.984,23.711,24.566,39.683,25.549,59.512,21.549,24.687,21.558,24.297,23.024,31.708,25.691,32.658,26.104,31.382,27.361,28.744,37.988,30.111,26.002,31.935,37.664,23.604,35.364,22.226,23.143,27.597,38.055,20.798,18.190,24.233,21.823,23.511,20.168,29.843,20.307,21.991,21.398,22.662
612,23.265,61.508,33.405,42.215,32.478,38.782,26.935,45.984,32.985,24.882,30.267,30.755,24.044,23.502,23.048,27.860,23.650,24.665,28.333,29.304,30.265,26.660,25.002,27.157,26.261,24.498,42.581,28.561,23.814,20.868,33.284,27.437,42.553,24.535,32.810,23.043,33.352,28.878,48.679,34.580,33.871,27.862,28.639,27.642,34.098,26.058,26.067,25.825,25.353,24.276,23.657,24.675,40.491,25.410,60.568,21.462,25.232,21.548,24.356,22.957,30.603,25.677,32.297,25.979,31.202,27.325,28.715,39.144,29.991,26.014,31.629,38.290,23.512,35.775,22.202,23.058,27.699,38.720,20.753,18.271,24.093,21.678,23.416,20.119,30.673,20.656,21.910,21.299,22.629
613,23.072,60.286,34.033,44.027,32.580,40.174,26.822,46.051,34.022,25.235,31.012,30.595,24.064,23.495,23.155,27.881,23.547,24.930,28.345,30.977,31.219,27.577,25.947,28.926,26.392,24.590,43.640,29.198,23.521,20.752,48.150,31.070,44.442,24.575,33.222,22.918,37.604,29.246,51.138,35.161,34.147,28.140,28.952,27.492,40.665,26.980,26.370,25.799,25.664,24.360,24.077,24.468,40.196,25.478,60.372,21.477,25.069,21.434,24.792,23.026,30.394,25.553,32.070,26.052,31.462,27.663,29.008,40.103,29.893,25.818,31.135,38.531,23.775,36.156,22.063,23.147,27.832,40.078,20.794,18.040,23.965,21.680,23.118,20.265,31.610,20.400,21.988,21.236,22.743
614,22.896,59.057,33.839,44.059,32.009,40.359,26.909,45.919,33.947,25.076,29.659,29.369,24.111,23.576,22.907,27.839,23.302,24.934,27.382,30.517,31.272,28.073,25.803,28.301,26.303,24.657,44.760,29.131,23.426,20.958,48.408,30.920,43.585,24.416,32.782,22.385,37.155,29.061,50.782,34.804,33.817,27.793,28.777,27.675,42.793,27.002,26.332,25.686,25.614,24.134,23.985,24.661,40.147,25.185,60.386,21.472,25.041,21.427,24.832,22.947,31.350,25.503,31.057,26.192,30.475,27.550,28.443,38.125,29.781,25.973,30.359,38.322,23.297,36.186,22.128,23.250,27.517,39.725,20.730,18.125,23.933,21.690,23.336,20.098,31.237,20.585,21.858,21.176,22.615
615,22.678,58.192,33.269,42.805,31.242,39.526,26.584,45.938,33.109,24.961,28.933,29.108,24.058,23.207,23.040,27.449,23.257,24.816,25.839,29.916,30.614,27.439,25.401,27.186,26.048,24.513,44.470,28.683,23.273,20.789,45.349,30.047,41.919,24.539,32.347,22.289,35.463,28.742,49.133,33.736,33.546,27.824,28.859,27.410,41.502,26.717,26.191,25.902,25.371,24.121,23.718,24.437,39.955,24.977,59.829,21.506,24.365,21.268,24.607,22.696,31.205,25.354,30.281,25.977,29.333,27.497,27.619,36.583,29.378,25.665,29.868,38.333,23.468,36.242,21.793,23.206,26.985,38.288,20.692,17.967,23.799,21.641,23.293,19.939,30.215,20.269,21.920,21.371,22.677
616,22.668,57.293,32.714,41.621,30.148,39.263,26.599,45.829,32.575,24.731,28.372,28.458,24.096,23.270,23.052,27.610,23.096,24.934,24.842,28.911,29.549,26.619,25.251,26.263,25.994,24.538,43.272,28.329,23.364,20.861,41.720,29.136,41.155,24.414,31.995,22.009,34.106,28.348,47.087,32.957,33.409,27.835,28.576,27.119,39.709,26.670,26.021,25.565,25.265,24.028,23.355,24.295,39.477,24.662,59.140,21.391,24.399,21.307,24.254,22.742,31.501,25.389,30.066,25.860,28.742,27.388,26.850,35.296,29.454,25.506,29.418,37.479,23.358,35.760,21.962,23.360,26.285,38.269,20.734,18.191,23.801,21.579,23.193,19.920,29.728,20.169,22.059,21.312,22.556
617,22.597,57.040,32.268,40.705,31.691,40.094,26.511,46.402,32.800,24.533,27.675,27.739,24.094,23.091,23.116,27.655,23.277,25.246,24.270,28.092,28.620,25.920,24.970,25.897,25.919,24.467,42.800,28.118,23.970,20.910,39.051,28.480,40.141,24.220,31.984,21.866,33.057,28.443,46.197,32.271,33.444,27.726,28.903,27.058,37.588,26.728,25.867,25.553,25.664,23.964,23.375,24.417,39.996,24.790,59.587,21.475,24.560,21.170,24.191,22.675,30.817,25.530,29.584,25.834,28.496,27.281,26.805,33.613,29.354,25.460,28.876,36.989,23.212,35.273,21.935,23.022,25.835,36.886,20.702,18.260,23.713,21.825,23.243,19.831,28.856,20.242,22.152,21.385,22.563
