 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
63,73.780,77.914,76.383,81.524,78.046,76.632,76.705,79.904,75.760,76.553,70.959,70.806
64,73.674,77.415,76.884,81.536,78.030,76.560,76.323,79.135,75.262,76.040,71.091,70.587
65,73.063,76.708,76.329,82.013,77.614,76.277,76.017,78.498,75.534,75.893,71.149,70.813
66,73.437,76.836,76.678,81.742,77.495,76.673,75.991,78.792,75.118,76.256,71.082,70.661
67,72.690,75.966,76.568,81.078,77.122,76.798,75.759,79.224,75.025,76.168,71.205,70.693
68,73.260,75.966,76.724,82.261,76.660,76.393,75.441,77.877,74.368,75.559,71.024,70.405
69,72.714,75.863,75.643,82.010,76.356,76.055,75.049,78.918,74.667,75.969,71.238,70.994
70,72.533,75.647,76.265,81.812,76.684,75.227,75.039,78.839,74.887,76.292,70.727,70.164
71,73.495,75.598,75.624,81.885,76.222,75.507,74.920,78.061,74.471,75.954,70.747,70.304
72,72.949,76.203,75.813,81.942,76.590,75.465,75.084,78.130,74.103,75.924,71.170,70.552
73,72.855,75.934,75.478,81.396,76.532,74.199,75.007,77.981,74.564,75.473,71.296,70.847
74,72.767,75.805,75.155,82.090,75.833,75.172,74.865,76.852,74.512,76.181,70.918,70.489
75,72.688,75.115,74.565,81.293,76.465,74.584,74.884,77.579,74.610,76.286,70.877,70.318
76,72.733,75.330,75.166,81.862,75.532,74.809,75.385,77.003,74.686,75.466,70.871,70.506
77,72.838,75.607,75.292,81.794,75.252,74.914,74.882,77.418,73.973,75.464,70.814,70.290
78,72.625,75.376,74.888,81.023,76.258,74.421,74.774,77.365,73.799,75.405,71.275,70.460
79,72.655,74.418,74.812,81.885,75.702,75.003,75.310,76.680,74.387,75.616,70.911,70.441
80,72.956,75.777,75.053,81.569,75.827,74.753,74.783,76.776,73.260,74.868,70.931,70.516
81,72.784,74.939,75.214,82.150,75.836,74.105,75.237,76.402,74.718,75.561,71.167,70.419
82,72.490,75.011,74.848,81.506,75.650,74.042,75.052,76.741,73.164,75.523,71.044,70.389
83,72.791,75.513,74.989,81.153,75.468,74.670,75.697,76.418,74.194,75.567,71.025,70.354
84,72.582,75.512,75.604,82.767,75.012,74.233,74.815,76.938,73.632,75.235,70.925,70.427
85,72.840,75.618,75.276,81.602,75.538,74.773,74.978,76.858,74.069,75.443,71.160,70.556
86,72.676,75.684,74.874,81.729,75.097,74.792,75.006,76.744,74.610,75.613,71.198,70.443
87,72.601,75.367,75.279,81.637,76.000,74.546,75.250,76.488,73.767,75.912,71.176,70.358
88,72.436,75.157,74.812,81.226,74.234,74.501,74.985,76.177,73.596,75.391,71.367,70.410
89,72.274,74.896,75.175,82.100,75.888,75.011,74.793,76.544,73.956,75.431,71.044,70.755
90,72.605,75.521,75.045,81.479,75.225,74.438,74.452,76.399,73.980,75.092,71.168,70.126
91,72.477,75.169,74.938,81.812,74.985,74.850,75.193,76.443,74.091,75.708,71.069,70.474
92,72.463,75.097,75.061,81.018,74.869,74.781,74.639,77.430,73.956,75.294,70.572,70.631
93,72.294,75.025,74.515,81.942,75.252,74.305,75.237,77.368,74.196,75.137,71.262,70.669
94,72.753,74.998,75.153,82.008,75.398,74.684,75.041,76.521,74.074,74.872,70.902,70.743
95,72.261,75.233,75.072,81.534,75.535,74.269,75.034,76.847,73.436,75.126,71.115,70.157
96,72.721,75.899,76.003,81.865,76.243,74.776,75.151,77.671,73.799,75.198,70.799,70.150
97,75.254,81.060,79.710,81.810,79.957,79.175,80.181,83.172,75.752,76.632,71.301,71.057
98,75.343,81.874,79.238,81.802,78.863,79.490,79.578,83.033,76.549,78.193,71.173,71.939
99,75.312,79.989,78.727,82.632,78.231,78.213,78.796,81.699,75.630,77.590,71.141,71.727
100,74.350,79.002,78.115,81.977,77.878,76.958,76.430,80.437,76.051,77.305,71.127,71.911
101,73.592,78.275,78.102,81.860,77.678,76.105,75.957,79.938,75.973,77.195,71.396,71.178
102,73.671,78.014,77.247,81.591,77.593,76.393,75.239,79.151,75.390,77.471,70.568,71.618
103,73.071,77.479,76.673,81.664,77.058,74.922,75.215,79.049,75.556,77.000,71.054,71.550
104,72.998,77.261,76.662,81.629,76.514,74.271,75.131,79.689,74.103,77.082,71.019,71.434
105,72.955,76.760,76.112,81.386,77.429,75.596,75.413,78.771,74.659,76.983,71.226,71.231
106,72.493,76.488,76.089,81.727,77.222,75.704,75.178,79.067,74.630,77.061,70.822,71.171
107,73.017,76.485,75.388,81.737,75.982,75.208,75.649,78.420,75.233,76.555,70.917,71.119
108,72.824,76.246,75.255,81.732,76.012,75.252,75.228,77.786,74.333,76.359,71.716,71.071
109,73.037,75.399,75.461,81.612,76.106,74.632,75.553,78.259,74.370,76.023,70.851,70.888
110,72.883,75.819,75.573,81.143,75.809,75.158,75.822,78.366,74.311,76.059,71.170,70.771
111,72.585,75.696,75.228,81.321,76.015,76.562,75.630,78.000,74.255,76.613,71.201,70.635
112,72.242,75.616,75.214,81.391,75.830,75.939,74.905,77.789,74.961,75.941,70.886,70.264
113,72.707,75.104,74.947,82.173,76.158,75.363,75.893,77.243,74.267,76.668,71.142,70.611
114,73.021,75.358,75.364,81.461,75.641,74.618,74.776,76.612,73.936,75.943,70.949,70.593
115,72.341,75.865,75.346,81.456,75.350,74.609,75.116,77.113,73.703,76.013,70.802,70.826
116,72.622,75.229,74.715,81.784,75.106,74.709,74.536,76.065,74.047,75.611,70.663,70.632
117,72.510,75.854,74.912,81.406,75.526,74.166,74.976,76.687,73.917,75.345,70.714,70.304
118,72.115,75.235,75.332,81.526,75.647,74.626,74.626,77.084,73.650,75.418,71.131,70.515
119,73.192,75.433,74.880,81.406,75.167,74.878,74.578,77.078,73.637,75.015,71.024,70.478
120,72.636,75.238,74.614,80.617,75.313,74.385,74.548,76.357,74.135,75.118,71.120,70.427
121,72.155,74.943,75.265,81.180,75.553,74.615,74.950,76.832,73.196,75.615,70.869,70.257
122,72.570,75.330,74.689,81.882,75.216,74.828,74.531,76.243,73.605,75.679,70.715,70.656
123,72.538,75.505,75.287,80.877,75.280,74.463,74.622,76.463,74.221,76.107,71.103,70.361
124,72.732,74.971,74.585,81.323,75.663,74.579,74.821,76.375,73.593,74.989,71.012,70.369
125,72.537,75.167,74.782,81.246,75.201,73.950,74.910,76.983,73.451,75.693,70.891,70.378
126,72.486,75.429,74.745,81.724,74.854,74.512,75.163,76.117,73.586,75.698,71.045,70.612
127,72.761,74.955,75.024,81.496,75.562,74.778,75.297,76.156,73.706,75.784,71.050,70.344
128,71.721,75.175,75.451,81.769,74.277,74.427,75.028,76.465,73.537,75.700,71.097,70.335
129,72.636,75.009,74.879,81.789,75.553,74.604,74.793,76.200,74.076,75.414,70.594,70.557
130,72.437,75.544,74.802,81.632,75.480,74.427,74.858,76.045,73.252,75.380,70.409,70.402
131,72.650,75.453,74.923,81.887,74.429,74.515,74.994,76.080,73.885,75.422,71.109,69.867
132,72.693,75.164,75.005,81.807,74.520,74.756,74.650,76.514,74.179,75.740,70.854,70.332
133,72.357,75.232,74.777,81.281,76.012,74.324,74.905,76.220,73.868,75.464,70.631,70.023
134,71.817,75.187,74.553,81.782,75.012,74.701,74.505,76.201,73.576,74.969,71.183,70.485
135,72.733,75.379,75.190,81.581,76.033,74.100,74.411,76.507,73.701,75.387,70.942,70.802
136,72.592,75.312,74.896,81.145,75.146,74.515,74.813,76.295,73.517,75.189,71.231,70.371
137,72.575,74.779,74.673,81.799,75.170,74.175,74.662,76.347,73.593,74.718,70.768,70.440
138,72.542,75.078,75.400,81.940,75.237,74.407,74.430,76.250,73.887,75.239,70.806,70.471
139,72.382,75.376,74.734,81.935,74.857,74.845,74.968,76.243,74.358,75.469,71.121,70.747
140,72.427,75.777,75.263,81.632,74.842,74.789,74.350,76.135,73.838,74.939,71.264,70.393
141,72.902,74.969,75.241,81.591,75.264,74.579,75.460,76.496,73.353,75.353,70.889,69.795
142,72.577,74.823,74.900,81.637,75.182,74.504,75.080,76.421,73.581,75.263,70.969,70.306
143,72.551,75.198,75.174,81.459,74.058,74.504,74.561,76.456,74.194,75.435,70.691,70.321
144,72.885,75.163,75.035,81.213,75.091,74.668,74.684,76.093,73.706,75.525,70.901,70.594
145,72.287,74.762,74.871,82.045,74.717,75.255,75.065,76.515,73.664,75.032,70.844,70.184
146,72.765,75.324,74.959,81.541,74.845,74.654,75.531,76.420,73.838,75.443,70.963,70.289
