 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
1,71.557,75.100,73.810,80.845,75.073,73.759,74.108,75.899,73.012,74.870,70.593,70.044
2,71.659,74.717,74.002,81.564,74.602,74.280,74.376,75.741,73.284,75.204,70.652,69.634
3,72.118,74.742,74.293,80.965,75.337,73.501,74.602,75.902,73.267,75.466,70.473,69.528
4,72.169,74.389,74.360,81.556,74.894,73.648,74.400,75.896,73.522,74.861,70.886,69.727
5,72.253,74.599,73.938,80.820,75.094,73.903,74.155,75.402,73.140,75.061,70.627,69.479
6,71.857,74.547,74.681,80.409,74.757,74.632,74.578,75.806,73.419,74.863,70.621,69.704
7,72.232,74.903,75.053,80.687,74.429,74.418,74.671,75.378,73.777,74.828,70.998,70.037
8,71.878,74.971,74.376,80.434,75.742,73.676,74.178,74.880,72.819,74.943,70.391,69.839
9,71.726,74.028,74.113,80.980,74.866,73.454,74.277,75.460,73.515,74.284,70.469,70.072
10,71.655,74.144,74.466,80.709,74.605,74.465,74.351,75.165,73.064,74.733,70.626,69.608
11,71.967,74.425,74.065,80.997,74.422,73.828,73.920,76.269,73.409,74.725,70.257,69.646
12,71.911,74.585,74.592,81.208,74.742,73.848,74.639,76.344,72.980,75.385,70.740,69.754
13,72.092,74.292,74.309,81.516,74.304,74.006,74.458,75.729,72.936,74.502,70.605,70.192
14,71.653,74.538,74.440,81.273,74.565,74.233,74.624,75.588,73.250,74.135,70.432,69.590
15,71.686,74.438,74.391,81.231,74.371,74.482,74.824,75.900,73.228,74.939,70.465,70.249
16,72.063,74.154,74.203,80.797,74.748,74.321,74.690,75.602,73.194,74.863,70.169,69.960
17,71.361,74.312,74.233,80.980,75.195,74.269,74.013,75.703,72.990,74.389,70.866,69.839
18,71.911,74.820,74.067,80.516,74.495,74.274,74.811,75.980,73.176,74.733,70.808,69.922
19,72.239,73.624,74.102,80.882,74.350,74.042,74.731,75.689,72.091,75.109,70.537,69.943
20,71.772,74.318,74.362,81.439,74.483,74.158,74.378,75.174,72.799,74.677,70.860,69.717
21,72.145,74.253,74.246,81.221,74.629,74.139,74.279,75.370,73.069,74.641,70.614,69.661
22,71.582,74.100,74.169,80.434,74.216,74.152,73.751,75.551,72.819,74.802,70.675,70.123
23,71.852,74.366,74.584,80.817,74.851,74.438,74.613,75.527,72.816,74.443,70.606,69.702
24,72.110,74.693,74.053,80.363,74.067,73.856,74.426,75.570,73.326,74.857,70.787,69.989
25,71.760,74.490,74.218,81.183,74.067,74.277,74.026,75.278,73.936,74.513,70.860,70.116
26,72.176,73.894,74.439,80.987,74.480,74.751,75.011,75.242,73.640,74.515,70.422,69.839
27,72.493,73.794,74.531,81.038,74.213,74.443,74.232,75.884,73.196,74.866,70.846,70.290
28,72.000,74.442,74.124,81.058,74.337,74.557,74.172,75.376,73.125,74.319,70.424,70.035
29,72.096,74.370,73.981,80.905,74.389,73.391,74.338,75.129,73.375,74.779,70.734,69.348
30,72.300,74.507,74.518,80.652,74.875,74.482,74.179,75.644,73.216,74.647,70.888,69.781
31,71.758,74.518,73.900,81.058,74.805,74.435,74.366,75.101,73.029,74.590,70.418,70.003
32,72.143,74.579,73.920,81.466,74.897,73.684,74.680,75.550,73.005,75.277,70.798,69.699
33,71.965,74.390,73.710,80.298,74.264,74.105,74.151,75.274,73.404,74.658,70.705,69.844
34,72.251,74.338,74.118,81.343,73.945,73.895,74.118,75.533,73.081,74.756,70.249,69.767
35,72.354,73.873,74.467,80.584,74.264,74.288,74.009,75.446,73.537,75.113,70.398,69.409
36,72.242,74.300,74.250,81.125,74.529,74.144,74.667,75.143,74.098,74.118,70.303,69.600
37,71.875,74.229,74.466,81.083,74.036,73.795,74.632,75.404,72.897,74.744,70.225,70.045
38,72.718,74.528,74.376,81.030,74.720,74.224,74.869,77.507,73.245,74.626,70.420,69.948
39,74.653,79.387,76.939,81.241,77.395,76.584,78.991,80.583,74.755,75.723,70.915,70.163
40,74.709,79.435,77.404,81.213,77.556,76.177,77.664,80.822,75.748,76.263,71.450,70.338
41,74.042,78.023,76.541,80.276,77.073,75.327,76.572,80.006,75.380,76.235,71.129,70.629
