 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51
1,30.720,33.427,56.163,43.005,45.778,41.651,33.535,52.181,43.038,49.789,45.933,47.687,41.897,42.674,45.357,43.497,62.197,38.709,37.075,40.220,36.611,33.898,31.183,38.422,35.052,36.555,34.025,44.134,43.314,47.357,48.627,46.700,41.351,38.947,67.647,43.935,40.596,44.928,39.592,40.097,44.828,39.515,38.460,40.540,34.582,30.147,46.205,31.267,31.019,40.397,38.691
2,30.643,33.268,55.834,43.033,46.350,41.816,33.742,51.537,42.907,49.839,46.321,47.302,41.471,42.727,45.495,43.492,62.116,38.607,37.224,40.391,36.839,33.820,31.227,38.306,34.776,36.465,33.949,44.244,43.495,47.147,48.861,46.173,41.176,39.067,67.942,44.447,40.168,44.423,39.586,39.343,44.662,39.592,38.696,40.408,34.826,30.200,46.574,31.526,30.707,40.262,38.478
3,30.489,33.599,56.385,43.040,45.690,41.388,33.840,52.174,42.894,49.918,46.105,47.186,41.668,42.806,44.954,43.559,62.062,38.644,37.027,40.048,36.577,33.890,30.934,38.546,34.903,36.808,33.937,44.588,43.429,47.329,48.905,46.937,41.128,39.141,68.212,44.139,40.491,44.778,39.516,40.084,44.802,39.842,38.561,40.638,34.507,29.968,46.486,31.285,30.704,40.167,38.346
4,30.776,33.280,56.744,42.713,46.301,41.541,34.054,52.356,43.064,50.273,46.566,47.405,41.781,43.028,46.325,43.756,61.916,38.607,37.002,39.924,36.707,34.102,31.170,38.230,35.131,36.521,33.915,44.227,43.803,47.469,48.488,46.613,41.180,38.988,67.912,44.405,40.276,44.925,39.721,39.811,44.713,39.653,38.503,40.715,34.635,29.959,46.602,31.386,30.733,40.149,38.458
5,30.610,33.640,56.419,42.779,46.310,41.599,33.633,52.419,43.165,50.091,45.959,47.351,41.596,42.783,47.323,43.922,62.032,38.386,37.230,40.291,36.780,33.892,30.987,38.322,35.094,36.060,33.970,43.821,43.542,47.092,48.512,46.421,41.305,38.752,67.472,44.398,40.538,44.440,39.604,39.686,44.702,39.614,38.446,40.913,34.596,30.202,46.241,31.436,30.675,40.340,38.580
6,30.599,33.337,56.637,43.004,46.377,42.010,33.853,52.389,42.850,49.173,45.458,47.241,41.385,43.151,49.499,43.596,61.751,38.274,37.201,40.421,36.836,34.040,31.075,38.406,35.068,36.401,33.973,44.358,43.598,47.256,48.743,46.284,41.373,38.662,67.551,44.023,40.493,45.242,39.580,39.322,44.698,39.667,38.376,40.220,34.457,30.063,46.124,31.351,30.880,40.089,38.247
7,30.590,33.647,56.303,43.052,45.958,41.207,33.703,51.728,42.881,50.034,46.405,46.801,41.745,43.051,50.631,44.568,62.573,38.305,37.330,40.023,36.648,34.170,30.957,38.348,35.152,36.387,34.003,44.173,43.720,47.624,48.551,46.873,41.022,38.727,67.451,44.342,40.442,44.643,39.475,40.053,44.787,39.510,38.404,40.563,34.645,29.981,46.598,31.454,30.531,39.915,38.690
8,30.675,33.697,56.363,43.229,46.183,41.097,33.801,51.913,42.896,50.025,46.289,47.323,41.060,43.113,51.100,44.298,62.353,38.402,37.228,40.169,36.746,33.934,31.003,38.511,34.963,36.250,33.984,44.031,43.463,47.638,48.317,46.521,41.445,39.065,68.139,43.983,40.384,44.343,39.510,39.556,44.569,39.522,38.386,40.168,34.537,30.171,46.693,31.574,30.394,40.181,38.445
9,30.787,33.606,56.607,43.072,46.319,41.633,33.514,51.681,42.617,49.784,46.257,47.086,41.397,42.945,51.750,44.130,61.980,38.544,37.192,40.108,36.660,34.084,30.987,38.348,34.868,36.182,33.906,43.804,43.343,47.658,48.598,46.421,41.176,38.968,67.763,44.350,40.640,44.717,39.797,39.645,44.537,39.828,38.364,40.479,34.683,29.988,45.984,31.434,30.435,40.305,38.533
10,30.729,33.555,56.568,42.828,46.440,41.474,33.742,53.091,42.623,49.782,45.965,47.241,41.248,42.917,52.513,44.380,62.210,38.542,36.961,39.961,36.462,34.072,31.081,38.373,35.118,36.872,33.768,44.097,43.266,47.355,48.716,46.472,40.962,39.106,67.800,44.199,40.534,44.867,39.736,39.737,44.902,40.112,38.497,40.576,34.544,29.899,46.339,31.355,30.512,39.816,38.576
