 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51
962,32.184,35.089,56.026,50.934,49.866,46.740,34.235,52.698,43.801,63.195,66.219,70.515,78.774,64.863,84.773,50.333,104.489,45.519,46.600,39.879,51.780,39.988,39.476,42.639,46.269,37.028,34.436,47.491,44.104,52.077,66.268,75.109,46.180,39.613,70.186,47.161,41.303,45.048,40.348,44.431,60.869,45.862,60.741,47.482,35.051,31.368,48.793,32.476,32.495,44.649,40.681
963,31.874,34.622,56.346,49.939,49.567,46.276,34.090,52.376,43.725,62.011,66.440,70.725,76.933,63.235,82.989,49.335,102.551,44.447,45.311,39.941,51.049,39.958,39.805,42.144,45.616,37.150,34.475,46.750,44.430,51.425,64.303,70.510,45.267,39.863,69.884,46.669,41.146,44.766,40.248,44.690,59.887,44.917,62.159,47.405,34.707,31.383,48.741,32.472,32.409,44.408,40.304
964,31.724,35.062,56.232,49.226,49.562,47.168,34.160,52.631,43.706,61.380,64.198,69.591,74.892,60.983,81.292,48.568,99.518,43.753,45.100,39.719,51.066,39.717,39.192,41.519,45.151,36.848,34.227,46.662,44.497,51.044,62.683,67.864,44.658,39.505,69.861,46.535,40.993,45.242,40.213,44.587,59.350,44.204,62.671,46.227,34.874,31.178,48.514,32.155,32.474,43.936,40.172
965,31.848,34.842,56.553,49.051,49.965,47.342,34.279,53.255,43.169,61.307,63.490,68.347,74.305,59.902,79.928,48.335,95.861,43.142,44.048,39.725,51.567,39.517,39.026,41.408,44.555,36.737,34.303,46.562,43.972,50.785,61.365,64.804,44.620,39.331,69.961,46.507,41.190,45.251,40.299,43.507,58.812,43.323,63.388,45.291,34.982,31.126,48.388,32.259,32.697,43.340,39.832
966,31.372,34.936,55.979,48.471,49.542,46.714,34.005,53.218,43.398,58.295,62.035,67.460,71.541,57.751,77.586,47.877,90.738,42.551,43.915,40.032,51.215,38.968,37.961,40.604,43.576,36.713,34.408,46.349,43.974,50.406,60.097,62.610,43.674,39.382,69.668,46.336,40.798,45.331,40.064,43.932,58.687,43.286,63.470,44.531,34.621,31.097,48.560,31.837,32.423,43.050,39.850
967,31.572,34.642,55.974,47.844,49.037,46.196,33.884,52.688,43.182,56.711,60.805,65.911,69.197,55.476,75.508,46.838,89.155,41.781,43.294,39.803,50.753,38.501,37.393,40.170,43.015,36.920,34.052,46.210,44.048,49.885,58.850,60.352,43.813,39.468,69.300,45.987,40.822,45.242,40.068,42.984,57.989,42.796,64.276,43.748,34.654,31.009,48.727,31.843,32.406,42.376,39.490
968,31.435,34.736,56.873,47.507,49.525,45.814,33.832,52.752,43.381,55.725,60.248,65.801,68.048,53.919,73.081,46.944,87.602,41.167,42.099,40.000,50.707,38.802,37.092,40.317,42.364,36.938,34.387,45.503,43.891,49.969,57.842,59.037,43.150,39.215,69.856,45.926,41.128,44.928,39.781,42.867,56.894,42.299,63.963,43.359,35.106,30.547,47.978,32.012,32.368,42.422,39.662
969,31.491,34.174,55.725,47.130,49.072,45.577,33.972,51.893,43.222,54.557,59.082,65.199,65.536,52.023,70.232,46.521,83.894,41.114,41.447,39.913,49.584,38.407,36.506,39.611,41.558,36.896,34.212,45.903,44.342,49.405,57.012,57.367,42.930,39.306,68.891,45.589,40.788,44.572,40.248,42.255,55.979,42.029,63.801,42.880,34.809,30.320,47.900,32.102,32.363,42.011,39.309
970,31.444,34.447,55.611,46.697,49.009,45.334,33.948,51.624,42.989,54.336,58.443,63.536,62.286,50.678,66.725,46.257,80.061,40.665,41.071,39.664,48.995,37.557,36.192,39.439,41.123,36.922,34.063,45.824,44.047,49.144,56.181,55.810,42.964,39.252,68.632,45.446,40.652,44.787,40.145,42.337,55.535,41.701,62.514,42.524,34.512,30.684,47.635,31.880,32.454,41.837,39.531
971,30.854,33.672,55.421,46.859,48.292,45.474,33.685,52.117,43.133,52.825,57.507,63.536,60.555,50.045,64.999,45.244,77.013,40.816,40.507,39.625,48.501,37.299,35.954,39.255,40.501,36.972,34.127,45.815,44.415,49.134,55.037,55.076,42.774,39.352,68.579,45.508,40.830,44.819,40.072,42.070,55.717,41.779,61.418,42.058,34.911,30.639,47.416,31.779,32.798,41.475,39.248
972,30.791,33.525,55.574,46.153,47.812,44.352,33.667,51.124,42.879,52.582,56.242,62.797,58.654,48.774,63.260,45.713,76.627,40.191,39.801,39.691,48.853,37.048,35.376,39.243,39.929,36.647,34.241,45.378,44.197,48.686,54.618,54.327,42.290,39.264,68.477,45.132,40.709,45.056,40.203,42.320,55.020,41.369,60.664,41.728,35.032,30.470,47.363,31.817,32.425,41.511,39.136
973,30.635,33.628,55.763,46.282,47.891,44.686,33.850,51.302,42.733,51.955,55.434,61.536,57.156,48.070,60.830,45.125,72.613,40.040,39.764,39.352,47.655,36.956,35.569,39.181,39.776,36.601,34.229,45.790,44.278,49.109,54.137,52.870,42.437,38.771,68.539,45.293,40.793,44.860,40.170,41.649,53.988,41.396,59.790,41.861,34.849,30.460,46.805,31.944,32.644,41.298,39.056
974,30.904,33.690,55.366,45.711,48.234,43.209,34.000,50.594,42.667,51.868,52.810,60.134,55.858,47.290,59.277,45.130,72.961,39.584,39.187,39.815,47.291,36.832,34.626,39.243,39.198,36.820,33.963,45.006,43.686,48.914,53.582,52.799,42.028,39.236,68.426,45.267,40.592,44.778,40.338,41.495,53.464,41.206,58.115,41.382,34.466,30.277,48.229,31.851,32.346,40.848,39.151
975,30.830,33.860,55.643,45.707,47.412,43.316,33.804,50.943,42.578,51.825,53.090,60.316,53.904,46.782,56.969,45.102,71.380,39.656,38.838,39.375,46.597,36.377,34.703,38.995,38.922,36.802,33.966,45.332,44.394,48.597,53.256,52.082,42.310,39.095,68.175,45.046,40.563,45.106,40.057,41.047,52.972,41.311,57.327,41.751,34.901,30.191,47.749,31.631,32.452,41.546,39.249
976,30.814,33.516,55.796,45.405,46.762,43.008,33.537,51.356,42.648,51.286,52.697,59.969,52.990,46.358,55.693,45.028,70.064,39.677,38.777,39.858,46.807,36.220,34.335,39.185,38.496,36.593,34.081,45.239,44.014,48.687,52.984,51.519,42.225,39.069,69.037,45.112,40.533,44.930,39.988,41.285,52.230,40.966,55.869,40.887,34.668,30.376,46.938,31.789,32.195,40.801,39.144
977,30.536,33.489,55.693,45.393,46.757,42.806,33.421,51.624,42.617,51.398,51.994,59.162,51.873,45.772,54.786,44.698,69.081,39.558,38.706,39.371,46.130,36.058,34.094,39.142,38.266,36.752,34.049,45.051,43.932,48.451,53.192,50.799,42.006,39.021,68.209,44.872,40.392,44.353,40.236,40.706,51.706,40.859,54.224,41.304,34.651,30.262,47.201,31.490,32.233,40.940,38.973
978,30.798,33.498,55.733,45.414,47.236,43.033,33.796,51.372,43.053,51.009,51.236,58.976,51.130,45.710,53.334,44.743,68.487,39.570,38.308,39.659,46.034,36.142,34.008,38.840,37.908,37.214,34.019,44.980,44.174,48.272,52.577,50.572,41.669,39.030,67.911,45.068,40.375,44.913,39.871,41.142,51.016,41.187,51.997,41.107,34.546,30.128,46.998,31.578,32.272,40.911,38.906
979,30.711,33.752,55.520,45.222,46.597,41.967,33.592,50.433,42.559,50.941,49.962,58.299,49.988,45.371,52.435,44.635,68.176,38.995,38.607,39.522,45.866,35.333,33.629,38.889,37.664,36.533,34.097,45.080,43.747,48.574,52.072,50.078,42.071,39.356,68.072,45.112,40.545,44.872,40.156,40.639,50.681,41.184,52.040,40.974,34.599,30.190,47.490,31.777,32.423,41.195,38.742
980,30.816,33.365,54.907,44.779,46.368,43.347,33.829,50.899,42.731,50.202,50.303,58.203,49.267,44.879,51.822,44.415,66.659,39.479,38.340,39.757,45.149,35.535,33.651,38.635,37.568,36.725,34.055,45.128,44.217,48.266,51.415,49.654,42.120,39.023,67.537,44.848,40.221,44.978,40.266,40.838,50.459,40.830,51.031,41.505,34.658,30.101,46.809,31.430,32.272,40.511,39.319
981,30.939,33.695,55.447,44.791,46.826,42.232,33.752,50.487,42.574,51.277,49.706,57.904,48.651,44.710,51.206,44.479,67.037,39.300,38.163,39.757,44.738,35.407,33.237,38.718,37.320,36.391,34.027,45.210,44.020,48.259,51.379,49.460,41.785,39.118,67.798,45.045,40.834,44.473,39.766,40.799,49.689,40.813,49.332,41.107,34.498,30.215,47.241,31.400,31.935,40.468,38.842
982,30.574,33.677,55.546,44.628,46.222,42.783,33.654,51.785,42.663,50.770,49.758,58.127,47.851,44.591,50.605,44.257,65.983,39.293,38.009,40.034,44.093,35.210,33.326,38.752,37.078,36.547,34.471,45.531,43.849,48.399,50.724,49.172,41.408,38.975,68.065,44.804,40.608,44.867,40.004,40.846,49.565,40.405,48.769,41.214,34.598,30.079,47.235,31.516,31.945,40.326,38.935
983,30.733,33.589,55.621,44.611,46.019,42.622,33.749,50.752,42.676,50.464,49.137,57.162,47.221,44.507,49.889,44.637,65.449,39.256,37.641,39.517,43.729,35.234,33.043,38.927,37.002,36.886,34.127,45.429,43.915,48.341,51.159,49.039,41.853,39.231,67.226,44.952,40.231,44.681,39.725,40.464,49.115,40.558,48.068,40.689,34.507,30.303,46.807,31.498,31.644,40.933,38.800
984,30.603,33.323,55.471,44.417,46.282,42.329,33.654,51.074,42.883,50.375,48.831,57.340,46.803,44.252,49.349,44.419,65.598,39.086,37.859,39.485,43.032,35.240,33.016,38.673,36.737,36.283,33.936,44.963,43.766,48.319,51.009,48.884,41.771,39.060,67.982,44.411,40.277,44.565,39.941,40.696,49.026,40.403,47.421,40.369,34.589,30.036,47.014,31.470,31.959,40.387,38.668
985,30.659,33.310,55.897,44.539,45.954,42.492,33.630,51.466,42.566,50.775,48.609,56.454,46.284,43.979,49.065,43.715,65.368,39.467,37.673,39.819,42.707,34.697,32.918,38.728,36.641,36.579,34.085,45.048,43.450,48.537,50.810,48.916,41.775,38.938,67.856,44.749,40.264,44.708,40.197,40.271,48.267,40.386,46.514,40.984,34.676,29.848,46.878,31.735,31.572,40.450,39.061
986,30.594,33.619,55.454,44.447,46.354,42.347,33.468,51.597,42.752,50.495,48.070,56.309,45.889,43.887,48.983,44.639,64.385,38.944,37.556,39.652,42.286,34.806,32.699,38.798,36.611,36.327,33.951,45.253,43.939,48.049,50.585,48.849,41.824,39.000,67.282,44.407,40.479,44.923,39.916,40.224,48.451,40.393,45.114,40.835,34.385,30.058,47.169,31.436,31.738,40.918,38.781
987,30.511,33.505,55.103,44.168,46.178,41.582,33.636,50.205,42.756,50.234,48.376,55.698,45.401,43.876,48.309,44.268,64.817,39.109,37.383,39.705,42.139,34.752,32.565,38.353,36.283,36.495,33.915,44.980,43.725,48.108,50.441,48.110,41.489,38.938,67.323,44.527,40.418,44.686,40.094,40.411,47.754,40.032,44.435,40.311,34.459,30.038,47.402,31.271,31.389,40.426,38.967
988,30.706,33.353,55.636,43.981,45.910,43.281,33.470,51.503,42.824,49.986,48.297,56.526,44.923,43.529,48.227,43.875,63.566,39.344,37.645,39.911,41.465,35.010,32.677,38.534,36.071,37.134,33.987,45.375,43.663,47.875,49.895,48.352,41.554,38.917,67.437,44.602,40.315,44.698,39.932,39.745,47.706,40.774,43.895,41.029,34.660,30.173,46.438,31.761,31.442,40.291,38.719
989,30.729,33.534,55.742,43.998,45.613,42.105,33.884,51.174,42.661,49.680,47.869,55.962,44.623,43.953,47.864,43.898,63.679,38.881,37.442,39.840,41.259,34.375,32.248,38.384,36.086,36.605,33.913,45.108,43.992,48.176,50.059,48.236,41.804,39.067,67.274,44.355,40.498,44.705,40.090,40.218,47.687,40.398,43.439,40.686,34.773,30.108,46.526,31.584,31.505,40.326,38.714
990,30.493,33.261,55.415,43.779,46.248,42.390,33.597,51.114,42.436,49.539,47.781,56.017,44.404,43.653,47.502,44.162,63.988,39.133,37.548,39.462,41.122,34.711,32.311,38.751,36.300,36.583,34.045,45.372,43.553,48.361,49.991,47.996,41.554,38.979,67.660,44.858,40.555,44.522,39.795,40.312,47.402,40.663,42.956,40.262,34.516,30.099,46.761,31.147,31.053,40.266,38.919
991,30.511,33.433,55.589,43.973,45.910,42.559,33.726,50.906,42.794,50.216,48.143,55.268,44.464,43.740,47.332,43.713,63.674,39.260,37.449,39.680,41.284,34.507,32.202,38.403,35.991,36.784,33.952,44.980,43.637,47.926,49.696,47.881,41.598,38.583,67.605,44.400,40.382,44.686,39.740,40.390,47.374,40.277,42.420,40.790,34.812,29.983,46.713,31.382,31.171,40.699,38.943
992,30.679,33.101,55.301,43.639,45.595,41.844,33.935,50.601,42.458,50.241,46.971,55.137,43.865,43.525,47.168,43.994,63.582,38.533,37.383,39.746,40.729,34.371,32.194,38.497,35.843,36.463,34.088,44.778,44.134,48.042,49.931,47.987,41.587,38.961,67.789,44.539,40.543,44.705,39.785,40.074,47.280,40.073,41.823,40.485,34.676,30.007,46.843,31.484,30.918,39.936,38.766
993,30.511,33.110,55.907,43.812,46.051,42.298,33.481,50.181,42.553,50.057,47.111,54.557,43.690,43.482,47.124,43.929,63.654,38.758,37.364,39.803,40.487,34.347,31.884,38.850,35.957,36.617,33.928,44.651,43.753,47.953,50.008,47.967,41.589,39.271,67.484,44.474,40.651,44.585,39.977,40.064,46.617,40.267,41.607,40.570,34.745,30.157,46.803,31.777,31.077,40.596,38.590
994,30.635,33.250,55.312,43.468,45.400,41.602,33.860,50.282,42.430,50.009,47.758,54.337,43.865,43.503,46.804,44.093,63.696,38.709,37.398,39.458,40.379,34.569,31.712,38.540,35.828,36.353,33.976,44.554,43.696,47.891,49.505,47.852,41.120,39.194,66.984,44.762,40.202,44.981,39.703,40.070,46.786,40.201,41.234,40.599,34.470,30.026,47.155,31.612,30.837,40.578,38.803
995,30.596,33.433,55.533,43.767,45.775,42.610,33.525,50.980,42.047,49.805,47.440,54.519,43.413,43.482,46.512,43.516,63.124,38.628,37.745,39.522,40.005,34.371,32.046,38.484,35.837,36.754,33.949,44.824,43.776,48.151,49.718,47.818,41.457,39.056,67.618,44.559,40.303,45.191,39.834,39.844,46.709,40.160,41.253,40.492,34.461,30.012,46.799,31.353,31.180,40.103,38.601
996,30.673,33.429,55.269,43.725,45.766,41.222,33.690,50.460,42.498,49.916,46.915,54.179,42.959,43.245,46.675,43.950,63.587,39.119,37.260,39.364,40.262,34.433,31.813,38.686,35.871,36.515,34.021,44.682,43.528,48.071,49.573,47.464,41.457,38.863,67.658,44.417,40.226,44.329,39.672,40.027,46.501,40.177,40.570,40.566,34.379,30.207,46.693,31.713,31.365,40.390,38.738
997,30.525,33.016,55.052,43.616,45.951,41.903,33.690,50.342,42.502,49.541,47.079,53.759,43.084,43.326,46.636,44.024,63.580,38.933,37.216,39.719,39.751,34.255,31.970,38.464,35.739,36.331,34.146,44.494,43.969,48.064,49.370,47.410,41.256,38.995,67.156,44.856,40.002,44.857,39.867,40.103,46.427,40.075,40.432,40.557,34.534,30.231,47.100,31.476,31.159,40.496,39.011
998,30.581,33.360,55.247,43.473,45.898,41.969,33.680,50.517,42.581,50.666,47.297,53.766,42.786,43.586,46.523,43.747,63.318,38.719,37.507,39.590,39.741,34.309,31.785,38.584,35.828,36.705,33.816,44.222,43.657,47.684,49.579,47.651,41.551,38.539,67.225,44.478,40.048,44.691,40.014,39.992,46.132,40.189,40.432,40.272,34.323,29.916,47.046,31.492,31.149,40.617,38.850
999,30.437,33.188,55.280,43.559,46.019,42.561,33.258,51.000,42.182,49.843,47.122,54.100,42.986,43.326,46.246,43.862,62.533,38.658,37.413,39.597,39.164,34.299,31.641,38.496,35.680,36.437,34.007,45.020,43.658,47.841,49.384,47.363,41.473,38.986,67.172,44.579,40.445,44.754,40.141,39.926,46.248,40.299,40.156,40.466,34.301,30.024,46.687,31.558,30.786,40.344,38.646
1000,30.507,33.232,56.282,43.802,46.019,41.870,33.452,51.644,42.864,50.105,47.475,54.309,42.925,43.203,46.210,43.920,62.689,38.958,37.228,39.931,39.222,34.325,31.623,38.400,35.419,36.970,33.895,44.699,43.719,47.777,49.719,47.437,41.296,39.109,67.758,44.296,40.425,44.964,39.676,40.033,46.193,39.915,40.241,40.751,34.461,29.744,46.592,31.090,30.849,40.206,38.636
1001,30.576,33.312,55.428,43.279,45.942,41.617,33.778,50.346,42.199,50.130,47.411,53.361,42.779,43.444,46.335,43.732,62.679,38.458,37.342,39.966,39.208,34.142,31.499,38.489,35.386,36.541,33.862,44.827,43.484,47.595,50.022,47.506,41.242,38.750,66.967,44.392,40.204,44.534,40.033,39.961,46.029,40.158,39.902,40.540,34.500,30.075,47.082,31.149,30.959,40.262,38.677
1002,30.300,33.128,55.041,43.580,45.590,42.383,33.315,50.752,42.644,49.877,47.055,53.522,42.731,43.143,46.017,43.991,62.044,38.940,37.167,39.888,39.193,34.601,31.341,38.478,35.356,36.479,33.939,45.068,43.769,48.042,49.279,47.451,41.237,38.965,67.451,44.301,40.207,44.737,39.719,39.932,45.785,40.036,39.911,40.469,34.477,29.860,46.596,31.233,30.964,40.046,38.968
1003,30.498,33.498,55.656,43.119,45.803,42.186,33.731,50.644,42.513,49.682,46.665,53.158,42.375,43.275,46.103,44.063,62.289,38.763,37.284,40.005,38.667,34.425,31.563,38.481,35.237,36.487,33.816,44.733,43.849,47.722,49.287,47.406,41.375,39.257,67.602,44.639,40.521,44.394,39.826,40.047,45.878,40.218,39.705,40.566,34.459,30.116,46.687,31.490,30.942,40.798,38.635
1004,30.453,33.303,55.196,43.451,45.512,42.102,33.587,50.601,43.097,49.677,47.012,53.570,42.611,42.889,45.932,43.721,62.654,38.753,37.794,39.458,38.276,33.962,31.455,38.554,35.458,36.549,33.873,45.159,43.620,47.664,49.757,47.201,41.487,39.176,67.265,44.322,40.236,44.246,39.977,39.903,46.125,40.257,39.726,40.201,34.461,30.062,46.534,31.570,31.096,40.844,38.537
1005,30.675,33.197,55.411,43.025,45.660,42.227,33.545,51.077,42.271,49.841,46.918,53.038,42.724,43.009,45.720,43.840,62.022,38.521,37.590,39.364,38.418,34.020,31.312,38.311,35.817,36.503,34.045,44.881,43.911,47.868,49.354,47.404,41.282,38.551,67.121,44.456,40.368,44.710,39.781,39.661,45.951,40.216,39.512,40.583,34.544,30.091,46.594,31.311,30.726,40.411,38.650
1006,30.415,33.484,55.288,43.069,45.917,42.758,33.711,51.641,42.513,48.857,47.309,52.979,42.135,43.119,45.885,43.425,61.271,38.735,37.267,39.506,38.746,34.036,31.638,38.334,35.304,36.784,33.918,44.886,43.885,47.588,49.014,47.324,41.389,39.016,67.239,44.607,40.317,44.708,39.887,39.548,45.978,40.117,39.213,40.502,34.677,29.815,46.396,31.637,31.017,40.326,38.433
