 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50
315,113.073,188.991,54.282,45.390,37.774,37.411,48.880,57.018,56.236,37.251,57.890,58.974,52.939,39.166,41.859,41.894,56.040,48.775,55.339,70.851,117.540,248.111,124.497,67.459,57.378,63.887,36.460,43.435,40.845,46.535,41.972,37.561,42.101,51.993,39.761,40.325,40.041,32.072,30.525,30.412,35.298,42.950,35.871,44.288,44.678,44.232,42.649,60.495,43.522,44.304
316,109.636,184.963,52.870,45.267,37.627,37.397,48.035,56.687,56.440,37.214,57.665,58.730,52.894,39.007,41.279,41.492,56.038,48.166,55.090,69.026,124.359,248.884,121.862,66.401,56.985,64.701,36.599,43.497,40.989,46.619,42.146,37.705,42.119,51.765,39.286,40.431,39.917,32.015,30.733,30.737,35.241,43.223,35.789,44.260,44.863,43.992,42.427,59.261,44.008,44.393
317,107.216,178.682,51.165,44.733,37.465,37.046,47.574,55.831,56.474,37.348,57.987,59.126,52.256,38.809,41.214,41.364,55.894,47.267,54.630,66.577,118.802,245.565,116.560,65.188,57.182,64.217,36.804,43.246,40.488,46.455,42.124,37.591,42.469,52.274,39.067,40.534,40.270,31.940,30.419,30.564,35.365,43.014,35.937,44.288,44.562,43.912,42.856,53.786,43.577,44.556
318,106.202,177.958,49.588,45.113,37.563,37.555,46.605,55.210,56.327,37.298,58.062,58.860,51.749,39.149,41.324,41.544,55.809,48.026,54.474,65.065,114.374,242.714,113.999,65.390,57.097,63.423,36.887,43.310,40.742,46.677,42.497,37.516,42.362,51.783,40.283,41.942,40.162,32.100,30.256,30.527,35.568,43.260,35.569,43.997,45.051,43.735,42.623,50.289,43.384,44.471
319,115.317,191.375,48.674,46.738,38.705,37.519,56.787,55.938,56.776,37.752,58.282,59.157,51.432,39.241,40.989,41.589,55.868,50.402,54.070,64.036,109.826,248.374,115.272,65.589,57.690,63.214,36.695,43.329,40.663,46.481,44.371,37.601,42.774,52.267,48.074,43.770,40.080,32.013,30.461,30.536,35.419,42.897,35.840,44.618,44.610,43.801,42.716,49.972,43.813,43.919
320,121.504,221.526,51.459,48.497,40.065,38.019,73.373,62.894,56.461,37.876,61.570,59.002,51.462,39.202,41.017,41.434,56.015,59.357,54.211,70.767,104.917,250.864,132.288,64.562,57.600,63.080,36.754,43.368,40.808,46.644,44.056,38.599,43.208,52.085,46.818,42.498,40.256,31.945,30.749,30.678,35.649,43.031,35.721,43.924,45.147,43.909,42.920,51.171,43.579,44.715
321,123.376,232.765,55.025,50.696,45.155,39.059,78.337,80.141,56.471,38.519,64.391,59.089,56.877,39.481,41.300,42.846,60.302,61.673,63.264,88.313,102.012,253.653,157.882,66.355,57.787,63.286,36.804,43.375,40.324,47.120,45.502,39.443,44.480,53.018,44.209,42.293,40.417,32.205,30.928,30.969,35.356,43.320,36.563,44.417,44.767,43.843,42.755,55.087,43.514,44.505
322,123.589,233.665,55.980,50.094,45.700,38.987,78.472,85.117,56.673,38.718,63.166,59.028,57.326,39.512,41.071,42.989,59.062,63.775,66.112,89.101,98.949,253.166,169.805,67.320,58.083,63.236,36.634,43.440,40.757,47.340,46.051,39.316,44.510,52.818,41.953,44.000,40.541,32.182,30.837,31.099,35.797,43.257,36.655,44.184,45.226,43.845,42.979,52.509,43.899,44.919
323,124.914,238.576,53.980,49.374,44.269,38.500,75.391,80.455,56.890,37.996,61.561,59.681,56.418,39.373,41.155,42.950,57.636,67.469,63.537,85.037,95.817,252.181,179.796,68.029,58.320,62.261,36.642,43.119,40.622,46.812,46.195,38.784,44.528,52.496,40.448,42.963,40.744,32.214,30.813,30.958,35.692,43.394,36.201,44.483,44.966,44.025,42.729,50.185,43.699,44.323
324,121.269,231.897,52.146,47.861,42.713,38.760,71.665,76.338,56.708,38.577,59.639,58.994,54.749,39.327,41.305,42.503,56.915,64.321,61.671,79.101,93.081,249.177,173.716,67.083,58.339,62.121,36.776,43.565,40.517,46.761,45.078,38.404,43.704,52.153,40.515,42.291,40.121,32.073,30.619,30.900,35.852,43.168,36.135,44.347,44.719,43.793,42.516,48.479,43.457,44.457
