 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50
1,98.857,155.052,44.596,45.105,37.489,36.903,54.205,70.536,55.244,36.165,62.520,57.366,48.811,39.095,40.351,40.818,56.287,46.681,47.470,60.036,82.386,201.351,95.793,64.215,56.490,63.195,36.419,42.779,39.419,47.090,41.920,36.843,41.205,49.930,38.155,41.027,39.374,31.410,31.285,30.534,35.537,42.075,34.805,41.559,43.805,43.213,41.034,47.115,42.912,43.053
2,95.600,149.931,43.386,44.814,37.119,36.688,51.888,67.910,55.154,36.572,59.991,56.852,48.565,38.792,40.008,40.535,56.913,46.417,47.725,58.572,80.230,192.683,92.032,65.748,56.046,62.327,36.533,42.562,39.662,46.722,41.909,37.176,41.630,49.857,38.108,40.977,39.150,31.483,30.885,30.461,35.411,42.308,35.099,41.476,44.291,43.155,40.873,46.692,43.119,43.274
3,91.495,145.202,42.782,44.830,37.213,37.076,49.538,66.001,55.434,36.242,58.359,56.697,48.287,38.866,40.292,40.665,55.904,45.645,47.518,56.897,78.230,186.596,88.616,64.585,56.241,61.755,36.550,42.773,39.084,46.694,41.533,36.695,41.303,49.822,37.838,40.609,39.372,31.563,30.875,30.419,35.144,42.046,34.832,41.358,44.113,42.865,41.039,46.545,42.938,43.091
4,89.140,142.296,43.815,44.675,36.832,36.793,48.037,64.452,55.643,36.245,58.419,56.644,48.501,38.667,40.038,40.596,56.217,45.438,47.616,55.848,77.589,180.707,85.272,64.134,55.771,61.953,36.407,42.697,39.259,46.667,41.524,36.788,41.066,50.169,38.175,40.640,39.055,31.544,30.552,30.504,35.294,42.051,34.500,41.267,44.356,42.655,40.869,45.998,42.839,42.885
5,86.764,139.255,43.710,44.851,36.817,36.726,47.023,62.678,55.601,36.053,63.490,56.809,48.409,38.487,40.227,40.711,55.817,44.765,47.393,54.541,75.978,177.054,82.683,63.721,55.787,61.005,36.553,42.730,39.325,46.819,41.467,36.564,41.252,50.125,37.424,40.559,39.322,31.507,30.568,30.457,35.403,42.421,34.865,41.125,44.233,42.715,40.699,45.732,42.904,42.949
6,84.064,136.139,43.348,44.165,36.879,36.922,45.607,61.131,55.325,35.944,61.353,56.602,48.390,38.690,39.844,40.581,56.009,44.762,47.220,53.810,74.870,171.837,80.947,62.688,55.179,61.113,36.511,42.484,39.300,46.531,41.434,36.689,41.175,49.862,37.667,41.061,39.262,31.636,30.776,30.361,35.069,41.966,34.817,41.312,44.199,42.804,40.866,46.035,42.896,43.098
7,82.182,133.931,43.878,44.419,37.071,36.783,44.805,60.110,54.910,35.914,59.589,56.829,48.604,38.773,40.206,40.312,56.119,44.790,46.894,53.628,73.873,167.397,78.968,62.446,55.719,60.626,36.219,42.833,39.288,46.444,41.754,36.661,41.256,49.675,37.657,43.805,39.178,31.568,30.667,30.332,35.350,42.209,34.525,41.361,43.904,42.776,40.556,45.833,42.579,42.798
8,80.880,132.026,43.553,44.249,36.360,36.856,43.478,58.927,55.292,35.929,58.194,57.010,48.248,38.780,40.011,40.355,56.164,44.925,47.246,52.593,73.704,166.692,77.774,62.223,55.440,61.253,36.302,42.690,39.246,46.602,41.322,36.533,41.030,49.489,37.596,42.696,39.433,31.669,30.445,30.234,35.213,41.940,34.596,41.028,43.818,42.826,40.909,46.019,43.042,42.628
9,84.526,130.073,42.835,45.042,36.705,36.837,43.308,58.618,54.911,36.114,63.011,56.850,48.214,38.762,40.151,40.113,55.896,44.147,47.125,52.156,75.210,223.662,80.664,63.919,55.486,60.143,36.218,42.479,39.200,46.773,41.469,36.588,40.792,49.952,38.148,41.859,38.981,31.469,30.445,30.422,35.018,41.796,34.485,41.622,43.822,43.207,40.845,47.246,42.519,43.074
10,83.361,127.154,43.451,44.657,36.946,37.006,42.629,57.336,55.303,36.217,62.131,57.073,48.053,38.730,40.200,40.642,55.900,44.326,46.774,51.552,75.479,223.372,87.651,63.919,55.665,60.239,36.432,42.556,39.101,46.505,41.484,36.544,40.875,50.000,37.424,41.151,39.223,31.600,30.389,30.295,35.039,42.378,34.736,41.049,44.418,42.575,41.301,46.847,43.078,42.643
11,81.302,125.159,43.462,44.770,36.394,37.080,41.615,56.705,55.479,35.950,59.385,56.827,48.487,38.561,40.254,40.654,55.547,44.169,46.966,51.087,74.391,212.442,91.568,63.236,55.218,60.440,36.361,42.467,39.024,46.606,41.500,36.600,40.774,49.798,37.855,40.815,39.318,31.527,30.592,30.256,35.150,42.122,34.584,41.062,44.264,42.213,40.946,46.310,42.662,42.924
12,79.910,123.506,44.426,44.835,36.532,36.477,41.648,56.573,54.956,36.022,58.265,56.453,48.538,38.591,39.994,40.505,56.272,44.248,46.719,50.723,73.308,203.025,92.249,63.320,55.496,59.912,36.455,42.922,39.256,46.647,41.390,36.879,40.967,49.472,37.461,43.088,39.178,31.634,30.317,30.430,35.107,42.283,34.977,41.135,43.627,42.459,40.873,46.183,42.514,43.168
13,76.849,122.307,44.113,44.785,36.524,36.850,49.199,56.468,55.006,35.832,61.185,57.274,48.359,38.338,40.447,40.769,55.772,43.842,46.722,50.776,75.169,223.510,88.970,63.550,55.570,60.909,36.358,42.540,39.076,46.350,41.301,36.665,40.931,49.726,38.263,42.735,39.038,31.369,30.453,30.229,35.041,41.682,34.926,41.142,44.092,42.790,40.809,46.901,42.587,42.807
14,76.126,165.040,44.911,49.801,40.222,37.721,54.834,67.278,55.160,38.021,64.639,57.140,51.173,38.260,41.153,42.832,58.747,43.966,51.515,68.916,76.936,247.231,137.539,64.684,55.800,74.338,36.544,42.663,40.035,47.505,42.880,38.372,42.715,51.358,41.865,44.170,39.364,31.585,30.568,30.617,35.097,41.875,35.201,41.139,43.914,45.152,42.070,55.129,42.935,43.352
