 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26
1,89.541,92.782,90.760,91.200,85.149,152.368,109.455,98.736,100.365,111.427,100.481,105.748,118.545,95.155,89.176,106.503,97.274,90.537,85.480,92.304,96.905,86.412,82.570,96.390,96.662,103.964
2,92.388,92.998,92.076,93.064,86.179,159.106,110.832,100.160,101.852,113.822,102.491,107.995,120.807,97.855,90.892,106.844,98.431,90.761,86.245,94.679,100.014,88.612,85.122,99.544,100.122,106.046
3,91.099,93.886,92.660,93.337,86.335,155.755,110.691,100.560,102.083,114.090,100.514,107.974,121.644,97.794,90.728,108.474,98.965,91.743,86.497,94.007,98.798,88.700,85.356,99.571,99.473,106.136
4,91.355,93.832,92.701,93.228,85.954,153.659,110.741,100.532,101.680,113.739,102.340,107.753,120.363,97.924,90.527,107.393,98.589,92.239,86.737,94.274,99.767,88.348,84.733,100.186,99.986,107.092
5,90.711,94.031,92.208,93.393,86.549,153.550,110.679,99.312,100.860,113.344,102.547,108.024,121.478,97.449,90.574,107.453,99.038,92.345,86.717,94.449,98.827,88.890,84.935,99.293,99.362,105.483
6,90.723,94.562,92.842,93.792,86.592,151.075,109.690,100.683,101.959,111.671,102.547,107.926,121.663,96.909,90.363,106.954,98.370,91.727,86.658,93.635,99.278,88.742,85.125,99.746,99.213,106.090
7,91.272,94.393,92.076,93.162,85.351,148.646,109.690,100.039,101.328,113.076,102.073,107.044,120.809,97.168,90.330,108.062,98.885,91.633,85.858,93.332,98.727,88.222,85.272,99.821,100.144,105.938
8,90.771,94.709,92.757,93.016,86.858,146.879,109.101,99.877,102.157,111.853,101.448,106.196,121.051,96.114,91.089,106.938,98.821,91.385,86.328,93.900,99.406,88.149,85.228,99.003,99.290,105.414
9,91.107,94.033,92.742,92.926,86.212,144.398,108.932,99.715,101.253,112.697,101.917,106.867,120.245,96.723,90.667,107.844,97.328,91.154,86.595,93.950,99.135,88.681,85.170,99.468,99.889,105.838
10,91.277,93.827,92.254,93.403,85.841,142.015,109.449,99.470,102.210,112.095,102.351,107.250,119.976,97.929,90.684,108.131,98.348,92.416,86.765,94.058,98.656,87.989,84.574,99.507,98.465,105.494
11,91.255,94.998,91.560,93.435,86.677,140.766,109.233,99.053,101.197,112.637,101.927,107.474,120.275,96.533,90.194,106.775,98.212,91.924,85.805,94.078,99.166,88.301,85.283,99.246,100.355,106.368
12,91.288,94.483,91.378,93.054,86.536,140.227,109.495,99.312,102.436,112.730,102.630,107.310,121.363,97.574,90.520,107.271,98.228,91.280,86.611,93.683,98.710,88.505,85.471,99.626,99.390,106.211
13,90.577,94.671,92.028,92.974,86.050,141.512,108.377,99.500,100.987,112.505,101.024,106.964,121.364,97.071,90.724,107.211,98.594,91.834,86.238,93.872,97.907,88.297,85.690,99.629,98.643,106.045
14,90.941,94.896,92.560,93.046,86.194,140.975,108.015,99.382,101.635,112.493,100.488,107.217,121.529,96.881,91.157,107.232,98.655,91.602,86.740,93.382,98.874,89.049,84.007,98.864,99.300,105.973
15,90.718,94.813,92.974,93.056,86.536,138.679,109.067,98.896,101.781,112.573,101.764,107.357,120.588,97.515,90.241,107.791,97.682,91.367,86.006,93.431,99.064,88.100,85.192,99.034,98.721,106.096
16,90.464,93.770,92.401,93.122,86.564,136.657,108.725,98.863,101.626,113.028,102.278,107.531,121.136,97.401,90.684,106.703,98.522,91.503,85.895,93.626,98.112,88.062,85.216,99.143,100.294,105.441
17,90.858,94.751,92.090,92.798,86.168,136.150,108.363,99.801,101.445,112.168,101.533,107.285,120.513,96.081,90.808,106.140,98.425,91.694,86.080,93.757,99.166,88.683,84.995,98.892,99.067,105.566
18,91.139,93.846,91.682,93.136,86.397,134.122,108.750,100.238,101.564,112.009,101.592,107.015,120.982,96.840,89.923,107.191,97.785,90.915,86.138,93.882,97.993,88.262,84.692,98.915,98.721,106.918
19,91.029,94.844,92.216,92.335,86.274,133.603,108.098,98.317,101.073,112.758,101.729,107.936,120.221,95.239,90.761,106.559,98.583,91.774,86.418,93.959,98.245,87.940,85.086,99.367,99.164,105.349
20,90.563,94.036,92.192,92.780,85.953,132.630,108.613,100.234,102.088,111.339,101.712,106.722,120.555,96.886,90.073,107.570,98.347,92.188,86.074,93.515,98.086,87.833,84.399,99.086,99.271,106.047
21,91.248,95.204,91.847,93.040,86.142,131.722,108.554,99.863,101.865,111.768,101.495,107.450,120.125,97.632,91.061,106.687,98.427,91.418,86.415,93.680,98.838,88.621,84.902,98.811,99.581,106.631
22,90.614,94.562,92.175,93.026,86.527,130.928,108.655,100.132,101.002,112.860,102.325,107.003,119.826,96.497,90.663,107.211,98.360,91.351,85.775,93.623,98.784,88.381,84.503,98.668,98.914,107.089
23,91.040,94.424,91.850,92.577,85.965,129.511,108.059,100.130,100.982,111.268,101.656,107.299,120.515,97.216,90.206,107.347,97.263,91.734,85.660,93.468,99.019,87.875,84.257,98.783,99.128,105.762
24,91.388,95.445,91.973,94.176,86.205,132.871,112.929,100.289,101.088,111.609,101.191,107.731,120.285,96.391,90.403,106.202,97.988,91.047,85.998,93.160,98.209,88.485,84.836,98.997,99.383,105.979
25,91.367,94.031,92.168,93.387,85.346,135.920,113.448,98.903,101.971,111.346,101.283,106.765,120.090,96.865,90.183,106.802,97.943,91.523,86.475,93.153,99.449,88.203,84.808,99.239,100.138,105.981
26,90.984,94.088,92.456,94.168,85.982,136.487,113.670,99.171,101.948,111.550,101.745,106.958,120.153,97.975,90.904,107.871,98.282,91.374,85.720,93.407,98.805,88.116,84.293,98.599,98.792,105.556
27,91.593,93.389,91.937,93.557,85.556,134.580,111.356,99.102,100.915,112.654,100.998,106.709,119.850,97.690,90.180,108.048,98.167,90.846,86.000,93.631,98.017,88.157,85.067,98.607,99.592,105.037
28,90.967,94.761,92.346,93.391,86.070,133.284,110.717,98.947,102.046,111.834,100.941,106.281,120.281,97.094,89.874,106.276,97.890,91.007,85.682,92.994,97.945,88.351,84.817,98.744,99.870,105.991
29,91.068,94.633,92.102,93.236,86.135,132.362,111.014,98.949,102.207,111.526,101.448,106.963,120.634,96.716,90.290,107.483,98.086,91.262,85.786,93.565,98.686,88.119,84.500,99.476,99.153,105.199
30,91.688,93.765,92.398,92.866,86.249,130.904,109.569,100.336,101.199,111.308,101.863,106.472,120.501,96.891,91.429,106.616,98.138,91.682,85.214,93.528,98.952,87.879,84.238,98.792,98.419,105.828
31,91.707,94.095,92.550,94.898,86.698,136.682,115.828,99.789,101.804,112.611,100.748,106.663,121.277,97.421,90.440,107.143,97.797,91.926,86.220,93.673,98.708,87.697,84.443,99.274,99.524,105.675
32,90.886,94.917,92.307,94.575,85.958,146.293,121.021,99.213,102.044,113.445,101.915,106.450,119.974,97.807,90.215,106.674,97.451,91.145,85.575,93.117,97.618,88.266,84.390,98.850,99.164,105.226
33,91.984,93.732,91.955,94.385,86.423,147.036,120.474,100.155,102.476,114.083,102.137,107.145,119.708,98.756,89.672,106.807,98.174,91.510,85.743,93.412,97.967,87.754,84.938,98.538,99.103,105.373
34,91.468,94.974,92.855,97.605,86.059,156.466,127.519,100.273,103.106,116.773,104.045,107.091,119.779,97.673,90.192,106.860,99.151,91.510,85.732,92.752,98.838,87.763,84.521,98.877,98.826,105.743
35,91.614,94.846,91.953,95.663,86.124,157.081,127.564,100.576,102.604,115.341,103.868,106.939,120.588,98.832,90.105,106.818,97.774,92.477,85.768,93.588,97.366,88.217,84.305,98.306,98.588,105.306
36,90.854,94.476,92.194,94.860,86.244,156.465,124.784,100.831,103.225,116.810,104.160,106.566,119.766,98.706,90.283,106.170,97.733,90.761,85.769,92.562,98.501,87.789,84.795,98.754,99.714,105.015
