 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26
29,89.066,90.656,89.993,91.054,85.013,114.689,101.570,94.433,94.264,106.377,97.925,102.285,114.185,92.739,88.117,102.168,93.958,87.848,83.186,89.598,93.297,83.677,81.726,94.729,95.291,100.708
30,89.674,91.126,89.702,91.293,84.541,114.268,101.250,93.889,95.303,106.815,97.604,101.401,114.882,90.949,87.415,103.025,93.010,87.515,83.946,89.071,93.451,83.964,81.949,94.266,96.163,101.185
31,89.094,91.263,90.059,91.196,85.468,113.774,101.584,93.444,94.210,106.064,97.507,102.538,114.433,92.459,88.241,102.023,94.875,86.895,83.557,89.080,93.178,84.613,82.043,95.198,94.944,101.290
32,88.763,91.943,89.709,91.343,85.057,112.776,101.513,93.933,94.808,107.310,95.993,102.097,114.994,92.459,89.141,101.901,93.701,86.984,83.097,88.495,92.675,84.190,81.935,94.803,96.199,101.048
33,88.331,91.436,89.347,91.503,85.239,113.423,102.109,94.162,95.387,106.955,96.196,102.844,114.771,92.947,87.972,102.352,93.943,87.092,83.729,88.887,93.618,84.350,81.842,94.042,95.304,101.088
34,89.357,91.844,89.297,90.944,85.296,113.672,100.546,94.718,94.777,106.256,97.587,102.242,114.647,92.104,88.255,101.591,94.300,88.043,83.558,89.275,93.176,84.374,81.490,94.798,95.972,101.154
35,88.860,90.863,89.686,91.008,85.285,113.735,101.168,94.153,94.171,106.498,97.401,101.681,114.726,92.206,87.909,102.591,93.505,86.946,83.094,88.531,93.166,84.024,81.950,94.067,95.192,101.185
36,88.648,90.149,89.877,90.938,85.394,113.239,101.312,94.942,95.299,107.180,97.389,102.279,114.989,91.835,88.532,101.687,93.839,86.908,83.951,88.688,93.549,84.278,82.009,94.270,95.883,100.884
37,88.402,91.237,90.026,91.473,85.162,113.999,101.539,95.243,95.349,107.081,96.623,101.760,115.134,91.982,87.166,102.428,93.820,87.964,83.360,88.954,94.810,83.952,81.344,94.058,96.117,101.248
38,88.050,91.026,89.915,91.144,85.589,113.517,102.124,94.806,95.739,106.088,96.597,102.043,115.054,92.157,88.651,102.660,93.403,87.289,83.609,88.827,93.919,84.453,81.557,94.744,95.557,101.036
39,88.553,92.083,89.497,91.325,85.135,113.343,101.458,93.745,95.511,106.673,96.432,102.248,114.992,92.043,88.047,102.929,93.926,87.025,83.417,88.936,93.722,84.129,82.217,94.269,95.962,101.745
40,89.260,91.289,89.528,90.992,84.518,113.033,101.407,93.528,94.485,105.069,96.910,102.138,114.723,92.312,87.707,102.648,94.073,87.886,83.760,89.265,93.580,84.746,81.433,94.177,95.277,100.296
41,88.776,90.445,89.224,90.126,84.979,112.860,101.413,93.852,93.685,106.822,96.349,102.097,115.462,93.013,88.665,101.648,93.208,87.286,82.902,89.270,93.366,84.049,81.640,94.551,95.387,100.307
42,88.516,91.299,89.995,91.263,84.848,112.747,101.301,94.243,94.574,105.746,96.991,102.066,114.829,91.858,89.201,102.513,93.824,88.013,83.946,89.214,93.475,84.544,81.450,94.254,95.141,101.033
43,88.508,91.509,89.721,90.391,84.418,112.875,101.023,93.646,94.556,106.422,96.842,102.226,115.783,92.510,88.759,101.662,94.273,87.573,83.294,89.481,92.722,84.546,81.322,94.625,95.520,100.690
44,88.270,91.633,89.724,90.493,84.778,111.871,100.936,93.532,94.754,106.524,97.453,102.134,114.878,91.929,88.368,101.478,93.239,87.745,83.158,88.980,93.836,84.263,81.678,94.265,95.772,100.938
45,88.640,92.261,89.157,90.417,84.923,112.705,101.182,94.007,94.413,106.739,97.901,102.278,114.725,91.840,87.244,101.883,94.444,88.016,83.277,89.024,93.202,84.645,81.199,93.601,95.319,100.571
46,88.383,90.818,89.589,90.014,85.247,112.407,100.797,94.199,94.374,105.204,95.943,102.666,115.777,91.320,88.429,101.906,93.671,87.168,83.508,88.943,93.454,84.386,82.409,94.767,95.338,100.759
47,88.047,91.697,89.371,90.417,84.966,112.604,100.496,93.183,93.677,106.391,96.550,102.708,114.325,91.703,87.728,102.007,93.273,87.510,83.711,88.940,93.045,84.524,82.070,94.054,95.775,100.903
48,88.799,90.564,89.322,90.920,84.777,113.141,100.265,93.199,94.021,107.294,97.493,102.428,114.924,91.533,88.475,102.968,93.872,87.555,83.345,88.922,93.734,84.573,81.293,94.744,96.059,100.881
49,88.329,90.983,89.499,90.363,84.184,112.912,99.959,93.097,94.599,106.528,97.354,102.415,115.363,91.287,88.281,102.434,93.656,87.805,83.442,88.713,92.527,84.456,81.574,94.818,95.809,101.117
50,88.861,91.429,89.556,89.762,84.162,112.428,100.708,93.373,94.669,106.334,96.981,102.485,114.339,91.602,88.349,101.977,93.370,87.273,83.098,88.591,93.867,84.044,81.644,94.856,95.809,101.182
51,88.835,90.604,89.250,90.232,84.574,112.384,100.446,92.792,93.604,107.178,96.222,102.061,114.834,91.698,88.096,101.621,93.817,86.709,83.472,88.750,93.656,84.152,82.077,94.561,95.881,100.978
52,89.203,91.517,89.277,90.174,84.753,112.473,100.921,93.866,93.458,106.685,96.748,102.050,114.364,91.769,88.267,102.400,93.916,87.723,83.525,89.205,92.933,84.638,82.108,95.233,95.696,101.258
53,88.471,91.182,88.966,90.024,84.821,111.618,100.449,92.829,93.483,104.998,96.064,101.845,115.153,91.576,88.234,101.890,94.554,87.823,83.145,88.940,93.409,83.946,81.466,94.586,95.776,101.184
54,88.312,90.972,89.512,89.619,84.310,111.937,99.900,93.618,93.545,106.491,95.774,101.985,114.537,92.586,88.260,102.471,93.464,87.841,83.360,88.852,93.637,83.838,81.759,93.999,95.484,101.221
