 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56
1,20.615,25.333,19.685,17.316,113.624,92.627,44.081,33.896,18.553,38.653,33.824,22.639,19.712,27.757,66.876,32.933,18.509,18.772,14.824,17.851,30.152,10.379,18.660,12.126,12.238,12.567,10.544,10.165,10.457,18.031,41.680,16.021,25.857,15.246,19.459,13.374,17.856,12.519,10.778,16.558,22.829,13.764,19.594,12.657,14.841,19.186,13.524,16.093,12.689,13.357,80.053,13.209,12.628,14.886,14.311,12.574
2,20.581,24.145,19.295,17.143,113.155,92.080,42.772,32.309,18.095,38.484,32.197,22.718,18.981,27.712,66.702,32.074,17.475,18.538,14.690,17.589,29.754,10.440,19.430,12.136,12.153,12.487,10.752,10.269,10.436,18.017,41.741,15.977,25.644,15.365,20.094,13.519,17.995,12.825,10.669,16.374,22.580,13.845,19.338,12.689,14.360,19.034,13.485,15.640,12.620,13.347,78.763,13.107,12.561,14.837,14.164,12.644
3,20.573,23.554,19.346,17.250,112.290,91.967,41.796,31.549,17.696,38.435,31.189,22.610,18.116,27.732,66.655,31.368,16.796,18.145,14.218,17.195,29.141,10.383,19.461,12.105,12.234,12.553,10.556,10.468,10.422,17.867,41.174,16.057,25.510,15.539,20.579,13.521,17.989,12.818,10.636,16.275,22.681,13.808,18.872,12.579,14.006,18.771,13.380,15.443,12.616,13.302,77.713,13.279,12.543,14.841,13.855,12.630
4,20.484,22.618,19.065,16.990,111.506,91.343,40.474,30.767,17.078,38.143,30.864,22.496,17.644,27.395,66.410,30.613,15.977,17.943,13.876,16.803,28.650,10.372,19.191,12.101,12.184,12.500,10.339,10.393,10.359,17.697,40.895,15.926,25.317,14.937,20.367,13.221,17.550,12.851,10.656,16.388,22.521,13.683,18.545,12.411,13.652,18.328,13.173,14.789,12.324,13.251,76.431,13.021,12.617,14.426,13.821,12.636
5,20.471,22.236,19.022,17.032,110.639,90.935,40.013,29.875,16.803,38.079,30.819,22.402,17.413,27.189,66.423,30.002,15.734,18.061,13.629,16.311,27.730,10.323,18.740,12.075,12.124,12.433,10.288,10.305,10.332,17.456,40.943,15.852,25.263,14.396,20.037,12.942,17.507,12.705,10.590,16.355,22.184,13.509,18.341,12.351,13.420,17.973,13.102,14.526,12.474,13.206,75.333,13.207,12.528,14.419,13.628,12.639
6,20.302,22.022,18.749,17.139,109.437,90.450,41.500,29.353,16.448,38.373,30.534,22.474,17.022,27.361,66.272,30.038,15.624,17.960,13.300,15.764,27.662,10.370,18.363,12.055,12.084,12.420,10.285,10.341,10.433,17.330,40.527,15.824,25.127,14.167,19.736,12.706,17.322,12.577,10.524,16.287,22.187,13.408,18.244,12.304,13.198,17.575,13.093,14.536,12.420,13.173,73.580,13.345,12.636,14.644,13.670,12.546
7,20.391,21.742,18.881,16.903,108.798,90.573,42.034,28.615,16.183,37.753,30.117,22.490,16.834,27.119,66.167,30.224,15.255,17.743,13.268,15.255,26.924,10.347,17.943,12.089,12.091,12.423,10.156,10.268,10.379,17.087,40.432,15.727,25.005,13.891,19.610,12.613,17.458,12.593,10.555,16.161,22.246,13.221,18.173,12.304,13.221,17.376,12.983,14.232,12.505,13.183,72.774,12.921,12.517,14.817,13.697,12.631
8,20.542,21.187,18.777,17.042,108.440,90.283,41.390,28.346,15.791,37.889,29.724,22.373,16.600,27.119,66.318,30.235,15.167,17.761,13.015,15.209,26.342,10.264,17.791,12.030,11.989,12.418,10.101,10.155,10.388,17.079,40.007,15.618,24.950,13.638,19.125,12.504,17.835,12.453,10.534,16.153,22.171,13.130,18.149,12.247,13.182,17.213,12.998,14.391,12.436,13.128,72.459,13.130,12.461,14.637,13.604,12.588
9,20.365,21.136,18.525,16.829,107.738,90.137,41.406,28.460,15.667,37.986,29.490,22.289,16.468,27.025,66.120,30.082,14.982,17.780,12.943,15.026,26.196,10.251,17.453,12.052,11.993,12.443,10.150,10.127,10.256,16.850,39.933,15.615,24.928,13.684,18.807,12.417,17.190,12.534,10.517,16.112,22.031,13.096,17.995,12.332,13.061,17.023,12.976,14.263,12.415,13.083,71.550,13.143,12.520,14.585,13.673,12.540
10,20.484,22.782,18.480,16.886,107.020,89.441,41.327,31.594,15.760,37.509,29.559,22.437,16.288,27.199,65.913,30.348,14.954,17.858,13.002,14.890,25.722,10.219,17.229,11.976,11.897,12.273,10.070,10.132,10.308,16.814,40.059,15.702,25.044,13.529,18.469,12.440,17.314,12.324,10.508,16.231,21.749,13.047,18.353,12.253,13.130,16.778,13.078,14.087,12.529,13.030,70.309,13.200,12.599,14.481,13.873,12.443
