 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56
400,12.326,15.070,21.304,18.429,69.888,23.970,17.759,21.347,14.469,43.803,39.206,22.761,20.991,27.659,59.090,21.040,19.007,18.861,12.182,13.281,21.514,10.277,12.055,12.052,12.199,12.157,9.961,9.496,10.324,18.468,42.100,16.816,24.918,12.604,14.137,11.963,15.108,12.120,10.610,16.752,23.661,14.861,21.761,12.291,12.524,15.736,13.288,15.630,12.292,12.927,14.357,12.872,12.316,14.028,13.546,10.708
401,12.263,14.817,21.273,18.354,69.442,23.815,17.764,21.341,14.354,43.188,38.322,22.534,20.514,27.713,59.804,20.628,18.422,18.483,12.254,13.121,21.410,10.216,11.998,12.084,12.030,12.187,9.977,9.416,10.232,18.049,40.646,16.338,24.571,12.601,13.963,11.837,15.247,12.000,10.518,16.486,23.179,14.669,21.436,12.251,12.501,15.387,13.388,15.363,12.322,13.085,14.473,12.973,12.204,13.834,13.327,10.695
402,12.271,14.626,21.047,18.051,69.931,23.706,17.720,21.024,14.456,43.240,37.904,22.661,20.111,27.430,59.256,20.813,18.213,18.582,12.342,13.148,21.542,10.092,11.838,11.999,11.923,12.018,9.932,9.417,10.219,17.810,40.123,16.293,24.630,12.534,13.941,11.862,14.924,11.835,10.538,16.740,23.376,14.497,21.368,12.231,12.429,15.516,13.354,15.533,12.285,12.879,14.301,12.866,12.346,13.990,13.369,10.665
403,12.302,14.447,20.732,17.994,70.131,23.531,17.864,20.906,14.221,42.855,37.504,22.965,19.721,27.489,59.313,20.320,17.876,18.428,12.174,13.133,21.555,10.141,11.867,11.942,11.891,11.970,9.920,9.427,10.265,17.489,40.653,16.335,24.856,12.473,13.915,11.846,15.033,11.769,10.529,17.023,23.725,14.430,21.553,12.357,12.550,15.501,13.324,15.692,12.310,13.043,14.460,12.692,12.283,14.052,13.570,10.609
404,12.307,14.180,20.572,18.055,70.072,23.256,17.885,20.825,14.265,42.430,36.592,22.959,19.406,27.331,59.484,19.982,17.580,18.052,12.325,13.056,21.548,10.118,11.906,11.938,11.867,12.097,9.908,9.419,10.182,17.370,40.608,16.284,25.012,12.493,13.879,11.879,15.000,11.795,10.434,16.845,23.648,14.327,21.548,12.254,12.598,15.404,13.363,15.640,12.203,12.920,14.250,12.696,12.390,14.183,13.404,10.574
405,12.240,14.133,20.386,17.638,69.879,23.446,17.846,20.417,14.075,42.223,35.999,22.858,19.000,27.148,59.128,19.748,17.101,18.137,12.222,13.024,21.429,10.147,11.822,11.909,11.880,11.988,9.926,9.423,10.198,17.260,40.472,16.408,24.730,12.558,13.831,11.874,14.653,11.860,10.492,16.938,23.598,14.395,21.222,12.294,12.475,15.252,13.432,15.844,12.269,12.859,13.474,12.783,12.212,13.997,13.570,10.516
406,12.414,13.858,20.064,17.930,69.458,23.368,18.010,20.358,14.172,42.528,35.479,22.924,18.636,27.048,59.214,19.283,16.727,18.068,12.170,12.961,21.685,10.135,11.838,11.900,11.864,11.992,9.762,9.422,10.276,17.065,40.294,16.348,24.888,12.432,13.765,11.807,14.940,11.761,10.514,16.990,23.865,14.390,21.065,12.302,12.515,15.170,13.337,15.571,12.133,12.870,13.460,12.853,12.212,14.069,13.356,10.488
407,12.279,13.678,20.060,17.770,69.451,23.218,18.018,20.298,14.127,41.663,35.324,23.071,18.452,27.130,59.243,19.100,16.752,17.998,12.109,12.981,21.500,10.054,11.840,11.921,11.801,11.955,9.848,9.406,10.225,17.009,41.078,16.411,24.956,12.560,13.884,11.846,14.984,11.821,10.502,17.081,24.062,14.252,21.006,12.206,12.501,15.204,13.388,15.689,12.277,12.929,13.233,12.820,12.030,14.322,13.530,10.450
408,12.352,13.642,19.954,17.583,69.293,22.827,17.935,20.180,14.141,41.380,34.157,22.974,18.119,27.099,58.958,18.755,16.378,17.932,12.161,12.803,21.467,9.983,11.779,11.916,11.909,12.017,9.793,9.406,10.217,16.979,40.642,16.449,24.756,12.548,13.707,11.869,14.864,11.678,10.575,16.824,23.837,14.302,20.853,12.243,12.392,14.911,13.312,15.509,12.131,12.988,13.220,12.651,12.286,14.017,13.575,10.479
409,12.440,13.476,19.644,17.373,69.293,22.827,17.955,20.050,14.205,41.283,33.802,22.996,17.899,27.025,59.092,18.444,16.190,17.834,12.176,12.745,21.368,10.050,11.885,11.873,11.808,12.068,9.832,9.486,10.281,16.836,40.732,16.458,25.022,12.543,13.860,11.915,14.843,11.663,10.582,16.936,24.052,14.334,20.580,12.177,12.359,14.993,13.432,15.526,12.184,12.973,13.265,12.645,12.249,14.125,13.483,10.469
410,12.260,13.482,19.411,17.383,68.537,22.682,17.898,20.027,14.060,41.202,33.159,23.031,17.627,26.792,58.948,18.103,15.904,17.761,12.107,12.725,21.451,10.114,11.916,11.906,11.834,12.038,9.815,9.471,10.219,16.649,40.202,16.328,24.825,12.527,13.822,11.830,14.732,11.635,10.435,16.919,23.845,14.077,20.414,12.107,12.322,14.890,13.366,15.439,12.170,12.919,13.245,12.733,12.361,13.941,13.398,10.568
