 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38
1,17.934,19.725,17.643,19.973,17.962,23.865,29.293,19.680,17.850,20.060,17.388,21.700,25.348,30.224,25.059,26.867,21.370,18.093,26.399,36.027,18.178,19.645,15.746,16.384,16.578,17.118,15.750,26.548,14.080,22.044,21.582,19.030,18.850,22.927,18.061,23.832,21.020,17.927
2,22.254,28.909,21.186,25.320,21.363,31.016,39.749,24.286,21.013,24.790,20.886,27.698,33.634,41.672,32.689,35.471,27.597,21.751,35.760,50.099,22.049,24.560,18.337,19.336,19.546,21.064,19.011,35.551,15.285,28.543,27.672,23.476,23.287,30.123,22.036,30.663,26.710,21.670
3,22.106,29.221,21.222,25.059,21.620,31.270,39.481,24.440,21.314,24.962,20.992,27.636,33.617,41.585,32.912,35.202,27.537,21.521,35.915,50.203,22.210,24.293,18.489,19.210,19.392,21.015,18.569,35.349,15.283,28.203,27.639,23.533,23.374,29.990,22.067,30.247,26.630,21.592
4,22.233,28.486,20.891,25.179,21.596,31.073,39.752,24.526,21.164,24.847,20.995,27.543,33.688,41.441,32.701,36.047,27.244,21.268,35.623,50.189,22.154,24.199,18.329,19.280,19.464,22.238,18.380,35.321,15.344,28.289,27.459,23.743,23.417,30.440,22.177,29.824,26.861,21.676
5,22.006,28.808,21.032,25.054,21.681,31.171,39.770,24.663,21.155,24.962,21.196,27.559,33.766,41.219,32.826,35.501,27.400,21.482,35.790,50.432,22.084,24.499,18.219,19.294,19.428,21.979,18.410,35.739,15.305,28.394,27.596,23.608,23.472,30.337,22.000,29.814,26.754,21.663
6,22.048,30.059,21.061,24.982,21.544,31.083,39.621,24.417,21.434,24.785,20.814,27.651,33.600,41.401,32.502,35.421,27.493,21.649,35.296,49.944,22.196,24.581,18.073,19.311,19.402,21.548,18.245,35.386,15.361,28.673,27.345,23.763,23.626,30.067,22.034,29.254,26.669,21.430
7,21.822,30.271,20.976,25.177,21.608,31.096,39.967,24.434,21.195,25.140,20.713,27.490,33.619,41.656,32.684,35.233,27.364,21.645,35.520,50.133,22.248,24.290,18.191,19.124,19.497,20.941,18.146,35.810,15.351,28.530,27.513,23.497,23.079,30.217,21.985,28.860,26.673,21.546
8,21.873,30.095,21.013,25.306,21.389,31.184,39.859,24.451,21.018,24.970,20.961,27.651,33.445,41.226,32.853,34.823,27.575,21.498,35.333,50.133,21.843,24.428,18.193,19.272,19.516,20.601,18.223,35.807,15.280,28.460,27.509,23.434,23.307,30.163,21.966,28.616,26.619,21.548
9,22.048,30.020,21.141,25.122,21.602,31.369,39.646,24.166,21.243,24.952,20.992,27.779,33.637,41.552,32.750,34.647,27.400,21.655,35.453,50.077,22.028,24.405,18.280,19.311,19.389,20.132,18.207,35.125,15.237,28.111,27.699,23.515,23.114,30.227,21.989,28.602,26.863,21.731
10,21.789,29.095,20.966,24.914,21.415,31.242,39.715,24.343,21.518,25.013,21.163,27.786,33.424,41.745,32.598,34.499,27.362,21.316,35.557,50.131,22.399,24.255,18.209,19.225,19.480,19.885,18.221,35.622,15.324,28.298,27.475,23.617,23.228,30.107,22.027,27.993,26.590,21.463
11,22.003,27.911,20.930,25.299,21.257,31.197,39.680,24.806,20.863,24.940,20.819,27.687,33.243,41.460,32.760,33.811,27.195,21.422,35.427,49.863,22.210,24.282,18.191,19.007,19.359,19.493,18.226,35.449,15.263,28.089,27.451,23.569,23.539,30.153,21.985,27.710,26.758,21.716
12,21.740,27.065,20.971,25.141,21.003,31.169,39.729,24.211,20.907,24.798,20.871,27.662,33.512,41.328,32.875,34.001,27.425,21.690,35.490,50.613,22.458,24.320,18.205,19.060,19.670,19.317,18.194,35.835,15.246,28.267,27.485,23.677,23.394,30.103,21.937,27.606,26.789,21.511
13,21.994,27.610,20.899,24.825,21.237,31.299,39.574,24.617,20.624,24.833,20.990,27.664,33.641,41.507,32.804,33.791,27.142,21.610,35.607,49.712,22.112,24.487,18.306,19.236,19.565,19.266,18.287,35.460,15.307,28.349,27.364,23.647,23.339,29.933,21.916,27.333,26.730,21.533
14,22.514,26.926,20.838,25.129,21.518,31.158,39.723,24.377,20.894,24.890,20.961,27.527,33.426,41.594,32.672,33.807,27.526,21.495,35.628,50.095,22.276,24.733,18.316,19.863,19.471,22.589,18.657,35.480,15.278,28.302,27.641,23.470,23.382,30.243,21.985,27.183,26.590,21.658
15,22.471,27.405,21.022,25.259,22.778,31.078,39.829,24.240,21.208,24.970,21.163,27.623,33.643,41.476,32.635,34.664,27.523,21.278,35.691,50.257,22.091,24.331,18.264,20.068,19.654,23.008,18.386,35.236,15.244,28.238,27.613,23.668,23.547,30.427,21.992,27.097,26.891,21.566
16,22.269,26.770,20.848,25.066,23.108,31.353,39.935,24.337,21.124,25.220,20.840,28.044,33.789,41.731,32.843,35.110,27.307,21.134,35.333,49.930,21.822,24.560,18.359,20.742,19.428,22.435,18.335,35.395,15.320,28.610,27.668,23.443,23.472,30.403,21.964,27.050,26.828,21.756
17,22.148,26.061,20.766,25.206,23.351,31.519,39.892,24.743,21.314,25.247,20.773,27.720,33.714,41.710,32.912,35.021,27.403,21.144,35.416,50.151,22.252,24.487,18.264,20.574,19.569,21.627,18.253,35.452,15.366,28.349,27.983,23.746,23.335,30.260,22.211,26.513,26.736,21.758
18,22.221,25.648,20.842,24.973,23.155,31.164,39.519,24.497,20.690,25.042,20.886,27.644,33.886,41.498,32.748,34.863,27.463,21.051,35.346,50.054,21.881,24.504,18.258,21.091,19.448,21.008,18.128,35.312,15.329,28.229,27.803,23.461,23.146,30.120,21.853,26.502,26.763,21.811
19,22.000,25.345,20.717,25.172,22.594,31.294,39.399,24.623,20.597,24.872,20.879,27.638,33.587,41.200,32.757,34.648,27.337,21.000,35.333,49.995,22.021,24.551,18.233,20.779,19.464,20.635,18.226,35.372,15.395,28.638,27.667,23.596,23.402,30.097,21.954,26.602,26.599,21.736
20,22.112,25.103,20.907,24.971,22.632,31.000,39.415,23.994,21.159,24.808,21.010,27.570,33.718,41.465,32.757,34.370,27.504,21.029,35.612,50.025,22.227,24.293,18.266,21.556,19.324,20.252,18.322,35.264,15.349,28.556,27.870,23.593,23.429,30.183,21.909,26.477,26.834,21.690
21,22.066,25.635,21.018,25.034,22.129,31.016,39.690,24.520,20.854,25.118,20.920,27.901,33.497,41.604,32.882,34.384,27.334,21.176,35.451,50.491,22.147,24.440,18.270,21.377,19.592,20.044,18.279,35.384,15.390,28.590,27.661,23.602,23.315,30.507,22.008,26.505,26.878,21.504
22,21.973,25.362,20.826,25.104,22.287,31.060,39.501,24.543,20.858,24.702,20.938,27.601,33.594,41.795,32.750,33.835,27.553,21.307,35.610,50.428,22.353,24.413,18.178,20.956,19.575,19.667,18.226,35.318,15.385,28.260,27.639,23.638,23.177,29.927,22.013,26.143,26.451,21.509
