 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39
286,74.254,67.606,83.264,82.401,79.821,107.035,81.031,125.144,140.425,109.638,137.182,109.629,124.526,93.685,103.256,99.559,107.686,139.414,129.765,112.433,146.714,79.834,73.891,121.715,78.473,85.512,104.437,127.246,165.596,87.504,85.955,126.769,101.378,102.816,125.578,83.132,110.754,103.173,87.532
287,74.357,66.538,83.445,82.687,80.067,104.641,81.572,123.889,142.538,109.586,137.990,111.078,123.533,94.390,103.195,99.976,109.019,140.384,131.534,112.553,144.025,79.661,74.701,119.887,77.141,84.136,104.641,128.398,164.275,88.145,86.244,125.481,102.175,101.584,124.717,84.158,112.776,105.092,88.350
288,75.392,67.488,82.992,82.390,79.538,106.039,81.850,122.798,141.817,109.427,136.125,109.051,122.756,93.382,103.348,100.102,108.169,141.456,128.662,113.423,144.216,79.774,73.559,119.869,76.606,84.657,104.134,128.717,164.393,87.944,86.212,127.265,100.923,101.472,124.730,84.758,111.565,104.258,88.337
289,75.128,67.426,83.496,82.936,79.306,104.589,80.494,121.296,139.532,110.640,136.885,110.389,124.287,91.549,102.457,99.573,109.789,141.877,129.917,113.457,146.642,79.708,74.057,120.188,77.224,84.525,104.099,128.410,164.915,87.404,87.163,127.023,100.542,101.520,126.045,84.479,110.879,102.199,88.821
290,73.759,67.170,84.276,82.000,78.979,106.814,81.003,122.379,138.592,109.280,135.572,111.521,125.713,92.534,102.825,100.535,107.813,141.476,129.672,114.134,145.907,79.944,74.777,119.696,76.462,85.322,103.765,128.275,164.122,87.650,86.471,126.473,101.505,101.348,127.381,84.787,111.112,104.185,88.748
291,74.701,66.989,82.197,81.541,79.492,105.732,81.759,120.311,136.682,110.044,135.339,109.856,123.854,91.380,103.113,98.963,108.499,140.824,128.105,112.251,145.439,79.189,74.412,117.010,76.332,85.293,102.843,127.668,166.330,87.819,86.821,127.054,100.460,101.383,125.549,85.095,112.323,101.542,88.918
292,74.150,66.553,82.579,81.862,79.306,106.459,81.419,121.418,138.623,108.758,139.220,109.632,123.856,93.080,101.216,100.368,109.597,141.845,130.672,113.670,144.794,79.110,74.076,118.118,77.137,86.508,103.793,128.376,163.794,88.113,86.064,128.650,101.076,101.020,125.922,84.824,113.241,103.410,88.106
293,74.208,66.774,82.709,81.714,79.295,105.424,80.672,120.565,138.715,108.946,136.252,110.680,122.918,93.056,103.408,99.894,107.569,139.463,130.498,111.498,146.206,79.595,73.981,117.825,76.921,85.593,102.509,128.425,163.977,87.315,86.183,126.949,100.508,100.484,125.180,84.379,112.181,102.830,88.450
294,74.280,77.228,83.429,82.700,79.608,106.065,81.581,121.493,144.890,109.419,137.403,110.581,123.200,93.247,103.352,100.632,108.600,141.212,128.804,114.000,159.511,79.359,73.867,120.435,76.968,86.168,122.638,128.833,167.009,91.783,90.317,133.610,102.259,100.906,126.324,83.647,111.871,111.469,107.787
295,75.025,75.712,83.465,85.867,79.903,105.909,82.581,120.400,145.890,109.368,137.042,110.563,124.049,93.130,104.092,100.374,108.501,139.645,130.392,113.990,157.748,79.259,73.379,124.079,77.585,86.321,115.862,127.627,165.538,89.113,89.478,130.530,101.687,99.625,125.094,85.026,111.875,111.111,105.675
296,74.715,70.748,82.768,86.337,79.459,104.714,81.634,119.972,147.434,109.571,136.466,109.518,124.856,92.855,102.100,100.689,107.611,139.762,129.422,112.804,149.968,79.349,74.133,121.325,77.300,87.730,108.892,128.791,167.046,88.466,87.176,129.308,101.904,99.828,126.418,84.387,111.310,109.849,98.027
297,74.412,68.888,82.543,88.607,79.647,107.372,82.128,120.388,155.014,110.059,137.342,109.910,125.287,92.696,103.058,100.356,108.309,141.121,130.272,114.179,146.614,80.206,75.678,119.306,77.913,86.799,107.343,128.558,164.642,88.510,86.712,127.550,101.310,99.603,125.385,84.716,110.724,107.528,93.356
298,74.548,68.290,82.665,87.491,79.582,106.502,80.916,119.154,152.558,109.468,136.786,110.760,124.036,92.117,103.265,100.571,108.944,140.401,127.968,113.636,148.049,80.023,74.697,120.398,77.484,86.325,104.765,128.376,165.085,88.739,86.814,126.003,101.074,99.099,124.512,85.197,111.668,107.542,91.152
