 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38
1237,54.197,49.760,54.986,36.012,63.584,66.662,59.878,34.986,42.171,54.772,55.782,47.787,34.428,42.734,27.998,56.028,34.587,56.276,38.408,34.852,43.199,56.754,44.332,42.606,35.159,33.897,33.808,44.167,40.079,33.440,58.100,42.085,47.065,32.933,43.176,37.019,40.996,31.130
1238,52.310,48.256,53.299,34.775,60.405,64.000,59.039,33.938,47.002,51.645,54.243,45.766,34.288,42.618,27.817,55.856,34.313,56.249,38.371,34.683,42.768,56.028,42.349,42.337,34.654,33.898,34.021,40.893,40.064,32.722,56.972,41.895,45.864,32.601,42.799,36.773,41.204,30.956
1239,46.475,44.417,49.858,34.053,53.434,54.728,57.810,32.566,41.350,46.388,45.044,39.954,33.984,42.500,27.927,55.617,34.053,56.426,38.305,34.680,41.217,54.875,40.457,41.323,34.374,34.032,33.640,38.383,39.743,32.339,55.544,41.948,44.575,32.566,42.602,36.560,40.800,30.528
1240,43.338,42.210,47.355,33.819,50.358,50.009,58.164,31.927,37.882,43.971,41.413,37.889,34.004,42.018,27.808,55.252,34.141,56.152,38.182,34.606,39.649,54.796,39.625,40.851,34.109,33.706,33.578,36.868,39.048,32.269,54.728,41.172,43.971,32.738,42.529,36.320,40.957,30.221
1241,42.022,41.578,47.682,33.771,49.692,48.283,57.852,31.510,35.976,42.870,39.256,37.178,33.868,42.237,27.772,55.404,34.136,56.166,38.050,34.799,38.178,54.152,39.000,40.856,33.745,33.763,33.793,36.459,38.965,32.235,54.559,41.534,44.204,32.628,42.531,36.541,40.979,30.605
1242,41.197,41.210,47.237,33.738,49.272,47.104,58.034,31.583,35.192,42.849,39.227,36.567,33.745,42.547,27.906,55.758,34.471,55.938,38.007,34.771,37.239,54.081,38.966,40.348,34.065,33.725,33.809,35.988,39.008,32.349,54.041,41.233,43.027,32.858,42.551,36.285,40.856,30.466
1243,40.829,41.183,47.209,33.584,49.204,46.538,57.263,31.325,34.739,42.529,38.732,36.292,33.638,42.050,27.849,55.751,33.978,55.629,38.537,34.563,36.982,54.406,38.668,40.440,34.012,33.644,33.522,36.086,38.565,32.173,54.300,40.915,43.938,32.725,42.542,36.600,40.657,30.344
1244,40.621,40.891,47.204,33.651,48.954,45.980,57.693,31.426,34.739,42.562,38.647,36.185,33.490,41.953,27.973,55.530,34.593,56.058,38.337,34.613,35.471,54.253,38.487,40.736,33.810,33.744,33.849,35.977,38.764,32.275,53.903,40.892,43.357,32.539,42.046,36.592,40.507,30.413
1245,40.854,40.954,47.204,33.410,49.261,46.038,57.682,31.291,34.538,42.133,38.334,36.396,33.551,41.947,27.781,55.946,34.421,55.942,38.098,35.201,35.130,54.451,38.681,40.840,33.947,33.607,33.635,36.259,38.857,32.282,53.603,41.341,43.401,32.703,42.561,36.333,40.891,30.338
1246,40.524,40.943,46.555,33.815,48.872,46.365,57.578,31.207,34.748,42.403,38.322,36.269,33.535,41.722,27.858,55.560,34.615,55.525,38.098,34.616,34.757,54.629,38.909,40.660,34.174,33.855,33.787,36.031,38.899,32.695,53.441,41.641,42.681,32.408,42.213,36.275,41.021,30.327
1247,40.372,40.962,46.355,33.647,48.858,45.956,57.958,31.431,34.519,42.708,38.505,36.368,33.560,41.979,27.854,55.563,34.260,56.118,38.216,34.785,34.583,54.328,38.707,40.641,34.019,33.735,33.808,35.914,38.812,33.408,54.064,40.983,42.168,33.160,42.522,36.216,40.539,30.238
1248,40.271,40.777,47.028,33.471,48.746,45.819,58.203,31.174,34.327,42.334,38.262,36.333,33.877,42.325,27.753,55.437,34.571,56.359,38.214,34.743,33.435,54.580,38.797,40.636,34.143,33.667,33.454,35.944,38.853,32.733,53.787,41.379,42.147,32.643,42.428,36.277,40.758,30.338
1249,40.437,40.695,46.190,33.777,48.650,45.546,57.430,31.541,34.543,42.400,38.631,36.095,33.177,42.050,27.826,55.257,34.809,56.235,38.246,34.567,33.728,53.998,38.259,40.644,34.324,33.697,33.766,36.284,38.644,32.529,53.897,40.983,42.643,32.450,42.833,36.691,40.640,30.340
1250,40.328,40.815,46.583,33.355,49.015,45.735,57.896,31.373,34.517,42.628,38.334,36.458,33.576,42.044,27.676,55.303,34.094,55.431,38.144,34.623,33.399,54.328,38.763,40.503,33.822,33.572,33.492,36.088,38.578,32.396,53.962,41.574,43.000,32.457,42.666,36.797,40.655,30.108
1251,40.252,40.894,45.924,33.712,48.757,45.595,57.927,31.020,34.109,42.351,38.145,36.164,34.041,42.112,28.169,55.370,34.006,55.647,38.351,34.687,33.109,54.519,38.672,40.571,33.545,33.855,33.570,36.337,38.650,32.102,53.777,40.915,42.826,32.459,42.687,36.616,40.919,30.247
1252,40.133,40.657,46.645,33.748,48.954,45.912,57.971,31.415,34.509,42.234,38.281,36.118,33.794,42.210,27.575,55.751,33.967,56.122,38.130,34.525,33.145,54.538,38.664,40.182,33.916,33.646,33.737,36.031,38.596,32.045,53.654,41.638,42.690,32.344,42.272,36.275,40.646,30.470
1253,40.193,40.572,45.910,33.562,48.540,45.290,57.865,31.112,34.521,42.393,38.322,36.255,33.646,42.086,27.890,55.247,34.438,56.129,38.073,34.630,32.725,54.400,38.871,40.655,34.215,33.657,33.879,36.220,38.505,32.355,53.190,41.157,42.189,32.268,42.595,36.557,40.648,30.313
1254,40.494,41.016,45.991,33.734,48.365,45.712,57.836,31.216,34.338,42.476,38.120,36.144,33.436,42.311,27.756,55.792,34.504,55.885,38.258,34.810,32.978,53.892,38.595,40.397,34.003,33.787,33.679,36.014,38.667,32.210,53.838,41.012,42.451,32.685,42.092,36.512,40.708,30.285
1255,40.429,40.785,46.744,33.649,48.739,45.535,57.971,31.129,34.509,42.685,38.587,36.350,33.621,42.210,27.952,55.321,34.208,56.090,38.321,34.739,32.859,54.459,38.409,40.342,34.355,33.633,33.670,36.117,38.590,32.253,53.592,41.443,42.298,32.415,42.760,36.541,40.685,30.311
1256,40.379,39.992,46.540,33.746,48.381,45.796,58.195,31.204,34.511,42.661,38.703,36.442,33.695,41.707,27.902,55.257,34.288,56.083,38.349,34.525,32.692,54.150,39.000,40.462,34.053,33.688,33.669,35.912,38.458,32.119,53.500,41.262,42.088,32.291,42.201,36.693,40.798,30.053
1257,40.232,41.011,46.763,33.562,48.823,45.987,58.018,31.193,34.261,42.374,38.192,36.421,33.728,42.293,27.756,55.391,34.302,56.005,38.276,34.739,32.583,54.565,38.401,40.810,34.093,33.703,33.672,36.267,38.613,32.178,53.931,41.551,42.619,32.501,42.666,36.717,41.182,30.159
1258,40.358,40.965,46.152,33.564,48.628,45.584,57.826,31.134,34.444,42.304,38.565,36.431,33.844,42.467,27.776,55.956,34.321,55.698,38.162,34.623,33.145,54.224,38.500,40.497,34.100,33.558,33.781,35.998,38.789,32.082,53.723,41.321,43.097,32.667,42.780,36.448,40.579,30.360
1259,40.341,40.695,47.000,33.661,48.885,45.690,57.924,31.092,34.314,42.491,38.432,36.160,33.819,42.095,28.050,55.805,34.435,55.991,38.169,34.754,32.638,54.593,38.668,40.011,34.212,33.769,33.558,36.058,38.406,32.595,53.844,41.854,43.440,32.648,42.439,36.571,40.760,30.479
1260,40.193,40.662,46.393,33.598,48.600,45.670,57.729,31.050,34.186,42.841,38.325,36.576,33.403,42.382,27.872,55.702,34.233,56.389,37.973,34.373,32.460,54.061,38.802,40.793,33.869,33.628,33.628,36.103,38.609,32.939,53.415,42.312,42.779,32.832,42.373,36.520,40.845,30.499
1261,40.332,40.875,46.545,33.491,48.834,45.482,57.940,31.165,34.397,42.289,38.603,36.218,34.111,42.130,27.763,55.956,34.416,55.954,38.292,34.489,32.467,54.457,38.767,40.459,33.910,33.725,33.826,36.152,38.232,32.396,53.862,41.606,41.858,32.612,42.243,36.403,40.764,30.400
1262,40.271,40.594,46.526,33.744,48.898,45.259,57.917,31.294,34.534,42.522,38.842,36.315,33.527,41.959,27.947,55.946,34.407,55.565,38.043,35.035,32.634,54.490,38.496,40.704,33.910,33.549,33.587,36.305,38.553,32.362,53.379,41.294,42.100,32.526,42.259,36.075,40.618,30.269
1263,40.317,40.796,47.066,33.765,48.582,45.445,58.232,31.395,34.635,42.839,38.580,36.528,33.535,41.967,27.811,55.434,34.266,55.509,38.308,34.704,32.580,54.417,38.341,40.829,34.016,33.740,33.617,36.027,38.348,32.209,53.126,41.087,40.932,32.503,42.593,36.176,40.545,30.349
1264,40.084,40.540,46.109,33.513,48.883,45.462,57.786,31.115,34.536,42.557,38.666,36.009,34.148,42.160,27.680,55.797,34.319,55.889,38.387,34.993,32.866,54.394,38.565,40.451,33.916,33.592,33.614,36.066,38.607,32.137,53.236,41.251,40.519,32.463,42.023,36.515,40.951,30.316
1265,40.183,40.787,47.005,33.602,48.666,45.553,57.461,31.370,34.511,42.587,37.943,36.350,33.605,41.630,27.868,55.522,34.640,56.244,38.346,34.708,32.848,54.653,38.487,40.832,34.168,33.710,33.652,36.276,38.460,32.248,53.979,41.055,40.720,32.297,42.755,36.371,40.775,30.461
1266,40.319,40.703,46.218,33.949,48.746,45.619,57.935,31.423,34.393,42.567,38.713,36.014,33.848,42.080,27.856,55.463,34.377,55.730,38.132,34.229,32.801,54.374,38.194,40.530,33.925,33.676,33.637,36.004,38.545,32.316,53.772,41.350,41.257,32.348,42.350,36.368,40.773,30.331
1267,40.186,40.956,46.261,33.525,48.788,45.819,57.760,31.403,34.190,42.381,38.347,36.056,33.453,42.127,27.900,56.206,34.560,55.906,38.023,34.778,32.772,54.125,38.901,40.541,34.031,33.844,33.690,36.041,38.760,32.770,53.405,40.700,40.366,32.335,42.245,36.565,40.575,30.755
1268,40.438,40.668,46.763,33.844,48.750,45.531,57.805,31.336,34.348,42.571,38.486,36.294,33.852,41.997,27.671,55.753,33.958,55.864,38.100,34.803,32.935,54.061,38.884,40.345,33.978,33.759,33.561,36.307,38.493,32.414,53.131,40.808,39.372,32.337,42.670,36.536,40.633,30.598
1269,40.354,40.684,46.711,33.714,48.929,45.772,57.602,31.162,34.421,42.429,38.524,36.368,33.584,42.414,27.941,55.591,34.219,56.088,38.583,34.641,32.830,54.470,38.642,40.842,34.106,33.832,33.626,36.267,38.596,32.150,53.941,40.918,39.799,32.579,42.551,36.723,40.543,30.260
1270,40.301,40.973,47.005,33.596,48.768,45.354,58.242,31.221,34.447,42.557,38.445,36.144,33.502,42.012,27.874,55.545,34.166,56.327,38.000,34.380,32.649,54.281,38.509,41.014,33.854,33.789,33.598,36.039,38.569,32.376,53.203,40.793,39.221,32.488,42.563,36.539,40.775,30.435
1271,40.176,40.807,46.555,33.755,48.633,45.577,57.789,31.384,34.462,42.327,38.738,36.433,33.790,41.879,27.886,55.584,34.288,55.809,38.414,34.757,32.670,54.774,38.892,40.514,33.866,33.742,33.678,36.158,38.712,31.959,53.851,41.236,39.912,32.550,42.588,36.187,40.779,30.256
1272,44.232,43.469,50.265,34.834,49.246,46.148,57.667,31.300,34.731,43.740,40.057,37.681,33.984,45.802,28.637,57.877,36.404,55.781,38.430,37.423,36.192,55.233,39.586,41.196,34.701,33.781,33.903,36.459,39.377,32.415,53.813,40.828,40.174,32.519,42.350,36.440,40.736,30.508
