 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37
145,83.056,120.022,103.486,95.992,79.291,85.019,112.691,95.404,84.867,89.937,99.761,117.310,93.581,74.175,77.537,90.742,84.961,75.912,67.505,71.483,63.853,80.434,72.014,69.958,69.044,70.828,66.961,63.307,64.125,70.204,68.283,67.336,63.136,69.813,66.416,63.472,68.814
146,83.538,120.957,103.642,96.008,78.750,84.535,112.054,95.224,84.563,90.473,98.905,117.085,93.458,74.224,77.282,89.797,85.449,76.625,68.392,71.075,63.616,80.183,72.090,70.150,69.431,71.093,66.838,63.395,64.433,70.619,68.602,66.754,63.399,70.211,66.867,63.320,69.462
147,84.109,121.662,103.264,95.756,80.345,82.939,113.066,95.569,84.186,90.094,98.613,118.426,93.582,73.835,76.331,90.347,84.894,76.305,66.415,70.904,64.068,80.465,72.443,69.412,69.400,70.685,66.356,63.326,64.005,70.261,68.588,67.144,63.078,70.055,66.776,63.281,69.186
148,83.000,119.515,103.879,96.318,78.500,82.818,111.844,95.925,83.912,90.430,98.741,117.243,93.952,74.263,77.021,90.047,84.960,75.522,67.764,71.204,63.483,80.611,71.500,69.952,69.222,70.279,66.701,63.256,64.046,70.688,68.570,66.915,63.276,69.536,66.282,63.245,68.588
149,83.009,119.774,103.634,95.969,78.759,84.399,112.550,95.038,84.028,90.112,97.566,117.729,93.430,74.440,76.887,89.624,85.636,76.349,67.731,71.173,64.335,80.803,72.101,70.516,69.009,70.987,67.324,63.189,64.493,70.640,68.550,67.432,62.343,69.824,66.665,62.576,69.502
150,83.561,120.481,104.092,97.434,79.551,87.703,112.501,95.393,83.898,90.161,98.294,117.904,93.428,74.378,76.994,89.861,85.129,76.169,66.927,71.458,63.401,80.310,71.821,70.954,70.404,71.187,66.715,63.332,64.232,70.934,68.182,67.282,63.000,70.064,66.574,63.370,68.199
151,84.006,119.591,103.942,96.000,78.794,85.671,112.454,95.215,84.281,90.062,97.764,117.558,93.005,73.977,76.987,90.019,85.561,75.754,67.352,70.969,63.692,80.251,71.764,71.319,70.160,70.535,66.620,63.626,64.094,71.390,68.016,66.915,62.790,70.484,66.655,62.293,67.765
152,83.504,120.811,104.130,95.225,80.123,83.741,112.029,95.728,84.419,90.538,98.318,117.793,93.434,73.968,77.414,89.653,85.239,75.173,67.299,71.019,63.837,80.559,71.639,70.863,69.227,70.742,66.225,63.574,63.667,70.703,68.811,66.667,62.848,70.150,66.273,63.190,68.290
153,83.305,120.955,103.089,96.678,79.259,87.879,113.289,95.742,84.495,90.019,98.058,117.617,93.181,74.326,76.766,90.150,85.133,75.654,67.359,71.275,63.917,80.046,71.973,71.339,69.004,70.514,67.130,63.078,63.606,70.715,68.241,67.229,63.456,70.207,66.888,62.159,68.629
154,83.451,120.251,102.844,95.864,79.408,87.157,111.919,95.542,84.268,90.689,97.662,118.177,93.055,74.241,77.378,89.820,85.045,75.607,67.977,70.894,63.963,80.790,71.231,70.644,69.440,70.191,66.417,62.574,64.195,71.141,68.410,66.898,63.323,69.582,66.642,62.821,69.041
155,82.714,121.334,103.660,96.337,79.006,86.330,112.263,95.542,84.536,90.187,98.435,117.560,93.641,74.344,77.603,89.931,85.171,75.688,67.475,71.004,63.508,80.747,72.693,70.144,69.524,70.725,66.569,63.174,64.348,70.538,68.464,67.381,62.622,69.576,66.710,63.159,68.421
156,83.726,120.200,103.921,94.950,79.747,85.152,112.145,95.392,83.964,90.391,98.822,118.439,92.862,74.487,78.280,89.773,85.355,75.438,67.704,71.221,63.930,80.926,71.424,70.377,69.471,70.962,66.472,62.712,64.034,70.553,68.421,66.636,63.062,70.231,66.458,63.100,68.371
157,83.122,120.886,103.601,95.473,78.870,86.255,112.334,94.856,84.355,89.751,98.101,117.464,93.228,74.359,76.760,89.415,84.993,75.787,66.728,71.385,63.475,80.393,71.603,69.719,68.733,70.449,67.139,63.752,64.372,70.222,68.312,67.028,63.263,69.857,66.637,63.138,67.950
158,83.053,121.491,103.582,96.074,79.032,88.262,113.321,95.563,84.338,90.187,98.942,117.682,93.494,74.092,77.134,88.890,85.114,76.221,66.947,71.275,63.938,80.856,71.967,69.065,69.222,70.767,66.521,62.769,63.870,70.718,68.432,67.302,62.813,69.734,66.301,62.603,68.946
159,83.342,120.992,103.729,96.244,79.193,86.848,111.970,95.835,84.294,90.464,98.822,118.038,93.581,74.302,77.416,89.828,85.068,75.934,67.146,70.492,63.984,80.367,71.970,70.113,68.649,70.852,66.468,63.162,63.809,70.378,68.331,66.952,62.841,69.848,66.675,62.397,68.584
160,82.660,120.823,103.314,97.566,78.981,90.124,112.190,94.782,84.318,89.838,98.715,117.520,93.593,74.391,77.826,89.055,85.732,76.430,66.977,70.462,63.740,80.581,72.375,69.639,69.138,70.271,66.653,63.641,63.846,70.913,68.317,67.319,62.664,70.349,67.112,62.501,67.964
161,83.142,121.373,103.720,97.171,79.041,89.325,112.221,95.716,84.244,90.184,98.646,117.533,93.646,74.279,76.701,89.471,85.597,76.202,67.086,71.187,63.963,80.144,72.834,69.997,69.724,70.294,66.620,63.141,63.536,70.159,68.198,66.929,63.378,69.725,67.158,63.315,68.955
162,83.288,121.544,103.729,95.147,79.250,92.865,112.246,94.833,84.627,90.391,98.493,117.235,93.333,73.612,77.503,89.452,84.848,75.676,67.774,71.937,63.942,80.640,71.720,69.650,70.022,71.229,66.815,63.714,64.041,70.321,68.301,66.989,62.744,69.888,66.573,62.735,67.489
163,82.978,121.692,103.772,95.957,79.399,91.561,112.332,95.239,84.314,90.067,98.735,117.659,93.625,74.174,77.520,89.768,85.109,75.125,66.794,71.156,64.017,80.378,72.557,69.970,68.956,70.397,66.551,63.857,64.312,70.790,68.608,66.528,63.069,69.794,66.860,62.857,69.086
164,82.980,120.876,103.251,97.074,79.456,93.437,112.402,95.201,83.899,89.730,98.212,118.074,93.223,74.206,77.639,89.275,85.086,76.051,66.917,71.375,63.831,80.024,72.255,69.671,70.284,70.427,66.650,63.038,64.041,70.535,68.033,66.364,63.571,70.328,66.499,63.358,67.873
165,82.853,120.904,103.218,95.880,79.642,93.400,112.262,94.757,84.497,90.397,98.911,117.659,93.650,74.146,77.682,89.628,85.546,75.471,66.565,71.150,63.901,79.712,72.277,70.412,68.907,70.357,66.829,63.109,64.138,70.459,68.276,67.141,63.316,70.161,66.243,63.061,68.317
166,82.950,121.925,103.780,95.066,79.506,91.649,111.993,95.087,84.331,89.782,98.081,117.238,92.720,74.103,76.696,89.429,85.253,75.868,67.525,70.662,63.820,79.646,71.120,69.268,69.138,70.685,65.743,63.441,64.416,70.174,68.506,66.299,63.021,70.262,66.705,63.027,67.824
167,82.673,120.898,103.226,96.248,78.677,95.199,111.447,94.856,84.613,90.094,99.033,117.450,93.694,74.020,76.440,89.579,85.362,76.276,66.787,70.575,64.378,80.603,71.220,70.105,69.236,70.662,66.713,62.989,64.137,70.396,68.717,66.444,62.816,69.949,66.725,62.898,68.339
168,83.673,121.297,104.041,95.620,79.519,94.157,111.925,95.038,84.190,90.058,98.354,116.906,93.660,73.960,77.505,89.817,85.909,74.728,67.508,71.106,64.074,80.596,72.179,70.019,69.533,70.579,66.366,63.038,63.942,70.571,68.367,66.203,63.385,70.237,66.610,63.186,68.158
