 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37
1,86.865,127.688,108.699,94.275,85.547,120.367,115.614,97.659,88.762,92.510,106.265,121.874,93.264,75.122,79.079,92.638,84.215,3.776,0,32.062,57.326,73.581,71.622,73.605,72.476,76.268,69.229,67.443,69.763,78.420,81.251,76.124,65.120,74.750,66.214,54.732,69.860
2,88.246,132.165,113.054,96.938,86.297,121.902,122.802,101.853,92.363,96.879,111.334,127.967,95.503,76.312,80.667,94.490,85.876,3.790,0,32.479,57.913,75.465,74.234,76.145,74.529,78.763,71.127,69.443,70.708,79.096,82.488,76.805,66.332,77.187,67.145,54.971,72.014
3,88.382,133.334,113.356,97.884,86.259,127.502,121.437,100.661,92.419,96.521,110.700,125.942,94.549,76.456,79.493,93.313,85.470,3.654,0,32.281,57.734,75.736,72.791,75.989,74.929,78.440,71.694,69.004,69.763,80.571,82.702,76.410,66.553,77.754,67.093,55.782,71.910
4,87.702,131.340,112.774,97.601,86.554,122.052,123.003,102.207,92.629,97.675,111.741,125.948,94.887,76.090,79.817,93.401,85.533,0.382,0,28.094,57.758,76.559,73.242,75.990,73.724,78.388,71.396,68.924,70.638,80.264,82.978,76.675,67.175,78.341,67.178,55.143,71.389
5,88.130,131.346,112.291,96.775,87.215,121.094,119.464,101.676,92.141,95.485,110.251,124.910,94.303,75.856,79.629,93.146,85.339,0.000,0,23.375,57.581,74.677,72.954,74.906,73.547,78.326,71.303,69.273,70.666,80.111,82.586,77.927,65.599,77.514,67.182,54.619,70.462
6,87.019,129.941,111.297,96.969,85.801,115.189,121.271,101.512,92.120,97.057,110.260,125.647,95.400,75.378,79.873,93.368,85.474,0.000,0,16.960,57.035,75.096,73.299,74.419,73.742,78.512,70.894,68.582,70.640,80.168,82.954,77.181,66.067,77.347,67.118,54.741,69.896
7,88.023,131.440,112.363,97.101,87.335,124.713,119.559,100.692,91.886,95.779,110.649,123.383,93.503,75.960,79.346,92.554,84.901,0.000,0,16.829,56.672,74.151,73.022,74.067,74.764,78.531,70.648,69.202,69.427,80.186,82.406,77.729,65.700,77.640,67.046,54.336,70.914
8,87.010,131.273,111.862,96.996,86.627,119.000,119.818,100.836,91.493,95.342,110.070,124.268,94.048,75.245,79.809,92.463,85.426,0.000,0,14.954,57.149,74.421,72.652,74.395,73.436,78.544,70.975,68.195,70.108,80.063,82.675,78.025,65.212,77.257,66.908,54.206,70.701
9,87.839,130.668,112.343,97.469,87.877,121.079,118.396,99.758,90.663,95.141,109.472,121.597,92.713,75.574,79.023,92.120,84.901,0.000,0,14.877,56.880,73.498,72.625,74.003,73.982,79.028,70.963,69.223,70.753,80.168,82.673,77.085,65.910,76.890,66.818,54.512,71.425
10,86.918,131.424,111.594,95.023,87.506,122.720,119.309,100.045,91.329,95.577,109.639,123.415,93.152,74.798,79.062,91.520,85.055,0.000,0,13.167,57.122,74.378,72.793,74.065,74.782,78.647,71.139,68.992,70.887,79.483,82.623,77.647,65.207,77.464,66.315,54.492,70.597
11,87.060,130.322,111.727,95.605,86.775,121.350,118.535,100.165,91.358,95.961,110.154,123.044,92.053,75.204,78.527,92.368,83.982,0.000,0,13.158,56.835,73.408,72.590,73.786,74.498,78.541,71.102,68.931,70.413,79.832,82.528,77.661,65.456,77.194,67.174,54.472,70.081
12,86.411,129.837,111.480,95.477,86.500,114.587,121.481,101.038,91.840,96.287,109.813,123.565,92.432,74.795,80.127,91.837,84.537,0.000,0,11.348,56.605,74.533,72.620,74.209,74.071,78.250,71.095,69.311,70.834,79.514,82.434,77.268,66.267,76.901,66.829,54.304,70.416
13,86.790,130.281,112.805,97.787,87.079,124.233,118.152,99.485,90.913,94.645,110.182,120.063,91.795,74.887,79.108,91.689,84.783,0.000,0,13.302,56.833,72.991,71.595,73.746,74.289,78.710,70.931,68.204,70.776,79.225,82.331,77.477,65.988,77.651,66.548,54.694,70.516
14,88.107,131.134,113.146,97.279,87.142,123.044,117.350,98.752,90.796,94.754,109.475,120.804,91.347,75.565,78.450,91.512,84.636,0.000,0,13.163,56.481,73.483,72.595,73.450,73.222,78.477,71.269,69.256,69.906,80.658,82.346,77.585,65.802,77.097,66.969,54.426,70.244
15,87.359,129.650,111.542,96.930,87.063,115.297,118.778,99.366,90.679,96.309,108.593,121.968,91.789,75.001,78.214,90.892,84.405,0.000,0,11.394,56.496,73.616,73.011,74.085,74.920,77.829,71.204,68.555,70.799,79.285,82.250,76.941,65.790,77.372,66.799,54.041,69.842
16,89.662,130.383,112.268,95.058,85.959,120.990,118.851,99.859,90.956,94.960,108.935,121.250,92.104,75.391,79.321,91.120,84.663,0.000,0,11.623,56.308,72.830,73.266,73.621,74.444,78.351,71.192,68.842,70.986,79.850,82.540,78.398,65.353,77.108,67.396,54.390,69.851
17,89.111,129.697,111.878,96.481,86.877,119.420,118.305,98.892,91.003,95.344,109.279,121.075,91.618,75.529,79.051,91.801,84.450,0.000,0,11.517,56.376,73.168,72.690,73.436,73.187,78.389,70.472,68.672,70.867,79.898,82.071,79.528,66.055,76.666,66.992,54.116,70.050
18,88.290,130.059,111.300,95.054,86.009,117.234,118.608,99.192,90.803,94.935,108.816,121.416,91.573,74.996,79.448,91.408,84.212,0.000,0,11.500,56.364,73.563,71.883,74.145,74.662,78.296,71.028,68.714,70.275,80.285,82.339,79.734,65.228,76.866,66.744,54.367,70.127
19,87.403,129.556,111.423,96.612,87.089,115.477,118.277,98.671,90.870,94.694,108.737,120.390,91.196,74.939,79.006,91.397,84.633,0.000,0,11.513,56.630,74.044,71.924,74.157,74.627,78.489,70.817,68.332,70.563,79.453,82.159,79.955,65.323,77.301,66.875,54.122,70.697
20,87.519,130.874,110.940,96.686,86.528,115.885,118.841,99.126,90.776,95.145,109.633,119.810,89.809,75.044,78.397,91.041,84.094,0.000,0,11.596,56.717,73.009,72.614,73.387,73.627,78.390,71.528,68.664,70.352,80.195,81.992,79.777,65.560,77.435,65.950,54.499,69.973
21,86.380,128.607,110.915,95.271,86.462,115.065,119.664,99.973,91.432,95.241,109.133,122.684,91.205,74.728,78.958,91.862,84.010,0.000,0,9.729,56.804,73.697,72.323,74.319,73.836,78.024,71.424,68.716,70.323,79.868,82.611,79.006,66.544,77.640,66.325,53.531,69.955
22,87.249,129.735,111.752,96.787,86.557,117.203,118.465,98.902,90.545,94.830,109.157,120.205,91.388,74.844,79.076,91.598,84.714,0.000,0,11.321,56.467,73.131,72.842,73.647,73.778,78.074,71.012,68.021,70.683,80.375,82.016,79.627,65.286,76.615,66.672,54.261,69.973
23,88.678,129.603,111.322,96.609,86.234,112.281,118.778,98.841,90.498,94.819,107.939,120.571,91.933,74.656,78.321,91.011,84.443,0.000,0,11.298,56.671,73.266,72.130,74.195,74.680,78.330,70.949,68.384,70.341,79.799,82.141,80.155,64.820,76.369,66.702,54.247,71.593
24,88.940,130.363,111.002,95.884,86.047,108.967,118.219,99.598,90.459,94.654,108.536,121.543,91.455,75.147,78.894,91.221,84.514,0.000,0,11.523,56.672,73.358,72.745,72.949,74.582,78.047,70.755,68.718,70.113,79.544,81.946,79.963,65.463,76.901,66.465,54.186,70.615
25,88.254,128.446,110.703,96.349,86.544,107.187,118.394,99.111,90.958,94.839,108.780,120.287,91.223,74.874,79.089,91.332,84.530,0.000,0,11.485,56.298,73.122,71.677,73.486,73.996,78.430,70.498,68.032,70.171,79.793,82.014,80.260,65.138,77.050,66.556,54.397,69.172
