 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17
45,125.914,141.574,143.674,157.666,135.881,131.419,131.780,120.737,115.728,129.798,128.158,115.482,121.453,121.968,114.585,117.704,116.380
46,125.825,141.399,143.508,157.199,136.368,132.976,131.698,121.058,115.094,129.083,127.671,115.747,121.118,121.213,114.447,116.995,116.512
47,123.788,141.142,142.073,157.111,135.790,132.030,131.276,121.509,115.109,129.644,127.362,116.251,121.972,122.403,114.080,117.035,116.415
48,124.979,141.405,141.860,156.588,135.602,131.869,131.755,122.139,116.161,128.922,127.359,115.782,120.850,122.019,114.526,118.326,117.066
49,124.383,141.303,142.040,155.536,135.764,131.308,131.483,121.193,115.693,129.217,126.604,115.974,120.930,121.491,114.184,117.755,116.704
50,124.589,141.559,141.545,156.906,134.936,132.081,131.550,120.886,115.107,129.318,126.961,115.427,120.115,121.854,114.211,117.266,116.210
51,125.276,141.862,142.834,157.792,134.690,131.121,130.418,121.178,115.728,129.881,126.458,114.988,121.728,121.174,114.213,116.351,116.964
52,123.761,141.964,141.040,155.987,135.216,131.897,130.120,120.485,115.882,129.137,126.190,115.704,120.739,121.547,114.615,117.273,116.958
53,124.390,141.391,140.643,155.234,134.339,132.371,131.049,121.317,114.904,129.552,127.467,115.193,122.237,121.414,114.174,117.635,116.301
54,124.518,140.831,141.221,156.205,136.020,131.708,130.615,120.267,114.956,129.608,127.067,115.944,121.129,120.886,114.871,117.417,117.194
55,123.276,142.490,141.217,157.404,135.453,131.958,129.925,120.588,115.194,129.561,126.318,115.468,120.491,121.588,114.227,118.043,115.693
56,124.966,141.439,140.701,157.884,135.044,131.736,130.953,120.617,114.959,129.779,127.025,116.211,121.683,121.742,113.928,116.775,117.123
57,123.037,141.831,140.680,158.682,135.188,130.946,130.582,121.323,115.190,129.139,127.069,116.313,120.871,121.131,114.444,117.452,117.222
58,122.273,142.467,141.189,156.633,135.621,131.631,131.660,120.064,115.214,129.129,127.194,115.633,121.087,121.047,114.594,117.640,116.847
59,125.089,141.065,142.325,156.375,135.413,131.101,131.049,121.112,115.688,128.692,126.361,116.240,122.084,121.421,114.510,117.197,116.330
60,123.733,142.359,146.750,157.647,135.722,131.617,130.776,120.839,116.786,129.290,126.258,115.834,121.763,122.152,114.472,117.094,116.248
61,124.264,142.500,143.378,157.946,134.416,130.460,130.224,120.164,115.815,129.068,126.767,116.143,121.024,120.951,113.843,116.892,116.488
62,123.291,140.891,141.965,158.046,135.845,131.242,131.212,120.153,115.586,129.481,127.076,115.926,121.526,120.910,113.664,118.328,116.999
63,123.620,142.004,142.546,156.345,135.983,131.131,131.453,121.091,115.834,129.082,126.213,116.167,121.599,121.644,114.376,117.062,116.336
64,124.660,142.022,141.131,155.790,135.812,131.058,130.885,121.075,115.068,129.421,127.272,115.556,119.895,121.700,114.426,117.211,117.114
65,123.966,142.358,140.841,157.544,135.876,130.841,131.231,121.284,115.329,128.553,126.565,116.188,120.286,120.504,114.553,116.862,117.209
66,123.552,142.034,141.380,155.609,135.726,131.405,130.957,119.930,114.935,128.678,126.384,116.004,121.777,121.753,114.737,117.184,117.004
67,124.163,141.944,141.104,157.801,135.521,130.470,131.347,121.418,114.686,128.872,125.497,116.152,120.812,121.275,113.957,117.681,116.872
68,123.948,141.053,141.488,156.949,135.570,130.772,130.266,119.379,114.728,128.810,126.837,115.374,121.990,121.227,113.909,117.484,117.486
69,123.184,142.151,140.876,158.132,135.040,132.079,130.271,120.793,115.532,129.322,126.638,115.954,121.613,121.052,114.166,116.367,116.502
70,124.242,141.901,140.433,156.776,135.668,131.292,131.233,120.470,115.523,128.951,126.471,115.840,121.477,120.946,114.016,117.037,116.964
71,123.521,142.018,140.874,157.199,135.503,130.942,131.510,120.354,115.625,128.961,125.785,116.719,121.233,121.809,113.556,117.170,117.210
72,122.500,141.925,140.281,156.526,134.982,131.476,131.620,120.571,116.850,128.847,127.343,116.023,121.930,121.026,114.302,117.550,116.838
73,124.270,141.521,140.390,156.946,135.128,131.486,131.556,120.756,116.466,128.237,126.146,115.405,120.944,121.262,113.578,116.443,116.745
74,124.724,141.528,140.203,157.518,135.972,131.171,130.990,120.095,115.946,128.500,126.337,116.000,121.077,121.303,114.565,117.064,116.726
