 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17
1,126.344,144.549,148.123,180.787,138.744,133.371,133.703,121.178,120.207,129.588,133.529,118.397,123.439,123.335,115.800,116.055,116.015
2,127.368,146.615,151.000,188.491,143.358,138.177,136.712,123.884,120.503,133.163,135.430,120.186,124.826,125.560,117.819,119.934,118.149
3,127.301,147.164,150.310,186.960,142.464,137.518,136.891,124.037,121.442,133.057,135.565,120.625,125.509,125.790,117.832,119.706,118.937
4,127.135,146.118,149.320,188.704,142.764,136.812,136.972,122.692,120.440,133.364,135.755,120.074,126.909,125.077,117.691,118.839,118.634
5,125.850,146.407,148.595,187.569,142.101,136.782,136.056,122.747,121.155,133.227,134.410,120.183,125.571,124.704,116.701,119.574,117.769
6,125.641,146.883,148.154,187.795,142.605,137.623,136.597,123.354,119.800,133.184,133.472,120.032,125.307,124.886,117.157,119.762,118.661
7,126.712,146.138,147.140,186.992,141.322,137.260,135.938,123.509,119.551,132.959,134.215,120.107,125.481,125.755,116.903,119.748,118.607
8,126.350,145.815,146.062,187.504,141.947,137.304,135.637,124.491,119.754,132.678,134.654,119.569,126.289,125.633,117.424,118.516,117.610
9,127.807,145.428,147.595,188.170,141.422,135.607,135.852,123.638,119.447,132.224,134.190,119.644,125.024,125.097,117.467,118.725,118.314
10,126.202,145.930,146.192,185.849,141.979,135.587,135.120,123.725,120.320,132.339,133.975,119.700,125.561,124.961,117.657,119.184,118.517
11,127.865,145.852,145.083,185.865,142.366,136.341,135.898,122.362,117.930,132.298,132.911,119.916,124.770,124.884,116.562,119.434,118.447
12,126.911,146.723,146.080,186.895,141.224,137.849,135.802,123.383,118.856,132.265,132.508,119.759,126.582,125.118,117.696,119.096,117.969
13,127.083,146.824,145.840,187.474,141.089,137.724,135.064,124.164,117.819,132.496,133.435,119.883,125.714,125.144,117.945,119.135,118.531
14,127.960,145.160,145.754,187.879,141.429,136.230,135.993,124.694,119.081,132.467,132.380,119.876,125.477,124.783,117.685,119.113,118.457
15,126.770,145.064,144.697,186.887,140.830,136.927,135.788,122.739,118.736,132.328,132.606,119.807,124.293,124.957,116.812,119.839,118.311
16,125.896,145.429,145.765,187.412,140.416,135.577,135.997,122.832,117.778,132.195,132.366,120.102,125.261,124.788,117.572,118.993,118.318
17,127.451,145.120,145.603,186.763,141.315,137.065,135.750,122.704,117.991,132.453,132.300,119.971,125.557,124.788,117.385,118.812,118.587
18,125.012,145.679,145.025,187.569,141.196,136.304,135.674,124.642,118.200,132.427,132.025,120.554,125.066,125.200,118.188,119.394,119.067
19,126.669,145.988,144.845,187.768,141.224,136.734,135.915,123.352,118.024,131.852,132.391,119.049,125.056,125.045,116.767,118.683,118.851
20,126.067,146.003,145.207,186.660,141.607,135.710,135.733,123.008,117.649,132.242,131.964,119.925,125.307,124.036,117.172,118.489,119.010
21,126.466,144.928,145.284,185.898,140.774,135.952,135.821,124.087,116.235,132.477,131.943,119.786,126.467,124.800,116.415,118.770,118.524
22,126.479,145.643,144.994,184.264,140.507,136.181,135.884,123.683,117.941,132.181,131.272,118.919,125.659,124.816,117.381,119.571,118.164
23,125.387,144.592,147.996,187.957,139.926,136.915,135.915,122.907,117.551,132.299,132.259,119.439,125.404,124.790,117.444,119.016,118.200
24,126.328,144.728,155.568,185.752,141.037,137.069,136.868,122.762,117.919,132.240,132.361,119.942,125.153,125.116,118.061,118.934,118.723
25,126.454,146.641,156.510,186.685,141.455,135.369,136.408,122.965,118.508,131.871,132.805,119.981,124.808,124.775,117.372,119.422,118.143
26,126.656,147.783,169.903,186.997,142.973,137.821,137.398,123.704,119.174,132.018,132.879,119.670,124.763,125.118,117.517,119.771,117.965
27,127.393,146.834,164.008,186.003,142.010,137.280,137.064,123.284,118.806,131.558,132.638,120.110,126.115,124.873,117.472,119.285,117.472
28,127.546,146.957,161.172,186.916,141.750,136.913,135.828,123.847,118.185,132.677,133.618,120.046,125.432,125.472,116.123,118.535,118.180
29,127.209,146.067,157.817,185.593,141.331,136.206,135.925,123.087,117.566,132.287,132.282,119.026,125.707,125.088,116.376,119.133,118.134
30,127.304,146.234,152.710,185.588,142.249,136.804,136.675,123.170,118.133,132.387,132.950,119.372,124.470,126.086,117.367,119.096,118.239
31,127.693,145.941,151.270,185.375,140.689,136.718,135.406,124.582,117.479,132.345,131.792,119.472,124.777,124.794,117.426,119.025,118.028
32,125.883,145.389,151.214,185.410,140.893,136.143,135.080,122.845,118.115,132.561,132.355,119.506,124.352,125.232,116.619,119.332,118.273
33,126.745,145.521,148.714,187.170,140.345,136.062,136.476,123.416,117.752,131.928,132.700,119.257,124.902,124.015,117.213,119.704,118.686
