 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30
1,41.484,38.492,33.368,32.478,22.288,23.091,25.560,33.906,35.178,30.127,23.253,23.145,24.053,26.120,20.791,24.015,26.107,40.473,22.753,27.504,22.703,22.016,22.391,19.313,21.290,19.942,25.844,20.451,20.990,19.929
2,42.264,40.080,33.066,33.835,22.934,24.650,26.405,37.843,36.584,30.266,23.453,23.571,24.479,27.218,21.038,24.377,26.174,42.005,23.269,28.877,22.893,22.424,22.860,19.568,21.342,20.228,25.130,20.629,21.232,20.378
3,41.909,39.604,33.904,33.800,23.207,25.430,26.462,38.013,37.142,31.114,23.716,23.897,24.593,27.426,20.957,24.402,26.234,41.441,23.180,29.284,23.073,22.286,22.862,19.687,20.887,20.288,24.429,20.642,21.674,20.410
4,41.735,39.504,33.478,34.054,23.171,25.331,25.915,37.534,36.995,30.339,23.544,23.933,24.715,27.599,20.846,24.405,25.962,39.185,23.206,28.309,23.251,21.996,22.855,19.741,20.592,20.344,23.619,20.642,21.532,20.460
5,41.385,38.967,32.114,33.869,23.022,25.022,25.453,36.106,36.574,30.760,23.390,24.060,24.701,27.981,20.848,24.301,26.306,37.617,23.160,27.518,23.490,21.556,22.923,19.707,20.508,20.252,23.502,20.429,21.645,20.495
6,42.107,39.913,33.719,34.382,23.543,25.121,25.294,38.579,37.487,31.101,23.823,24.212,24.878,29.695,20.785,24.713,26.373,39.649,23.142,28.421,23.509,21.482,22.857,19.541,20.585,20.458,23.589,20.240,22.394,20.529
7,42.867,41.396,35.371,35.441,24.427,25.358,26.962,43.108,37.777,31.784,24.208,24.309,24.764,31.994,20.803,25.037,26.319,45.468,23.379,29.950,23.863,21.592,22.839,19.556,21.172,20.368,24.446,20.133,22.571,20.612
8,42.035,41.652,34.781,35.197,24.471,25.575,27.168,43.717,37.051,31.888,24.392,24.537,24.957,32.198,20.758,25.174,26.726,46.324,23.000,30.292,24.361,21.397,22.885,19.685,21.000,20.292,24.498,20.122,22.319,20.529
9,40.881,40.851,33.105,34.561,24.527,25.531,26.367,41.694,33.934,30.982,24.458,24.767,24.835,31.473,20.666,24.731,26.010,41.739,22.888,28.730,24.197,21.124,22.629,19.428,20.527,20.219,23.667,19.846,22.868,20.892
10,41.697,41.275,32.919,35.159,24.721,25.731,26.313,41.494,35.513,32.546,24.985,25.063,24.859,32.573,20.663,24.820,25.952,41.356,22.750,28.362,24.104,20.995,22.716,19.466,20.385,20.163,23.563,19.897,23.087,21.334
11,42.051,40.650,31.338,35.116,24.365,24.978,25.709,40.509,36.228,31.575,25.071,24.826,24.780,32.185,20.524,24.802,25.980,39.640,22.983,27.189,24.034,20.933,22.640,19.667,20.340,20.065,23.216,19.779,22.200,21.430
12,41.784,40.299,30.015,34.890,24.039,24.511,25.326,40.536,36.041,32.324,24.633,24.948,24.792,31.132,20.708,24.904,25.763,36.455,23.033,26.457,23.940,20.839,22.549,19.633,20.183,20.205,23.108,20.000,21.597,21.395
13,41.157,40.018,28.752,34.062,23.881,24.082,24.905,39.711,36.523,31.424,24.451,24.873,24.770,30.410,20.505,24.660,25.515,35.721,22.902,25.908,24.085,20.844,22.599,19.694,20.298,20.453,23.082,20.316,21.274,21.275
14,40.410,39.942,27.691,33.719,23.552,23.811,24.497,39.102,36.223,30.469,24.230,24.812,24.391,29.729,20.514,24.634,25.617,34.500,22.814,25.240,24.221,20.826,22.584,19.651,20.055,20.386,22.991,20.549,21.013,21.360
15,40.135,39.617,27.083,33.851,23.605,23.527,24.491,38.396,37.234,31.090,24.757,24.810,24.627,29.294,20.590,24.498,25.729,34.333,22.753,24.563,24.206,21.049,22.625,19.628,20.188,20.250,22.848,20.436,20.926,21.416
16,40.752,39.399,28.531,33.507,23.527,23.577,24.668,38.785,36.645,30.354,24.592,24.825,24.503,28.821,20.645,24.616,25.580,34.086,23.020,24.944,24.043,21.008,22.616,19.500,20.248,20.134,23.035,20.379,22.248,21.542
17,40.464,40.185,28.840,34.148,23.650,24.174,25.101,39.623,36.736,30.138,24.149,24.799,24.811,28.790,20.614,24.481,25.652,36.320,22.947,26.613,23.909,21.071,22.383,19.457,20.218,20.230,22.563,20.335,23.455,21.759
18,40.681,39.979,28.230,33.707,23.666,24.402,25.019,39.338,35.868,30.831,24.010,24.812,24.705,28.378,20.663,24.602,25.629,35.194,22.713,26.964,24.115,20.999,22.502,19.534,20.172,20.025,22.675,20.221,23.139,21.839
19,40.457,40.317,27.660,34.011,23.799,24.435,24.987,39.028,36.015,29.937,23.881,24.803,24.434,28.002,20.545,24.570,25.642,34.086,22.915,26.621,24.121,20.891,22.502,19.550,20.125,19.998,22.996,19.960,23.306,22.200
20,40.564,39.519,27.669,33.481,23.681,24.572,24.430,38.081,36.802,30.832,23.625,24.888,24.607,28.103,20.630,24.523,25.490,32.937,22.738,26.097,24.079,20.824,22.401,19.367,20.193,20.025,22.961,19.865,23.619,21.955
21,39.698,38.629,26.550,33.152,23.488,24.195,23.835,37.292,36.492,30.105,23.342,25.040,24.403,27.809,20.389,24.353,25.538,31.995,22.632,25.206,23.760,20.709,22.507,19.336,20.067,19.980,22.710,19.973,24.042,22.145
22,38.866,37.561,25.732,32.186,23.435,23.796,23.310,35.170,36.553,30.848,23.119,24.892,24.566,27.544,20.457,24.291,25.236,30.144,22.790,24.571,23.593,20.748,22.385,19.300,20.115,19.962,23.004,19.762,23.571,22.314
23,38.934,37.018,25.112,31.854,23.147,23.301,22.677,34.017,36.863,30.418,23.197,24.835,24.458,27.300,20.497,24.577,25.137,28.622,22.619,23.451,23.157,20.634,22.342,19.095,19.953,19.955,22.558,19.667,22.484,22.278
24,39.331,38.883,28.129,32.982,23.217,23.277,23.557,35.417,37.259,30.037,23.357,25.128,24.409,27.466,20.401,24.179,25.333,32.095,22.840,24.159,23.094,20.655,22.382,19.135,20.788,20.533,23.459,19.575,21.652,21.978
25,41.542,41.307,33.658,34.256,23.668,24.025,25.402,37.643,38.822,32.021,23.856,24.622,24.780,27.824,20.401,24.280,25.314,36.365,23.044,26.279,23.442,20.628,22.266,19.119,21.415,21.051,23.861,19.349,22.100,21.926
26,41.662,41.566,34.893,34.593,23.783,24.333,25.513,37.855,38.995,31.077,23.896,24.732,24.578,28.267,20.535,24.281,25.176,37.910,22.963,26.089,23.090,20.568,22.347,19.203,21.670,21.009,24.680,19.131,21.797,21.751
27,41.259,41.359,34.228,34.508,23.770,24.365,24.715,37.657,37.305,31.065,24.266,24.468,24.595,28.052,20.483,24.163,25.043,35.694,22.897,25.195,23.191,20.615,22.324,19.020,21.498,21.018,24.831,19.213,22.513,21.976
28,41.210,40.863,32.518,34.089,23.558,23.966,24.028,37.536,36.528,30.535,23.762,24.575,24.047,27.798,20.298,24.120,24.973,34.752,22.845,24.772,22.706,20.625,22.397,19.056,21.018,20.670,24.355,19.032,22.416,22.135
29,40.747,40.215,30.596,33.877,23.501,23.445,23.114,36.230,35.604,29.862,23.787,24.349,24.493,27.511,20.377,24.138,25.007,31.928,22.506,23.836,22.465,20.474,22.175,19.151,20.702,20.533,23.688,19.021,22.119,21.998
30,39.286,38.751,28.800,32.768,23.063,22.814,22.294,34.351,33.619,29.633,23.213,24.271,23.978,26.523,20.304,24.138,24.804,29.063,22.560,22.833,22.380,20.534,22.302,19.077,20.397,20.594,22.766,19.099,21.206,21.738
31,40.617,40.091,32.182,33.625,23.407,23.198,23.408,36.051,35.746,29.437,23.458,23.944,24.106,27.067,20.905,24.322,25.436,32.144,22.783,23.903,23.254,21.826,22.376,19.437,20.805,20.940,23.740,19.114,21.203,21.644
32,40.818,39.690,33.454,33.467,23.306,23.148,23.750,36.889,35.863,30.331,23.278,24.316,24.297,27.309,20.905,24.281,25.465,34.050,22.805,24.265,23.060,21.791,22.426,19.322,21.022,20.728,23.801,18.869,21.026,21.722
33,41.264,40.577,32.476,33.745,23.519,23.840,24.646,37.406,36.685,30.003,23.762,24.485,24.312,26.994,20.725,24.380,25.254,36.577,22.785,26.212,22.767,21.437,22.269,19.297,20.668,20.583,23.554,18.878,21.571,21.907
