 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30
1,31.493,30.463,28.129,21.639,21.599,20.632,21.079,25.547,23.315,27.933,23.180,22.458,23.517,25.405,20.491,23.752,25.855,25.162,21.654,21.515,21.144,21.198,21.798,20.840,19.693,19.708,22.874,19.053,19.868,19.525
2,30.323,29.799,26.910,21.623,21.396,20.644,21.006,25.062,23.335,27.609,23.094,22.452,23.548,25.441,20.337,23.733,25.577,25.347,21.716,21.368,21.001,20.827,21.835,20.502,19.612,19.757,22.381,18.996,19.981,19.427
3,29.294,29.291,26.421,21.508,21.414,20.494,20.579,24.404,22.949,26.939,23.187,22.246,23.336,25.418,20.159,23.812,25.326,25.401,21.477,21.437,20.874,20.572,21.691,20.378,19.692,19.746,22.108,18.764,19.761,19.545
4,29.381,28.730,25.811,21.470,21.268,20.546,20.595,24.179,23.117,27.104,23.177,21.937,23.481,25.351,20.235,23.685,25.321,25.140,21.634,21.292,21.081,20.726,21.791,20.534,19.617,19.973,21.983,18.802,19.819,19.512
5,32.115,29.742,27.193,21.755,21.319,20.668,21.677,25.283,23.452,27.368,22.962,21.976,23.570,25.624,20.657,23.688,25.619,25.847,21.757,21.554,21.129,21.079,21.805,21.018,19.888,20.033,22.281,18.613,19.871,19.660
6,33.248,30.453,29.390,21.670,21.496,20.838,22.478,26.443,24.066,27.055,22.833,22.156,23.519,25.405,20.538,23.774,25.473,26.590,22.145,22.033,21.172,20.758,21.647,21.009,20.113,19.993,22.320,18.821,20.148,19.555
7,32.505,30.094,28.605,21.566,21.508,20.783,22.712,26.381,23.523,27.653,23.329,22.009,23.870,25.542,20.540,23.765,25.587,26.284,21.950,21.833,20.948,20.558,21.771,20.878,19.792,19.962,22.576,18.693,20.774,19.558
8,32.653,30.832,28.842,21.724,21.536,20.887,21.972,26.226,23.340,27.451,23.197,21.906,23.772,25.433,20.462,23.565,25.197,26.428,22.254,21.953,21.129,20.563,21.818,21.126,19.895,20.121,22.442,18.566,20.590,19.462
9,32.680,31.641,29.993,21.806,21.646,20.900,22.108,26.583,23.574,27.872,22.937,22.092,23.576,25.380,20.834,23.731,25.485,26.153,22.409,21.994,21.201,21.548,21.945,20.885,19.795,20.002,22.823,18.688,20.210,19.503
10,31.449,31.116,29.189,21.729,21.432,20.694,21.335,25.834,23.117,27.700,22.972,22.051,23.481,25.487,20.472,23.608,25.179,25.545,22.308,21.382,21.011,21.110,21.839,20.845,19.772,19.897,22.455,18.562,20.045,19.503
11,30.424,30.420,27.754,21.581,21.437,20.686,20.880,25.219,23.000,27.139,23.562,22.011,23.538,25.330,20.344,23.805,25.443,25.041,22.140,21.287,20.839,20.792,21.803,20.687,19.750,19.893,22.299,18.560,19.881,19.534
12,29.314,29.614,26.945,21.587,21.256,20.597,20.668,25.023,22.766,27.834,23.357,22.051,23.656,25.427,20.268,23.712,24.793,25.059,21.897,21.270,20.777,20.457,21.758,20.615,19.653,19.681,22.429,18.533,19.948,19.393
13,28.583,29.036,26.138,21.550,21.148,20.492,20.585,24.685,22.569,27.125,23.008,21.808,23.688,25.489,20.111,23.596,24.870,24.869,21.875,21.058,20.697,20.350,21.714,20.480,19.530,19.801,22.264,18.648,19.887,19.566
14,27.694,28.471,25.599,21.512,21.191,20.637,20.351,24.202,22.401,26.863,22.927,21.864,23.591,25.265,19.958,23.641,24.878,24.874,21.816,21.170,20.687,20.271,21.816,20.588,19.750,19.703,21.844,18.672,19.826,19.469
15,27.265,27.953,25.029,21.418,21.136,20.602,20.487,23.934,22.401,27.287,22.729,22.085,23.916,25.359,20.176,23.501,24.863,24.784,21.680,21.058,20.738,20.198,21.695,20.498,19.655,19.783,21.814,18.815,19.884,19.638
16,29.441,27.599,25.351,21.561,21.070,20.518,20.949,24.453,22.751,27.560,23.046,22.024,23.629,25.244,20.145,23.693,25.074,24.770,22.083,21.320,20.765,20.398,21.734,20.644,19.510,19.790,21.996,18.874,19.716,19.390
17,32.370,29.712,27.384,21.699,21.136,20.808,21.383,25.179,22.898,27.730,23.147,22.128,24.251,25.334,20.176,23.519,24.997,25.428,21.895,21.643,20.791,20.358,21.775,20.820,19.827,20.011,21.987,18.804,19.884,19.445
18,34.858,31.364,29.550,21.678,21.516,20.852,21.858,25.930,23.015,27.912,22.909,21.929,24.053,25.286,20.076,23.691,25.182,25.586,21.877,21.685,20.711,20.282,21.743,20.806,20.137,19.962,22.225,18.709,19.700,19.482
19,35.137,32.304,28.868,21.737,21.451,20.785,21.446,25.917,22.898,28.024,23.190,22.112,23.990,25.397,20.221,23.624,24.952,25.221,21.982,21.733,20.628,20.167,21.826,20.795,19.872,19.944,22.173,18.975,19.965,19.440
20,33.665,31.572,27.908,21.668,21.398,20.783,21.456,25.645,22.721,27.514,23.316,22.230,23.674,25.376,20.062,23.529,25.047,24.946,21.823,21.421,20.699,20.177,21.782,20.678,19.892,19.875,21.758,18.939,19.994,19.551
21,31.891,30.674,26.814,21.571,21.232,20.671,21.057,24.836,22.863,28.255,23.086,22.532,23.658,25.302,20.064,23.594,24.920,24.797,21.667,21.237,20.638,20.302,21.795,20.745,19.700,19.772,21.818,19.135,20.032,19.429
22,30.487,29.801,25.763,21.610,21.261,20.678,20.633,24.691,22.492,27.421,22.894,22.148,23.829,25.345,20.033,23.546,24.868,24.869,21.676,21.228,20.615,20.172,21.901,20.480,19.737,19.623,21.935,19.192,19.890,19.531
