 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13
1,165.631,136.049,109.034,132.315,139.760,181.521,152.457,135.527,134.008,158.192,87.627,115.455,124.542
2,163.773,136.139,108.313,134.482,140.717,181.429,153.583,136.960,136.221,157.946,86.720,116.877,120.176
3,165.327,133.263,110.523,132.570,138.011,178.136,152.452,133.518,136.194,158.744,86.553,116.506,124.054
4,164.802,134.584,109.922,133.338,138.066,177.869,152.662,133.400,133.557,159.360,85.958,114.303,122.754
5,162.197,138.427,113.154,129.441,139.411,177.478,148.544,133.264,133.345,160.422,88.312,115.772,121.764
6,165.051,134.465,111.083,132.653,140.330,178.215,154.030,136.606,134.280,156.386,86.058,116.487,124.051
7,164.086,138.159,109.960,132.360,139.898,181.524,152.768,136.713,135.649,159.318,89.303,115.107,124.259
8,166.675,137.900,111.095,136.443,138.892,178.761,152.124,133.191,133.060,160.591,87.291,114.562,121.607
9,164.923,136.459,109.767,132.758,140.926,179.517,155.921,137.965,134.326,159.740,86.805,116.066,123.734
10,166.630,136.198,109.449,131.916,140.377,177.881,150.661,135.939,134.452,160.416,88.039,117.624,121.151
11,165.768,135.735,109.989,131.797,139.650,181.340,153.208,135.678,134.637,160.320,87.975,114.276,123.637
12,168.668,137.143,109.154,130.994,142.086,177.259,153.430,134.623,134.977,158.433,85.689,116.318,124.533
13,164.880,136.937,109.782,130.244,140.812,181.653,152.230,137.762,133.707,160.145,85.452,114.462,126.031
14,165.570,137.971,110.026,134.570,140.579,181.457,152.024,134.301,134.453,159.266,87.019,115.629,125.149
15,163.061,135.225,111.355,129.495,140.145,178.194,151.483,136.304,134.345,158.145,89.520,116.064,123.649
16,164.501,137.586,110.507,131.081,140.080,179.515,152.958,132.562,132.696,159.473,86.483,114.779,125.977
17,165.624,132.076,110.727,128.441,139.692,180.181,154.950,135.947,133.086,158.542,88.527,116.946,125.094
18,159.166,137.537,110.053,132.276,138.228,182.595,154.118,134.227,136.142,160.427,87.908,114.555,122.657
19,161.716,138.508,111.471,133.904,140.875,179.916,148.492,133.882,132.574,159.853,86.228,117.107,125.138
20,165.434,131.000,110.010,131.090,139.067,181.276,153.226,137.882,134.467,156.752,90.328,116.141,122.378
21,167.845,134.912,110.629,132.396,139.744,179.114,152.522,136.055,132.151,157.433,89.134,117.008,126.290
22,164.742,136.610,110.942,132.319,142.165,179.091,152.412,136.144,134.658,160.813,87.022,116.257,121.974
23,165.146,134.451,109.614,132.120,138.762,179.983,152.498,137.070,134.614,159.533,87.175,115.839,122.694
24,162.069,130.267,109.777,134.893,140.010,177.545,152.127,135.217,134.119,159.929,86.811,115.796,122.898
25,164.251,132.498,109.200,129.882,141.151,180.578,152.257,135.296,134.413,158.055,87.739,115.708,121.926
26,165.962,134.820,110.643,133.724,141.175,180.668,155.537,136.573,132.827,158.441,87.420,118.067,124.640
27,164.965,132.496,110.191,134.396,140.655,181.450,154.879,133.373,132.697,159.263,86.695,115.417,121.997
28,163.255,135.304,112.162,132.902,137.474,179.226,152.823,135.611,134.160,160.130,88.684,115.029,123.716
29,163.854,134.188,111.416,130.272,139.801,180.239,151.090,134.189,135.336,160.275,85.353,118.313,124.349
30,161.402,134.637,110.098,136.531,139.005,180.289,151.654,134.976,132.019,158.162,86.752,117.328,122.098
31,164.054,131.512,109.718,131.916,140.913,174.963,153.190,134.353,134.724,158.266,87.364,114.614,123.758
32,163.395,135.002,109.298,134.632,140.804,175.634,153.591,136.492,134.618,159.795,87.944,116.127,123.725
33,163.182,135.943,110.412,131.555,137.824,180.614,152.746,134.760,133.849,159.838,87.902,114.913,123.437
34,165.748,133.086,110.503,132.910,139.289,180.683,155.954,134.305,131.306,158.523,87.452,115.048,124.821
35,160.112,135.769,112.025,131.544,141.042,181.494,153.698,138.881,133.201,157.432,86.942,114.930,124.445
36,163.124,131.192,111.709,132.544,139.801,178.636,152.844,135.687,133.615,158.293,88.102,113.771,123.649
37,165.340,135.480,111.236,131.839,138.121,185.099,152.254,136.588,130.795,157.751,87.184,116.528,122.496
38,163.251,132.765,110.497,130.655,139.627,178.707,151.433,135.307,134.997,162.138,87.745,115.303,124.366
