 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13
59,159.296,123.931,119.285,126.951,146.537,176.093,168.917,154.144,137.523,151.429,90.184,138.438,153.723
60,156.885,124.378,116.135,128.709,144.048,174.942,169.981,153.516,135.613,153.400,89.969,137.347,151.541
61,156.956,124.235,117.127,128.304,144.456,173.610,170.597,154.421,134.900,152.557,89.653,137.526,151.761
62,157.596,122.935,115.986,131.257,144.628,174.772,170.413,150.773,135.653,150.600,89.598,136.255,151.989
63,154.875,126.327,114.791,128.214,142.495,178.267,171.495,157.504,133.651,150.354,90.338,134.851,150.832
64,157.720,126.271,116.221,126.985,141.668,174.625,173.153,155.221,133.977,154.415,88.341,137.590,152.802
65,155.873,125.125,114.994,126.263,143.539,178.291,171.073,153.357,134.149,151.189,91.955,137.303,150.615
66,156.512,125.796,115.061,128.518,142.795,176.718,172.151,150.834,134.375,150.487,91.011,137.499,147.351
67,159.493,127.402,116.338,127.717,144.139,173.444,170.708,152.446,136.126,154.488,91.045,135.287,149.450
68,157.746,124.131,116.889,130.559,143.761,174.821,168.190,153.469,133.625,151.390,88.683,137.326,151.768
69,159.614,122.788,116.009,129.537,144.111,176.674,171.433,152.107,138.097,151.656,90.206,133.957,150.474
70,159.395,121.616,115.421,125.919,144.004,178.453,171.006,155.253,136.940,150.878,88.223,133.995,149.026
71,159.172,126.059,116.930,130.707,143.537,175.636,171.800,153.408,133.412,150.918,88.175,134.164,149.683
72,159.895,124.829,113.584,129.692,144.669,175.787,169.680,152.621,136.113,153.975,90.327,134.963,148.236
73,158.115,127.476,115.718,124.955,143.428,176.114,170.529,153.562,138.626,149.122,93.230,135.133,148.255
74,158.886,125.469,119.720,130.788,142.705,177.231,170.218,153.511,134.432,153.653,88.664,133.149,149.481
75,162.009,123.173,115.757,127.120,146.189,178.560,175.124,156.408,137.285,151.606,89.766,135.803,149.417
76,159.360,128.157,115.635,129.771,149.337,177.121,170.418,155.241,132.336,154.373,90.900,136.267,149.721
77,157.994,124.102,115.333,132.191,144.637,176.534,170.796,155.079,134.206,149.284,90.864,135.930,146.849
78,155.605,122.665,114.862,125.064,146.670,175.338,171.177,153.704,135.859,151.026,89.464,135.056,148.925
79,156.583,125.335,117.289,126.790,146.354,177.687,168.476,149.615,136.727,152.763,88.078,135.545,145.925
80,160.025,122.720,115.112,130.415,143.596,176.207,170.475,153.070,136.548,148.560,91.117,134.886,150.607
81,158.411,128.290,114.881,124.261,142.593,178.687,170.513,153.466,135.877,151.876,90.427,133.618,148.165
82,158.701,127.222,115.581,127.139,145.251,173.323,169.904,152.246,134.237,149.598,87.895,133.845,148.952
83,159.627,126.698,114.449,129.520,144.854,175.778,166.905,151.617,134.628,151.075,90.444,134.676,148.263
84,156.246,123.796,115.314,128.403,147.343,177.041,169.352,148.314,133.634,152.907,90.345,135.299,151.882
85,157.761,124.173,117.244,124.934,143.287,176.429,170.809,152.406,135.029,152.072,90.041,135.582,149.954
86,158.507,125.420,116.787,126.096,144.212,173.325,167.630,151.336,134.636,149.965,90.384,134.569,146.333
87,156.786,124.851,116.227,126.794,145.542,175.440,166.931,150.681,133.907,150.945,89.052,135.026,148.060
88,156.797,126.722,116.412,131.024,143.664,176.267,165.453,149.438,134.117,146.982,87.736,132.678,145.620
89,157.675,129.302,116.027,128.859,143.903,174.507,168.472,149.971,135.020,149.174,89.764,132.663,148.797
90,159.838,123.920,115.995,124.955,144.266,175.800,166.869,148.915,135.936,146.227,89.488,133.277,143.132
91,157.985,127.402,116.397,128.163,142.936,176.918,167.889,149.789,132.569,148.729,90.311,134.382,147.115
92,160.187,127.251,113.974,125.039,143.963,172.588,167.877,149.276,134.061,149.598,88.291,132.825,144.785
93,158.513,125.457,115.118,123.846,142.038,173.860,169.042,148.284,134.053,149.212,88.481,135.301,146.481
94,161.169,121.596,116.627,126.379,142.009,174.868,168.725,151.008,134.810,149.993,90.927,132.603,149.541
95,156.813,126.176,115.856,126.139,145.551,174.873,166.067,151.716,136.456,150.086,87.742,132.196,142.451
96,158.825,125.720,113.811,120.662,144.525,172.035,165.381,145.875,132.583,148.996,90.642,132.029,145.691
97,158.880,127.349,114.900,128.715,141.591,172.366,162.778,146.528,135.289,149.823,88.781,132.339,144.041
98,153.566,126.292,115.164,124.111,142.107,171.177,161.919,144.624,135.468,149.483,88.269,131.330,146.714
99,157.048,125.500,112.089,124.957,142.324,173.416,165.421,143.034,131.224,145.752,88.333,131.493,144.576
100,157.241,122.914,115.957,123.749,138.892,175.341,164.127,145.750,134.718,147.556,91.656,131.554,143.681
101,159.644,125.584,113.045,125.105,143.533,169.256,163.642,146.800,134.699,145.391,88.936,130.024,143.587
102,155.017,125.467,113.008,123.931,139.926,168.868,164.373,143.347,132.045,150.238,89.333,129.787,144.917
103,153.051,124.043,115.541,122.617,141.049,170.084,165.726,146.627,130.491,147.990,88.711,129.073,140.240
104,156.163,126.737,113.927,124.225,138.565,168.819,161.886,144.402,131.362,146.884,86.558,131.057,144.010
105,155.394,123.965,110.630,124.722,142.004,172.101,162.697,144.609,132.842,146.705,90.178,129.401,140.286
106,154.153,123.704,113.410,121.293,138.133,170.808,162.962,145.450,133.205,147.167,87.481,127.240,142.218
107,154.121,123.710,112.061,123.017,141.280,169.884,162.029,147.295,132.722,147.448,86.653,129.475,140.960
108,157.127,123.429,112.548,123.799,139.742,169.552,161.585,143.362,132.955,147.397,88.091,130.048,141.959
109,156.163,124.010,112.188,121.004,141.198,171.774,159.452,144.456,132.259,148.172,86.350,130.876,144.073
