 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50
1,17.757,17.910,49.367,50.844,24.387,19.661,16.438,17.855,17.203,24.391,16.336,16.385,38.158,30.434,66.555,84.114,172.946,55.774,51.025,55.087,38.000,40.602,31.543,29.863,40.058,25.815,17.245,18.042,19.344,16.031,24.480,17.873,19.380,52.551,62.168,218.575,20.263,18.563,22.551,24.839,29.562,25.701,32.570,16.788,27.362,15.781,16.957,16.078,16.107,18.529
2,17.896,17.956,49.511,51.144,24.204,19.880,16.448,17.850,17.236,24.103,16.613,16.345,38.585,30.445,66.359,83.898,172.717,55.863,50.975,55.022,37.842,40.607,31.545,29.831,39.851,25.827,17.040,18.048,19.514,16.054,24.602,17.944,19.482,52.630,62.249,217.905,20.084,18.760,22.504,24.825,29.270,25.813,32.722,16.890,27.392,15.722,17.127,16.168,16.098,18.394
3,17.970,17.881,49.636,51.108,24.086,19.700,16.524,17.622,17.313,24.309,16.409,16.581,38.234,30.527,66.398,84.048,173.002,55.959,50.417,54.907,37.812,40.096,31.603,29.618,40.093,25.903,17.115,17.997,19.378,16.042,24.671,17.958,19.533,52.348,62.031,218.105,20.259,18.757,22.424,24.822,29.002,26.005,32.240,16.835,27.325,15.729,17.105,16.083,16.117,18.571
4,17.924,17.787,49.473,50.975,24.040,19.836,16.564,17.921,17.248,24.071,16.588,16.578,38.151,30.725,66.465,84.033,173.036,55.943,50.901,54.927,37.634,39.286,31.711,29.640,40.069,25.788,17.078,17.925,19.244,15.987,24.522,17.987,19.638,52.190,61.424,218.333,20.211,18.695,22.163,24.845,29.179,25.706,31.903,16.853,27.626,15.671,17.224,16.273,16.162,18.789
5,17.983,17.770,49.696,50.922,24.038,19.701,16.556,17.915,17.045,24.235,16.602,16.578,38.194,30.641,66.643,83.991,174.020,55.814,51.405,54.886,37.922,39.532,31.826,29.639,40.172,25.660,17.004,17.862,19.265,16.108,24.697,17.900,19.714,52.694,61.486,217.737,20.163,18.683,21.817,24.808,29.047,25.893,31.499,16.981,27.488,15.709,17.138,16.273,16.055,18.533
6,18.180,17.757,49.634,50.973,24.212,19.758,16.628,18.098,17.420,24.103,16.613,16.503,38.227,30.375,66.782,84.135,173.496,55.513,51.483,54.776,38.078,38.441,31.735,29.800,39.946,25.824,16.932,17.929,19.133,15.993,24.317,17.978,19.543,52.704,61.247,218.011,20.284,18.685,21.652,24.867,29.157,25.723,31.688,16.916,27.550,15.753,17.070,16.309,16.044,18.535
7,17.963,17.801,49.551,51.353,24.144,20.002,16.511,17.966,17.613,23.959,16.566,16.287,38.538,30.244,66.791,84.260,174.208,55.947,51.190,55.072,37.855,38.604,31.253,29.758,40.348,25.827,17.030,17.932,18.830,15.906,24.430,17.865,19.674,52.282,61.201,217.639,20.323,18.676,21.020,24.984,29.229,25.929,31.466,16.835,27.226,15.784,17.251,16.147,16.136,18.648
8,17.991,17.792,49.519,51.284,24.158,19.726,16.499,17.991,17.576,24.262,16.468,16.510,38.300,30.251,66.641,84.433,173.202,55.654,50.946,55.107,37.836,38.265,31.256,29.984,40.328,25.960,16.976,17.847,19.154,16.070,24.659,17.931,19.333,52.149,61.249,218.368,20.242,18.690,20.821,24.897,29.018,25.580,31.344,16.813,27.180,15.766,17.224,16.246,16.200,18.638
9,18.258,17.872,49.633,51.091,24.150,19.885,16.697,18.123,17.577,24.009,16.468,16.486,38.561,30.266,66.634,84.206,173.426,55.449,51.021,55.069,37.809,37.906,31.672,29.641,40.281,25.893,16.805,17.853,19.014,15.991,24.500,17.898,19.652,52.461,61.043,218.674,20.280,18.656,20.667,24.907,29.305,26.003,31.604,16.929,27.315,15.781,17.108,16.121,16.021,18.598
10,18.130,17.948,49.919,51.083,24.118,19.995,16.590,17.908,17.343,24.224,16.669,16.412,38.408,30.511,67.116,84.282,174.301,55.676,51.236,55.183,38.008,37.834,31.455,29.924,40.533,26.181,16.821,17.758,19.136,15.964,24.679,17.973,19.417,52.175,60.132,217.909,20.274,18.744,20.440,24.763,29.162,25.841,31.450,16.747,27.648,15.815,17.162,16.282,16.191,18.608
11,17.935,17.995,49.825,51.485,24.311,19.797,16.521,17.787,17.395,24.271,16.403,16.625,38.550,30.536,66.924,84.625,174.088,55.616,51.182,55.293,37.997,37.930,31.454,30.008,40.615,25.836,16.803,17.863,19.093,15.900,24.221,17.949,19.341,52.153,60.301,218.439,20.154,18.682,20.181,24.899,29.225,25.563,31.020,16.956,27.456,15.724,17.346,16.301,16.091,18.495
12,18.048,17.871,49.816,51.449,24.110,19.908,16.566,18.249,17.369,24.138,16.563,16.564,38.050,30.344,66.849,84.535,174.285,55.553,50.810,55.141,37.957,37.751,31.617,29.989,40.569,25.899,16.817,17.895,19.097,15.941,24.474,17.922,19.522,52.240,60.409,218.428,20.284,18.663,20.009,24.818,29.228,26.066,31.300,16.819,27.587,15.731,16.784,16.188,16.109,18.815
13,18.204,17.991,49.716,51.393,24.210,19.845,16.509,18.625,17.303,23.912,16.538,16.328,38.619,30.259,66.734,84.739,174.081,55.634,51.318,55.017,37.883,37.508,31.835,29.948,40.464,26.093,16.805,17.899,19.027,15.956,24.500,17.864,19.768,52.103,60.127,218.898,20.196,18.683,19.690,24.818,29.284,26.126,31.082,16.888,27.388,15.636,16.911,16.167,16.089,18.630
14,18.128,17.913,49.921,51.190,24.076,19.825,16.504,18.554,17.123,24.256,16.597,16.375,38.165,30.254,66.623,84.445,174.161,55.557,50.855,55.143,38.118,37.615,31.785,29.849,40.623,25.871,16.885,17.985,19.102,16.061,24.410,17.900,19.630,52.096,60.290,218.582,20.339,18.690,19.734,25.082,29.294,25.692,31.969,16.976,27.648,15.726,17.346,16.268,16.141,18.837
15,18.046,18.018,50.056,51.560,24.104,19.761,16.534,18.493,17.175,23.935,16.569,16.564,38.162,30.064,66.552,84.514,174.514,55.091,50.835,55.607,38.023,37.179,31.414,30.122,40.541,26.020,16.915,17.898,19.048,15.973,24.614,18.047,19.486,52.122,59.747,218.232,20.232,18.880,19.449,24.752,29.223,26.047,32.721,16.958,27.519,15.689,17.332,16.171,16.083,18.658
16,18.007,18.166,49.925,51.085,24.305,19.913,16.680,18.378,17.914,24.159,16.440,16.395,38.362,30.095,67.304,84.903,174.803,55.461,50.880,55.321,38.023,37.388,31.670,30.025,40.483,25.955,16.759,17.853,19.152,15.840,24.245,17.940,19.620,51.416,60.103,218.846,20.268,18.713,19.469,24.726,29.197,26.228,36.283,17.077,27.569,15.792,17.076,16.150,16.065,18.791
17,18.048,18.318,50.113,51.366,23.994,19.924,16.772,18.413,18.148,24.294,16.513,16.463,38.304,30.155,67.164,84.630,174.285,55.447,51.037,54.764,37.874,37.318,31.605,30.008,40.487,26.033,16.755,17.889,19.222,15.845,24.731,17.898,19.482,52.042,59.777,217.923,20.470,18.759,19.312,24.921,29.152,26.148,38.198,17.130,27.427,15.735,17.165,16.168,16.095,18.513
18,18.128,18.319,50.198,51.536,24.341,19.908,16.744,18.320,18.125,24.297,16.401,16.412,38.142,30.108,67.032,84.809,173.998,55.484,50.793,55.285,37.969,37.238,31.596,30.002,40.604,26.073,17.103,17.844,19.665,16.051,24.402,17.973,19.533,52.406,60.555,218.561,20.403,18.712,19.473,25.031,29.477,25.799,38.930,17.081,27.550,15.603,17.295,16.164,15.976,18.664
19,18.046,18.648,49.780,51.274,24.523,19.883,16.931,18.336,18.666,24.271,16.613,16.490,38.257,30.184,67.035,85.166,174.531,56.140,50.835,55.701,38.235,38.430,32.323,30.222,41.607,26.572,18.841,17.988,20.380,16.489,24.791,17.938,19.656,52.855,62.366,218.716,20.396,18.906,21.725,25.409,29.599,26.195,40.700,17.414,27.812,15.596,17.900,16.131,16.395,19.054
20,18.000,18.805,50.339,52.069,24.455,20.060,16.997,18.205,18.794,24.326,16.513,16.514,38.288,30.104,67.143,85.268,174.338,56.051,50.574,55.788,38.032,38.906,32.404,30.199,41.908,26.534,19.439,18.066,20.057,16.623,24.998,17.902,19.703,52.816,62.284,218.116,20.520,19.018,23.234,25.464,29.685,26.069,41.687,17.577,27.833,15.686,17.838,16.125,16.591,19.177
21,18.102,18.835,50.294,51.920,24.567,19.945,16.873,18.158,18.813,24.309,16.445,16.416,38.160,30.056,67.525,85.056,174.525,56.083,50.202,55.719,37.920,38.676,32.436,30.504,42.113,26.606,19.447,17.913,20.041,16.700,24.950,17.982,19.482,52.957,62.363,218.849,20.334,18.976,23.292,25.452,29.480,26.272,41.182,17.453,27.432,15.722,17.751,16.155,16.539,19.173
22,18.130,18.785,50.251,52.039,24.665,19.882,16.913,17.940,18.760,24.235,16.462,16.514,38.685,30.131,67.727,85.317,175.300,56.377,50.004,55.493,38.303,38.388,32.043,30.298,42.045,26.347,19.141,17.787,19.751,16.661,25.177,17.980,19.540,53.125,62.027,218.502,20.532,18.874,23.382,25.298,29.462,25.898,40.596,17.499,27.704,15.834,17.711,16.230,16.579,19.153
23,18.171,18.820,50.536,51.989,24.721,19.991,16.948,17.947,18.687,24.285,16.521,16.635,38.417,30.132,67.528,85.213,174.809,56.203,49.645,55.730,38.150,38.201,32.256,30.240,41.906,26.385,19.149,17.815,19.550,16.732,24.962,17.918,19.529,52.962,61.677,218.895,20.599,18.962,23.089,25.273,29.637,26.063,39.543,17.507,27.586,15.488,17.657,16.165,16.503,19.165
24,18.061,19.013,50.514,52.119,24.489,20.039,16.918,18.103,18.450,24.115,16.529,16.277,38.351,29.960,66.922,85.261,173.742,56.229,49.483,55.880,38.272,37.709,32.077,30.212,42.288,26.442,19.044,17.934,19.557,16.720,25.006,18.053,19.620,52.743,61.593,218.084,20.292,19.060,23.690,25.370,29.426,26.036,39.084,17.281,27.766,15.563,17.419,16.164,16.430,19.014
25,17.987,18.989,50.501,51.702,24.401,20.007,16.808,17.818,18.779,24.185,16.448,16.605,38.252,29.965,67.340,85.263,174.301,55.982,49.355,55.769,38.062,37.901,32.184,30.341,41.929,26.335,18.966,17.872,19.450,16.646,25.335,17.989,19.533,52.910,61.505,218.446,20.439,18.997,24.199,25.198,29.683,26.266,38.604,17.344,27.659,15.687,17.397,16.327,16.520,19.002
26,18.056,19.071,50.128,51.737,24.431,20.071,16.862,17.805,18.691,24.476,16.650,16.416,38.522,29.811,67.331,85.503,175.332,55.971,48.909,55.438,38.345,37.917,31.914,30.053,41.870,26.403,18.718,17.790,19.326,16.934,25.255,17.913,19.587,52.352,61.137,218.242,20.489,18.912,24.040,25.321,29.478,26.280,38.155,17.106,27.778,15.583,17.405,16.157,16.427,18.964
27,17.941,19.026,50.091,51.647,24.497,20.120,16.878,17.874,18.533,24.200,16.633,16.351,38.241,29.985,67.530,85.528,174.995,55.801,48.479,55.748,38.425,37.682,32.328,30.048,41.877,26.276,18.696,17.761,19.339,16.886,25.177,18.038,19.551,52.361,61.296,219.095,20.371,18.986,23.650,25.290,29.541,26.066,37.684,17.273,27.934,15.803,17.738,16.186,16.344,19.058
28,18.126,18.799,50.415,51.796,24.395,20.011,16.826,17.758,18.423,24.165,16.566,16.625,38.331,29.733,67.162,85.278,174.287,56.168,48.103,55.721,38.285,37.310,31.959,30.238,41.824,26.424,18.252,17.931,19.296,16.616,25.195,17.969,19.649,52.417,61.000,219.295,20.679,18.902,23.408,25.240,29.439,26.294,37.061,17.037,27.603,15.678,17.730,16.141,16.399,18.759
29,18.111,18.553,50.378,51.929,24.259,20.065,16.744,17.689,18.236,24.532,16.532,16.544,38.297,29.992,67.541,85.857,175.374,55.922,48.583,55.722,38.332,36.955,32.007,30.220,41.940,26.442,18.507,17.793,19.333,16.678,25.030,18.056,19.377,52.023,60.945,218.277,20.413,18.998,23.071,25.120,29.532,26.049,36.640,16.980,27.643,15.596,17.741,16.193,16.303,18.547
