 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50
1,16.403,14.616,38.732,38.805,19.970,17.977,15.213,15.406,15.585,20.024,15.179,15.118,30.629,25.485,57.364,64.641,117.471,44.474,37.017,47.014,30.599,28.206,24.787,25.176,31.090,21.519,15.231,16.012,16.753,14.913,21.137,16.951,18.583,39.060,41.512,171.481,18.043,17.267,18.013,21.274,23.288,21.102,26.179,15.479,21.976,14.969,15.773,14.904,15.194,17.352
2,16.252,14.523,38.658,38.327,19.766,17.800,15.184,15.346,15.656,19.809,15.232,15.216,30.637,25.107,56.732,63.959,117.693,44.198,36.698,46.858,30.174,27.901,24.588,25.113,31.035,21.804,15.396,16.096,16.676,14.860,20.940,17.060,18.663,38.781,40.990,170.639,17.828,17.194,17.904,21.170,23.037,21.294,25.996,15.456,21.982,14.945,15.865,14.898,15.196,17.189
3,16.436,14.641,38.473,38.259,19.912,17.850,15.212,15.519,15.681,19.885,15.098,15.061,30.401,25.363,56.945,64.421,117.601,44.362,36.653,46.817,30.270,28.222,24.680,25.234,30.858,21.394,15.380,16.051,16.735,14.852,21.195,16.827,18.786,38.743,41.131,170.165,17.857,17.103,17.955,21.326,23.116,20.885,25.683,15.436,21.850,14.932,15.797,15.001,15.285,17.235
4,16.438,14.676,38.829,38.529,19.858,17.760,15.198,15.425,15.794,19.956,15.238,15.128,30.421,25.036,57.121,64.282,117.206,44.206,36.388,46.613,30.061,28.409,24.588,25.332,30.946,21.570,15.207,15.889,16.645,14.915,21.209,17.076,18.638,38.562,41.364,170.568,18.065,17.145,18.009,21.347,23.149,21.258,25.699,15.313,21.871,14.916,15.868,14.899,15.285,17.217
5,16.397,14.640,38.574,38.188,19.836,17.995,15.174,15.391,15.720,20.085,15.070,15.122,30.603,25.301,57.316,64.077,117.504,44.188,36.562,46.781,30.149,28.182,24.804,25.165,30.921,21.539,15.545,15.982,16.785,14.906,21.004,17.156,18.449,38.835,41.393,171.102,17.944,17.238,17.951,21.236,23.118,21.071,25.687,15.223,21.839,14.835,15.732,14.895,15.309,17.082
6,16.399,14.593,38.808,38.449,19.774,17.873,15.284,15.290,15.531,19.947,15.115,14.983,30.205,25.062,57.213,64.333,117.233,44.349,36.512,46.590,30.359,27.898,24.431,25.201,31.020,21.539,15.374,16.072,16.824,14.851,21.110,17.035,18.880,38.560,41.344,171.723,17.999,17.050,17.922,21.238,23.137,21.280,25.522,15.251,21.846,14.951,15.914,15.062,15.162,17.294
7,16.334,14.557,38.777,38.432,19.840,17.770,15.207,15.419,15.592,20.000,15.261,15.068,30.367,25.546,57.208,64.335,117.486,44.248,36.719,46.549,30.095,28.168,24.595,25.140,30.830,21.508,15.360,15.964,16.808,14.869,21.265,16.907,18.475,38.496,41.131,170.684,17.926,17.132,17.929,21.211,23.055,21.203,25.319,15.212,21.940,14.909,15.846,15.004,15.196,17.207
8,16.334,14.510,38.448,38.446,19.814,17.698,15.148,15.362,15.619,20.000,15.202,15.118,30.462,25.573,57.179,64.111,117.780,44.307,36.335,46.672,30.220,27.834,24.667,25.163,30.848,21.520,15.320,16.020,16.887,14.821,21.100,17.004,18.736,38.830,40.911,170.544,18.043,17.134,17.547,21.219,23.170,21.151,25.348,15.347,21.990,14.797,15.808,14.924,15.180,17.286
9,16.594,14.585,38.547,38.604,19.743,17.982,15.197,15.309,15.601,19.935,15.112,15.128,30.442,25.831,56.886,64.436,117.560,44.142,36.124,46.575,30.201,28.316,24.759,25.307,30.790,21.526,15.408,16.021,16.778,14.875,20.922,17.062,18.815,38.569,40.955,172.214,18.027,17.187,17.734,21.206,23.310,21.173,25.311,15.426,21.814,14.916,15.835,14.899,15.238,17.209
10,16.338,14.574,38.684,38.416,19.896,17.883,15.140,15.466,15.555,19.791,15.000,15.078,30.433,25.648,57.072,64.391,117.787,44.259,35.988,46.438,30.184,27.984,24.820,25.288,30.810,21.664,15.386,16.021,16.701,14.921,20.970,16.987,18.656,38.504,41.467,171.509,17.953,17.155,17.652,21.252,23.078,21.124,25.296,15.294,21.801,14.865,15.862,14.965,15.164,17.256
11,16.503,14.585,38.615,38.606,20.096,17.689,15.218,15.302,15.598,19.894,15.045,15.132,30.773,25.467,57.376,64.313,117.596,43.922,36.248,46.699,30.284,29.687,24.741,25.364,30.872,21.516,15.312,15.967,16.557,14.927,21.203,17.133,18.692,38.535,41.345,170.565,17.718,17.213,17.545,21.303,22.989,21.173,25.645,15.350,21.874,14.839,16.022,15.040,15.250,17.302
12,16.508,14.562,38.631,38.451,19.912,17.850,15.129,15.435,15.687,19.735,15.207,15.196,30.473,25.421,57.127,64.140,117.130,44.023,36.488,46.558,30.220,29.794,24.524,25.216,30.888,21.587,15.282,16.039,16.751,14.826,21.211,16.953,18.754,38.436,41.095,170.768,17.975,17.102,17.533,21.152,23.144,21.107,25.854,15.324,21.901,14.991,15.797,14.931,15.237,17.245
13,16.445,14.641,38.565,38.130,19.870,17.774,15.229,15.468,15.596,19.906,15.210,15.311,30.541,25.571,57.162,64.258,117.226,44.038,36.690,46.473,30.182,29.834,24.610,25.375,30.766,21.539,15.366,15.929,16.778,14.845,21.070,16.987,18.612,38.456,41.019,171.168,17.823,17.190,17.600,21.319,23.336,21.250,26.131,15.261,21.873,14.857,15.700,15.101,15.261,17.372
14,16.427,14.664,38.586,38.462,19.954,17.774,15.216,15.390,15.656,20.103,15.087,15.128,30.604,25.397,56.852,63.864,116.888,44.057,36.826,46.607,30.335,29.479,24.651,25.324,30.950,21.511,15.402,16.039,16.756,14.859,21.080,16.971,18.630,38.429,40.756,171.519,17.929,17.137,17.480,21.338,23.225,20.915,26.738,15.286,21.956,14.943,15.838,15.104,15.220,17.527
15,16.388,14.609,38.687,38.492,19.890,17.857,15.193,15.306,15.619,19.876,15.146,15.132,30.131,25.446,57.044,63.847,117.706,43.734,36.988,46.661,30.121,28.944,24.636,25.293,30.913,21.477,15.427,16.026,16.765,14.913,21.074,16.949,19.105,38.382,41.079,170.526,17.921,17.068,17.460,21.127,23.326,21.038,26.676,15.266,21.942,15.013,15.908,15.075,15.263,17.330
16,16.367,14.531,39.101,38.474,19.681,17.754,15.164,15.449,15.588,19.865,15.224,15.378,30.309,25.225,57.109,63.996,117.119,44.256,36.318,46.727,30.256,28.698,24.706,25.351,30.994,21.651,15.421,16.038,16.828,14.918,21.137,16.942,18.554,38.434,41.321,170.505,18.000,17.139,17.384,21.388,23.044,21.396,27.456,15.349,21.909,14.962,15.762,14.917,15.245,17.346
17,16.299,14.513,38.453,38.428,19.695,17.795,15.177,15.318,15.700,19.865,15.092,15.024,30.536,25.267,57.153,64.210,117.444,43.827,36.529,46.560,29.958,28.858,24.954,25.265,30.991,21.551,15.330,16.006,16.654,14.894,21.167,17.065,18.652,38.527,41.155,169.565,17.811,17.072,17.518,21.243,23.228,20.879,28.292,15.314,21.906,14.947,15.795,14.909,15.216,17.201
18,16.382,14.632,38.745,38.325,19.892,17.804,15.167,15.318,15.685,20.079,15.067,15.128,30.473,25.126,57.021,64.390,117.200,44.001,36.293,46.726,30.154,28.195,24.548,25.149,30.866,21.526,15.429,15.961,16.665,14.865,21.213,17.082,18.710,38.161,41.107,170.881,17.963,17.047,17.400,21.146,23.058,21.176,28.024,15.327,22.033,14.905,15.692,15.033,15.183,17.431
19,16.367,14.487,38.440,38.238,19.866,17.822,15.188,15.282,15.519,20.065,14.972,15.253,30.322,25.006,56.972,64.083,117.487,44.125,36.517,46.671,30.224,28.420,24.756,25.201,30.724,21.489,15.461,16.099,16.778,14.875,21.050,17.067,18.478,38.331,41.302,170.260,17.940,17.135,17.379,21.148,23.066,21.096,27.417,15.282,22.104,15.057,15.819,14.905,15.193,17.225
20,16.408,14.622,38.392,38.236,19.846,17.783,15.163,15.519,15.550,19.774,15.210,15.081,30.473,25.017,57.076,63.998,117.755,43.917,36.384,46.818,30.266,28.949,24.668,25.234,30.834,21.450,15.581,16.120,16.749,14.801,21.030,16.900,18.906,38.236,41.031,170.688,17.943,17.204,17.507,21.321,23.006,21.107,28.118,15.441,21.856,14.984,15.781,14.950,15.208,17.278
21,16.302,14.567,38.544,38.712,19.884,17.797,15.112,15.317,15.478,19.706,15.123,15.284,29.923,25.003,57.069,64.126,117.159,44.171,36.661,46.520,30.305,29.316,24.651,25.049,30.918,21.380,15.392,15.938,16.826,14.851,21.026,17.025,18.333,38.118,41.101,171.225,17.929,17.201,17.377,21.178,23.394,21.118,28.167,15.441,21.994,14.883,15.868,14.929,15.281,17.495
22,16.393,14.564,38.941,38.336,19.852,17.806,15.047,15.330,15.638,19.894,15.140,15.118,30.514,25.528,57.218,63.927,117.381,43.892,36.219,46.712,30.195,28.781,24.399,25.107,30.976,21.559,15.368,16.006,16.801,14.875,20.817,17.022,18.598,38.238,41.163,170.344,18.036,17.250,17.424,21.171,22.952,21.058,28.425,15.325,21.960,14.960,15.730,15.022,15.267,17.350
23,16.447,14.484,38.728,38.208,19.898,17.875,15.140,15.287,15.608,19.744,15.238,15.334,30.414,25.424,57.261,64.079,117.105,43.914,36.388,46.636,30.275,29.131,24.789,25.254,30.755,21.737,15.348,16.071,16.767,14.806,21.020,17.015,18.728,38.253,40.914,171.386,17.976,17.083,17.103,21.234,23.160,20.896,28.707,15.527,21.829,15.027,15.816,14.999,15.203,17.310
24,16.275,14.461,38.643,38.615,19.772,17.926,15.142,15.375,15.552,19.806,15.190,15.108,30.344,25.354,57.261,63.734,116.527,43.965,36.434,46.806,30.318,28.928,24.574,25.280,30.871,21.498,15.423,16.006,16.805,14.682,20.801,17.045,18.554,38.260,40.784,170.958,17.950,17.235,17.438,21.165,23.372,21.102,29.077,15.618,22.019,14.976,15.641,15.052,15.372,17.252
25,16.432,14.418,38.682,38.421,19.868,17.783,15.080,15.381,15.604,20.097,15.179,15.111,30.288,25.594,57.188,63.811,117.116,43.972,36.161,46.556,30.099,28.596,24.660,25.278,30.974,21.419,15.318,15.932,16.794,14.844,20.900,16.900,18.649,38.381,41.096,170.698,18.025,17.112,17.471,21.371,23.163,21.113,29.019,15.616,22.035,14.848,15.719,14.912,15.315,17.203
26,16.239,14.497,38.609,38.419,19.840,17.777,15.100,15.262,15.720,20.074,15.196,15.297,30.043,25.469,57.167,64.177,116.884,43.960,36.467,46.527,30.288,28.591,24.680,25.250,30.860,21.517,15.412,15.899,16.740,14.887,21.076,16.975,18.685,37.974,41.273,170.596,17.833,17.149,17.038,21.231,23.095,20.973,28.999,15.608,21.949,15.069,15.776,14.970,15.368,17.342
27,16.419,14.532,39.009,38.371,19.898,17.961,15.193,15.406,15.685,19.797,15.146,15.274,30.441,25.307,57.246,64.271,117.092,44.134,36.132,46.789,30.265,28.265,24.716,25.230,30.868,21.609,15.412,16.087,16.799,14.863,21.026,17.025,18.848,38.329,41.216,171.175,18.057,17.271,17.223,21.173,23.192,21.516,29.072,15.721,22.193,15.007,15.886,15.102,15.376,17.326
28,16.245,14.668,38.927,38.433,19.693,17.988,15.183,15.340,15.605,19.797,15.227,15.132,30.300,25.329,56.737,64.002,116.592,43.915,36.669,46.623,30.323,30.257,24.629,25.420,30.809,21.503,15.471,16.060,16.776,14.754,21.014,17.084,18.449,38.082,40.833,171.011,17.871,17.189,17.219,21.182,23.249,21.008,29.989,15.581,22.136,14.931,15.784,15.086,15.294,17.294
29,16.460,14.746,38.992,38.556,19.978,18.049,15.272,15.380,15.807,19.991,15.146,15.166,30.367,25.251,56.828,64.247,117.190,44.113,36.248,46.548,30.323,32.463,24.780,25.178,30.574,21.723,15.386,16.008,16.826,14.911,21.040,16.942,18.833,38.304,41.082,170.870,18.072,17.100,17.125,21.263,22.929,21.308,30.181,15.535,22.091,14.901,15.889,14.876,15.280,17.350
30,16.349,14.749,38.798,38.387,20.158,17.857,15.443,15.818,15.987,20.388,15.359,15.615,30.525,25.249,57.203,64.123,117.375,43.879,36.566,46.562,30.372,31.842,24.744,25.074,30.808,21.523,15.495,15.989,16.928,14.750,21.048,16.844,18.572,38.243,41.189,170.926,18.001,17.075,17.170,21.125,23.132,21.179,29.931,15.535,22.127,14.899,15.741,14.954,15.388,17.441
31,16.488,14.813,38.726,38.686,20.046,17.956,15.490,16.242,15.849,20.574,15.476,15.578,30.020,25.209,57.014,63.896,117.419,43.927,36.475,46.810,30.284,31.612,24.742,25.238,31.062,21.483,15.431,15.931,16.848,14.781,21.108,16.904,18.699,38.270,41.251,171.144,17.948,17.155,17.045,21.281,22.974,21.214,29.393,15.545,22.081,14.929,15.730,14.850,15.263,17.334
32,16.132,14.743,38.695,38.290,20.010,18.021,15.374,16.403,15.911,20.644,15.171,15.605,30.291,25.027,57.412,63.886,117.305,43.991,36.541,46.551,30.324,30.877,24.588,25.089,30.809,21.536,15.396,16.057,16.932,14.790,20.952,16.969,18.540,38.105,40.749,171.011,18.033,17.156,17.268,21.245,23.087,21.245,28.963,15.425,22.185,15.038,15.695,14.954,15.296,17.173
33,16.323,14.744,38.903,38.357,20.024,17.975,15.465,16.302,15.834,20.694,15.294,15.561,30.246,25.113,57.466,63.909,116.955,43.936,36.012,46.582,30.237,30.259,24.782,25.238,30.819,21.581,15.328,15.989,16.631,14.830,20.972,16.987,18.692,37.909,41.034,170.986,17.939,17.192,17.237,20.954,23.010,21.011,28.766,15.451,22.158,14.905,15.941,15.001,15.350,17.370
34,16.332,14.778,38.901,38.545,19.756,17.910,15.385,16.240,15.733,20.621,15.263,15.547,30.442,25.056,56.801,64.094,116.697,43.940,36.682,46.518,30.182,31.414,24.704,25.300,30.774,21.478,15.487,16.110,16.715,14.818,20.958,17.247,18.442,38.192,41.180,171.333,17.907,17.027,17.185,21.273,23.002,21.247,28.234,15.474,22.085,14.890,15.770,15.035,15.399,17.455
35,16.325,14.696,38.786,38.220,19.916,18.044,15.443,16.249,15.930,20.253,15.216,15.463,30.133,24.865,57.237,63.871,117.424,43.678,36.983,46.440,30.149,31.524,24.605,25.508,30.773,21.371,15.276,15.988,16.740,14.943,20.805,17.085,18.424,38.148,41.237,170.944,17.906,17.192,17.248,21.139,23.194,21.206,27.980,15.586,22.012,15.005,15.895,15.052,15.336,17.298
36,16.512,14.610,38.576,38.604,20.116,17.940,15.339,16.196,15.987,20.509,15.319,15.416,30.509,24.940,57.119,63.828,117.587,43.973,35.938,46.573,30.281,31.417,24.675,25.033,30.721,21.628,15.451,15.929,16.699,14.806,21.046,17.229,18.543,38.173,41.211,169.747,17.960,17.147,16.987,21.208,23.236,21.154,27.776,15.584,22.060,15.073,15.754,14.942,15.315,17.167
37,16.341,14.703,38.767,38.929,19.786,17.968,15.351,16.000,15.978,20.265,15.118,15.328,30.196,24.845,57.032,64.097,117.838,43.989,36.818,46.553,30.014,31.733,24.730,25.135,30.947,21.701,15.292,15.950,16.767,14.950,21.112,17.038,18.736,37.957,40.960,170.039,18.007,17.107,17.176,21.273,23.084,21.088,27.440,15.517,22.147,14.837,15.670,14.984,15.310,17.376
38,16.312,14.768,38.676,38.822,20.008,17.841,15.392,16.043,15.908,20.191,15.162,15.284,30.313,24.795,56.951,64.113,117.516,43.905,36.612,46.668,29.947,31.727,24.460,25.185,31.087,21.671,15.326,16.048,16.756,14.801,21.034,17.033,18.580,37.917,41.022,170.740,18.032,17.139,17.109,21.083,22.960,21.294,27.240,15.587,21.771,14.901,15.841,14.996,15.317,17.334
39,16.495,14.748,38.817,38.226,19.892,17.942,15.352,15.960,16.025,20.150,15.224,15.155,30.315,24.883,57.143,64.045,117.370,43.968,36.702,46.494,30.125,34.241,24.526,25.199,30.901,21.614,15.270,16.015,16.790,14.953,20.992,17.069,18.601,38.231,40.814,170.705,18.048,17.133,17.214,21.181,23.163,21.049,27.216,15.650,21.978,14.876,15.843,14.853,15.253,17.421
40,16.375,14.604,38.938,38.417,20.072,18.007,15.309,15.842,15.927,20.326,15.227,15.264,30.441,24.920,57.184,63.708,117.162,43.898,36.479,46.481,30.135,33.596,24.588,25.260,30.776,21.341,15.477,16.026,16.726,14.895,21.030,16.973,18.783,37.940,41.284,170.828,17.908,17.176,17.147,21.372,23.031,21.129,26.938,15.628,21.952,14.929,15.854,15.014,15.308,17.354
41,16.271,14.616,38.543,38.462,19.886,18.023,15.454,15.855,15.776,20.191,15.143,15.264,30.261,25.285,57.129,63.970,117.336,44.043,36.959,46.499,30.333,32.508,24.596,25.285,30.861,21.424,15.330,16.113,16.790,14.813,20.894,16.925,18.793,37.884,40.945,170.333,18.000,17.253,17.085,21.031,22.977,21.157,26.725,15.683,21.995,15.016,15.627,14.898,15.260,17.221
42,16.495,14.646,38.830,38.510,19.988,17.862,15.263,15.836,15.855,20.076,15.370,15.176,30.182,25.392,57.444,64.019,116.430,43.710,36.298,46.582,30.244,32.679,24.706,25.207,30.804,21.435,15.332,15.994,16.758,14.774,20.996,17.173,18.384,37.892,41.136,171.123,18.093,17.122,17.092,21.194,23.178,21.038,26.587,15.692,22.194,15.055,15.757,14.836,15.344,17.203
