 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
1,144.556,137.759,162.344,150.518,147.065,144.683,148.548,142.719,143.527,128.760,129.633,141.725,141.765,131.191,137.710,135.433,140.156,139.376,134.777,132.566,141.938,138.064,138.111
2,148.097,140.170,169.908,156.303,150.938,147.971,152.109,145.322,147.482,131.472,131.754,143.433,146.547,132.300,142.202,137.976,143.624,144.228,137.500,135.600,143.204,141.179,141.496
3,148.691,140.258,169.819,156.693,149.863,149.096,153.082,145.464,148.397,131.913,132.286,143.952,145.251,132.673,141.251,138.209,144.210,142.341,138.129,135.307,145.195,140.796,141.409
4,149.260,140.449,170.308,156.685,150.612,148.100,152.711,145.158,147.847,130.479,130.876,143.824,145.668,133.322,141.544,138.188,143.686,143.040,138.972,134.765,143.469,142.535,140.313
5,153.006,141.962,179.254,158.885,155.428,151.292,161.992,151.440,150.197,130.778,133.448,144.216,147.498,132.995,143.390,145.720,145.226,144.462,140.522,135.991,144.071,141.373,141.116
6,157.032,144.745,189.388,162.726,158.552,152.910,161.083,152.571,151.964,132.628,135.162,146.370,151.195,133.774,142.801,145.603,146.924,148.728,141.565,136.560,145.637,143.658,141.642
7,159.625,147.842,194.410,165.757,160.619,153.387,162.178,154.169,151.173,131.758,136.361,147.410,148.655,134.440,142.344,146.371,146.591,145.995,141.508,136.539,148.376,143.078,141.173
8,173.957,151.613,209.200,173.982,166.448,159.603,170.158,158.525,157.092,132.929,137.954,150.061,157.192,135.796,144.199,151.409,149.645,148.599,144.355,138.464,149.040,144.303,143.257
9,177.796,154.079,215.577,175.545,167.572,161.611,167.196,157.604,158.267,132.973,138.081,151.457,154.710,136.847,144.314,146.235,150.177,150.522,145.160,139.216,152.438,144.045,144.831
10,179.320,154.651,214.722,178.634,167.351,160.337,164.693,155.820,158.153,132.543,139.249,152.067,155.583,138.433,144.054,145.912,149.877,148.174,145.797,138.145,151.885,145.258,145.050
11,174.160,154.324,214.320,179.237,166.119,158.100,162.396,155.896,156.522,132.672,138.965,151.543,153.147,139.164,141.671,143.300,149.555,145.967,143.321,137.905,152.527,144.633,145.442
12,169.091,152.554,208.581,175.665,160.338,154.223,159.062,154.128,154.195,133.016,140.344,150.632,151.443,137.874,141.559,142.580,148.802,145.248,143.769,137.060,151.403,144.793,146.199
13,163.071,152.079,204.070,172.274,159.657,152.235,157.468,150.421,151.800,132.719,138.049,151.726,149.831,137.121,142.598,140.713,147.142,144.791,141.958,136.723,149.177,142.501,144.877
14,159.621,150.134,196.237,166.938,155.674,149.877,155.770,148.566,150.069,132.506,137.217,150.869,148.713,135.685,142.290,141.142,146.099,143.566,141.303,136.212,146.739,141.527,143.226
15,157.957,149.033,189.337,163.667,153.326,149.315,154.181,147.719,148.608,132.528,135.474,150.187,146.831,136.513,142.852,140.586,144.379,142.826,141.013,135.012,147.314,142.580,143.062
16,155.279,148.060,185.336,161.272,153.341,148.982,155.349,146.109,149.321,133.242,135.535,149.477,146.684,135.015,142.366,139.914,143.234,143.257,140.400,135.596,146.522,141.417,143.161
17,154.429,147.351,181.772,160.426,152.711,147.953,153.349,146.366,147.968,132.883,135.026,148.275,146.951,133.207,141.088,139.716,143.156,142.483,139.422,134.653,145.770,142.104,143.043
18,151.920,144.771,180.657,160.177,151.729,147.961,154.065,145.093,147.002,131.902,134.647,147.412,147.397,134.821,141.066,139.022,143.028,143.213,140.129,135.305,144.535,139.790,140.758
19,151.117,144.651,178.117,157.833,151.159,147.270,152.752,146.279,146.931,131.257,134.026,148.320,145.524,133.182,141.743,138.397,142.525,142.601,138.803,134.863,143.876,140.860,141.724
20,150.136,144.384,177.000,158.609,150.649,148.100,151.718,145.926,147.332,131.111,133.462,146.895,146.313,133.705,141.677,138.873,142.961,142.325,139.228,135.120,145.146,140.314,141.339
21,150.922,143.694,176.871,157.704,151.475,148.160,152.303,145.038,145.278,130.634,134.061,147.303,146.078,132.769,141.166,138.437,142.171,143.025,138.913,134.584,144.142,140.538,141.200
22,150.281,143.048,175.391,157.187,149.627,148.769,152.471,144.948,146.675,130.891,133.159,146.710,145.534,132.961,141.015,137.748,141.984,142.174,138.554,135.022,143.929,141.420,140.409
23,149.823,143.360,174.809,157.455,149.149,147.205,152.419,143.571,146.625,131.146,132.653,146.440,146.033,132.685,140.429,137.403,141.692,141.775,138.970,134.603,144.850,139.482,141.092
24,150.381,142.148,172.089,155.735,149.550,146.820,151.566,145.003,146.401,131.204,132.486,146.229,145.098,133.347,140.695,137.353,141.521,142.306,138.478,134.549,143.584,139.597,140.644
