 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
1,140.805,137.353,158.332,145.940,138.517,138.061,140.749,137.096,136.357,127.803,129.532,141.741,138.707,128.730,134.030,134.942,135.141,134.538,133.518,130.510,133.885,133.667,132.914
2,140.126,135.714,156.127,145.037,138.545,137.914,141.830,136.855,136.144,127.949,128.841,140.921,137.580,127.312,134.338,135.196,135.689,135.564,132.602,130.510,135.093,132.835,133.010
3,139.669,134.926,158.214,143.813,138.234,137.198,142.313,136.642,135.996,128.062,128.734,139.673,138.013,127.619,134.190,134.302,134.973,134.467,132.454,130.631,134.314,132.585,133.344
4,138.998,134.661,155.883,145.021,139.453,137.738,141.011,136.869,136.128,127.614,129.159,141.070,137.026,127.899,133.559,134.470,134.969,134.457,132.617,129.753,135.111,133.395,133.613
5,139.948,133.740,156.816,144.268,138.602,138.605,141.276,136.085,136.061,127.882,128.838,139.909,137.932,128.277,134.045,134.403,134.407,133.830,131.625,130.647,134.726,132.521,132.772
6,140.422,135.272,156.503,145.220,138.746,137.282,141.117,136.066,137.067,127.078,128.315,139.257,137.238,129.003,132.882,134.685,134.787,135.104,132.323,130.415,133.628,133.171,133.335
7,139.223,134.103,156.459,143.796,138.458,138.511,140.330,137.590,135.764,128.366,128.682,139.469,137.072,128.351,133.795,134.071,134.618,134.306,131.843,129.760,134.434,133.381,133.083
8,139.758,133.735,156.283,143.949,138.167,137.442,142.354,136.992,137.047,127.031,128.723,139.714,136.235,128.191,133.997,134.528,133.969,134.740,132.408,129.966,134.863,132.294,133.292
9,138.651,133.351,155.685,145.047,138.891,138.321,140.432,137.418,136.495,127.215,128.301,139.529,136.990,129.356,134.236,133.069,133.904,134.241,132.170,129.699,133.566,132.370,133.826
10,139.836,133.623,155.642,144.358,139.468,137.965,141.856,136.705,136.278,126.000,128.668,138.850,137.293,128.342,134.263,133.948,133.841,134.341,132.190,130.564,135.164,131.992,133.478
