 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56
1,37.834,23.638,24.808,37.376,153.600,19.560,19.452,22.613,29.336,23.453,27.141,39.658,27.183,26.667,31.649,33.963,27.317,44.968,35.320,24.298,22.832,23.178,18.805,22.754,36.041,23.141,28.351,26.187,32.984,39.767,25.645,34.107,25.924,28.125,26.952,29.984,46.708,31.734,22.611,26.926,23.554,24.856,22.737,23.920,30.537,28.955,26.153,24.659,22.629,23.424,24.217,24.408,25.157,20.278,19.165,30.568
2,39.562,24.424,25.616,37.913,162.196,19.994,19.356,23.079,29.465,24.003,28.176,39.430,27.459,27.157,32.402,34.761,28.289,46.146,35.956,24.857,23.250,23.827,18.871,23.424,38.599,23.950,29.229,27.032,34.272,42.332,26.467,36.439,26.871,29.005,28.456,30.950,46.103,31.736,22.954,27.808,23.887,25.203,23.251,24.167,31.210,30.124,27.977,25.470,22.873,23.597,24.855,24.451,25.849,20.777,19.440,31.308
3,42.061,25.065,27.092,38.692,159.757,20.078,19.378,23.036,29.580,23.806,27.882,38.709,27.586,27.151,31.975,34.899,28.146,46.177,35.764,24.841,23.100,23.807,19.176,23.678,39.488,23.881,29.213,27.159,34.395,42.007,26.470,38.534,27.638,29.537,31.215,32.755,45.467,31.318,23.141,27.895,23.933,26.238,23.964,24.279,31.457,30.172,29.822,25.562,22.939,23.932,24.759,24.612,25.840,21.297,19.418,31.721
4,45.174,25.280,27.178,38.732,157.353,19.789,19.415,23.043,29.580,23.866,27.776,38.377,27.382,27.121,32.088,34.865,28.189,45.277,35.939,25.003,23.039,23.965,19.007,24.297,39.779,23.848,29.165,27.110,34.304,41.620,26.476,39.762,27.168,29.342,31.794,32.839,46.303,31.456,22.974,27.868,23.711,25.972,23.693,24.522,31.283,30.048,28.957,25.854,23.289,23.854,24.779,24.386,25.793,21.307,19.374,31.585
5,46.027,25.352,27.073,39.179,159.480,19.964,19.330,23.079,29.482,24.031,28.318,38.677,27.357,27.262,32.031,34.776,28.719,44.584,35.717,24.854,23.150,23.772,18.985,24.297,39.918,24.061,29.043,27.088,34.064,42.126,26.408,40.126,26.979,29.187,30.895,32.264,46.410,31.047,23.130,27.921,23.521,25.681,23.586,24.191,31.619,29.973,28.077,25.536,22.878,23.878,24.808,24.291,25.904,21.332,19.405,31.455
6,46.361,25.367,27.025,39.028,166.299,19.741,19.420,23.087,29.544,23.769,28.165,40.114,27.387,26.979,32.133,34.880,28.651,44.315,35.935,24.966,23.237,24.035,18.960,24.695,40.210,23.845,29.043,27.018,33.965,43.339,26.365,38.652,26.859,28.831,29.592,31.639,45.446,30.953,23.280,28.120,23.457,25.311,23.518,23.984,31.298,30.014,27.528,25.181,22.914,23.905,24.782,24.249,25.980,21.346,19.464,31.517
7,45.210,25.442,26.731,38.813,162.800,19.843,19.362,23.032,29.509,23.869,28.176,40.835,27.572,27.004,32.139,34.596,28.341,46.679,35.965,24.866,23.255,23.886,19.037,24.042,39.450,23.890,29.340,27.205,34.059,43.851,26.649,37.225,26.865,29.051,28.658,30.949,45.892,31.088,22.899,27.816,23.415,25.408,23.116,24.147,31.181,29.914,27.246,25.092,23.005,23.915,24.702,24.371,25.825,21.099,19.487,31.556
8,43.300,25.474,26.778,38.612,160.012,19.831,19.713,22.960,29.606,23.922,27.882,40.000,27.522,26.980,31.785,34.437,28.342,47.312,35.961,24.911,23.255,23.599,18.842,23.746,39.051,23.942,29.016,26.859,34.275,43.693,26.961,36.495,26.541,28.812,28.311,30.695,46.082,30.751,22.836,27.898,23.590,25.200,23.175,24.235,31.457,29.677,27.107,25.327,23.178,23.956,24.795,24.414,26.045,21.027,19.637,31.233
9,42.582,25.245,26.302,38.698,161.099,20.036,19.394,22.919,29.881,23.684,28.224,40.190,27.532,26.815,32.102,34.372,28.517,47.931,36.023,25.197,23.282,23.946,18.974,23.686,39.321,23.749,28.516,27.290,34.231,43.741,27.230,36.687,26.771,29.272,27.956,30.471,45.908,31.002,23.112,28.104,23.822,25.390,23.175,24.064,31.511,29.914,27.442,25.132,22.995,23.851,24.858,24.514,25.902,21.223,19.472,31.205
10,42.308,24.957,26.235,37.318,168.674,19.994,19.500,23.264,29.491,23.847,28.282,43.576,27.564,27.103,32.150,34.778,28.880,48.235,35.899,25.147,23.234,23.866,19.029,23.746,39.455,23.738,29.176,27.180,34.696,43.913,29.096,37.892,26.621,30.866,27.939,30.470,46.728,31.416,23.352,28.033,24.786,25.278,23.311,24.183,31.324,30.258,26.861,25.625,22.863,24.047,24.641,24.605,25.940,21.126,19.523,31.467
11,41.793,24.729,26.029,36.535,165.107,20.151,19.527,23.194,29.412,23.991,28.894,43.582,27.595,27.055,32.176,34.867,28.459,47.948,35.808,25.106,23.032,23.891,18.739,23.754,40.214,23.884,29.000,27.117,34.527,43.719,28.970,37.216,26.821,30.633,27.640,30.392,45.487,31.456,23.061,28.025,24.816,25.522,23.179,24.167,31.495,30.168,26.964,25.209,23.147,23.610,24.588,24.501,25.902,21.054,19.494,31.824
12,40.778,24.551,25.841,35.000,162.151,20.452,19.505,23.338,29.447,23.972,28.282,43.111,27.512,27.262,32.045,34.443,28.357,47.663,35.780,24.902,23.168,23.837,19.132,23.754,40.521,23.721,29.505,27.060,34.314,43.412,28.467,36.439,26.515,30.319,27.667,30.151,45.749,31.040,23.135,28.028,24.815,25.192,23.143,24.247,31.514,30.003,26.875,25.344,23.041,23.688,24.658,24.469,25.720,21.167,19.492,31.523
