 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56
1,28.920,24.864,25.186,34.408,209.911,18.867,18.590,21.372,28.916,23.381,25.188,31.930,26.832,26.057,27.490,28.249,26.885,28.984,42.001,24.571,25.458,25.193,21.221,22.517,28.099,25.522,29.314,28.459,33.674,37.231,24.671,32.834,25.306,26.567,26.224,28.177,40.221,31.829,21.386,26.322,21.309,24.256,22.590,24.251,30.137,29.732,26.121,25.083,22.655,23.831,24.450,23.607,24.541,21.604,21.589,25.335
2,28.993,24.830,24.959,34.247,209.557,19.090,18.654,21.496,29.168,22.831,24.847,31.611,26.893,25.975,27.382,28.447,26.921,28.481,44.256,24.840,25.966,25.193,21.460,21.788,27.811,25.588,29.239,29.226,33.510,37.922,24.710,32.903,25.476,26.283,26.425,28.280,39.826,32.071,21.576,26.197,21.115,24.053,22.243,24.295,29.956,29.794,26.173,25.057,22.614,23.793,24.863,23.343,24.721,21.328,21.530,25.151
3,29.041,24.751,24.824,34.223,218.796,18.934,18.617,21.272,29.181,22.694,25.471,31.633,26.841,26.009,27.258,28.456,26.933,28.315,42.297,24.754,24.458,24.139,20.827,22.025,27.881,24.917,29.176,27.749,33.621,38.606,24.644,32.916,25.197,26.449,26.329,28.089,39.749,32.069,21.326,26.324,20.831,23.671,22.701,24.287,30.156,29.880,25.923,24.951,22.919,23.803,24.445,23.334,24.622,21.468,21.455,25.244
4,29.069,24.606,24.990,34.181,213.790,19.042,18.457,21.528,28.597,22.500,25.082,31.434,26.649,26.011,27.462,28.490,26.857,27.860,41.140,24.679,23.816,24.040,20.239,21.932,28.213,24.914,29.824,26.947,33.317,37.794,24.810,32.630,25.153,26.316,26.105,28.109,39.826,31.781,21.222,26.255,20.949,23.914,22.797,24.498,30.048,29.677,25.929,25.129,22.873,23.847,24.544,23.039,24.570,21.511,21.427,25.362
5,28.918,24.640,24.516,34.237,210.056,19.090,18.723,21.519,28.473,22.300,24.671,31.674,26.678,25.865,27.119,28.578,26.907,27.743,43.279,24.743,24.184,26.262,20.121,21.924,28.512,25.561,29.181,27.569,33.371,38.773,24.704,32.754,25.385,26.300,26.689,28.159,38.697,31.558,21.124,26.230,20.973,23.987,22.482,24.406,30.267,29.770,26.248,25.209,22.975,23.603,24.453,23.616,24.597,21.423,21.305,25.407
6,28.454,24.555,24.492,33.918,207.295,18.807,18.697,21.404,28.934,22.659,24.953,31.630,26.623,25.804,27.493,28.391,27.295,27.694,42.316,24.760,23.539,25.550,19.790,22.144,28.210,24.923,29.032,27.095,33.610,39.048,24.677,32.707,25.132,26.395,26.180,28.058,38.969,31.584,21.254,26.362,21.269,24.623,22.530,24.088,30.098,29.701,26.121,25.255,22.711,23.756,24.448,23.633,24.746,21.414,21.545,25.409
7,28.345,24.555,24.641,34.105,206.307,18.855,18.713,21.364,28.637,22.497,25.741,31.329,26.728,25.943,27.187,28.424,27.102,27.699,40.850,24.468,23.550,24.584,19.562,21.686,27.652,24.751,29.112,26.544,33.384,38.078,24.728,32.931,25.274,26.388,26.311,28.239,39.682,31.575,21.219,26.056,21.345,24.314,22.247,24.538,30.213,29.863,26.219,24.842,23.056,23.614,24.298,23.523,24.552,21.363,21.541,25.248
8,28.057,24.541,24.171,33.543,212.971,18.916,18.750,21.381,28.606,22.428,24.635,31.047,26.870,26.004,27.377,28.396,26.918,27.463,39.532,24.242,23.050,24.040,19.496,21.653,27.386,24.779,29.287,25.802,33.409,38.062,24.522,32.910,25.259,26.248,26.382,28.217,38.821,31.627,21.383,26.247,21.063,23.878,22.167,24.458,29.886,29.608,25.932,24.974,22.701,23.664,24.316,23.247,24.636,21.334,21.602,24.938
9,28.111,24.435,24.357,32.984,215.915,19.024,18.793,21.315,29.009,22.406,24.812,31.196,26.655,25.874,27.181,28.389,26.800,27.474,41.868,24.749,24.187,25.267,19.618,21.966,27.739,25.550,29.101,26.993,33.392,38.371,24.829,33.197,25.232,26.304,26.329,27.967,38.559,31.522,21.487,26.166,20.845,23.782,22.410,24.582,30.276,29.838,25.836,25.072,22.843,23.495,24.585,23.423,24.684,21.375,21.472,25.194
10,27.972,24.360,23.988,32.972,210.520,18.886,18.628,21.328,28.982,22.272,25.176,31.269,26.917,25.982,27.380,28.467,26.790,27.337,42.047,24.444,23.732,25.332,19.544,21.788,27.611,25.312,28.957,26.968,33.217,38.256,24.619,32.887,25.253,26.372,26.368,28.026,37.359,31.491,21.403,26.225,20.958,23.901,22.135,24.386,30.076,29.801,25.891,25.040,22.690,23.688,24.615,23.403,24.757,21.307,21.452,25.161
