 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36
1,104.113,40.392,42.677,58.577,26.186,24.868,82.335,21.836,36.184,33.731,31.744,31.858,20.019,27.351,21.484,26.593,111.286,53.923,26.362,19.920,23.450,22.043,22.495,21.761,23.810,21.680,19.920,17.732,17.099,20.728,29.517,20.893,16.869,15.166,16.788,106.842
2,98.166,40.074,42.224,57.586,25.875,24.756,79.615,21.861,36.171,34.576,31.975,30.911,19.545,26.659,21.175,25.873,108.047,52.019,24.960,20.080,23.441,21.842,22.532,21.978,23.625,21.537,19.763,17.364,16.907,20.251,27.388,20.660,16.436,15.177,16.959,98.786
3,91.413,38.866,41.591,55.821,25.620,24.453,76.115,21.695,35.502,34.002,31.067,29.604,19.315,25.293,20.514,25.262,103.777,49.019,23.948,19.901,23.627,21.619,22.367,22.071,23.671,21.362,19.843,17.214,16.827,19.554,25.552,20.599,16.306,15.168,16.898,91.218
4,93.893,40.695,41.723,56.241,25.457,23.914,75.320,21.591,35.557,34.219,31.180,30.724,19.049,25.934,20.438,25.569,103.438,45.610,23.442,19.748,23.419,21.607,22.112,22.222,23.721,21.416,19.667,17.046,16.588,19.982,27.134,20.758,16.112,15.169,16.804,85.725
5,97.580,41.186,42.780,56.027,25.288,24.006,76.416,21.542,36.171,35.208,31.754,31.650,19.145,26.286,20.374,26.409,104.745,44.988,23.146,19.889,23.479,21.523,22.316,21.909,23.579,21.463,19.597,17.532,16.503,20.746,27.336,20.702,16.007,15.096,16.872,81.768
6,92.556,41.010,42.723,55.538,25.125,23.977,74.158,21.900,35.206,34.193,31.027,29.772,18.837,25.328,20.053,25.692,102.324,43.589,22.957,19.977,23.272,21.096,22.201,21.988,23.650,21.408,19.652,17.260,16.508,19.749,25.306,20.504,15.840,15.064,16.885,75.842
7,92.720,39.167,41.097,53.204,25.072,23.447,70.030,21.487,34.971,33.457,30.032,28.157,18.457,24.252,19.455,24.730,100.047,39.944,22.628,19.870,22.856,20.824,21.709,21.929,23.497,21.450,19.512,17.104,16.292,19.355,24.384,20.291,15.713,15.121,16.873,75.556
8,91.649,38.161,40.143,52.668,24.757,23.239,67.738,21.814,34.343,32.895,29.000,26.974,18.378,23.442,19.132,23.670,97.991,37.970,22.433,19.702,22.438,20.445,21.398,21.998,23.519,21.483,19.491,17.120,16.428,18.785,23.862,20.307,15.650,15.035,16.847,72.282
9,86.891,37.192,39.065,51.814,24.719,22.922,65.102,21.403,34.055,31.755,28.105,26.089,18.126,22.680,18.874,22.919,95.444,36.241,22.455,19.635,21.990,20.199,21.236,22.044,23.552,21.468,19.539,17.030,16.389,18.244,22.823,20.171,15.676,14.989,16.894,70.209
10,89.041,36.711,38.788,50.854,24.615,23.309,62.846,21.511,33.944,31.305,27.572,25.167,18.177,22.065,18.767,22.563,95.335,34.636,22.344,19.801,21.591,20.128,21.365,22.086,23.574,21.455,19.499,16.920,16.337,18.285,22.698,20.272,15.650,15.093,16.803,68.101
