 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36
1,42.689,31.864,36.589,73.856,25.350,24.923,35.509,22.396,29.493,21.723,21.069,20.687,17.571,19.346,18.290,20.475,52.957,35.633,22.813,20.914,22.362,26.452,23.367,24.345,23.730,22.163,20.046,17.998,16.447,18.008,21.608,19.362,15.670,15.202,17.194,54.020
2,43.836,32.769,37.069,72.082,25.883,24.887,37.169,23.071,29.873,22.296,21.467,21.191,18.005,19.708,18.535,21.174,54.120,36.084,23.505,21.816,22.637,26.644,23.933,24.749,24.023,22.633,20.201,18.582,16.646,18.358,22.138,19.763,15.967,15.377,17.287,55.405
3,43.133,32.753,37.261,71.706,25.626,24.868,36.872,22.903,29.085,21.970,21.287,21.142,18.035,19.605,18.672,21.235,53.400,34.954,23.397,21.556,22.369,26.217,23.696,24.901,24.028,22.437,20.229,18.240,16.627,18.293,21.957,19.749,15.971,15.386,17.197,54.752
4,42.854,32.806,36.801,70.321,25.750,24.704,36.630,22.960,28.372,22.041,21.422,21.209,18.014,19.620,18.584,21.064,52.730,33.527,23.408,21.658,22.240,25.973,23.373,24.823,24.055,22.336,20.145,18.248,16.655,18.158,21.927,19.724,16.041,15.369,17.233,54.036
5,42.321,32.984,36.859,70.849,25.896,24.590,36.677,22.754,27.805,21.903,21.497,21.217,17.848,19.590,18.511,21.108,52.353,32.394,23.327,21.535,21.922,25.596,23.144,24.783,24.178,22.589,19.958,18.098,16.707,18.184,21.905,19.648,16.068,15.340,17.164,53.439
6,41.822,32.961,36.975,72.918,25.726,24.526,36.433,23.077,26.948,21.634,21.395,21.083,18.005,19.651,18.513,21.231,51.889,31.480,23.306,21.143,21.719,25.224,22.546,24.852,24.288,22.339,20.010,17.800,16.572,18.189,21.966,19.660,15.930,15.347,17.212,52.856
7,41.554,32.586,36.926,72.144,25.689,24.461,36.532,22.799,26.364,21.368,21.297,21.173,17.932,19.631,18.589,21.141,51.649,30.561,23.263,21.222,21.530,24.852,22.433,24.865,24.288,22.295,20.046,17.740,16.639,18.311,22.013,19.606,15.921,15.363,17.114,52.959
8,41.175,32.953,37.079,74.130,25.800,24.364,36.600,22.832,25.887,21.552,21.285,21.177,17.979,19.592,18.623,21.026,51.033,30.965,23.263,21.312,21.380,24.584,22.339,24.700,24.275,22.545,19.992,17.734,16.590,18.329,22.147,19.737,15.980,15.373,17.147,52.881
9,40.741,32.736,36.732,72.420,25.644,24.460,36.279,22.907,25.436,21.337,21.270,21.222,17.977,19.614,18.562,20.980,50.842,31.937,23.302,21.266,21.197,24.402,22.225,24.786,24.087,22.339,20.134,17.908,16.731,18.124,21.909,19.717,16.085,15.334,17.285,52.135
10,40.724,32.485,36.940,70.011,25.767,24.352,36.500,22.726,24.771,21.322,21.492,21.114,18.026,19.623,18.722,21.057,50.377,31.376,23.225,21.241,20.980,24.347,22.205,24.591,24.064,22.220,20.061,17.926,16.612,18.267,21.957,19.656,15.860,15.319,17.128,52.160
11,40.401,32.654,36.608,67.984,26.442,24.460,36.281,22.834,24.309,21.406,21.211,21.173,18.047,19.552,18.458,21.097,50.190,31.626,23.502,21.243,21.193,24.607,22.314,24.611,24.080,22.315,19.866,17.984,16.554,18.028,21.866,19.725,15.871,15.264,17.328,52.144
12,40.255,32.825,36.637,67.498,27.321,24.757,36.398,22.892,24.101,21.239,21.562,21.445,18.166,19.529,18.677,20.998,49.632,34.984,23.694,21.606,21.328,24.443,22.822,24.567,24.016,22.398,20.094,18.396,16.548,18.187,21.875,19.612,15.895,15.351,17.298,53.709
13,40.139,32.590,37.063,71.370,27.968,24.676,36.353,22.940,23.654,21.365,21.388,21.234,18.005,19.582,18.638,21.059,49.614,34.218,23.705,21.419,21.332,24.000,22.830,24.865,23.897,22.457,20.145,18.526,16.619,18.197,21.858,19.622,15.847,15.287,17.238,55.642
14,39.894,32.660,36.834,69.624,27.666,24.547,36.271,22.878,23.190,21.322,21.140,21.156,18.026,19.477,18.596,21.112,49.417,33.007,23.665,21.270,21.048,23.758,22.682,24.525,24.018,22.470,19.887,18.088,16.617,18.073,21.935,19.709,16.004,15.270,17.210,54.806
