 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20
1,12.720,11.636,14.757,10.650,12.517,11.382,10.621,10.794,11.600,10.327,10.091,9.956,13.829,11.205,10.407,11.265,10.184,8.994,8.309,8.557
2,12.735,11.692,14.734,10.708,12.548,11.371,10.575,10.711,11.633,10.240,10.227,9.861,13.811,11.147,10.361,11.675,10.216,9.022,8.260,8.578
3,12.712,11.646,14.732,10.726,12.519,11.373,10.601,10.805,11.713,10.317,10.265,9.844,13.791,11.115,10.387,11.543,10.277,9.009,8.298,8.537
4,12.740,11.655,14.704,10.669,12.548,11.373,10.601,10.738,11.522,10.413,10.215,9.867,13.852,11.111,10.490,11.533,10.234,9.033,8.318,8.643
5,12.741,11.798,14.681,10.763,12.591,11.366,10.570,10.810,11.538,10.452,10.262,9.889,13.786,11.196,10.450,11.435,10.283,9.090,8.305,8.632
6,12.749,11.668,14.780,10.578,12.538,11.366,10.562,10.727,11.583,10.337,10.192,9.906,13.883,11.180,10.477,11.336,10.224,9.025,8.335,8.570
7,12.685,11.703,14.755,10.666,12.573,11.398,10.637,10.720,11.514,10.399,10.271,9.928,13.855,11.164,10.401,11.600,10.212,9.045,8.316,8.589
8,12.675,11.707,14.798,10.676,12.507,11.252,10.593,10.715,11.606,10.293,10.208,9.861,13.826,11.198,10.397,11.662,10.263,9.013,8.319,8.587
9,12.656,11.616,14.653,10.686,12.476,11.325,10.497,10.700,11.692,10.361,10.331,9.933,13.896,11.181,10.384,11.455,10.180,8.975,8.361,8.595
10,12.770,11.703,14.675,10.571,12.517,11.393,10.598,10.755,11.666,10.399,10.183,9.967,13.864,11.149,10.434,11.400,10.244,8.999,8.314,8.551
11,12.722,11.666,14.689,10.707,12.579,11.269,10.466,10.743,11.657,10.269,10.170,9.928,13.823,11.124,10.427,11.254,10.196,9.093,8.311,8.605
