 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20
38,13.064,11.727,14.476,10.619,12.229,11.769,10.992,11.011,11.638,10.635,10.574,10.322,13.912,10.719,11.053,10.808,10.319,9.114,8.281,8.626
39,12.955,11.766,14.375,10.635,12.284,11.888,11.013,10.991,11.564,10.466,10.530,10.311,13.951,10.676,11.109,10.791,10.277,9.145,8.292,8.629
40,12.993,11.685,14.319,10.679,12.256,11.719,10.974,10.940,11.606,10.562,10.461,10.244,13.970,10.761,11.053,10.771,10.315,9.058,8.320,8.633
41,12.955,11.666,14.291,10.597,12.374,11.777,11.088,10.862,11.559,10.601,10.552,10.128,13.901,10.795,11.003,10.829,10.291,9.133,8.306,8.630
42,12.887,11.560,14.368,10.544,12.350,11.770,11.036,10.936,11.566,10.572,10.700,10.256,13.895,10.695,11.023,10.810,10.313,9.084,8.350,8.617
43,12.858,11.629,14.341,10.612,12.321,11.657,10.972,10.945,11.554,10.678,10.391,10.239,13.859,10.704,11.079,10.777,10.283,9.037,8.329,8.566
44,12.895,11.666,14.265,10.631,12.360,11.825,10.915,11.002,11.593,10.462,10.476,10.156,13.823,10.673,10.987,10.755,10.358,9.058,8.385,8.632
45,12.876,11.696,14.280,10.564,12.307,11.770,10.912,10.904,11.498,10.630,10.502,10.328,13.820,10.755,10.944,10.731,10.307,9.072,8.384,8.668
46,12.880,11.716,14.308,10.551,12.317,11.737,10.912,10.897,11.561,10.582,10.571,10.156,13.802,10.694,10.907,10.806,10.309,9.076,8.350,8.662
47,12.797,11.701,14.160,10.604,12.270,11.717,11.008,10.979,11.652,10.524,10.517,10.211,13.790,10.703,10.907,10.801,10.285,9.060,8.362,8.618
48,12.871,11.738,14.214,10.650,12.380,11.752,10.889,10.977,11.550,10.466,10.770,10.128,13.817,10.681,10.891,10.767,10.182,9.057,8.341,8.633
49,12.747,11.633,14.213,10.686,12.337,11.708,10.936,10.995,11.554,10.635,10.603,10.206,14.109,10.739,10.960,10.723,10.269,9.161,8.348,8.663
50,12.910,11.677,14.174,10.590,12.315,11.753,11.018,10.941,11.559,10.615,10.603,10.156,13.899,10.686,10.964,10.803,10.158,9.138,8.350,8.643
51,12.806,11.694,14.234,10.542,12.294,11.701,10.876,10.883,11.588,10.591,10.521,10.167,13.811,10.714,10.974,10.770,10.265,9.054,8.296,8.663
52,12.803,11.716,14.189,10.504,12.227,11.700,11.000,10.989,11.522,10.572,10.691,10.167,13.728,10.751,10.980,10.853,10.160,9.103,8.283,8.589
53,12.793,11.614,14.088,10.571,12.204,11.686,10.987,10.961,11.516,10.375,10.621,10.072,13.702,10.750,11.103,10.813,10.230,9.088,8.357,8.586
54,12.699,11.683,14.118,10.563,12.380,11.679,10.941,10.956,11.645,10.577,10.584,10.006,13.678,10.796,10.887,10.883,10.242,9.138,8.289,8.616
55,12.730,11.640,14.066,10.585,12.333,11.668,10.936,10.913,11.625,10.567,10.476,10.156,13.647,10.664,11.089,10.813,10.259,9.099,8.323,8.609
56,12.784,11.579,14.176,10.542,12.317,11.667,10.943,10.897,11.531,10.538,10.489,10.233,13.608,10.757,10.980,10.780,10.277,9.090,8.341,8.634
57,12.711,11.646,14.091,10.581,12.290,11.635,10.923,10.780,11.517,10.620,10.492,10.061,13.655,10.735,10.944,10.723,10.192,9.093,8.316,8.626
58,12.770,11.694,14.128,10.518,12.329,11.689,10.894,10.897,11.564,10.562,10.505,10.161,13.620,10.763,10.815,10.823,10.261,9.073,8.357,8.582
59,12.782,11.599,14.035,10.605,12.325,11.706,10.905,10.851,11.471,10.490,10.536,10.094,13.666,10.741,10.894,10.869,10.295,9.117,8.340,8.672
60,12.792,11.646,14.143,10.566,12.292,11.704,10.879,10.938,11.635,10.606,10.577,10.122,13.607,10.694,10.858,10.808,10.212,9.141,8.322,8.583
61,12.754,11.614,14.026,10.549,12.276,11.706,10.881,10.931,11.602,10.562,10.467,10.172,13.627,10.765,10.977,10.806,10.244,9.111,8.341,8.583
62,12.640,11.568,14.024,10.604,12.237,11.748,10.874,10.842,11.517,10.562,10.416,10.044,13.612,10.727,10.947,10.790,10.240,9.094,8.318,8.645
63,12.687,11.666,14.001,10.470,12.311,11.601,10.918,10.860,11.484,10.548,10.609,10.072,13.624,10.770,10.871,10.840,10.216,9.061,8.299,8.636
64,12.715,11.627,13.951,10.693,12.342,11.730,10.874,10.855,11.611,10.471,10.498,10.261,13.507,10.645,10.924,10.831,10.190,9.063,8.318,8.636
65,12.692,11.651,14.065,10.501,12.319,11.665,10.863,10.863,11.564,10.486,10.457,10.039,13.593,10.771,10.858,10.821,10.208,9.037,8.361,8.609
66,12.708,11.672,14.077,10.545,12.258,11.667,10.946,10.810,11.547,10.591,10.552,9.983,13.589,10.673,10.838,10.757,10.226,9.075,8.310,8.601
67,12.678,11.666,13.968,10.532,12.317,11.717,10.897,10.871,11.600,10.548,10.587,10.072,13.589,10.754,10.821,10.794,10.208,9.105,8.342,8.620
68,12.707,11.607,13.952,10.593,12.237,11.709,10.814,10.855,11.505,10.567,10.628,9.989,13.535,10.691,10.762,10.728,10.202,9.025,8.315,8.612
69,12.695,11.570,13.946,10.513,12.299,11.706,10.791,10.823,11.542,10.519,10.615,10.000,13.561,10.734,10.808,10.791,10.113,9.102,8.365,8.587
70,12.676,11.614,13.969,10.527,12.256,11.698,10.835,10.787,11.486,10.524,10.454,10.044,13.654,10.783,10.831,10.774,10.200,9.063,8.314,8.601
71,12.639,11.722,14.111,10.465,12.207,11.624,10.941,10.835,11.597,10.466,10.596,10.050,13.569,10.722,10.699,10.752,10.216,9.099,8.320,8.620
72,12.653,11.798,14.353,10.587,12.168,11.670,10.776,10.885,11.445,10.409,10.461,10.100,13.453,10.733,10.781,10.834,10.180,9.021,8.337,8.621
73,12.701,11.610,14.233,10.468,12.155,11.703,10.796,10.901,11.446,10.413,10.571,9.872,13.506,10.718,10.765,10.790,10.273,9.037,8.380,8.632
74,12.603,11.638,14.271,10.542,12.209,11.723,10.902,10.848,11.557,10.471,10.555,10.044,13.569,10.683,10.692,10.748,10.251,9.055,8.358,8.630
75,12.652,11.564,14.197,10.521,12.342,11.601,10.789,10.809,11.483,10.438,10.533,9.956,13.546,10.772,10.821,10.928,10.168,9.063,8.318,8.625
76,12.637,11.722,14.120,10.528,12.360,11.686,10.763,10.848,11.569,10.524,10.584,9.967,13.534,10.728,10.788,10.982,10.222,9.105,8.307,8.611
77,12.705,12.141,14.490,10.551,12.280,11.601,10.771,10.800,11.517,10.572,10.549,10.039,13.496,10.646,10.868,10.955,10.218,9.099,8.310,8.566
78,12.632,12.039,14.418,10.595,12.102,11.678,10.750,10.895,11.557,10.615,10.571,9.961,13.515,10.779,10.775,10.912,10.299,9.060,8.339,8.621
79,12.622,11.959,14.279,10.511,12.311,11.643,10.902,10.885,11.564,10.524,10.533,9.944,13.575,10.721,10.755,10.919,10.214,9.097,8.354,8.611
80,12.643,11.764,14.391,10.475,12.164,11.646,10.923,10.878,11.540,10.486,10.498,9.978,13.586,10.721,10.666,10.824,10.240,9.085,8.350,8.622
81,12.689,11.807,14.544,10.511,12.329,11.706,10.843,10.881,11.439,10.486,10.511,10.033,13.596,10.694,10.788,10.830,10.212,9.135,8.353,8.568
82,12.656,11.807,14.387,10.533,12.190,11.635,10.869,10.832,11.581,10.462,10.539,10.039,13.547,10.728,10.735,10.916,10.206,9.087,8.371,8.625
83,12.631,11.701,14.330,10.515,12.290,11.676,10.946,10.879,11.478,10.428,10.593,10.022,13.563,10.668,10.705,10.831,10.242,9.045,8.315,8.636
84,12.668,11.790,14.215,10.545,12.233,11.678,10.753,10.913,11.552,10.562,10.552,9.972,13.495,10.696,10.798,11.030,10.172,9.051,8.388,8.587
85,12.632,11.638,14.191,10.484,12.135,11.654,10.804,10.807,11.581,10.399,10.442,10.006,13.510,10.716,10.762,11.058,10.208,9.055,8.408,8.611
86,12.645,11.610,14.140,10.515,12.237,11.656,10.912,10.941,11.507,10.481,10.527,9.933,13.512,10.741,10.656,11.049,10.224,9.052,8.363,8.651
87,12.670,11.714,14.118,10.545,12.268,11.635,10.796,10.947,11.505,10.562,10.508,9.900,13.596,10.672,10.646,10.942,10.236,9.013,8.378,8.592
