 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32
1,11.334,23.268,16.486,17.103,9.306,9.873,12.489,15.941,13.416,11.641,14.575,8.776,15.555,16.807,12.351,9.045,10.161,12.623,10.800,14.583,13.369,13.126,11.409,10.696,11.089,10.155,10.513,11.471,9.254,17.688,30.599,30.660
2,11.613,24.422,17.518,17.869,9.712,10.186,12.595,16.059,13.683,11.879,14.967,8.847,15.881,17.232,12.663,9.229,10.165,13.049,11.161,14.918,13.784,13.661,11.656,10.880,11.315,10.282,10.803,11.807,9.262,18.061,31.964,32.580
3,11.681,24.891,20.673,21.594,10.467,11.850,12.771,16.122,13.840,12.978,15.568,8.917,15.855,17.556,12.823,9.400,10.259,13.111,11.805,15.009,14.023,13.749,11.734,10.926,11.540,10.203,10.885,13.004,9.463,18.636,32.090,32.437
4,11.633,26.045,24.476,22.332,10.451,13.108,12.686,16.158,13.852,16.195,15.680,8.924,15.886,18.269,12.713,9.389,10.206,13.138,11.790,14.960,13.962,13.745,12.286,11.445,11.754,10.590,10.829,13.432,9.643,18.771,32.032,32.517
5,12.546,27.986,24.661,30.790,11.114,14.369,12.723,16.191,13.959,20.838,16.370,8.907,15.936,19.153,12.742,9.527,10.199,13.149,11.569,14.916,14.010,13.824,13.849,13.601,12.425,11.477,10.774,16.250,10.186,20.437,32.014,32.629
6,15.493,26.818,21.585,31.666,10.914,13.627,12.769,16.279,13.829,20.777,16.622,8.928,15.933,18.323,12.756,9.532,10.250,13.078,11.498,14.950,14.011,13.695,13.832,13.129,12.504,11.490,10.896,15.421,10.136,22.749,32.335,32.779
7,15.081,25.898,19.623,29.067,10.607,12.598,12.699,16.414,13.765,19.199,16.225,8.878,15.960,17.668,12.753,9.402,10.266,13.094,11.412,14.969,13.868,13.573,13.343,12.440,12.192,11.384,10.817,14.371,9.930,22.931,31.915,32.758
8,17.548,30.294,19.257,33.007,11.174,13.056,12.881,16.520,13.854,19.526,16.343,8.898,15.926,17.586,12.751,9.336,10.258,13.025,11.376,14.993,14.010,13.573,14.493,14.490,12.488,13.203,10.847,15.436,10.109,23.827,32.107,32.662
9,19.248,29.655,18.364,37.408,11.285,13.203,12.980,16.390,13.906,20.292,16.605,8.909,15.960,17.376,12.785,9.373,10.292,13.039,11.393,15.006,14.070,13.628,14.894,14.711,12.488,13.893,10.791,16.271,10.097,29.368,32.343,32.745
10,19.574,28.056,17.746,35.740,10.991,12.369,13.028,16.275,13.833,19.121,16.451,8.907,15.989,17.599,12.734,9.241,10.195,13.024,11.363,14.990,14.006,13.444,14.448,14.015,12.502,13.607,10.852,15.275,10.045,30.697,32.149,32.930
11,20.966,30.136,18.075,40.415,11.722,13.500,13.285,16.405,13.783,20.208,16.595,8.939,15.902,17.822,12.744,9.305,10.323,13.082,11.373,15.052,14.097,13.782,15.534,15.412,12.732,15.897,10.893,16.443,10.130,33.866,32.299,32.743
12,21.312,31.117,17.569,45.196,11.975,14.193,13.473,16.336,13.826,20.937,16.686,8.895,15.937,17.403,12.778,9.272,10.222,13.022,11.350,15.076,14.139,13.448,16.331,16.328,13.135,17.521,10.851,17.368,10.225,39.372,32.191,32.650
13,21.624,29.208,17.027,45.988,11.804,13.801,13.722,16.329,13.911,20.554,16.648,8.849,15.905,17.581,12.738,9.263,10.222,13.020,11.266,14.918,13.991,13.418,16.052,15.756,13.272,16.908,10.845,16.918,10.186,41.840,32.047,32.888
14,22.333,30.481,16.561,44.811,11.743,13.474,13.953,16.514,13.776,19.812,16.573,8.896,15.870,17.485,12.763,9.317,10.250,13.008,11.339,15.088,14.017,13.485,15.835,15.686,13.161,17.015,10.872,16.746,10.141,42.892,32.064,32.780
15,22.369,32.245,16.997,46.854,12.219,13.935,14.346,16.545,13.991,20.171,16.624,8.931,15.933,17.488,12.761,9.233,10.231,13.006,11.403,15.058,14.013,13.628,16.491,16.278,13.391,17.819,10.851,17.204,10.221,43.065,32.015,32.823
16,21.967,31.495,16.912,45.890,12.205,13.565,14.485,16.351,13.913,19.662,16.520,8.876,15.813,17.529,12.735,9.314,10.231,13.071,11.193,15.015,13.885,13.536,16.426,16.311,13.149,17.724,10.811,16.768,10.141,43.472,31.942,32.722
17,22.160,31.311,16.914,49.368,12.682,14.010,14.906,16.574,14.032,20.100,16.957,8.859,15.912,17.451,12.707,9.244,10.104,13.064,11.208,14.912,13.963,13.464,17.546,16.935,13.482,17.950,10.781,17.739,10.306,45.961,31.907,32.616
18,22.611,29.539,16.468,48.229,12.428,13.507,14.945,16.577,14.002,19.448,17.055,8.889,15.831,17.294,12.746,9.292,10.139,13.071,11.279,15.040,13.912,13.628,17.003,16.093,13.224,17.174,10.859,17.011,10.180,45.519,31.914,32.595
19,22.636,28.514,16.462,46.783,12.319,13.392,15.055,16.635,13.842,18.541,17.120,8.909,15.803,17.198,12.709,9.256,10.246,13.080,11.275,14.945,13.891,13.548,16.468,15.254,12.911,16.691,10.799,16.539,10.008,45.338,31.865,32.569
20,22.135,29.429,16.637,46.365,12.357,13.520,15.176,16.349,13.911,18.457,17.132,8.889,15.830,17.405,12.697,9.253,10.214,13.082,11.219,14.963,13.967,13.515,16.834,15.548,12.897,17.037,10.792,16.804,10.076,43.338,31.799,32.582
21,22.282,29.974,16.780,48.005,12.517,13.507,15.541,16.279,13.904,18.519,17.253,8.873,15.879,17.326,12.686,9.265,10.120,12.907,11.296,14.973,13.959,13.540,17.238,16.297,13.137,17.356,10.822,17.125,10.091,42.727,31.783,32.621
22,22.676,29.922,16.733,46.821,12.258,13.376,15.703,16.173,13.895,17.803,17.293,8.893,15.881,17.114,12.743,9.213,10.158,13.009,11.303,14.971,13.922,13.502,16.930,16.364,13.089,17.353,10.803,16.489,10.122,42.225,31.832,32.759
