 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16
1,87.192,93.219,85.714,99.348,100.076,97.011,90.137,92.880,88.648,88.383,95.276,94.483,93.840,93.380,91.086,89.044
2,87.333,93.068,85.238,99.421,100.093,96.844,89.630,92.786,87.250,88.250,95.516,93.731,94.164,92.418,90.478,88.665
3,87.036,93.118,86.043,99.454,100.055,97.426,90.284,92.789,88.376,88.604,95.542,93.996,93.748,93.404,91.123,89.119
4,87.279,93.952,85.204,98.961,99.693,96.413,89.911,93.158,87.913,88.563,96.026,94.942,94.227,92.997,90.474,88.553
5,87.234,93.324,85.516,99.106,99.896,96.866,88.934,91.816,87.263,88.490,95.887,94.164,94.633,93.122,90.369,88.474
6,87.313,93.897,85.699,99.637,100.377,96.615,90.149,92.508,88.085,88.293,95.748,93.981,94.160,92.556,90.468,87.775
7,86.747,92.955,86.013,98.957,100.229,97.260,89.606,93.305,87.875,88.616,95.717,94.080,94.754,92.601,90.606,89.293
8,87.250,92.894,85.412,99.071,99.909,96.522,90.135,92.890,87.984,88.231,95.676,94.144,93.906,92.559,90.647,88.548
9,87.978,92.935,85.706,97.955,100.657,97.943,90.119,92.717,88.313,88.434,95.636,93.489,93.645,92.564,90.630,88.641
10,86.573,93.214,86.138,98.577,99.498,97.779,89.002,93.278,87.925,88.569,96.400,94.226,93.560,92.053,90.764,87.819
11,86.619,92.947,85.505,98.641,99.242,96.792,90.245,93.222,88.085,88.340,95.758,94.444,93.977,92.652,90.275,88.240
12,86.834,93.791,85.378,98.261,99.222,96.945,89.449,92.845,88.341,88.027,96.075,94.218,93.878,92.540,90.510,87.971
13,86.954,93.121,85.765,98.076,100.394,97.719,89.467,92.989,88.050,88.654,95.739,94.148,93.930,93.210,90.555,88.870
14,86.790,93.359,85.487,97.881,99.235,97.167,89.847,92.773,88.248,88.520,95.761,94.275,94.457,92.814,90.469,88.176
15,87.267,92.990,85.372,98.002,99.953,97.770,89.819,93.447,87.990,88.164,95.381,94.027,94.444,93.037,90.720,88.330
16,87.281,93.126,85.562,98.104,100.013,97.074,90.193,92.952,88.281,88.464,95.734,94.544,94.564,92.774,90.113,88.300
17,86.671,93.394,85.673,97.404,100.150,97.068,89.584,93.096,87.196,88.183,95.252,94.433,94.023,91.566,90.292,88.121
18,86.996,93.312,85.526,97.408,99.756,97.279,90.095,93.201,87.543,88.333,95.551,94.614,94.167,92.694,89.935,88.756
19,87.126,93.289,85.285,97.957,99.900,96.276,89.616,92.414,87.251,88.517,96.183,94.772,93.848,93.285,90.492,88.919
20,86.962,92.899,85.607,97.603,100.222,96.765,89.730,92.508,88.412,87.998,95.655,93.462,93.767,92.556,90.329,88.405
21,87.445,93.332,85.661,97.968,99.379,97.044,89.386,92.778,88.582,88.558,95.848,93.873,94.124,92.380,90.696,88.637
22,86.571,92.990,85.348,97.892,99.172,97.615,89.879,93.067,87.947,88.115,95.609,94.082,93.021,91.883,90.557,88.352
23,87.721,94.701,85.700,96.935,99.958,97.030,89.644,93.008,88.012,88.522,95.856,93.793,93.566,92.702,90.531,89.359
24,87.070,93.646,85.547,97.164,99.672,96.295,89.670,92.516,88.653,88.284,94.672,94.495,94.002,92.705,90.566,88.639
25,86.663,93.595,85.463,97.181,99.939,97.112,89.909,93.118,88.075,88.745,95.410,93.700,93.912,92.920,90.719,88.396
26,87.555,92.794,85.753,96.633,99.869,96.926,89.887,92.944,88.224,88.852,95.650,93.752,93.868,92.473,89.904,88.458
27,87.060,92.980,85.118,96.784,99.322,96.571,90.157,93.342,88.073,88.743,95.917,94.515,93.945,92.431,90.853,88.808
28,86.675,93.005,85.381,96.974,99.994,96.934,90.018,92.540,88.521,88.820,95.788,94.000,93.805,92.747,90.236,88.943
29,87.513,93.462,85.574,97.173,99.894,96.516,89.809,92.634,88.002,88.461,96.596,93.953,93.492,92.500,90.791,88.740
30,86.758,93.432,86.223,97.382,100.189,97.221,90.308,92.468,88.281,88.799,95.389,94.092,93.350,92.745,90.651,88.601
31,87.016,92.626,85.385,96.983,99.447,97.172,90.602,92.824,88.123,88.498,95.551,94.569,93.897,92.000,90.785,88.771
32,86.844,93.083,85.769,97.294,100.477,97.404,89.690,92.885,88.012,88.684,95.935,94.719,93.630,92.617,90.494,88.115
33,86.990,92.736,85.541,96.734,99.593,97.235,89.195,92.583,87.485,87.959,95.471,93.778,94.222,92.718,90.256,89.222
