 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16
125,89.585,96.266,87.064,103.823,103.269,99.781,91.771,96.243,90.897,91.199,97.719,95.386,96.985,94.622,92.635,89.260
126,89.880,96.432,86.738,103.324,104.316,100.877,91.197,95.639,91.014,91.191,98.348,95.735,96.306,94.668,92.632,89.729
127,88.772,95.980,87.049,103.164,103.778,101.221,92.557,96.283,91.046,91.026,97.757,94.904,95.812,94.468,92.416,89.912
128,88.491,96.108,87.327,102.898,103.996,100.669,92.046,96.880,91.166,90.368,97.657,96.306,95.996,94.662,92.530,89.401
129,88.160,96.126,87.465,103.456,103.907,99.869,92.169,96.949,90.485,90.994,97.222,96.390,95.867,94.747,92.469,89.535
130,88.347,95.990,86.985,103.350,103.888,99.740,91.294,95.709,90.244,91.515,97.556,95.774,95.814,95.239,92.799,89.870
131,88.629,96.123,86.714,103.652,104.278,100.060,91.648,95.618,90.618,90.885,97.564,95.770,95.925,94.021,92.326,89.335
132,88.745,96.977,87.088,103.521,104.343,101.107,92.370,97.120,90.861,90.954,98.016,95.259,95.936,94.997,92.527,89.366
133,89.108,96.043,86.715,102.959,104.083,99.992,92.392,95.858,90.711,90.545,97.557,95.546,95.633,94.479,92.523,89.804
134,87.990,95.206,86.951,102.752,103.881,100.309,92.070,96.013,90.832,91.569,97.458,95.133,96.227,94.465,92.330,89.526
135,88.210,95.520,86.726,102.093,103.333,100.544,91.861,95.767,90.517,91.198,97.675,94.916,95.532,93.965,92.394,89.654
136,88.745,95.558,86.391,102.927,104.286,100.399,91.453,96.877,90.303,90.925,97.325,95.326,95.934,94.864,92.454,89.938
137,88.234,95.626,87.019,102.916,104.136,100.929,91.817,97.642,90.857,91.147,97.853,95.887,96.271,94.080,92.502,90.062
138,88.523,96.146,86.879,102.706,103.619,100.281,92.127,97.158,90.162,91.456,97.835,95.825,96.526,94.707,92.122,89.520
139,88.673,95.603,86.723,102.598,103.703,100.276,91.561,96.062,90.636,91.187,97.758,95.333,96.039,94.423,92.295,89.396
140,88.599,95.889,86.387,103.082,104.248,100.525,91.569,96.559,89.867,91.249,97.384,95.162,95.752,94.191,91.963,89.438
141,88.116,95.925,86.940,103.073,103.852,100.601,91.159,95.922,90.950,90.970,97.693,95.827,95.906,94.003,92.406,89.537
142,89.118,96.671,87.180,102.652,103.856,99.918,91.459,96.511,90.855,90.920,98.229,95.183,96.459,94.008,92.474,89.861
143,88.731,96.779,87.106,102.708,103.956,100.885,92.123,96.516,90.374,91.152,97.788,95.442,96.226,94.194,91.998,90.064
144,88.351,96.196,87.747,101.419,103.968,100.317,91.861,96.484,90.335,90.904,96.995,95.170,95.664,94.287,92.405,90.101
145,88.459,96.392,86.901,101.000,103.934,100.150,91.936,96.115,90.923,90.895,98.002,95.197,96.556,94.298,91.655,89.390
146,88.703,95.844,86.817,101.678,103.727,99.948,92.038,96.620,90.507,91.311,97.706,95.195,96.124,93.606,92.661,89.370
147,88.192,96.324,87.337,101.991,103.578,99.888,92.129,95.789,90.764,91.083,97.454,96.302,96.449,93.543,92.147,89.791
148,88.180,96.108,86.714,102.469,104.070,99.801,91.501,96.184,90.311,90.640,97.560,95.072,96.227,94.418,92.432,90.066
149,88.511,95.779,86.937,102.907,104.343,99.954,91.515,96.709,91.137,91.005,97.810,95.224,95.665,93.934,91.929,89.742
150,88.733,95.711,86.429,102.255,103.261,100.525,91.602,95.751,90.885,91.507,97.933,95.398,96.464,94.769,91.861,90.183
151,87.703,95.917,86.904,102.475,104.686,101.743,91.787,96.307,91.004,90.756,98.016,95.164,96.263,94.577,92.640,89.489
152,88.645,96.980,86.525,103.400,104.064,102.246,92.304,96.166,91.170,91.421,97.345,95.942,96.346,93.436,91.994,89.722
153,88.222,97.005,87.291,103.590,104.108,101.372,92.123,96.773,90.655,91.298,98.281,95.193,96.421,93.388,92.444,89.901
154,88.735,95.817,86.679,102.022,104.028,101.314,91.521,96.115,90.408,91.335,97.374,94.862,96.759,94.354,91.934,90.090
155,89.102,95.430,86.945,102.743,104.625,100.740,91.974,96.035,91.079,91.268,97.922,94.982,95.726,93.830,91.962,89.427
156,88.222,96.191,87.393,103.205,103.449,100.197,92.113,96.511,91.283,90.963,97.686,94.858,95.929,93.630,91.979,90.264
157,88.914,96.430,86.966,102.881,103.947,100.505,91.831,96.184,90.770,90.794,97.753,95.973,96.985,94.266,91.604,90.341
158,88.543,95.716,86.739,102.618,103.763,101.429,91.310,96.652,90.024,91.644,98.605,94.967,96.398,94.465,92.273,90.004
159,88.521,97.266,86.796,101.702,104.498,101.210,91.598,96.144,90.804,90.630,98.025,95.212,96.342,95.069,91.957,89.443
160,87.780,95.827,86.808,103.227,104.731,99.833,91.825,97.021,91.180,91.555,97.525,95.600,96.930,93.758,92.033,89.844
161,88.335,95.872,86.564,104.838,103.458,101.831,92.119,97.380,90.222,91.316,97.709,95.696,97.513,94.098,92.309,89.700
162,90.964,97.214,86.682,106.940,107.008,105.440,92.895,96.789,90.891,92.292,103.423,100.331,99.801,94.396,93.733,91.390
163,92.387,97.281,87.204,107.570,107.379,105.451,93.219,97.428,92.141,92.279,102.729,101.014,100.085,94.694,94.034,91.718
164,92.114,96.706,86.547,108.527,105.765,103.926,94.044,97.238,92.123,91.659,100.761,99.735,99.656,94.713,93.788,90.775
165,92.507,96.540,87.460,107.998,104.606,104.713,94.247,95.738,92.325,91.502,99.096,98.004,100.265,95.418,93.202,90.610
166,91.359,96.977,87.417,108.313,104.015,103.604,93.700,96.457,91.861,91.730,99.180,97.770,99.694,94.644,93.202,90.714
167,90.824,95.985,86.726,107.549,105.006,102.798,94.748,96.963,91.616,91.788,98.425,96.871,99.237,94.891,93.080,90.319
168,90.301,96.445,87.159,108.616,104.689,102.380,94.648,96.508,91.523,91.129,98.056,95.803,99.885,95.215,92.614,89.350
169,90.186,96.638,86.799,108.292,104.674,101.372,94.688,96.043,91.311,91.810,98.121,96.326,100.335,94.511,92.846,90.233
170,89.409,95.545,87.510,108.238,103.708,101.145,94.306,96.794,91.408,91.260,97.513,95.934,99.158,94.418,92.303,89.524
171,89.337,95.819,86.744,108.510,103.886,102.074,94.016,97.104,91.368,90.687,98.062,95.994,99.169,95.109,92.465,90.187
172,90.036,95.756,86.990,109.199,104.517,101.454,93.330,96.612,90.655,91.388,97.518,95.986,99.132,94.471,92.323,90.200
173,89.164,96.249,87.355,109.125,104.292,101.402,93.101,96.709,90.665,90.974,97.546,96.012,98.445,94.255,92.559,89.465
174,89.768,96.658,87.096,108.488,104.392,101.557,93.777,95.869,90.481,90.797,97.279,95.470,98.222,94.255,92.523,89.652
175,89.166,97.168,87.279,107.495,103.985,101.672,92.950,96.468,90.867,91.301,98.475,95.405,97.880,94.753,92.022,90.075
176,89.192,96.492,86.898,107.572,104.263,100.060,92.942,96.741,90.364,91.080,97.564,95.554,98.378,94.941,92.792,89.749
177,92.605,97.799,86.998,107.317,104.436,103.109,94.310,96.738,91.444,91.635,99.387,96.185,99.500,95.282,94.263,90.278
