 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10
1,78.841,86.561,62.288,126.238,62.207,57.680,59.500,64.699,76.662,76.900
2,81.809,88.624,63.676,126.181,63.234,60.053,61.848,67.202,79.798,80.205
3,82.729,86.718,63.776,126.584,63.441,60.281,61.646,66.918,80.218,76.851
4,82.418,85.567,64.345,121.264,63.743,59.683,61.719,66.525,79.800,78.442
5,82.303,84.024,63.994,119.012,63.975,59.794,61.394,67.571,79.784,77.470
6,82.379,83.193,63.847,117.426,63.987,59.701,61.124,66.590,80.737,77.554
7,81.791,82.334,63.608,115.052,63.259,59.904,61.854,67.003,79.596,76.639
8,81.345,82.205,63.308,112.021,62.607,59.274,61.459,66.456,79.613,76.988
9,82.195,81.572,63.447,113.471,63.589,59.758,61.356,66.011,79.373,74.908
10,81.497,80.331,63.947,108.014,62.957,59.505,61.151,66.809,79.010,76.293
11,81.216,79.384,63.490,107.849,63.753,59.562,61.141,66.896,79.531,75.892
12,81.400,79.589,62.990,105.671,63.519,60.231,61.325,66.833,78.943,74.988
13,80.724,78.782,63.390,104.854,63.242,60.217,60.803,66.699,79.735,74.791
14,82.389,78.636,63.084,103.391,62.912,59.715,61.233,66.765,78.819,75.972
15,81.701,78.138,63.106,101.452,63.141,59.552,62.068,66.208,79.012,74.972
16,80.989,77.768,63.529,100.480,63.426,59.384,61.056,66.937,79.218,74.229
17,81.393,77.694,64.000,99.713,63.146,59.651,61.116,66.956,78.687,74.490
18,81.457,76.713,63.671,97.565,63.355,59.804,60.881,66.929,79.196,74.386
19,81.609,77.799,63.069,96.965,63.506,59.078,60.636,67.183,79.176,72.964
20,83.352,76.312,63.135,96.687,62.642,59.278,60.677,66.292,78.936,72.530
21,86.577,76.056,63.037,94.184,63.212,59.413,60.757,67.112,78.782,74.068
22,85.952,76.502,62.922,92.831,63.174,59.904,60.972,67.139,78.704,73.321
23,84.618,75.572,63.220,91.233,62.599,59.423,60.907,66.628,78.161,73.470
24,84.152,75.727,63.337,90.995,63.224,58.765,60.704,66.139,78.865,72.924
25,84.046,75.810,63.096,89.598,63.295,60.046,60.594,67.295,78.625,73.313
26,80.910,75.730,62.447,87.993,63.599,58.972,60.858,66.814,78.507,73.189
27,82.221,75.575,62.967,86.915,62.846,59.000,60.821,66.967,78.499,73.735
28,81.267,75.103,63.255,87.127,62.348,59.790,60.035,67.098,78.657,71.506
29,82.621,75.105,63.612,86.842,62.854,59.491,60.561,65.623,78.327,72.080
30,81.166,74.251,62.806,84.134,63.020,59.228,60.492,66.153,78.605,73.353
31,81.393,75.464,63.192,83.078,63.123,59.206,60.773,66.792,78.561,73.161
32,81.025,74.437,62.927,83.132,62.997,58.754,61.018,65.784,78.689,73.000
33,81.943,74.734,62.386,81.169,63.431,59.868,60.593,66.301,78.217,72.968
34,81.834,75.146,62.718,82.169,63.703,59.320,60.816,66.585,78.260,71.229
35,81.175,74.525,63.008,80.249,62.834,59.011,60.609,66.016,78.316,72.566
36,81.462,74.657,63.253,80.922,63.111,58.829,60.425,67.189,78.552,71.225
37,81.989,74.658,63.439,79.904,63.305,59.096,60.661,66.410,78.278,72.655
38,81.246,74.668,62.763,78.529,63.078,59.238,60.588,66.628,78.665,72.422
39,80.929,74.353,62.767,78.529,62.270,59.420,60.881,66.117,77.904,72.088
40,80.936,74.061,62.700,77.849,63.136,59.683,60.225,66.907,78.132,72.606
41,81.159,74.505,62.184,78.776,63.169,59.267,60.644,66.571,78.456,72.948
42,81.860,74.734,62.690,76.442,62.544,58.950,60.503,66.779,77.808,72.482
43,83.605,74.287,63.727,76.656,62.514,58.776,60.952,66.672,78.050,71.771
44,83.869,74.212,62.104,76.431,62.705,59.434,60.392,66.415,78.883,72.823
45,82.379,74.218,62.735,76.144,62.864,58.701,60.346,65.639,78.431,72.133
46,81.991,74.014,63.053,75.409,62.365,59.345,60.469,66.607,78.422,72.498
47,81.515,73.839,63.288,75.518,63.096,58.947,60.421,66.107,77.821,71.900
48,81.483,74.577,62.851,74.920,63.058,59.238,60.414,66.432,78.809,72.486
49,81.501,74.033,62.729,74.856,62.365,59.338,60.127,66.238,77.836,73.052
50,81.246,74.618,62.402,75.668,62.657,59.146,60.828,66.719,78.328,71.494
51,80.455,73.976,61.955,73.614,62.569,59.320,60.881,65.902,78.121,72.205
52,81.315,74.254,62.984,74.713,62.451,57.893,60.480,66.484,78.325,71.614
53,80.646,73.727,62.969,74.245,61.919,58.256,60.477,66.309,78.502,72.337
54,81.037,73.707,62.794,74.548,61.831,58.851,60.929,66.429,78.000,72.088
55,80.446,73.605,62.167,73.711,62.202,59.459,60.712,66.199,77.946,70.679
56,80.920,74.219,62.573,74.160,62.632,59.021,60.129,66.101,78.409,71.924
57,81.533,73.633,62.363,73.358,62.615,59.569,60.331,66.459,77.954,71.538
58,80.651,73.897,62.471,74.332,62.071,59.260,60.500,66.126,77.650,71.550
59,80.032,74.144,62.659,73.661,62.836,59.310,60.349,65.896,78.302,71.349
60,80.869,73.320,62.700,72.595,62.846,58.327,60.546,67.123,78.301,71.655
61,80.407,73.730,62.643,72.939,63.348,59.359,60.546,66.779,78.175,71.819
62,81.538,73.881,63.290,73.028,62.718,58.847,60.651,66.694,78.539,71.157
63,80.713,73.741,61.965,73.344,62.778,58.701,60.631,66.347,78.501,71.321
64,81.209,73.561,61.927,72.586,62.169,58.804,60.412,66.036,77.675,71.534
65,80.494,73.274,62.727,71.353,61.771,58.972,60.579,66.850,77.728,72.960
66,80.340,73.398,62.359,72.908,62.872,58.299,59.770,65.847,78.223,71.225
67,80.692,73.334,62.327,73.092,62.350,58.612,60.407,67.030,77.278,71.241
68,80.044,73.787,62.733,72.689,62.199,58.907,60.983,66.508,77.883,71.044
69,80.614,73.708,62.251,73.261,62.358,58.865,60.065,66.016,77.941,71.876
70,80.184,73.777,62.298,72.746,62.509,58.331,60.267,66.615,77.801,70.924
71,80.529,73.041,62.463,72.939,63.123,58.644,59.760,65.713,77.698,71.261
72,80.034,73.121,62.373,73.005,62.894,58.769,60.091,66.675,77.868,71.863
73,80.211,73.207,62.265,71.819,62.640,59.206,59.747,66.596,77.895,70.976
74,80.791,73.317,62.676,72.911,61.690,58.815,60.560,66.126,77.283,72.036
75,80.009,73.770,62.533,72.729,63.091,58.541,60.283,66.131,77.383,70.614
76,80.395,72.746,62.202,72.725,61.713,59.238,60.758,66.877,77.099,71.120
77,80.694,72.815,61.818,72.659,62.514,58.363,59.841,65.249,77.669,71.390
78,81.200,73.453,62.010,72.304,62.134,58.897,60.204,66.098,78.348,70.863
79,80.278,73.165,62.510,72.007,62.330,58.441,60.772,66.235,77.238,71.558
80,80.563,73.149,62.431,72.261,61.723,58.395,60.442,66.317,77.020,70.807
81,83.011,73.821,62.237,72.000,62.257,58.413,60.180,66.322,77.846,71.610
82,83.057,73.483,61.906,72.506,62.385,59.075,60.424,66.066,77.563,71.249
83,81.421,73.423,62.204,73.073,61.882,59.196,60.487,67.148,77.414,70.807
84,81.623,73.958,62.086,71.873,62.476,58.961,60.632,66.098,77.523,70.759
85,80.956,73.270,62.122,72.534,62.045,59.260,60.442,66.828,77.129,70.835
86,81.205,73.324,62.441,72.981,62.325,59.132,59.831,66.216,77.413,71.968
87,81.538,73.270,62.878,72.694,62.136,58.883,60.091,66.033,77.564,71.241
88,80.897,72.936,62.298,72.544,62.484,58.413,59.886,66.377,77.383,70.687
89,79.745,73.011,62.218,70.882,62.295,57.815,60.318,65.964,77.190,71.301
90,81.069,73.326,62.661,73.219,62.408,58.794,60.157,65.801,77.514,71.739
91,85.175,77.393,63.453,74.741,64.537,61.149,59.954,66.415,78.365,71.040
92,99.126,90.053,68.069,79.466,67.050,63.502,61.313,71.243,79.227,72.245
93,115.699,106.950,73.649,83.016,73.668,66.466,62.036,78.839,81.142,74.490
94,112.041,107.704,72.182,91.344,72.645,65.167,61.502,76.109,80.760,75.305
95,105.014,106.544,70.800,102.179,71.310,64.865,62.078,71.645,81.732,78.112
96,99.669,124.897,70.853,121.819,74.179,67.929,62.671,68.902,82.296,82.904
97,94.329,128.734,73.135,125.548,76.058,68.196,63.099,68.295,83.418,82.052
98,91.726,127.639,71.712,129.301,76.020,67.562,62.949,67.352,83.851,83.920
99,89.069,137.177,71.702,138.544,73.388,66.890,64.760,66.713,85.026,85.703
100,87.938,138.555,71.204,138.151,71.010,66.306,64.576,66.380,84.649,86.317
101,86.740,137.564,70.410,140.184,71.569,66.463,63.550,67.158,84.628,85.695
102,90.779,141.277,72.220,148.200,72.438,67.601,64.541,67.134,85.664,88.478
103,116.529,151.937,76.816,152.482,79.224,71.142,66.068,71.309,88.065,90.325
104,118.651,150.978,75.704,147.513,80.728,70.281,65.623,70.448,88.587,89.799
105,113.097,152.204,74.161,151.092,78.864,68.260,65.412,68.885,88.803,87.795
106,103.354,147.919,71.367,148.405,77.836,67.530,65.891,67.500,87.112,89.100
107,104.814,152.320,71.865,149.372,77.768,68.456,66.793,68.142,88.004,90.016
108,101.172,152.646,72.424,154.544,76.194,66.961,66.560,67.098,87.769,92.004
109,98.221,153.578,73.961,160.614,74.985,66.665,66.748,65.609,86.901,89.972
110,95.133,157.417,73.773,158.224,76.390,66.616,67.045,65.798,87.906,93.177
111,97.028,160.887,74.143,157.402,79.587,68.146,68.134,65.697,88.880,92.550
112,95.800,159.171,73.967,160.405,78.700,66.708,66.498,65.440,88.481,91.032
113,92.147,154.190,73.192,154.515,76.919,64.779,65.922,65.451,88.911,92.273
114,90.430,153.447,71.606,152.379,77.212,65.865,64.879,66.219,86.918,92.060
115,88.857,148.270,70.041,150.936,74.798,64.082,64.325,66.115,85.408,90.466
116,86.586,143.107,68.937,151.325,72.312,63.004,63.925,66.484,83.939,89.382
