 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35
1,25.030,26.919,25.559,46.114,25.319,27.811,25.642,31.365,30.370,46.226,25.925,32.238,34.224,23.351,25.782,29.420,27.061,27.503,90.720,196.818,122.369,70.608,57.424,33.902,35.792,26.318,25.565,25.772,27.525,25.882,24.045,23.000,25.718,29.066,24.011
2,25.435,27.104,26.285,47.396,25.710,28.581,26.615,32.695,31.805,48.734,26.672,33.429,35.147,23.751,26.637,30.023,27.691,28.020,96.048,207.646,128.105,73.557,58.966,34.307,36.804,26.795,25.884,26.365,28.693,26.791,24.573,23.235,26.308,29.710,24.454
3,25.409,26.875,26.129,47.056,25.738,28.334,26.408,32.431,31.818,48.286,26.742,33.480,34.683,23.672,26.638,30.052,27.637,27.934,94.051,205.721,125.067,71.928,57.926,33.711,36.139,26.841,25.888,26.473,28.608,26.842,24.385,23.210,26.085,29.465,24.347
4,25.359,26.840,26.124,47.163,25.625,28.205,26.252,32.359,31.488,47.904,26.928,33.261,34.168,23.567,26.474,29.667,27.497,27.907,93.482,203.628,122.923,70.836,57.502,33.836,35.747,26.674,26.038,26.345,28.632,26.722,24.307,23.298,26.131,29.438,24.414
5,25.308,26.512,25.810,46.394,25.822,28.056,26.335,32.124,31.434,47.309,26.867,32.503,34.138,23.736,26.554,29.654,27.347,27.749,92.560,202.366,120.243,69.645,57.072,33.404,35.702,26.735,25.735,26.345,28.578,26.619,24.236,23.104,26.063,29.362,24.341
6,25.269,26.405,25.722,46.265,25.557,27.919,25.961,32.178,31.411,47.114,26.529,32.518,33.244,23.708,26.430,29.528,27.467,27.449,91.206,200.382,118.039,67.936,56.564,33.338,35.710,26.846,25.804,26.361,28.481,26.659,24.291,23.183,26.066,29.511,24.403
7,25.440,26.377,25.808,46.104,25.566,27.765,26.058,32.039,31.429,46.790,26.912,32.282,33.337,23.713,26.472,29.406,27.540,27.612,90.102,198.462,115.985,67.160,56.311,33.116,35.196,26.576,25.726,26.401,28.515,26.521,24.003,23.033,26.094,29.379,24.509
8,25.396,26.361,25.665,45.763,25.674,27.730,26.130,31.814,31.134,46.024,26.674,31.856,32.793,23.941,26.533,29.542,27.641,27.805,89.333,197.339,114.382,66.375,55.748,32.911,34.739,26.457,25.791,26.321,28.442,26.657,24.060,23.263,26.099,29.667,24.403
9,25.253,26.183,25.585,45.705,25.762,27.520,26.043,31.907,31.285,45.913,26.794,31.732,32.434,23.703,26.253,29.280,27.404,27.676,88.018,195.656,112.649,65.362,55.680,33.067,35.098,26.664,25.925,26.561,28.634,26.889,24.074,23.102,26.209,29.590,24.372
10,25.185,25.836,25.543,45.355,25.746,27.409,25.827,31.640,31.073,45.206,26.552,31.331,32.126,23.533,26.262,29.438,27.306,27.708,87.419,194.735,110.854,63.962,54.822,32.791,34.327,26.715,25.824,26.513,28.472,26.704,24.139,23.065,26.343,29.500,24.624
11,24.899,25.771,25.499,44.774,25.544,27.343,25.633,31.514,30.912,45.021,26.550,30.982,31.762,23.803,26.219,29.202,27.256,27.519,86.629,193.618,108.191,63.274,54.248,32.871,34.212,26.452,25.677,26.509,28.481,26.568,23.895,23.140,26.110,29.421,24.361
12,25.104,25.829,25.472,44.389,25.688,26.932,25.358,31.494,31.054,44.694,26.670,30.536,31.753,23.564,26.243,29.330,27.206,27.251,85.137,191.232,106.561,61.704,53.860,32.476,33.935,26.391,25.515,26.525,28.269,26.472,23.861,23.108,26.181,29.452,24.392
13,24.904,25.822,25.380,44.491,25.510,27.044,25.353,31.431,30.648,43.894,26.593,30.184,31.511,23.585,26.009,29.032,27.043,27.298,84.928,190.182,105.247,61.077,53.915,31.862,33.653,26.563,25.628,26.403,28.314,26.653,23.709,23.200,26.021,29.410,24.332
