 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35
591,23.622,25.245,23.604,47.005,25.043,22.765,23.362,29.571,27.630,28.216,25.315,29.744,31.621,22.600,27.677,30.485,26.795,27.132,64.599,107.972,107.530,51.372,37.369,27.489,29.024,36.475,24.536,25.455,28.303,26.082,23.775,22.471,24.829,26.309,26.540
592,23.580,25.069,23.717,46.232,24.840,22.650,23.426,29.761,27.828,28.165,25.362,30.205,31.359,22.536,27.785,30.148,26.527,26.776,65.280,106.503,108.584,51.783,37.235,27.831,28.918,36.399,24.643,25.515,28.148,26.468,23.778,22.354,25.103,26.254,26.394
593,23.676,25.062,23.748,46.515,24.593,22.730,23.389,29.657,27.515,28.016,25.470,29.870,31.929,22.492,27.826,30.198,26.516,26.808,65.415,105.766,106.407,51.274,37.301,27.493,28.812,36.513,24.377,25.269,28.144,26.143,23.630,22.575,25.016,26.167,26.779
594,23.629,25.252,23.625,45.931,24.599,22.625,23.434,29.760,27.805,28.187,25.276,29.774,32.183,22.536,27.749,30.425,26.675,26.541,65.701,105.447,103.220,50.757,37.237,27.684,28.853,36.369,24.403,25.487,28.097,26.036,23.411,22.506,24.984,26.112,26.690
595,23.542,25.412,23.720,46.177,24.784,22.620,23.279,29.633,27.797,28.266,25.489,30.515,32.001,22.326,27.747,30.562,26.654,26.617,66.218,104.480,100.297,50.453,37.392,27.058,28.845,36.295,24.482,25.537,28.090,26.053,23.521,22.335,24.880,26.294,26.993
596,23.448,25.463,23.646,45.334,24.640,22.643,23.231,29.542,27.986,28.104,25.326,30.077,31.910,22.331,27.430,30.374,26.893,26.241,66.278,103.939,98.381,49.257,37.057,27.533,28.682,36.275,24.478,25.439,27.987,25.920,23.421,22.292,25.188,26.097,26.836
597,23.609,25.220,23.636,45.095,24.890,22.662,23.303,29.311,27.689,28.067,25.186,29.538,31.929,22.379,27.577,30.458,26.776,26.314,66.137,103.876,95.741,48.487,37.106,27.556,28.678,36.129,24.550,25.573,27.673,25.889,23.472,22.290,24.808,26.230,26.748
598,23.397,24.949,23.604,44.450,24.951,22.516,23.335,29.210,27.697,28.192,25.213,29.030,31.571,22.362,27.388,29.943,26.489,26.046,66.474,103.086,94.038,48.426,37.153,27.876,28.616,36.088,24.363,25.503,27.688,25.871,23.413,22.348,24.972,26.169,26.642
599,23.455,25.100,23.744,44.347,24.849,22.712,23.275,29.189,27.775,28.313,25.418,29.933,31.394,22.410,27.601,29.905,26.702,26.068,67.011,102.176,92.624,48.994,37.055,27.396,28.576,35.884,24.335,25.393,27.802,25.866,23.214,22.408,24.913,26.189,26.810
600,23.555,25.231,23.531,44.111,24.699,22.625,23.277,29.397,27.844,28.236,25.629,30.662,31.290,22.505,27.763,29.927,26.487,25.968,67.384,101.661,94.114,49.704,37.235,27.636,28.612,35.515,24.597,25.459,27.677,25.808,23.249,22.296,25.192,26.426,26.987
601,23.609,24.794,23.578,43.438,24.691,22.533,23.408,29.109,27.681,28.132,25.459,31.361,31.088,22.421,27.445,29.937,26.622,26.210,67.657,101.778,93.006,49.479,37.487,27.182,28.531,35.624,24.434,25.253,27.584,25.728,23.111,22.398,24.995,26.257,27.086
602,23.371,24.613,23.629,43.826,24.431,22.560,23.213,29.069,27.560,28.339,25.486,31.545,30.835,22.559,27.288,29.595,26.580,25.985,66.771,100.490,91.053,48.894,37.271,27.080,28.453,35.412,24.529,25.327,27.560,25.445,23.079,22.479,25.063,26.296,27.033
603,23.405,24.433,23.526,43.444,24.418,22.622,23.225,28.875,27.445,28.166,25.401,31.511,30.452,22.387,27.256,29.176,26.464,26.053,65.604,99.422,89.502,48.183,37.146,27.276,28.396,35.427,24.251,25.267,27.712,25.445,23.100,22.417,24.988,26.322,26.887
604,23.290,24.049,23.554,43.032,24.322,22.470,23.221,28.871,27.329,28.126,25.484,30.459,30.027,22.410,27.143,29.202,26.532,25.997,64.938,100.110,87.426,47.606,36.962,27.360,28.788,35.288,24.403,25.321,27.411,25.350,23.041,22.302,25.059,26.298,26.489
