 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34
767,15.731,19.647,34.470,12.092,23.438,21.823,17.556,12.052,12.044,16.660,13.806,13.377,18.598,19.880,13.919,11.226,20.831,10.042,9.967,10.623,12.668,13.677,11.696,11.337,12.779,14.887,11.701,11.185,11.253,10.534,13.764,16.110,10.183,12.144
768,15.667,19.748,33.983,11.959,23.082,21.667,17.830,11.916,12.259,17.657,13.580,13.158,18.559,19.895,13.814,11.257,20.799,10.094,9.925,10.468,12.603,14.974,12.618,11.243,12.806,14.797,11.842,11.338,11.149,10.498,14.589,16.085,10.093,12.160
769,17.677,19.728,34.150,12.015,23.009,21.743,17.391,11.752,12.003,17.304,13.743,13.717,18.565,19.824,14.047,11.309,20.545,10.049,9.869,10.509,12.629,14.548,12.275,11.291,12.809,14.744,11.746,11.299,11.182,10.512,14.347,16.099,10.311,12.066
770,20.231,19.451,33.850,11.990,23.222,21.786,16.740,11.696,12.064,17.099,13.525,14.609,18.325,20.020,13.940,11.275,20.692,10.170,10.064,10.619,12.612,13.990,11.916,11.258,12.814,14.718,11.755,11.625,11.132,10.524,13.706,16.121,10.347,12.112
771,21.212,19.424,33.691,12.013,23.101,21.725,16.756,11.610,12.096,17.411,13.230,14.373,18.177,19.697,13.621,11.255,20.438,10.215,9.986,10.589,12.690,13.615,11.665,11.245,12.733,14.528,11.699,11.710,11.096,10.522,13.359,16.050,10.415,12.115
772,20.150,19.232,33.772,11.888,22.627,21.551,17.236,11.475,12.064,16.754,13.036,13.970,18.117,19.483,13.474,11.321,20.283,10.068,9.925,10.483,12.489,13.196,11.608,11.239,12.733,14.238,11.769,11.513,11.039,10.492,13.108,15.949,10.351,12.136
773,19.150,19.127,33.843,11.862,22.449,21.619,16.802,11.396,12.033,16.274,12.760,13.597,18.104,18.717,13.312,11.295,20.155,10.030,9.897,10.479,12.376,13.046,11.486,11.240,12.757,14.090,11.741,11.358,11.011,10.545,13.166,15.858,10.384,12.101
774,18.306,19.093,34.760,11.819,22.205,21.536,17.046,11.340,11.972,15.649,12.660,13.348,18.009,18.889,13.542,11.301,20.058,9.987,9.950,10.513,12.302,12.838,11.443,11.230,12.755,13.844,11.678,11.239,10.940,10.551,12.913,15.758,10.287,12.039
775,17.704,18.963,35.641,11.806,22.657,21.402,16.874,11.219,11.767,15.362,13.002,13.202,18.069,18.835,13.281,11.273,20.094,10.000,9.981,10.419,12.225,12.765,11.388,11.273,12.681,13.977,11.647,11.117,10.961,10.494,12.927,15.921,10.347,12.042
776,17.114,18.939,35.344,11.783,22.573,21.492,16.458,11.231,11.806,14.996,12.981,12.841,17.968,18.744,13.360,11.218,20.148,9.919,9.841,10.343,12.196,12.784,11.337,11.209,12.654,14.005,11.821,11.025,10.884,10.553,12.810,16.046,10.453,11.934
